source,smiles,log_reward
base,CCC(=O)N1N=C(c2ccc(C(=O)NCCc3ccccc3)cc2)C[C@H]1c1ccco1,-0.9080412983894348
base,COC(=O)c1cn[nH]c1NC(=S)Nc1ccc(Br)cc1Cl,-1.129732370376587
base,COCCSc1nc(Cc2ccc(C)cc2)nc2ccccc12,-5.598575115203857
base,O=S(=O)(c1cccs1)N1CCC(O)(c2cccc(C(F)(F)F)c2)CC1,-2.2923836708068848
base,CC(C)(C)c1ccc(S(=O)(=O)NCC(=O)N2CCCC2)cc1,-1.413512945175171
base,O=C(c1nc2ccccc2c(=O)[nH]1)c1cccc2ccccc12,-1.877402663230896
base,NS(=O)(=O)c1ccc(/C=C2\NN(c3ccccc3Cl)C(=O)C2=O)cc1,-0.7017530798912048
base,O=C(NNc1ccc(Cl)c(C(=O)O)c1)Nc1cccc(C(F)(F)F)c1,-0.6797727942466736
base,Cc1cc(C)cc(OCC(=O)Nc2cccc3ccccc23)c1,-5.069124221801758
base,COc1cc(CCC(=O)NNC(=O)c2ccc(C)o2)cc(OC)c1OC,-0.7350343465805054
base,NS(=O)(=O)c1ccc(CCNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,-0.40970292687416077
base,NS(=O)(=O)c1ccc(CCNc2cc(C(F)(F)F)nc3ccccc23)cc1,-0.6615809798240662
base,Fc1ccccc1/C=N/C=[NH+]/c1[c-]c(N2CCOCC2)ncn1,-1.659712791442871
base,[N-]=C1[O+]=[S@]1(=O)C/C(=N\c1ccc(Br)cc1)c1ccc2c(c1)OCO2,-0.7488271594047546
base,COC(=O)C(C)(C)ONC(=O)Nc1ccccc1[N+](=O)[O-],-0.8063850998878479
base,CCCCOc1ccc(NC2=N[C@@H]3CS(=O)(=O)C[C@@H]3S2)cc1,-1.4713144302368164
base,COc1cc(/C=N/N(C)C)cc(Br)c1OCC(=O)O,-1.3714022636413574
base,[H+].[H+].[S-][C+]1N([C+]2[C][C][C][C][C-]2O[c+]2[cH-][cH+][c-](Cl)[c+](Cl)[cH-]2)[CH+][CH+][C+]2CCCCN21,-9.752714157104492
base,O=C(NCCOc1ccc2ccccc2c1)c1ccc([N+](=O)[O-])cc1,-0.6369832158088684
base,COC(=O)C1=C(C)N(Cc2cccs2)/C(=N/Cc2cc(OC)c(OC)c(OC)c2)N[C@H]1c1ccc(N(C)C)cc1,-0.8455480933189392
base,CCOc1ccccc1OCC(=O)Nc1ccc(C)cc1,-3.6038217544555664
base,[O-][C+]1[C-](N[c+]2[cH-][cH+][c-](F)[cH+][cH-]2)[C+]([c+]2[cH-][cH+][c-](F)[cH+][cH-]2)CN1[CH-]n1[cH+][cH-][cH+][cH-]1,-4.16933012008667
base,BrCC[C@H]1[CH-][C@@H]1/C=C\C[CH+]CN1CCOCC1,-10.690436363220215
base,C#CCOCCOCCOCCN1c2nc(N3CCN(CC)CC3)ncc2NC(=O)[C@@H]1CC(=O)OCCOCC,-0.6466892957687378
base,C[C]/C(C(=O)Nc1cccc(-c2cnc3ccccc3n2)c1)=C(/[O-])NC[C+]1=CC=C2OCOC2=C1,-0.5100989937782288
base,NNCc1c(O)ccc2ccccc12,-2.318986654281616
base,[CH2-]CC(=O)NC1=C=[N+]=CC(NC(=O)Nc2ccccc2)=C1C,-0.7861243486404419
base,CCCNC(=O)Cc1c(C)oc2ccccc12,-4.460350036621094
base,COc1cccc(Oc2[c-]ccc3ccccc23)c1.O=P(O)=[OH+],-0.8546675443649292
base,CCCCCN(c1ccc(C(=O)OCC(=O)Nc2c(C)cccc2C)cc1)S(=O)(=O)c1ccc(C)cc1,-0.973675549030304
base,O=C(O)c1cc2cc(/C=C/c3ccc(-c4ccc5ccccc5n4)c(=O)[nH]3)ccc2o1,-0.8422443270683289
base,COc1cc2nc3ccccc3nc2cc1OC,-4.18492317199707
base,Cc1nc2cc(/C=C/C(N)=O)[nH]n2c(=O)c1/C(=N\c1ccc(Br)s1)c1ccccc1,-0.7211076617240906
base,S=c1[nH]nc(-c2ccco2)n1/N=C/C=C/c1ccco1,-1.288720726966858
base,Cc1cnccc1CN(C)Cc1cn(C)nc1-c1ccc2c(c1)OCO2,-2.988373041152954
base,COc1ccc(Cn2nnc3c(=O)[nH]c(C4CCN(S(=O)(=O)c5ccc(S(=O)(=O)N(C)C)cc5)CC4)nc32)cc1C,-0.5578677654266357
base,O=C(NNC(=O)c1ccccc1O)c1cccnc1,-0.7050532102584839
base,CCOC(=O)CC(=O)Nc1ccccc1C(C)C,-2.6171276569366455
base,CC(C)Sc1nnc2n(CCc3ccccc3)c(=O)c3c4c(sc3n12)COC(C)(C)C4,-2.136221170425415
base,NNC(=O)CNc1cccc(F)c1,-1.7356206178665161
base,COc1cccc(Nc2nnc(SCC(=O)NC(=O)c3cccn3C)s2)c1,-0.7273918986320496
base,C[P@@](=O)(NC1=NCCCCC1)Oc1ccccc1,-3.1973211765289307
