source,smiles,log_reward
base,CCC(=O)N1N=C(c2ccc(C(=O)NCCc3ccccc3)cc2)C[C@H]1c1ccco1,-2.3204572200775146
base,COC(=O)c1cn[nH]c1NC(=S)Nc1ccc(Br)cc1Cl,-1.6481837034225464
base,COCCSc1nc(Cc2ccc(C)cc2)nc2ccccc12,-2.419826030731201
base,O=S(=O)(c1cccs1)N1CCC(O)(c2cccc(C(F)(F)F)c2)CC1,-3.172083616256714
base,CC(C)(C)c1ccc(S(=O)(=O)NCC(=O)N2CCCC2)cc1,-2.3754727840423584
base,O=C(c1nc2ccccc2c(=O)[nH]1)c1cccc2ccccc12,-2.419826030731201
base,NS(=O)(=O)c1ccc(/C=C2\NN(c3ccccc3Cl)C(=O)C2=O)cc1,-2.1057322025299072
base,O=C(NNc1ccc(Cl)c(C(=O)O)c1)Nc1cccc(C(F)(F)F)c1,-2.1057322025299072
base,Cc1cc(C)cc(OCC(=O)Nc2cccc3ccccc23)c1,-3.0888755321502686
base,COc1cc(CCC(=O)NNC(=O)c2ccc(C)o2)cc(OC)c1OC,-2.54217791557312
base,NS(=O)(=O)c1ccc(CCNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,-1.970301628112793
base,NS(=O)(=O)c1ccc(CCNc2cc(C(F)(F)F)nc3ccccc23)cc1,-2.1825454235076904
base,Fc1ccccc1/C=N/C=[NH+]/c1[c-]c(N2CCOCC2)ncn1,-1.5182775259017944
base,[N-]=C1[O+]=[S@]1(=O)C/C(=N\c1ccc(Br)cc1)c1ccc2c(c1)OCO2,-2.4622952938079834
base,COC(=O)C(C)(C)ONC(=O)Nc1ccccc1[N+](=O)[O-],-1.931758999824524
base,CCCCOc1ccc(NC2=N[C@@H]3CS(=O)(=O)C[C@@H]3S2)cc1,-2.3754727840423584
base,COc1cc(/C=N/N(C)C)cc(Br)c1OCC(=O)O,-2.229227304458618
base,[H+].[H+].[S-][C+]1N([C+]2[C][C][C][C][C-]2O[c+]2[cH-][cH+][c-](Cl)[c+](Cl)[cH-]2)[CH+][CH+][C+]2CCCCN21,-2.54217791557312
base,O=C(NCCOc1ccc2ccccc2c1)c1ccc([N+](=O)[O-])cc1,-2.5030341148376465
base,COC(=O)C1=C(C)N(Cc2cccs2)/C(=N/Cc2cc(OC)c(OC)c(OC)c2)N[C@H]1c1ccc(N(C)C)cc1,-2.291411876678467
base,CCOc1ccccc1OCC(=O)Nc1ccc(C)cc1,-2.998110294342041
base,[O-][C+]1[C-](N[c+]2[cH-][cH+][c-](F)[cH+][cH-]2)[C+]([c+]2[cH-][cH+][c-](F)[cH+][cH-]2)CN1[CH-]n1[cH+][cH-][cH+][cH-]1,-2.1825454235076904
