source,smiles,log_reward
guided,CN(Cc1cccnc1)Cc1cn(Cc2ccco2)c(=O)[nH]c1=O,-0.15415067970752716
guided,Cc1ccc2c(c1)C(c1ccc(C(=O)O)s1)=NNC(=O)/C2=C\c1ccccc1,-0.22884157299995422
guided,Fc1ccc(CNc2ccc(Br)cc2)c(Br)c1,-0.35139787197113037
guided,NN(c1ccccc1)c1ccccn1,-0.3856624662876129
guided,CCn1c(SCC(=O)Nc2ccccc2)nc2ccccc2c1=O,-0.1872115433216095
guided,Cc1ccccc1NC(=O)C[C@@H]1SC(NC(N)=O)=NC1=O,-0.2231435477733612
guided,[O-][CH-][C+]1[C+]([C+]([O-])O)[N-][C+]([C][C]CO)N1C1CCCCC1.[O-][C][c+]1[cH+][cH+][cH+][cH-][cH+]1,-0.1076306626200676
guided,NS(=O)(=O)OC[C@H]1CC[C@@H](c2ccc(Br)s2)CC1,-0.23052366077899933
guided,NNCc1ccccc1,-0.23638877272605896
guided,C[C-](C)C[CH+]C[C-](O)C[C+]([O-])O,-0.11778303235769272
guided,[O][C](N[N][CH][C]1[CH][C](N([O-])[O-])[CH][CH][C]1O)C1N[N][CH+]C1Cl,-0.10178269445896149
guided,CNNC(=O)c1c(N)sc2c1CCCC2,-0.03390154987573624
guided,O=C(NCCCO)c1cccc(/C=C/c2ccco2)c1O,-0.11122563481330872
guided,COCCCNC(=S)N/N=C/c1cccn1Cc1ccccc1F,-0.14310084283351898
guided,COC(=O)c1nc(NC(=O)c2ccc(OC)c(OC)c2)n[nH]1,-0.05715841427445412
guided,COc1cc(C(=S)N(Cc2ccccc2)Cc2nc3ccccc3[nH]2)ccc1OCC(N)=O,-0.43213334679603577
guided,Brc1ccc2nc(CCc3cc(-c4ccco4)n[nH]3)cn2c1,-0.12136085331439972
guided,Brc1ccc(-c2nc3ccccc3s2)cc1,-0.4700036346912384
guided,CCOC(=O)N/N=C/c1cn(-c2ccccc2)nc1-c1ccc(OC)cc1,-0.18658596277236938
guided,COc1cc2c(C)cc(=O)oc2cc1OC(=O)c1cc(OC)c(OC)c(OC)c1,-0.17824822664260864
guided,COc1ccc(C(=O)C2CCN(S(=O)(=O)c3c(C)noc3C)CC2)c2ccccc12,-0.07696104049682617
guided,CCOC(=O)[C@@H]1CCCN(C(=O)CNC(=O)c2cccs2)C1,-0.02409755066037178
guided,Cc1nn(-c2ccccc2O)c2c1[C@@H](c1ccc(Cl)cc1)n1nnnc1N2,-0.3462762236595154
guided,NN[C-]([O-])[C+]1N[CH+][C-](Br)[C+]1N1[CH-][C][C+](C2CCCCC2)[N-]1,-0.14107859134674072
guided,O=C(c1ccccc1)c1ccc(C(=O)c2ccc(NC(=O)[C@@H]3CCCCN3)cc2)cc1,-0.20067068934440613
guided,COC(=O)NC1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,-0.17693071067333221
guided,Clc1cccc(Cl)c1COc1ccc(-n2cncn2)nc1,-0.2151113748550415
guided,O=C1SCC[C@H]1NS(=O)(=O)c1ccccc1,-0.40546509623527527
guided,COc1cccc2[nH]c(C(=O)NC[C@H]3CCCO3)cc12,-0.0540672205388546
guided,O=C(/C=C/Nc1cccc(Br)c1)c1ccccn1,-0.32277339696884155
guided,C[C@H]1CN(C(=O)C(C)(C)C)c2ccccc2O1,-0.11778303235769272
guided,[H]/[C-]=C/[N+]#CNC(=O)C/[S+]=c1\[cH-]n(CC(=O)NCCCCOC)c2ccccc12,-0.14458122849464417
guided,COC(=O)c1ccccc1CSc1nccn1C,-0.16989903151988983
guided,O=C(CSc1ncnc2ccccc12)Nc1ccnc2ccccc12,-0.13720111548900604
guided,CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2nc3c(s2)C(=O)CC(C)(C)C3)cc1,-0.13883644342422485
guided,O=C(Nc1cccc(Cl)c1)Nc1cccc2nsnc12,-0.10919929295778275
guided,CCOc1ccc(CN(C)C(=O)[c-]2cc3cc4ccccc4nc3cc2=O)cc1.[H+],-0.17062552273273468
guided,COc1cccc(CN2CCC(n3nccc3NC(=O)C3CCCC3)CC2)c1,-0.07145896553993225
guided,CCNC(=S)N/N=C/c1ccco1,-0.08701137453317642
guided,[CH2-]CCC(CO[c-]1[cH+][cH-][cH+][cH-][cH+]1)CN(C[c+]1[cH-][cH+][cH-][cH+][cH-]1)[C+]([O-])C1CCCC1,-0.1625189334154129
guided,COc1cc2nccc(Oc3cccc(Cl)c3C#N)c2cc1OC,-0.11441034823656082
guided,NC(=S)NNc1ccc(Cl)cc1,-0.28768208622932434
guided,O=S(=O)(NC[C@H](O)COc1c(F)cccc1F)c1ccccc1,-0.23638877272605896
guided,[O-][S+2]([O-])([CH+]Br)N[C-]([S-])NCC[c+]1[cH-][cH+][cH-][cH+][cH-]1,-0.4228568375110626
guided,CCCC(Nc1ccccc1)=C1C(=O)CC(c2ccco2)CC1=O,-0.1957445740699768
guided,CC(C)c1csc(CN(Cc2ccccc2)Cc2nc3ccccc3c(=O)[nH]2)n1,-0.09909090399742126
guided,COC[CH-]Cn1[c+](N)[cH-][c+]([O-])[nH][c+]1[O-],-0.12260232120752335
guided,CCn1nc(C(=O)Nc2ccc3oc(=O)ccc3c2)c2ccccc2c1=O,-0.21130909025669098
guided,CCO[C-]([O-])[C][C+](C)N[C+]([O-])[C+]1[CH+][CH-][CH+][c-]2[cH+][cH-][cH+][cH-][c+]21,-0.17693071067333221
guided,Cc1c(N(CC(=O)OCC2CCCCC2)S(=O)(=O)c2cccc(F)c2)c(=O)n(-c2ccccc2)n1C,-0.16430304944515228
guided,CC(=O)Nc1ccc(-n2[c-]n/c(=[S+]\C(C)C)n2Cc2ccccc2)cc1,-0.20763936638832092
guided,CN(CCOCCOc1ccccc1Cl)Cc1ccco1,-0.05001042038202286
guided,[CH2+]S[C-]([N-]C1CCCCC1)N[c+]1[cH-][cH+][cH-][cH+][c-]1Cl,-0.18232156336307526
guided,[CH][c-]1[cH+][c-](OC)[c+](OC)[cH-][c+]1[C-]([O-])N[C+]1[CH+][CH-][CH+][CH-][C+]1SC[C-]1[CH+]C[CH-][CH+][CH-]1,-0.3566749393939972
guided,COCCS/C=C(O)\C=N\Nc1ccccc1,-0.09531018137931824
guided,[O][C]([C+]1[C][C][C](CO[C]2[CH][CH][CH][CH][C]2F)[CH][CH]1)N1CCN([C]2[N][CH][CH][CH][C]2N([O-])[O-])CC1,-0.19415602087974548
guided,COc1ccccc1/C=C\C=N\NC(N)=O,-0.14842000603675842
guided,Nc1ccc([N+](=O)[O-])cc1/C=N\c1ccc2nn(-c3ccc(S(N)(=O)=O)cc3)nc2c1,-0.33213382959365845
guided,O=C(N/N=C/c1ccccc1OC/C=C/c1ccccc1)c1cc(=O)c2ccccc2[nH]1,-0.20909179747104645
guided,CSCC[C@H](NC(=O)[C@@H]1c2ccccc2OCC1(C)C)C(=O)NC1CCCCC1,-0.01600034162402153
guided,CCOc1ccc2occ([C@@H](O)[C@H](O)Cn3nc(C)cc3C)c2c1,-0.0444517619907856
guided,CC(=O)O[C@@H](C)Oc1ccc2c(Cl)c3c(nc2c1)CCC3,-0.11441034823656082
guided,O=C(c1cccc2ccccc12)N1CCN(Cc2cccs2)CC1,-0.1206279844045639
guided,CCCCCO[C]1[CH][CH][C]([C+]2[N]N[C]3[CH][CH][CH][CH][C]32)[CH][C]1N([O-])[O-],-0.12361395359039307
guided,CCC(C)(C)n1nnnc1[C@H](c1ccccn1)N1CCOCC1,-0.08894748240709305
guided,CCn1nc(-c2ccc(OC)c(OC)c2)c2ccccc2c1=O,-0.15822400152683258
guided,[CH2+]CC[C@@H](C[CH-]C)NC(=S)NC1CCCCC1,-0.09763847291469574
guided,NS(=O)(=O)c1ccc2c(c1)[N@+]1([O-])O[O+]1/C(O)=C1\[CH-]C=CC=C1/C=N/N2,-0.3920421004295349
guided,C[C@@H]1C[C@H](CCC(=O)Nc2nccs2)C(=O)O1,-0.03278982266783714
guided,O=C1CCCN1c1cccc(P(=O)(Oc2ccccc2)Oc2ccccc2)c1,-0.18232156336307526
guided,CCc1cc(O)c(C(=O)OCC(=O)c2ccc(C)cc2)c(O)c1O,-0.15415067970752716
guided,COc1ccc(N/C(N)=N\c2nc(CSc3ccc(C)cc3)cc(=O)[nH]2)cc1Cl,-0.2282586544752121
guided,CC1C[C][C+]([C-]([O-])[CH+][CH+][C-]([O-])O)CC1,-0.07696104049682617
guided,CCOc1cc(/C=N/NC(=O)[C@H]2CC(=O)N(c3ccc(C)cc3)C2)ccc1OC,-0.11778303235769272
guided,CN(C)CC[P@@](=O)(Cc1ccccc1)c1ccccc1,-0.21130909025669098
guided,COc1ccc([C@H](C(=O)NC2CCCCC2)N(C(=O)CSc2nnc(C)s2)c2ccc(C)cc2)cc1,-0.0923733189702034
guided,O=C(NCCSCc1ccccc1Cl)c1ccco1,-0.16430304944515228
guided,O=P(O)(O)CC[C@H](O)[C@@H](O)C(O)(CO)CO,0.0
guided,CC(=O)COC(=O)[C@H]1CCCN1C(=O)CNC(=O)Cc1ccccc1,-0.08894748240709305
guided,O=c1c2cc(Br)ccc2nc(SCCc2ccccc2)n1Cc1ccco1,-0.17327171564102173
