source,smiles,log_reward
guided,CC(CO[C]1[CH][CH][C](O[C]2[CH][CH][CH][CH][CH]2)[CH][CH]1)[O+][N+]1[C][C]([C]([O-])O)[CH][CH]1,-0.95691978931427
guided,O=C(N[C@@H](O)C(=O)c1ccco1)c1ccco1,-0.7739772200584412
guided,O[C@@H]1[C@H](O)[C@@H](O)OC[C@@H]1O,-1.2228922843933105
guided,O=C(c1cc2sccc2n1Cc1ccccc1)N1CCN(c2nc3ccccc3s2)CC1,-4.620988368988037
guided,[O-]N([O-])[C]1[C](N[C+]2[CH][CH][CH][CH][CH]2)[N][N][CH][C]1OCCOCCO,-0.7769927382469177
guided,[H+].[N][C][C]1[C]2CCCC[C]2[S+][C]1[N+]1[CH][CH][C]([C]([O-])[C]2[C][C]([N+]([O-])[O-])[CH][CH][CH]2)[CH][CH]1,-0.7434537410736084
guided,COc1ccc(-c2nonc2NC(=O)c2ccccc2C(=O)O)cc1,-0.6671599745750427
guided,CCCC(=O)N[C@@H](C(=O)OCC)c1cccc(OC)c1,-1.7003052234649658
guided,CNCC(=O)C1CCN(Cc2ccccc2O)CC1,-2.8566293716430664
guided,CC(=O)c1c[nH]c(C(=O)N2CCN(Cc3ccc(F)cc3)CC2)c1,-2.3431525230407715
guided,Cc1ccccc1C(=O)N/N=C1\SCC(=O)N1Cc1cccc(OCCO)c1,-0.5263571739196777
guided,[O-]C(=C=CC=C=C=Cc1ccccc1)c1[n+]#cn(CCc2ccccc2)c1NCc1ccccc1Cl,-2.937000036239624
guided,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCCCCC1,-3.6289281845092773
guided,O=c1cc(-c2ccccc2Cl)oc2c(NS(=O)(=O)c3cccs3)ccc(O)c12,-0.7647576928138733
guided,CC1=C[C+](C)C23[C-]4C1[C-]=[N+]=C=N[CH-]/C(C)=C1\[C@]42[N@+]13c1cccc(O)c1,-3.7020320892333984
guided,FC(F)OC(F)(F)[C@@H](F)Cl,-12.869475364685059
guided,OCC1(Cc2ccc(O)cc2)CCN(Cc2ccc(Cl)c3ccccc23)CC1,-4.022065162658691
guided,CCCCN1[N-][C+]([C+]([O-])[N-][C+]2S[C+](N)[N-][C+]2[c+]2[cH-][cH+][cH-][cH+][cH-]2)[c-]2[cH+][cH-][cH+][cH-][c+]2[C-]1[O-],-0.5426889061927795
guided,CC[C@H](O)CC(=O)OCC(=O)Nc1ccc(F)cc1,-0.994456946849823
guided,Cc1ccc(-c2ncnc3c2oc2ccccc23)c(O)c1,-2.241997480392456
guided,N/N=N\c1nc2ccccc2[nH]1,-1.1858041286468506
guided,COc1cccc(CN(Cc2cccnc2)C(=O)Nc2ccc(N(C)C)cc2)c1,-2.2918589115142822
guided,Clc1cccc(N2CCN(c3ccccc3)CC2)c1,-12.149479866027832
guided,CCC(=O)Nc1cc(C(=O)OCC(=O)c2ccc(C)c(C)c2)ccc1OC,-0.7301335334777832
guided,O=c1[nH]c(CSc2ccc(C(F)(F)F)cc2S(=O)(=O)F)nc2ccccc12,-0.8739627599716187
guided,C[P+]([O-])(N[c-]1[cH+][cH-][c+](Cl)[cH+][n-]1)O[C-]1[CH+][CH-][CH+][C-]2[CH+]S[CH-]N21,-1.950057029724121
guided,CCN(CC)C(=O)CCN1C(=O)/C(=C/c2c(F)cccc2Cl)SC1=S,-4.682740211486816
guided,CCN(Cc1ccccc1)C1CCN(CCCc2ccccc2)CC1,-12.004705429077148
guided,CO/N=C/c1cc(OC)c(OC)cc1[N+](=O)[O-],-0.8862411379814148
guided,COCCl,-5.0
guided,CCCOC(=O)c1ccc(NC(=O)c2cnccc2C(F)(F)F)cc1,-1.3683432340621948
guided,COc1ccc(C(=O)OCC(=O)N2CCCC2)cc1OC1CCCC1,-1.5051441192626953
guided,CCOC(=O)NC(=O)CSc1n[nH]c(=O)n1CCc1ccccc1,-0.7407680749893188
guided,[H]/N=C1C(=C(\C#N)c2cc(OC)c(OC)c(OC)c2)/C(=O)N=C2SC(C(C)C)=NN2/1,-0.9111536741256714
guided,CCCOc1cccc(CNCCc2ccccn2)c1,-5.801092624664307
guided,CN1C(=O)/C(=N\NC(=O)c2ccco2)c2ccccc21,-1.089490532875061
guided,O=C(/C=C\C(=O)c1cccs1)O[C@H]1OC(=O)C(Cl)=C1N1CCOCC1,-0.7191815972328186
guided,O=[N+]([O-])c1ccc(NNS(=O)(=O)c2cccc3cccnc23)nc1,-0.70889812707901
guided,CCCn1c(N)c(C(=O)NCCN2CCOCC2)c2nc3cccc(C)c3nc21,-0.5623658299446106
guided,Clc1ccc2nc(CSc3ncn[nH]3)cn2c1,-2.4833641052246094
guided,CC(=O)C(=S)/C(C)=C(\[C-]=[NH+]/C(=O)Nc1ccc(C)cn1)C(N)=O,-0.8560071587562561
guided,[O-][C+](CCn1[c+]([O-])[c+]([CH+][c-]2[cH+][c-]3[cH+][cH-][c+](O)[cH-][c+]3[n-][c+]2[O-])s[c-]1[S-])N1CCCCCC1,-0.44055503606796265
guided,COc1ccc(C(=O)N2CCN(C)[C@H](C)C2)cc1OC1CCN(C(C)=O)CC1,-1.7978875637054443
guided,O=C(NNC1=NCCC1)c1ccc(CC(F)(F)F)s1,-3.056880474090576
guided,O=C(NCC(=O)N1CCCCC1)C(=O)NC[C@@H]1CCCO1,-0.7137197256088257
guided,NC=O,-5.0
guided,O=S(=O)(Cc1ccccc1)N1CCC(N2CCOCC2)CC1,-3.190329074859619
guided,CN[C@H](C)C(=O)N[C@H](C(=O)N(C)CC(F)(F)F)C(=O)N1CCN(c2ccc(F)cc2)CC1,-0.6640183329582214
guided,O=C(COC(=O)Cc1csc(-c2ccccc2)n1)NC1CCN(Cc2ccccc2)CC1,-0.9573251605033875
guided,Cl[C+]1[C][C+](C[c-]2[cH+][cH-][cH+][cH-][cH+]2)[C+]([C+]2[N-][N-][C-]([c+]3[cH-][cH+][cH-][cH+][c-]3Cl)O2)[CH+][CH-]1,-5.809182167053223
guided,S=C(NCc1ccccn1)Nc1ccccc1,-5.424144744873047
guided,COc1ccccc1-c1cc(C(=O)Nc2cccc3cccnc23)c2ccccc2n1,-2.2552194595336914
guided,Cc1cc(C(F)(F)F)n(C2=N/C(=C\c3ccco3)C(=O)N2)n1,-1.425274133682251
guided,O=C(O)/C=C/C(=O)N(Cc1cccc(F)c1)C[C@@H]1CC=CCC1,-2.1874301433563232
