source,smiles,log_reward
guided,CN(Cc1cccnc1)Cc1cn(Cc2ccc(C(=O)O)o2)c(=O)[nH]c1=O,-0.5853341221809387
guided,[CH2-][c+]1[n-][cH+][c-]([CH+][N-]O)[c+]2[c-]1o[c+]([O-])[c+]1[cH-][cH+][cH-][cH+][c-]12,-0.6752973794937134
guided,[F-],-5.0
guided,NN(c1ccccc1)c1ccccn1,-4.471359729766846
guided,CCn1c(SCC(=O)Nc2ccccc2)nc2ccccc2c1=O,-1.7395442724227905
guided,Cc1ccccc1NC(=O)C[C@@H]1SC(NC(N)=O)=NC1=O,-0.7719434499740601
guided,[OH-],-5.0
guided,COCCCNc1nc(-c2ccccc2OC)nc2ccccc12,-2.4244627952575684
guided,NNCc1ccccc1,-5.513197422027588
guided,C[C-](C)C[CH+]C[C-](O)C[C+]([O-])O,-2.0901694297790527
guided,[O-][C+](N[N-][CH+][c-]1[cH+][c-](N([O-])[O-])[cH+][cH-][c+]1O)[C+]1N[N-][CH+]C1Cl,-0.6987495422363281
guided,C/N=N\C(=O)c1c(N)sc2c1CCCC2,-1.7277586460113525
guided,O=C(NCCCO)c1cccc(/C=C/c2ccco2)c1O,-0.5328924059867859
guided,COCCCNc1ncnc2c1oc1ccccc12,-2.108093023300171
guided,COC(=O)c1nc(NC(=O)c2ccc(OC)c(OC)c2)n[nH]1,-0.8742360472679138
guided,COc1cc(C(=S)N(Cc2ccccc2)Cc2nc3ccccc3[nH]2)ccc1OCC(N)=O,-0.559110701084137
guided,CN(/N=C/c1ccccc1Cl)C1=NS(=O)(=O)c2ccccc21,-2.016469955444336
guided,[Br-],-5.0
guided,CCOC(=O)N/N=C/c1cn(-c2ccccc2)nc1-c1ccc(OC)cc1,-0.8223297595977783
guided,COc1cc2c(C)cc(=O)oc2cc1OC(=O)c1cc(OC)c(OC)c(OC)c1,-0.7470123171806335
guided,COc1ccc(C(=O)C2CCN(S(=O)(=O)c3c(C)noc3C)CC2)c2ccccc12,-0.4670692980289459
guided,CCOC(=O)[C@@H]1CCCN(C(=O)CNC(=O)c2cccs2)C1,-0.9284145832061768
guided,Cc1nn(-c2ccccc2O)c2c1[C@@H](c1ccc(Cl)cc1)n1nnnc1N2,-0.7235575914382935
guided,NN[C-]([O-])[C+]1N[CH+][C-](Br)[C+]1N1[CH-][C][C+](C2CCCCC2)[N-]1,-0.7994330525398254
guided,[CH2+]C[CH+]C[C+]([O-])[N-][C+]1[C][C][C][C][C+]1[C+]([O-])N[c-]1[cH+][cH-][c+]([C-]([O-])[C+]2[CH+][CH-][C+]([C-]([O-])O)[C-]([C+]([O-])O)[CH+]2)[cH-][cH+]1,-0.4422304034233093
guided,COC(=O)NC1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,-2.803809642791748
guided,Clc1cccc(Cl)c1COc1ccc(-n2cncn2)nc1,-3.037179470062256
guided,O=C1SCC[C@H]1NS(=O)(=O)c1ccccc1,-1.957595944404602
guided,COc1cccc2[nH]c(C(=O)NC[C@H]3CCCO3)cc12,-1.7597405910491943
guided,O=C(/C=C/Nc1cccc(Br)c1)c1ccccn1,-4.497189521789551
