source,smiles,log_reward
guided,CN(Cc1cccnc1)Cc1cn(Cc2ccc(C(=O)O)o2)c(=O)[nH]c1=O,-0.5853341221809387
guided,Cc1nccc2[nH]c(=O)c(=O)oc12,-1.2871270179748535
guided,[F-],-5.0
guided,NS(=O)(=O)c1c(C(=O)O)ccc2ccccc12,-0.6649782657623291
guided,CCn1c(SCC(=O)Nc2ccccc2)nc2ccccc2c1=O,-1.7395442724227905
guided,Cc1ccccc1NC(=O)C[C@@H]1SC(NC(N)=O)=NC1=O,-0.7719434499740601
guided,[OH-],-5.0
guided,NS(=O)(=O)OC[C@H]1CC[C@@H](c2ccc(Br)s2)CC1,-1.4583094120025635
guided,NNCc1ccccc1,-5.513197422027588
guided,C[C-](C)C[CH+]C[C-](O)C[C+]([O-])O,-2.0901694297790527
guided,[O-][C+](N[N-][CH+][c-]1[cH+][c-](N([O-])[O-])[cH+][cH-][c+]1O)[C+]1N[N-][CH+]C1Cl,-0.6987495422363281
guided,C/N=N\C(=O)c1c(N)sc2c1CCCC2,-1.7277586460113525
guided,O=C(NCCCO)c1cccc(/C=C/c2ccco2)c1O,-0.5328924059867859
guided,COCCCNc1ncnc2c1oc1ccccc12,-2.108093023300171
guided,COC(=O)C1=NC(=[N-])N=[NH+]1,-1.408117651939392
guided,COc1cc(C(=S)N(Cc2ccccc2)Cc2nc3ccccc3[nH]2)ccc1OCC(N)=O,-0.559110701084137
guided,Brc1cccc(OCc2cn3cc(Br)ccc3n2)c1,-7.424800872802734
guided,Brc1ccc(-c2nc3ccccc3s2)cc1,-10.646193504333496
guided,CCO[N-][CH+][c-]1[c+](C)[n-]n(-[c+]2[cH-][cH+][cH-][c+]3[cH-][cH+][cH-][cH+][c-]23)[c+]1[O-],-1.577317476272583
guided,COc1cc2c(C)cc(=O)oc2cc1OC(=O)c1cc(OC)c(OC)c(OC)c1,-0.7470123171806335
guided,COc1ccc(C(=O)C2CCN(S(=O)(=O)c3c(C)noc3C)CC2)c2ccccc12,-0.4670692980289459
guided,CCOC(=O)[C@@H]1CCCN(C(=O)CNC(=O)c2cccs2)C1,-0.9284145832061768
guided,Cc1nn(-c2ccccc2O)c2c1[C@@H](c1ccc(Cl)cc1)n1nnnc1N2,-0.7235575914382935
guided,NN[C-]([O-])[C+]1N[CH+][C-](Br)[C+]1N1[CH-][C][C+](C2CCCCC2)[N-]1,-0.7994330525398254
