source,smiles,log_reward
guided,CCC(=O)N1N=C(c2ccc(C(=O)NCCc3ccccc3)cc2)C[C@H]1c1ccco1,-2.3204572200775146
guided,COC(=O)N1/C(=C\C=C\c2ccccc2)C=C[C@]1(C)C(=O)NCc1ccccn1,-2.2538769245147705
guided,CN[C@@H]1CNC[C@H](NCc2ccc(OC(F)(F)F)cc2)[C@H]1C[CH-][C@@H](C)/C=C(C)/C=C/CC(C)(C)C.[CH2+]C,-2.497126817703247
guided,O=S(=O)(c1cccs1)N1CCC(O)(c2cccc(C(F)(F)F)c2)CC1,-3.172083616256714
guided,CC(C)(C)c1ccc(S(=O)(=O)NCC(=O)N2CCCC2)cc1,-2.3754727840423584
guided,O=C(/C=N/Nc1nc2ccccc2[nH]1)Cc1ccc2c(c1)OCO2,-1.7814180850982666
guided,Nn1c(SCC(=O)N2CCc3ccccc3C2)nnc1-c1cccs1,-1.6014856100082397
guided,NS(=O)(=O)c1ccc(/C=C2\NN(c3ccccc3Cl)C(=O)C2=O)cc1,-2.1057322025299072
guided,O=C(O)c1cccc(NC2(C(F)(F)F)Oc3ccccc3O2)c1,-3.0888755321502686
guided,Cc1cc(C)cc(OCC(=O)Nc2cccc3ccccc23)c1,-3.0888755321502686
guided,COc1cc(CCC(=O)NNC(=O)c2ccc(C)o2)cc(OC)c1OC,-2.54217791557312
guided,NS(=O)(=O)c1ccc(CCNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,-1.970301628112793
guided,Nc1c(C(=O)NCc2ccccc2)c2nc3ccccc3nc2n1CCc1ccccc1,-1.8479089736938477
guided,CO[C]1[CH][C][C]([CH][C]([OH+])[CH][N]N[C]2[CH][CH][CH][CH][C]2[N+]([O])[O-])[CH][CH]1,-2.022524118423462
guided,NS(=O)(=O)c1cc(C(=O)/N=c2\[nH]cc([N+](=O)[O-])s2)ccc1Cl,-1.6945956945419312
guided,COC(=O)C(C)(C)ONC(=O)Nc1ccccc1[N+](=O)[O-],-1.931758999824524
guided,N#Cc1ccccc1CO/N=C(\N)c1ccccn1,-1.548350214958191
guided,COc1cc(/C=N/N(C)C)cc(Br)c1OCC(=O)O,-2.229227304458618
