source,smiles,log_reward
guided,CN(C)CCOCCOc1ccc(Cl)cc1Br,-2.7873599529266357
guided,Cc1ncc(/C=N/O)c2c1oc(=O)c1ccccc12,-2.229227304458618
guided,CCN1C(=O)N[C@@H](c2cc(Cl)ccc2OC)C1=O,-2.1753058433532715
guided,NN(c1ccccc1)c1ccccn1,-1.5274808406829834
guided,CCn1c(SCC(=O)Nc2ccccc2)nc2ccccc2c1=O,-2.064993381500244
guided,Nc1nncn1C(=O)CSc1cccc(Cl)c1,-1.4374333620071411
guided,[CH3+].[O-][CH-][C+]1[C+]([C+]([O-])O)[N-][C+]([C][C]CO)N1C1CCCCC1,-2.3290607929229736
guided,NS(=O)(=O)OC[C@H]1CC[C@@H](c2ccc(Br)s2)CC1,-2.844355583190918
guided,NNCc1ccccc1,-1.4849249124526978
guided,C[C-](C)C[CH+]C[C-](O)C[C+]([O-])O,-5.48479700088501
guided,[N-2][C][N-][C+]1[N-]CN(C[c+]2[cH+][cH+][c+](S[c-]3[cH+][cH-][cH+][cH-][cH+]3)[cH-][cH+]2)CN1,-1.5182775259017944
guided,CNNC(=O)c1c(N)sc2c1CCCC2,-1.5962363481521606
guided,NCN(CCS[C-]1[N-][N-][CH+]N1[C+]1[CH+][CH-][CH+][CH-][C+]1C[CH-]N([O-])[O-])C[C+]1[CH+][CH+][CH-][CH+][CH-]1,-1.568960189819336
guided,COCCCNc1ncnc2c1Nc1ccccc1C2,-1.5995122194290161
guided,N#CN(c1ccc(/C=N/CCN2CCOCC2)cc1)c1ccc([N+](=O)[O-])cc1,-1.7146004438400269
guided,COc1cccc(OC(=O)N2CCOCC2)c1,-2.7873599529266357
guided,CN(C1=NS(=O)(=O)c2ccccc21)N1[C@@H]2C[C@H]3[C@H](CCCN3C(=O)C3=COCCO3)C[C@@H]21,-2.068580389022827
guided,NS(=O)(=O)c1cccc(CNC(=O)CCc2nc3ccccc3s2)c1,-2.1057322025299072
guided,CCOC(=O)N/N=C/c1cn(-c2ccccc2)nc1-c1ccc(OC)cc1,-1.898970127105713
guided,[O-][C+](CS[C+]1[N-][N-][C-]2CC[c+]3[cH-][nH][c+]4[cH-][cH+][c-]([cH+][c-]34)[S+2]([O-])([O-])N[CH+]CN12)N1CC[c-]2[cH+][cH-][cH+][cH-][c+]21,-1.756717324256897
guided,COc1ccc(/N=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc12,-2.5030341148376465
guided,CCOC(=O)[C@@H]1CCCN(C(=O)CNC(=O)c2cccs2)C1,-2.3754727840423584
guided,Cc1nn(-c2ccccc2O)c2c1[C@@H](c1ccc(Cl)cc1)n1nnnc1N2,-1.344659447669983
guided,NNC(=O)c1cc(-c2ccccc2Cl)no1,-1.660567283630371
guided,O=C(CN[C+]1=CC(F)=CC=C1)/[NH+]=[N+]1[C]/C=C\C=[C-]\C=C/[C-]=C/c2ccccc2/[C-]=C/1,-2.2877211570739746
guided,COC(=O)NC1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,-1.9781709909439087
guided,Clc1cccc(Cl)c1COc1ccc(-n2cncn2)nc1,-1.6481837034225464
guided,O=C(NCCCn1ccnc1)C1CC1,-1.5274808406829834
guided,COc1cccc2[nH]c(C(=O)NC[C@H]3CCCO3)cc12,-2.2803893089294434
guided,O=C(/C=C/Nc1cccc(Br)c1)c1ccccn1,-2.1753058433532715
guided,C[C@H]1CN(C(=O)C(C)(C)C)c2ccccc2O1,-2.7873599529266357
guided,[H]/[C-]=C/[N+]#CNC(=O)C/[S+]=c1\[cH-]n(CC(=O)NCCCCOC)c2ccccc12,-1.9352717399597168
guided,COC(=O)c1ccccc1CSc1nccn1C,-2.1753058433532715
guided,O=C(CSc1ncnc2ccccc12)Nc1ccnc2ccccc12,-1.8221569061279297
guided,NC(=S)/N=N\c1cn(CCCl)c2ccc(Br)cc12,-1.4944287538528442
guided,NS(=O)(=O)c1cc([N+](=O)[O-])ccc1NCc1ccco1,-1.8830875158309937
guided,Nc1nc(NCc2ccc(S(N)(=O)=O)cc2)c(-c2ccccc2)c(-c2ccccc2)n1,-1.8162105083465576
guided,COc1cccc(CN2CCC(n3nccc3NC(=O)C3CCCC3)CC2)c1,-1.9352717399597168
guided,CCNC(=S)N/N=C/c1ccco1,-1.4536465406417847
guided,NC(=O)c1oc2ccccc2c1NC(=O)CNc1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1,-2.3828799724578857
guided,Cc1c(N)ccc(S(=O)(=O)N2CCOCC2)c1Cl,-2.1753058433532715
guided,Nc1ccc2nc(NC(=O)CSc3nc(N)nc(Nc4ccccc4)n3)sc2c1,-1.28334641456604
guided,O=S(=O)(NC[C@H](O)COc1c(F)cccc1F)c1ccc(-n2cnnn2)cc1,-1.7146004438400269
guided,NS(=O)(=O)c1cccc(N2C(=O)CSc3cc(Cl)c(Cl)cc32)c1,-2.419826030731201
guided,Nc1nc(CNS(=O)(=O)c2ccc(-c3ccccc3)cc2)cs1,-2.022524118423462
guided,CC(C)c1csc(CN(Cc2ccccc2)Cc2nc3ccccc3c(=O)[nH]2)n1,-1.970301628112793
guided,COCCCn1c(N)c(N(CC(C)C)C(=O)C2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)c(=O)[nH]c1=O,-1.99288010597229
guided,CCn1nc(C(=O)Nc2ccc3oc(=O)ccc3c2)c2ccccc2c1=O,-2.1825454235076904
guided,CCCS([O])([O])C([C][N][O+]C)[C]1[N][CH][CH][C]2[CH][CH][CH][CH][C]21,-2.3290607929229736
guided,Cn1c(SCc2nc3ccccc3s2)nnc1C(C)(C)C,-1.6481837034225464
guided,[CH2-]N(N)S(=O)(=O)CC(=O)N=C1CC1.[H+],-1.4536465406417847
guided,CN(CCOCCOc1ccccc1Cl)Cc1ccco1,-2.998110294342041
guided,COCCCNC(=O)c1csc(-c2cccs2)n1,-2.1753058433532715
guided,COCCS/C=C(O)\C=N\Nc1ccccc1,-2.1183104515075684
guided,[O][C]([C+]1[C][C][C](CO[C]2[CH][CH][CH][CH][C]2F)[CH][CH]1)N1CCN([C]2[N][CH][CH][CH][C]2N([O-])[O-])CC1,-2.068580389022827
guided,COc1ccccc1/C=C\C=N\NC(N)=O,-1.660567283630371
guided,Nc1ccc([N+](=O)[O-])cc1/C=N\c1ccc2nn(-c3ccc(S(N)(=O)=O)cc3)nc2c1,-1.4825712442398071
guided,O=C(CCCSc1ncc([N+](=O)[O-])s1)n1cc(Cl)cn1,-1.5995122194290161
guided,CSC[C@H](NC(N)=O)C(=O)Nc1cccc(C(F)(F)F)c1,-1.931758999824524
guided,CCn1c(CN2CCN(c3ccccc3)CC2)nc2c1c(=O)[nH]c(=O)n2C,-1.4976286888122559
guided,CC(=O)O[C@H](C)C(=O)NS(=O)(=O)c1ccc(N)cc1,-2.229227304458618
guided,O=C(c1cccc2ccccc12)N1CCN(Cc2cccs2)CC1,-2.4622952938079834
guided,NC1=CC(=O)N[C-]2N=C(N)n3c(N)cc(=O)[nH+]c3N12,-0.861395001411438
guided,N[P@](=O)(OCC(F)(F)F)Oc1ccccc1,-2.7269186973571777
guided,NCCN,-0.6808770895004272
guided,[CH2+]CC[C@@H](C[CH-]C)NC(=S)NC1CCCCC1,-2.1183104515075684
guided,NOCCNc1cc(CSCc2cccc(F)c2)nc(CCCO)n1,-1.8221569061279297
guided,C[C@@H]1C[C@H](CCC(=O)Nc2nccs2)C(=O)O1,-2.1183104515075684
guided,N[P@](=O)(OCCCCc1ccccc1)Oc1ccc(Cl)cc1,-3.044522523880005
guided,NNC(=O)c1sc(NCc2ccc(Cl)cc2)nc1-c1cccs1,-1.738948941230774
guided,N#CN1C(NCCN2CCOCC2)=N[C@]23C=CN=CC2[N@@+]32[CH-]C=CN12,-1.1352016925811768
guided,NCCC[C@H](N)CC(=O)NCCNC(=O)OCCCC1(C2=NC(=O)OC2)CCCC1,-1.7834744453430176
guided,CCCc1n[nH]c(C)c1-c1cc(OC)c(OC)c(OC)c1,-2.3290607929229736
guided,CNC(=S)N(C)CCOCCOCCOCCN(C)Cc1ccccc1,-2.14487624168396
guided,CN(C)CC(=O)N1CCN(C(=O)c2ccccc2)CC1,-1.8830875158309937
guided,COc1ccc([C@H](C(=O)NC2CCCCC2)N(C(=O)CSc2nnc(C)s2)c2ccc(C)cc2)cc1,-2.186189889907837
guided,Cc1cc2[nH]c(SCC(=O)N3CCCCC3)nc(=O)c2cn1,-1.6945956945419312
guided,O=C(NCCSCc1ccccc1Cl)c1ccco1,-2.8982770442962646
guided,NNC(=O)c1ccnc(N2CCOCC2)c1,-1.3769919872283936
guided,CC(=O)COC(=O)CNC(=O)CNC(=O)Cn1ccc2ccccc2c1=O,-2.1825454235076904
guided,Nc1ncc2[nH]cnc2n1,-0.688184380531311
guided,Nc1n[nH]c(=S)n1/N=C\c1ccccc1O,-1.156320571899414
guided,CO[c-]1[cH+][cH-][cH+][cH-][c+]1OC[c+]1[n-][n-][c+](C)n1[C-](C)SC[C+](N)[O-],-1.738948941230774
guided,Cn1c(=O)c2c(nc(N3CCN(c4ccc(F)cc4)CC3)n2-c2ccccc2)n(C)c1=O,-1.6672389507293701
guided,CON1C(=O)C(=O)N(OC)[C@H]2CCCC[C@H]21,-2.0578689575195312
guided,COC(=O)[C@]1(OC)CCC(=O)N1c1ccc(C(=O)Nc2nccs2)cc1OC,-2.2188470363616943
guided,CC(C)c1nc(S[C@@H](C)C(=O)NC2CCCCC2)n[nH]1,-1.5995122194290161
guided,Nc1cccc(C/[S+]=c2\nc3c(c([O-])n2CCc2ccc4c(c2)OCO4)CCCC3)c1,-2.3204572200775146
guided,O=[N+]([O-])c1ccc(N2CCOCC2)cc1NC(=S)Nc1ccccc1,-1.8221569061279297
guided,COc1cccc([C@H](C(=O)NC2CCCCC2)N(CCC(=O)O)C(=O)Cn2nnc3ccccc32)c1OC,-2.019512891769409
guided,COc1cc2c(cc1OC)[C@H](C)N(C(=O)Cn1nnc(-c3cccs3)n1)CC2,-1.7146004438400269
guided,[O-][C+]1[C-]([O-])CC[c+]2[cH-][c+]3[c-]([cH+][c-]21)C[C+]([C][N-][S+2]([O-])([O-])[C+]1[CH+][CH-][CH+][CH-][C+]1OCCO)[CH+]3,-3.3540725708007812
guided,Nn1c(=O)c2ccccc2n2c(SCC(=O)OCc3ccccc3)nnc12,-1.6782987117767334
guided,COc1ccccc1N1CCN(CCCOc2ccccc2)CC1,-2.4622952938079834
guided,C/C=C(\C)NC(=O)[C@@H](c1ccc(Cl)cc1)N1CCN(c2ccccc2)CC1,-2.1825454235076904
guided,CCn1c(SC/C=C/c2ccc(C)cc2)nnc1-c1cnccn1,-1.5607467889785767
guided,N#CCC(=O)NC[C@H](c1cccs1)N1CCOCC1,-1.8319255113601685
guided,CN([C][O-])C1CCCCC1.[CH][N+][C]1[C][N][N][N+]1[C]1[CH][CH][CH][CH][CH]1,-1.5182775259017944
guided,[N][C][C][C](O)[NH+][C]([O])N[C]1[CH][CH][C](Cl)[CH][C]1Cl,-1.7210086584091187
guided,NC(=S)NNC1=CCCC1,-1.192431092262268
guided,COc1ccc(OCC(=O)OCC(=O)NCO/N=C(\C)c2ccccc2)cc1,-2.6161489486694336
guided,Nc1nnc(/N=C/c2ccccc2O)s1,-1.312661051750183
guided,O=[N+]([O-])c1ccc(NCc2ccc(OCc3ccccc3Cl)cc2)cc1,-2.54217791557312
guided,COc1ccc(OC)c(Nc2nc3ccccc3c(=O)[nH]2)c1,-1.9781709909439087
guided,N/C(=N\OC(=O)C1CCCCC1)c1ccc2ccccc2n1,-1.9781709909439087
guided,SCCOCCOc1ccc2ccccc2c1,-5.831882476806641
guided,CNNNC(=O)CSc1nc2ccccc2o1,-1.4374333620071411
guided,O=C(CN1CCN(CC(=O)Nc2cccnc2Cl)CC1)Nc1cccs1,-1.640629529953003
guided,Nc1cc(/N=N/c2cccc(Cl)c2)ncn1,-1.156320571899414
guided,O=S(=O)(NCC1=[O+]/C(=C2/C=CC(N([O-])[O-])=[S+]2)N=N1)c1ccc(O)cc1,-1.8221569061279297
guided,[CH2-]C(CC[c+]1[cH-]s[c+](N)[n-]1)[c+]1[cH-][cH+][cH-][cH+][cH-]1,-2.0578689575195312
guided,COc1ccc(NC(=S)N2CCC(Cc3ccccc3)CC2)cc1OC,-2.54217791557312
guided,O=C(Cc1cnn(Cc2ccccc2)c1)NCCN1CCN(c2cccc(Cl)c2)CC1,-1.8162105083465576
guided,NS(=O)(=O)c1ccc(F)cc1,-2.35364031791687
guided,S=C(NCc1ccccc1Cl)NC1CCCC1,-2.1183104515075684
guided,Clc1ccc2nc(-c3ccccc3)c(CN3CCOCC3)n2c1,-2.022524118423462
guided,O=C(N/N=C/c1ccc(Sc2nc3ccccc3s2)o1)[C@@H]1COc2ccccc2O1,-2.2877211570739746
guided,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1cccc2ccccc12,-1.7814180850982666
guided,Cc1nc(N2CCC3(CC2)OCCO3)c2nnn(Cc3ccccc3)c2n1,-1.4976286888122559
guided,COc1cc(/C=C/C(=O)N2CCN(Cc3ccccc3)CC2)cc(OC)c1OC,-2.6511785984039307
guided,CS(=O)(=O)N(CC(=O)N1CCCCCC1)C1CCCCC1,-2.3290607929229736
guided,NNc1ccc(S(=O)(=O)NC2=NCC(=O)N2)cn1,-1.0930874347686768
guided,CCC(=O)Nc1nc2cc3c(cc2s1)OCCO3,-2.1753058433532715
guided,[H]/N=C(\C)NCc1ccc2c(c1)OCO2,-1.924782633781433
guided,O=C(/C=C/Nc1ccc(F)cc1F)c1cccs1,-2.844355583190918
guided,NC(=O)[C@@H]1CCCN(Cc2cccc3ccccc23)C1,-2.2803893089294434
guided,C[c-]1[cH+][cH-][c+]([C-]2CC3CCCC(CN)(C2)C3)[cH-][cH+]1,-2.844355583190918
guided,Cc1ccccc1N1C(=O)Nc2ccc(Br)cc2[C@@]1(O)C(=O)NC1CCCC1,-2.2188470363616943
guided,[CH]N[C]([O])C[C]1[CH][CH][CH][CH][CH]1.[N][C][C]1[N][C]2[N][C]3[CH][CH][CH][CH][C]3[CH][CH][C]2[N+][C]1[C][N],-1.60280442237854
guided,CCn1cc(S(=O)(=O)CC(=O)NC2=NCCS2)c2ccccc21,-2.022524118423462
guided,Cc1nn(-c2ccccn2)cc1-c1nnc(-c2cccc(Br)c2)o1,-1.5607467889785767
guided,NC(=O)COC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,-2.1183104515075684
guided,Nc1nnc(CCC2CCCCC2)s1,-1.5274808406829834
guided,COc1cc2ncnc(/N=C(/N)Nc3cccc(C)c3)c2cc1OC,-1.6014856100082397
guided,O=C(CCc1cccc(Cl)c1)N1CCC[C@H](Nc2ccccc2)C1,-2.4622952938079834
guided,[N-]=[N+]1CNC(=O)c2ccccc21,-1.3739230632781982
guided,COC(=O)[CH-]C[C@H](C[C@@H]1[CH-]C[C@H]2C3=[NH+]C4=C/C(=[O+]\C)C=CC4=C3CCN2C1)OC(=O)c1ccco1,-2.8389358520507812
guided,Nc1cc(Cl)ccc1N1CCOCC1,-1.924782633781433
guided,CCCOCCCCC(=O)NNC(=O)CCC(=O)OCC,-2.3290607929229736
guided,CCOc1ccc([C@@]2(N3CCCCC3)C=C(N)SC(N)=C2C#N)cc1OCC,-1.9352717399597168
guided,N[S+2]12[C][C-]([N-][c+]3[cH-][cH+][c-](Cl)[cH+][cH-]3)[C][N-][C+]3[CH+][CH-][CH+][CH-][C+]3[C][N-][C+]3[CH+][CH-][CH+][CH-][C+]3N1O2.[H+],-1.7834744453430176
guided,NS(=O)(=O)c1ccc(CN(C(=S)NCCc2ccccc2)c2ccccc2)cc1,-2.2538769245147705
guided,O=C1OCC[C@@H]1Sc1nnc(C2CC2)n1-c1ccc(Cl)cc1,-1.9781709909439087
guided,CCN(CC)CC(O)C1[CH-]S[c+]2[cH-][cH+][cH-][cH+][c-]2N1,-2.1753058433532715
