source,smiles,log_reward
guided,N[C@@H](C(=O)O)[C@H](O)CC(=O)O,-2.35364031791687
guided,[H+].[O-][C+](N[N-][N-][C][C+](Cl)[CH+][c+]1[cH-][cH+][cH-][cH+][cH-]1)[c-]1[cH+][cH-][cH+][cH-][cH+]1,-1.931758999824524
guided,O=C(N[C@@H](O)C(=O)c1ccco1)c1ccco1,-2.7873599529266357
guided,O[C@@H]1[C@H](O)[C@@H](O)OC[C@@H]1O,-5.303304672241211
guided,[O-]N([O-])[C]1[C](NC[C]2[CH][CH][CH][CH][CH]2)[N][N][CH][C]1N1CCN([C+]2[CH][CH][CH][CH][C]2F)CC1,-1.60280442237854
guided,[H+].[N][C][C]1[C]2CCCC[C]2[S+][C]1[N+]1[CH][CH][C]([C]([O-])[C]2[C][C]([N+]([O-])[O-])[CH][CH][CH]2)[CH][CH]1,-2.2188470363616943
guided,COc1ccc(NC(=O)c2ccnc(Nc3ccccn3)c2)cc1,-1.7814180850982666
guided,CCCC(=O)N[C@@H](C(=O)OCC)c1cccc(OC)c1,-2.94943904876709
guided,NNC(=O)CSCc1nc2ccccc2c(=O)n1N,-1.3276787996292114
guided,CC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2Cl)CC1,-1.8319255113601685
guided,CCNC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1,-2.229227304458618
guided,[O-][CH+][C-]1[N-][C]N(CC2CCCCC2)[C+]1NC[C+]1[CH+][CH-][CH+][CH-][C+]1Cl,-2.022524118423462
guided,Nc1n[nH]c(N)c1/N=N/c1ccc(Cl)cc1,-0.9756505489349365
guided,NN[C@@H](c1cccc([N+](=O)[O-])c1)c1c(O)ccc2ccccc12,-2.022524118423462
guided,N#CCC(=O)Nc1ccc(C(=O)CCc2ccccc2)cc1,-2.3754727840423584
guided,CCOC(OCC)[C@H](NC(=O)c1ncn[nH]1)c1ccccc1,-1.6945956945419312
guided,OCC#[N+]C1=C2C=C3C=CC=C[C-]3C=C2CCC1,-2.844355583190918
guided,Nc1ccc(CNNC(=O)c2ccc(F)cc2)cc1,-1.8319255113601685
guided,CC[C@H](O)CC(=O)OCC(=O)Nc1ccc(F)cc1,-2.8982770442962646
guided,N/N=N\c1nc2cccnc2n1-c1ccccc1,-1.0930874347686768
guided,COc1cccc(CN(Cc2cccnc2)C(=O)Nc2ccc(N(C)C)cc2)c1,-1.970301628112793
guided,Clc1cccc(N2CCN(c3ccccc3)CC2)c1,-2.229227304458618
guided,Nc1cc(-c2nnc3n2CCCCC3)ccc1O,-1.4944287538528442
guided,O=c1[nH]c(CSc2ccc(C(F)(F)F)cc2S(=O)(=O)F)nc2ccccc12,-2.5798470973968506
guided,N[P@@](=O)(Oc1ccc(Cl)cc1)Oc1ccccc1F,-2.8982770442962646
guided,NS(=O)(=O)c1ccc(N2C(=O)C[C@@H](Sc3ccccn3)C2=O)cc1,-2.064993381500244
guided,NNC(=O)Cn1nnnc1CN1CCCCCC1,-0.9401180744171143
guided,CO/N=C/c1cc(OC)c(OC)cc1[N+](=O)[O-],-2.1183104515075684
guided,COc1ccc(C(=O)OCC(=O)N2CCCC2)cc1OC1CCCC1,-3.172083616256714
guided,[O-][S+2]1([O-])CC[CH-][CH+]C([N-]O)C1,-2.35364031791687
guided,[H]/N=C1C(=C(\C#N)c2cc(OC)c(OC)c(OC)c2)/C(=O)N=C2SC(C(C)C)=NN2/1,-1.7496302127838135
guided,CCCOc1cccc(CNCCc2ccccn2)c1,-2.2803893089294434
guided,CN1C(=O)/C(=N\NC(=O)c2ccco2)c2ccccc21,-1.8830875158309937
guided,[O-]n1[o+]nc2c1CC[C@@H]1N(O)CC[C@]21O,-1.5962363481521606
guided,NS(=O)(=O)c1ccc(NNC(=O)c2cccc(Cl)c2)cc1,-1.931758999824524
guided,[CH2-]C(CCC[N-][C-](N)NCCO)[C+]1[N-][C+]2[CH+][CH-][CH+][CH-][C+]2N1,-1.427512288093567
guided,NOc1cccc(-c2nc(NCCN3CCOCC3)c3ccccc3n2)c1O,-1.7146004438400269
guided,CC(=O)C(=S)/C(C)=C(\[C-]=[NH+]/C(=O)Nc1ccc(C)cn1)C(N)=O,-1.738948941230774
guided,[O-][C+](CCn1[c+]([O-])[c+]([CH+][c-]2[cH+][c-]3[cH+][cH-][c+](O)[cH-][c+]3[n-][c+]2[O-])s[c-]1[S-])N1CCCCCC1,-2.3204572200775146
guided,NC(=O)Cc1ccc(CCc2nc3ccccc3[nH]2)cc1,-1.931758999824524
guided,FC(F)(F)Cc1c[nH]c2ccccc12,-2.59383225440979
guided,O=C(CN(Cc1cccc2ccccc12)C(=O)c1ccccc1)NCC(=O)N1CCCCC1,-2.3828799724578857
guided,O=S(=O)(Cc1ccccc1)N1CCC(N2CCOCC2)CC1,-2.3754727840423584
guided,NNC(=O)CN[C@H](c1ccc(Br)cc1)c1ccccc1NC(=O)c1cc(Br)c[nH]1,-1.7496302127838135
guided,N/C(=N\C1CCCCC1)c1cc(-c2ccccc2)c(N2CCOCC2)s1,-2.14487624168396
guided,N/C(=N\C1=NCCS1)c1ccc(Cl)cc1,-1.5962363481521606
guided,S=C(NCc1ccccn1)Nc1ccccc1,-1.7210086584091187
guided,COc1ccccc1-c1cc(C(=O)Nc2cc(C)on2)c2ccccc2n1,-2.1825454235076904
guided,Cc1cc(C(F)(F)F)n(C2=N/C(=C\c3ccco3)C(=O)N2)n1,-1.6945956945419312
guided,C[C@@H]1CC[C@H]2C[C@](CN)(C(=O)O)CC=C2C1,-2.7269186973571777
guided,[O-][S@@+](Cc1ccco1)N1CCN(c2ccccc2)CC1,-2.2803893089294434
guided,Fc1ccccc1Nc1nc(C(F)(F)F)nc2cc(-c3ccccc3)nn12,-1.6782987117767334
guided,CCn1c(SCC(=O)c2ccc3c(c2)OCO3)nnc1-c1cccs1,-2.1057322025299072
guided,N[C@@H](Cc1ccccc1)C(=O)N1CCC(c2nc(-c3ccccc3)no2)CC1,-1.9352717399597168
guided,O=C1c2ccccc2N[C@H](c2ccc3ccccc3n2)N1NS(=O)(=O)c1ccccc1,-2.036881923675537
guided,O=[N+]([O-])c1c(/C=N/N=c2cc[c-](O)cc2)c(O)cc2nonc12.[H+],-1.5182775259017944
guided,CC(C)N1C(=O)/C(=C/Nc2ccc(Br)cc2)C(=O)N(C2CCCCC2)C1=O,-2.1825454235076904
guided,Nc1c(C(=O)NCc2ccco2)c2nc3ccccc3nc2n1CCCN1CCOCC1,-1.6672389507293701
guided,COCCNC(=O)[C@H](c1ccc(C)o1)N1C(=O)Cn2c3ccccc3n[n+]2[C@H]([NH-])c2cc(OC)ccc21,-1.8122100830078125
guided,CCOC(=O)C(/C=N/NC(=O)c1ccncc1)=N/Nc1ccc(C)cc1,-1.640629529953003
guided,COc1ccccc1C(=O)N(c1ccccc1OC)[C@H]1C=CS(=O)(=O)C1,-3.2112276554107666
guided,N[C-]([O-])NC([C+]1[CH+][CH-][C+](F)[CH-][CH+]1)C1CC1[O-],-2.0578689575195312
guided,CC(C)(C)[P+]([S-])([C-](N)[c+]1[cH-][cH+][c-]2[c+]([cH-]1)OCCO2)N1CCOCC1,-2.4622952938079834
guided,CN[C@H]1CCN(c2cc(C(F)(F)F)c3ccccc3n2)C1,-1.931758999824524
guided,CCC(CC)C(=O)Nc1ccc(/N=C2\N=C(N)CC2(C)C)cc1,-1.738948941230774
guided,Nn1c(-c2cccc(Cl)c2)nc(Cl)c1Cl,-1.5962363481521606
guided,Cc1ccc([C@]2(CC(=O)Nc3nc4ccccc4[nH]3)CCO[C@H](C(C)C)C2)cc1,-2.2538769245147705
guided,CN(C)CCC/N=C(\C(=O)NCC(=O)N1CCC[C@@H]1C(=O)O)N(C)S(=O)(=O)c1ccc(C(F)(F)F)cc1,-1.99288010597229
guided,NC(=O)C1CCN(Cc2nc3ccccc3c(=O)[nH]2)CC1,-1.6481837034225464
guided,CN(Cc1nc(-c2cccnc2)no1)S(=O)(=O)c1ccccc1,-1.738948941230774
guided,Nn1cnn(Cc2ccccc2Cl)c1=S,-1.312661051750183
guided,COc1cc(C)c2c(c1)s/c(=N\c1ncccc1C)n2C,-1.931758999824524
guided,[F-].[H+].[O-][C+]1OC2(CCCC2)[C-]([C]C(F)(F)F)N1[C+]([O-])[C+]1[CH+][CH-][CH+]O1,-3.0888755321502686
guided,Cn1nnc(NC(=O)C2CCCCC2)n1,-1.0919897556304932
guided,O=c1oc2c(N3CCN(CCO)CC3)ncnc2n1-c1ccccc1,-1.6014856100082397
guided,N/C(CSc1nnn(CCOc2ccccc2)n1)=N\O,-1.1981709003448486
guided,NC(=O)CC[C@H](NC(=S)Nc1ccc(F)cc1)C(=O)O,-1.8830875158309937
guided,[N-2][C][C][C+](N[C+]1[CH+][CH+][CH-][CH+][CH-]1)[c+]1[cH-][cH+][c-]2[cH+][cH-][cH+][cH-][c+]2[cH-]1,-2.3290607929229736
guided,O=S(=O)(Nc1nnccc1O)c1ccc(Cl)cc1,-1.7780040502548218
guided,CNCC(C)C,-1.7512681484222412
guided,N#CCSc1nnc(NC(=O)COc2ccc(F)cc2)s1,-1.6481837034225464
guided,NS(=O)(=O)c1ccc(CNC(=O)[C@H]2CC[C@H](CNS(=O)(=O)c3cccs3)CC2)cc1,-2.2877211570739746
guided,O=C(N/N=C/c1ccncc1)c1ccc(Cl)cc1,-1.7780040502548218
guided,N/C(=N/C1CCCCC1)c1c(Cl)nc2sccn12,-1.4944287538528442
guided,Nc1nnc(SCCOc2ccccc2)s1,-1.660567283630371
guided,CS[C-]1[N-][C+]([c+]2[cH-][cH+][cH-][cH+][cH-]2)[CH+][C-](C)N1,-1.9935381412506104
guided,O=C(Cn1ncc2c1-c1ccccc1OC2)N1CCc2sccc2C1,-2.1057322025299072
