source,smiles,log_reward
guided,CCCSc1cnc(-c2ccccc2Cl)o1,-2.7269186973571777
guided,C[OH+][C-]([O-])N1[C+]([CH-][CH+][CH-][c+]2[cH-][cH+][cH-][cH+][cH-]2)[CH-][CH+]C1(C)[C-]([O-])NC[C+]1[CH+][CH-][CH+][CH+][N-]1,-2.2538769245147705
guided,CN[CH-]C(NCC(O)C(F)(F)F)[C+]([O-])N[c+]1[cH-][cH+][c-](Cl)[cH+][c-]1Cl,-2.022524118423462
guided,O=S(=O)(c1cccs1)N1CCC(O)(c2cccc(C(F)(F)F)c2)CC1,-3.172083616256714
guided,CC(C)(C)c1ccc(S(=O)(=O)NCC(=O)N2CCCC2)cc1,-2.3754727840423584
guided,O=C(c1nc2ccccc2c(=O)[nH]1)c1cccc2ccccc12,-2.419826030731201
guided,NS(=O)(=O)c1ccc(/C=C2\NN(c3ccccc3Cl)C(=O)C2=O)cc1,-2.1057322025299072
guided,O=C(NNc1ccc(Cl)c(C(=O)O)c1)Nc1cccc(C(F)(F)F)c1,-2.1057322025299072
guided,Cc1cc(C)cc(OCC(=O)Nc2cccc3ccccc23)c1,-3.0888755321502686
guided,COc1cc(CCC(=O)NNC(=O)c2ccc(C)o2)cc(OC)c1OC,-2.54217791557312
guided,NS(=O)(=O)c1ccc(CCNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,-1.970301628112793
guided,NS(=O)(=O)c1ccc(CCNc2cc(C(F)(F)F)nc3ccccc23)cc1,-2.1825454235076904
guided,Fc1ccccc1/C=N/C=[NH+]/c1[c-]c(N2CCOCC2)ncn1,-1.5182775259017944
guided,[N-]=C1[O+]=[S@]1(=O)C/C(=N\c1ccc(Br)cc1)c1ccc2c(c1)OCO2,-2.4622952938079834
guided,COC(=O)C(C)(C)ONC(=O)Nc1ccccc1[N+](=O)[O-],-1.931758999824524
guided,CCCCOc1ccc(NC2=N[C@@H]3CS(=O)(=O)C[C@@H]3S2)cc1,-2.3754727840423584
guided,COc1cc(/C=N/N(C)C)cc(Br)c1OCC(=O)O,-2.229227304458618
guided,NN1C(=O)N[C@H](Cc2ccc(OC(F)(F)F)cc2)C1=O,-1.8830875158309937
guided,O=C(NCCOc1ccc2ccccc2c1)c1ccc([N+](=O)[O-])cc1,-2.5030341148376465
guided,COC(=O)C1=C(C)N(Cc2cccs2)/C(=N/Cc2cc(OC)c(OC)c(OC)c2)N[C@H]1c1ccc(N(C)C)cc1,-2.291411876678467
guided,CCOc1ccccc1OCC(=O)Nc1ccc(C)cc1,-2.998110294342041
guided,O=C(NNC(=S)NC(=O)c1ccc(Br)s1)c1cc2ccccc2o1,-2.064993381500244
guided,BrCC[C@H]1[CH-][C@@H]1/C=C\C[CH+]CN1CCOCC1,-2.7873599529266357
guided,C#CCOCCOCCOCCN1c2nc(N3CCN(CC)CC3)ncc2NC(=O)[C@@H]1CC(=O)OCCOCC,-1.8900704383850098
guided,CC1=C(C(=O)Nc2cccc(-c3cnc4ccccc4n3)c2)CNC(N2CCOCC2)=N1,-1.6672389507293701
guided,NNCc1c(O)ccc2ccccc12,-1.924782633781433
guided,[CH2-]CC(=O)NC1=C=[N+]=CC(NC(=O)Nc2ccccc2)=C1C,-1.6945956945419312
guided,CCCNC(=O)Cc1c(C)oc2ccccc12,-2.7873599529266357
guided,COc1cccc(Oc2[c-]ccc3ccccc23)c1.O=P(O)=[OH+],-6.133398056030273
guided,CCCCN([C]([O])[C]1[CH][CH][C](N([O-])[O-])[CH][CH]1)[C+]1[C]([O])N[C]([O])N(C[C]2[CH][CH][CH][CH][CH]2)[C]1N,-1.8479089736938477
guided,O=C(O)c1cc2cc(/C=C/c3ccc(-c4ccc5ccccc5n4)c(=O)[nH]3)ccc2o1,-2.717759132385254
guided,C[C@@H](OC(=O)CCc1nc2ccccc2c(=O)[nH]1)C(=O)Nc1ncc(Cl)cc1Cl,-1.970301628112793
guided,Cc1nc2cc(/C=C/C(N)=O)[nH]n2c(=O)c1/C(=N\c1ccc(Br)s1)c1ccccc1,-1.7834744453430176
guided,S=c1[nH]nc(-c2ccco2)n1/N=C/C=C/c1ccco1,-1.5995122194290161
guided,Cc1cnccc1CN(C)Cc1cn(C)nc1-c1ccc2c(c1)OCO2,-1.8613009452819824
guided,CN(C)S(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(F)cc2)cc1,-2.1057322025299072
guided,O=C(NNC(=O)c1ccccc1O)c1cccnc1,-1.8319255113601685
guided,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,-1.7210086584091187
guided,[N-2][C][C+]1[C+]([N-]CCOCC2OCCCO2)[N-][CH+][N-][C+]1N1CCN([c+]2[n-][cH+][n-][c+]3[c-]2[nH][c+]2[cH-][cH+][cH-][cH+][c-]23)CC1,-1.4361363649368286
guided,CC(C)Sc1nnc2n(CCc3ccccc3)c(=O)c3c4c(sc3n12)COC(C)(C)C4,-2.036881923675537
guided,CS(=O)(=O)N(CC(=O)NN)c1cccc([N+](=O)[O-])c1,-1.548350214958191
guided,COc1cccc(Nc2nnc(SCn3nnc4ccccc4c3=O)s2)c1,-1.4976286888122559
guided,CSC1=C(SCc2ccccc2)/C(=C(/[O-])NNC(N)=O)C(C)=[S+]1,-2.022524118423462
guided,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2C2CC2)cc1,-1.9781709909439087
guided,Fc1cc(CSC2=NCCS2)ccn1,-1.924782633781433
guided,CN(C=O)c1nc2c(N)ncnc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,-1.337607502937317
guided,COC/C=C\O[C@]1(C)Oc2cccc(-c3nnc(CCCOC)o3)c2C1=O,-2.5798470973968506
guided,O=C(OCn1nc2ccccc2n1)c1cc(-c2cccs2)nc2ccccc12,-1.9352717399597168
guided,Cc1ccc(NC(=O)c2cccs2)c(O)c1,-2.7269186973571777
guided,NS(=O)(=O)c1ccc(S(=O)(=O)CCC(=O)Nc2ccccc2)cc1,-2.4622952938079834
guided,COc1ccc(NC(=O)N2CCC[C@H]2C(=O)NCc2ccccc2)cc1,-2.14487624168396
guided,Cc1nc([N+](=O)[O-])cn1CCCc1ccc(C(F)(F)F)cc1,-1.9781709909439087
guided,CN1/C(=[S+]/CC(=O)Nc2cccc(N([O-])[O-])c2)N=N/C1=c1\cnc2c(c1)N=C(c1ccccc1)[O+]=2,-1.6037479639053345
guided,CCN(CC)CC(=O)NCc1ccccn1,-1.660567283630371
guided,COc1ccccc1OP(#[O+])Nc1ccc(C)cc1.[CH3-],-2.94943904876709
guided,FC(F)(F)[CH-]OCC1[CH-][CH+]CCN1,-2.519998073577881
guided,C[C@H](O)CNC[C@H](O)c1ccc2ccccc2c1,-2.844355583190918
guided,CCOc1ccc(C(=O)N2CCC3(CC2)NCCc2[nH]cnc23)cc1OCC,-1.9352717399597168
guided,O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(C(=O)NC[C@H]2CCCO2)cc1,-2.2538769245147705
guided,[O][C](N[N][CH][C]1[CH][CH][C](N([O-])[O-])O1)C(O)[C+]1[CH][CH][CH][CH][CH]1,-1.931758999824524
guided,C[CH-]CCN(CCOC)C[c+]1[n-][c+]2[cH-][cH+][cH-][cH+][c-]2n1C,-1.8830875158309937
guided,COc1ccc(/N=N\c2nc3ccc(Br)cc3n2C)cc1,-1.6481837034225464
guided,O=NN1CCN(C(=O)c2cccs2)CC1,-1.5962363481521606
guided,Clc1ccc2nc(CSc3nnc4ccccn34)cn2c1,-1.427512288093567
guided,NCCO[C]1[N]N([C+]2[CH][CH][CH][CH][CH]2)[CH][C]1N([O-])[O-],-1.4944287538528442
guided,NC(=O)CCCCN1C(=O)[C@H]2CC=CC[C@H]2C1=O,-2.1753058433532715
guided,Oc1ccc(-c2cn3cccnc3n2)cc1OC(F)F,-1.8830875158309937
guided,O=C(Nn1cnc2ccccc2c1=O)c1cccc(Cl)c1,-1.931758999824524
guided,Cl[c-]1[cH+][cH-][c+](CO[N-][C+]2[CH-]CCCCC2)[cH-][cH+]1,-2.7873599529266357
guided,C[c-]1[cH+][n-][c+](N)[c-]([C][N-2])[c+]1C(CC[C+]1[CH+][CH+][CH-][c+]2[cH-][cH+][cH-][cH+][c-]21)N1CCN(C[c+]2[n-][cH+][cH-][nH]2)CC1.[H+],-1.6037479639053345
guided,[CH2+][C-]1[CH+][C-](C)[N-]N1[C+]([O-])[C-]([CH+]N1CCOCC1)[c-]1[cH+][cH-][c+](Cl)[cH-][cH+]1,-2.064993381500244
guided,O=C(C1CCN(S(=O)(=O)c2ccc(Br)s2)CC1)N1CCCCC1,-2.419826030731201
guided,[CH2-]N1CCCCC1C[C][C]C1C[CH+][CH+]CC1,-2.7269186973571777
guided,COc1ccc(N(CC(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)S(=O)(=O)c2ccccc2)c(OC)c1,-2.54970121383667
guided,O=S(=O)(NCc1ccco1)NC[C@H]1CC=CCC1,-2.1753058433532715
guided,CN(C)C[C@@H](Cc1ccc(Oc2ncccn2)cc1)NCCc1ccccc1,-1.9352717399597168
guided,COc1ccc(SCCN2C(=O)CCC2=O)cc1Cl,-2.8982770442962646
guided,FC(F)(F)c1cc2ccccc2c(=S)[nH]1,-2.662587881088257
guided,CN(C)S(=O)(=O)N(CCN1CCOCC1)Cc1ccccc1,-1.9781709909439087
guided,ON/C(=N\c1ccccc1)c1ccccc1Cl,-2.1183104515075684
guided,CO[C]1[CH][CH][CH][CH][C]1[CH][CH][C]([O])NC[C]([O])NN[C]([O])[C][N][O+][C]1[CH][CH][CH-][C]([O+]C)[CH]1,-2.036881923675537
guided,NNC(=O)c1cnn(-c2ccc(F)cc2)c1,-1.3769919872283936
guided,[O-][c+]1[nH][c+](CN2CCN[C-](Cl)C2)[n-][c+]2[cH-][cH+][cH-][cH+][c-]12,-1.548350214958191
guided,COc1ccccc1N[C@H](c1ccccc1)c1nnnn1Cc1ccccc1,-1.7146004438400269
guided,C[C-]1CCCO[C@@H]([C@@H](C)N(C)C)N1Cc1ccccc1F.[H+],-2.3290607929229736
guided,O=S(=O)(c1cccc(F)c1)c1nc2ccccc2n1CC1=COc2ccccc2C1,-2.6850228309631348
guided,NNC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(Cl)cc1,-1.8319255113601685
guided,Cc1ccccc1NC(=S)NCCC(c1ccccc1)c1ccccc1,-2.54217791557312
guided,CNC[CH-]C(C)[C+]([C][N-2])[C][N-2].[C-3][CH].[H+].[H+],-1.4536465406417847
guided,Cc1nnc(/[S+]=C2/C=CC=C/C2=C(\[O-])N2CCOCC2)s1,-1.931758999824524
guided,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccccn2)c1-c1ccc(F)cc1,-1.166253685951233
guided,CN[S+2]([O-])([O-])O[C-](CO[c+]1[cH-][cH+][cH-][cH+][cH-]1)C(Cl)(Cl)Cl,-2.8982770442962646
guided,CSc1ccc(CCC(=O)O)nn1,-1.8509483337402344
guided,Cc1cccc(N/N=C/c2ccc(O)c3ncccc23)c1,-1.931758999824524
guided,CO[c-]1[c+]2[c-]([cH+][c-]3[c+]1CC(C(C)C)O3)O[C-]([O-])[CH+][CH-]2.C[O-],-6.042633056640625
guided,CC[C@@H](NC(=S)NC(=O)c1ccccc1C)C(=O)O,-2.229227304458618
guided,O=S1(=O)CC[C@@H](Nc2c(-c3cccnc3)nc3ccc(Cl)cn23)C1,-1.7814180850982666
guided,O=C(NCCc1cccc2ccccc12)[C@H]1NS(=O)(=O)C[C@H]1N1CCOCC1,-2.2188470363616943
guided,Cc1ccc(/C=C2/[S+]=C(N3CCCCCC3)N=C2[O-])cc1Cl,-2.3754727840423584
guided,NNS(=O)(=O)c1ccc(Cc2ncc(C(F)(F)F)cc2Cl)s1,-1.9781709909439087
guided,C=[N+](CCc1[c-]cccc1OCCOc1cc2c(c(F)c1C(=O)O)CCCN2)Cc1ccccc1,-2.8389358520507812
guided,CSC[C@H](C)N1CCC(Oc2cccc(C(=O)NCCN3[CH-]COCC3)c2)CC1.[H+],-2.2538769245147705
guided,COc1cccc(C)c1OCc1nnnn1Cc1ccccc1,-1.738948941230774
guided,COCC(=O)N[C@@](Nc1nc(-c2ccc(C)cc2)cc(=O)[nH]1)(C(=O)OC)C(F)(F)F,-2.004145860671997
guided,CCCOc1ccc(C(=O)NNC(=S)NC(=O)c2ccc(Cl)cc2Cl)cc1,-2.1825454235076904
guided,C/[S+]=C1\C=CC=C\C1=C(/[O-])Nc1nc(-c2cccnc2)cs1,-1.9781709909439087
guided,[O-]N1OC2CCCC[CH-]N2[c+]2[cH-][c+](O)[cH-][cH+][cH-][c+]21,-2.1753058433532715
guided,[H+].[H+].[O][C]1[C](O)[C]2[C][C]([C-]3[CH][CH][C]([N+]([O-])[O-])[CH][CH]3)[CH][C]3[N]O[C]([C]4[CH][CH][CH][CH][CH]4)[C-][C]3[CH][C]3[CH][CH][C]([CH][N+]2O)[O+]31,-2.523759603500366
guided,COCCn1c(N)c(N(Cc2ccccc2)C(=O)[C@H](C)N2C(=O)c3ccccc3C2=O)c(=O)[nH]c1=O,-1.965518593788147
guided,[O-]N1OCCn2[n-][cH+][c-](C[c+]3[cH-][cH+][c-](Cl)[cH+][cH-]3)[c+]21,-1.7780040502548218
guided,CC(=O)N[C@H](C)c1ccccc1,-2.440274477005005
guided,OCCNC(=S)Nc1cccc2cccnc12,-1.7210086584091187
guided,NN[C-]1[N-][N-][N-][C+]2[C+]1S[c+]1[n-][cH+]n(C3CC3)[cH+][c-]12,-0.9401180744171143
guided,O=C(O)[C@H](COc1cccc(Cl)c1Cl)N1CCCCC1,-2.94943904876709
guided,CN1CCN(/N=C/c2ccc(Cl)nc2)CC1,-1.3769919872283936
guided,CN1[C](O[C]2[CH][CH][C](N([O-])[O-])[CH][N]2)[N][C]2[C]1[C+]([O])N(C)[C]([O])N2C,-1.3800767660140991
guided,Cn1cc(Br)c(C(=O)N/C=C\C(=O)c2ccccc2)n1,-1.8830875158309937
guided,CCC[C@H](O)[C@@](O)(c1ccccc1)[C@H](CN1CCOCC1)c1ccccc1,-3.248896837234497
guided,NC1CCCC1,-1.7512681484222412
guided,[NH2+]=[C-]/C(=c1/ccccc1=C=[NH+]c1[c-]cccc1)[N+](=O)[O-],-1.8830875158309937
guided,CCC(=O)Nc1cccc(OC(=O)/C=C/c2ccccc2)c1,-3.044522523880005
guided,COc1ccc(C(=O)Nc2nccs2)cc1S(=O)(=O)N1CCOCC1,-2.1057322025299072
guided,N/C(=N\O)c1ccccc1Nc1ccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)cc1,-2.036881923675537
guided,CN(Cc1ccc(F)cc1)C(=O)C1=C(N)/C(=C(/N)[O-])N=[S+]1,-1.6481837034225464
guided,[NH-]C[N-][CH+]CC1([C+]([O-])N[c+]2[cH-][cH+][cH-][c+](F)[cH-]2)NCC[c-]2[nH][cH+][n-][c+]21,-1.3800767660140991
