source,smiles,log_reward
guided,CCCOc1ccc(/C=C2/SC(=S)N(CC(=O)Nc3cccc(F)c3)C2=O)cc1OC,-2.717759132385254
guided,O=C(N[C@@H](O)C(=O)c1ccco1)c1ccco1,-2.7873599529266357
guided,O=C(c1cc2sccc2n1Cc1ccccc1)N1CCN(c2nc3ccccc3s2)CC1,-2.068580389022827
guided,[H+].[N][C][C]1[C]2CCCC[C]2[S+][C]1[N+]1[CH][CH][C]([C]([O-])[C]2[C][C]([N+]([O-])[O-])[CH][CH][CH]2)[CH][CH]1,-2.2188470363616943
guided,COc1ccc(-c2nonc2NC(=O)c2ccccc2C(=O)O)cc1,-2.1057322025299072
guided,CCCC(=O)N[C@@H](C(=O)OCC)c1cccc(OC)c1,-2.94943904876709
guided,CNCC(=O)C1CCN(Cc2ccccc2O)CC1,-2.229227304458618
guided,CC(=O)c1c[nH]c(C(=O)N2CCN(Cc3ccc(F)cc3)CC2)c1,-2.064993381500244
guided,CCNC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1,-2.229227304458618
guided,[O-][CH+][C-]1[N-][C]N(CC2CCCCC2)[C+]1NC[C+]1[CH+][CH-][CH+][CH-][C+]1Cl,-2.022524118423462
guided,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCCCCC1,-2.3290607929229736
guided,O=c1cc(-c2ccccc2Cl)oc2c(NS(=O)(=O)c3cccs3)ccc(O)c12,-3.285198450088501
guided,CC1=C[C+](C)C23[C-]4C1[C-]=[N+]=C=N[CH-]/C(C)=C1\[C@]42[N@+]13c1cccc(O)c1,-2.1057322025299072
guided,FC(F)OC(F)(F)[C@@H](F)Cl,-5.303304672241211
guided,COc1ccnc(Oc2ccccc2F)c1-c1ccccc1,-3.044522523880005
guided,CCCCn1nc(C(=O)Nc2sc(N)nc2C)c2ccccc2c1=O,-1.6014856100082397
guided,CC[C@H](O)CC(=O)OCC(=O)Nc1ccc(F)cc1,-2.8982770442962646
guided,Cc1ccc(-c2ncnc3c2oc2ccccc23)c(O)c1,-2.3290607929229736
guided,N/N=N\c1nc2ccccc2[nH]1,-0.869676411151886
guided,COc1cccc(CN(Cc2cccnc2)C(=O)Nc2ccc(N(C)C)cc2)c1,-1.970301628112793
guided,Clc1cccc(N2CCN(c3ccccc3)CC2)c1,-2.229227304458618
guided,CCC(=O)Nc1cc(-c2nnc(SCc3cc(=O)[nH]c4ccccc34)n2C)ccc1OC,-1.8479089736938477
guided,O=c1[nH]c(CSc2ccc(C(F)(F)F)cc2S(=O)(=O)F)nc2ccccc12,-2.5798470973968506
guided,C[P+]([O-])(N[c-]1[cH+][cH-][c+](Cl)[cH+][n-]1)O[C-]1[CH+][CH-][CH+][C-]2[CH+]S[CH-]N21,-1.931758999824524
guided,CCN(CC)C(=O)CCN1C(=O)/C(=C/c2c(F)cccc2Cl)SC1=S,-2.5030341148376465
guided,CCN(Cc1ccccc1)C1CCN(CCCc2ccccc2)CC1,-2.5030341148376465
guided,CO/N=C/c1cc(OC)c(OC)cc1[N+](=O)[O-],-2.1183104515075684
guided,COCCl,-4.394449234008789
guided,CCCOC(=O)c1ccc(NC(=O)c2cnccc2C(F)(F)F)cc1,-2.5030341148376465
guided,COc1ccc(C(=O)OCC(=O)N2CCCC2)cc1OC1CCCC1,-3.172083616256714
guided,[O-][S+2]1([O-])CC[CH-][CH+]C([N-]O)C1,-2.35364031791687
