source,smiles,log_reward
guided,CCC(=O)N1N=C(c2ccc(C(=O)NCCc3ccccc3)cc2)C[C@H]1c1ccco1,-2.4319937229156494
guided,CO[C-]([O-])N1[C+]([C][CH+][CH+][c-]2[cH+][cH-][cH+][cH-][cH+]2)[CH+][CH-]C1(C)[C+]([O-])NC[c+]1[cH-][cH+][cH-][cH+][n-]1,-0.5776521563529968
guided,[CH2-]OCCS[c+]1[cH-][cH+][cH-][cH+][n-]1,-7.788481712341309
guided,O=S(=O)(c1cccs1)N1CCC(O)(c2cccc(C(F)(F)F)c2)CC1,-3.3048222064971924
guided,CC(C)(C)c1ccc(S(=O)(=O)NCC(=O)N2CCCC2)cc1,-1.8754605054855347
guided,O=C(c1nc2ccccc2c(=O)[nH]1)c1cccc2ccccc12,-2.659339189529419
guided,O=C(CCC(F)(F)F)CC1c2ccccc2-c2ccccc21,-11.020674705505371
guided,NS(=O)(=O)c1ccc(/C=C2\NN(c3ccccc3Cl)C(=O)C2=O)cc1,-0.34014779329299927
guided,O=C(NNc1ccc(Cl)c(C(=O)O)c1)Nc1cccc(C(F)(F)F)c1,-1.7518646717071533
guided,Cc1cc(C)cc(OCC(=O)Nc2cccc3ccccc23)c1,-6.485496520996094
guided,COc1cc(CCC(=O)NNC(=O)c2ccc(C)o2)cc(OC)c1OC,-0.41183337569236755
guided,CCN(CC(=O)Nc1cccc(F)c1)CC(=O)Nc1nccs1,-1.2517367601394653
guided,NS(=O)(=O)c1ccc(CCNc2cc(C(F)(F)F)nc3ccccc23)cc1,-1.350257158279419
guided,Fc1ccccc1/C=N/C=[NH+]/c1[c-]c(N2CCOCC2)ncn1,-1.871926188468933
guided,[S-]C[C+]([N-][C+]1[C][C][C-](Br)[CH+][CH+]1)[c-]1[cH+][cH-][c+]2[c-]([cH+]1)OCO2,-6.681286811828613
guided,CO[C-]([O-])C(C)(C)O[N-][C+]([O-])N[C+]1[CH+][CH+][CH-][CH+][C-]1N([O-])[O-],-0.49352025985717773
guided,CCCCOc1ccc(N/C=N/C(=O)c2cccn2C)cc1,-3.5097126960754395
guided,CCOc1cc(C(=S)N2CCOCC2)ccc1OC(=O)c1ccc(C)cc1,-4.5309739112854
guided,[H+].[H+].[S-][C+]1N([C+]2[C][C][C][C][C-]2O[c+]2[cH-][cH+][c-](Cl)[c+](Cl)[cH-]2)[CH+][CH+][C+]2CCCCN21,-10.976701736450195
guided,O=C(NCCOc1ccc2ccccc2c1)c1ccc([N+](=O)[O-])cc1,-1.512985348701477
guided,COC(=O)C1=C(C)N(Cc2cccs2)/C(=N/Cc2cc(OC)c(OC)c(OC)c2)N[C@H]1c1ccc(N(C)C)cc1,-2.5335428714752197
guided,CCOc1cc(/C=N\NC(N)=S)ccc1OCC(=O)O,-0.3885042667388916
guided,O=C(NNC(=S)NC(=O)c1ccc(Br)s1)c1cc2ccccc2o1,-1.221859097480774
guided,BrCC[C@H]1[CH-][C@@H]1/C=C\C[CH+]CN1CCOCC1,-10.405939102172852
guided,C#CCOCCOCCOCCN1c2nc(N3CCN(CC)CC3)ncc2NC(=O)[C@@H]1CC(=O)OCCOCC,-0.3591110408306122
guided,C[C]/C(C(=O)Nc1cccc(-c2cnc3ccccc3n2)c1)=C(/[O-])NC[C+]1=CC=C2OCOC2=C1,-0.8198128342628479
guided,NNCc1c(O)ccc2ccccc12,-2.59417462348938
guided,[CH2-]CC(=O)NC1=C=[N+]=CC(NC(=O)Nc2ccccc2)=C1C,-0.6310527324676514
guided,CSCC[C@@H](CO)NS(=O)(=O)c1ccc(C)cc1,-1.7946058511734009
guided,COc1cccc(Oc2[c-]ccc3ccccc23)c1.O=P(O)=[OH+],-2.3583219051361084
guided,CCCCCN(c1ccc(C(=O)OCC(=O)Nc2c(C)cccc2C)cc1)S(C)(=O)=O,-1.5048763751983643
guided,O=C(O)c1cc2cc(/C=C/c3ccc(-c4ccc5ccccc5n4)c(=O)[nH]3)ccc2o1,-2.48652720451355
guided,COc1cc2nc3ccccc3nc2cc1OC,-4.536769390106201
guided,Cc1nc2cc(/C=C/C(N)=O)[nH]n2c(=O)c1/C(=N\c1ccc(Br)s1)c1ccccc1,-1.253302812576294
guided,S=c1[nH]nc(-c2ccco2)n1/N=C/C=C/c1ccco1,-1.9744575023651123
guided,Cc1ccc(NC(=O)CCN2C(=O)[C@H]3Cc4c([nH]c5ccccc45)[C@H](c4ccccc4)N3C2=O)nc1,-1.5044792890548706
guided,COc1ccc(Cn2nnc3c(=O)[nH]c(C4CCN(S(=O)(=O)c5ccc(S(=O)(=O)N(C)C)cc5)CC4)nc32)cc1C,-0.33491864800453186
guided,O=C(NNC(=O)c1ccccc1O)c1cccnc1,-0.4011003375053406
guided,CCOc1ccc2ccccc2c1/C=N/NC(=O)c1cc(C)[nH]n1,-1.3102362155914307
guided,NCCSCc1ccc2c(c1)OCO2,-4.287328243255615
guided,CC(=O)c1ccc(OCC(C)C)cc1,-7.620660781860352
guided,[N-]=[NH2+],-4.504388809204102
guided,COc1cccc(Nc2nnc(SCC(=O)NC(=O)c3cccn3C)s2)c1,-0.5694477558135986
guided,[CH2-][P+]([O-])(N[C+]1CCCCC[N-]1)O[c+]1[cH-][cH+][cH-][cH+][cH-]1,-3.0110397338867188
guided,CSC1=C(SCc2ccccc2)/C(=C(/[O-])NNC(N)=O)C(C)=[S+]1,-0.47496068477630615
guided,O=C(NC1CCCC1)[C@H]1CC[C@@H](CNS(=O)(=O)c2ccc3ccccc3c2)CC1,-2.1727805137634277
guided,CCCNC(=S)Nc1ccc2c(c1)OCCO2,-4.673684597015381
guided,CN(C=O)c1nc2c(N)ncnc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,-0.3904118239879608
guided,NN[C-]([O-])[C+]1N[c+]2[cH-][cH+][c-](C(F)(F)F)[cH+][c-]2[C+]1[C][CH+][c-]1[cH+][cH-][c+](OC[c-]2[cH+][cH-][cH+][cH-][cH+]2)[cH-][cH+]1,-1.6641955375671387
guided,O=C(OCn1nc2ccccc2n1)c1cc(-c2cccs2)nc2ccccc12,-2.922391176223755
guided,Cc1ccc(NC(=O)c2cccs2)c(O)c1,-4.049283027648926
guided,[O-][S+]([O-])OCCS[c+]1[n-][c+]2[cH-][cH+][cH-][cH+][c-]2n1C[c+]1[cH-][cH+][c-](F)[cH+][cH-]1,-1.558278203010559
guided,CO[c-]1[cH+][cH-][c+](N([CH-][C+]([O-])N[c+]2[cH-][cH+][c-](C)[cH+][cH-]2)[S+2]([O-])([O-])[c-]2[c+](C)[n-]o[c+]2[CH-][CH+]N(C)C)[cH-][cH+]1,-0.5799288153648376
guided,Cc1nc([N+](=O)[O-])cn1CCCc1ccc(C(F)(F)F)cc1,-3.2244858741760254
guided,[C-3]n1[c+](SC[C+]([O-])N[C+]2[CH+][C+](N([O-])[O-])[CH-][CH+][CH-]2)[n-][n-][c+]1[C+]1[CH+][N-][c-]2o[c+](-[c-]3[cH+][cH-][cH+][cH-][cH+]3)[n-][c+]2[CH+]1,-0.37809765338897705
guided,CCN(CC)CC(=O)NCc1ccccn1,-4.071147441864014
guided,COc1ccccc1OP(#[O+])Nc1ccc(C)cc1.[CH3-],-4.9775872230529785
guided,FC(F)(F)[CH-]OCC1[CH-][CH+]CCN1,-8.340624809265137
guided,C[C@H](O)CNC[C@H](O)c1ccc2ccccc2c1,-3.243720293045044
guided,COc1cnc(Sc2cc(Cl)c(Cl)cc2Cl)nc1Cl,-7.8957319259643555
guided,O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(C(=O)NC[C@H]2CCCO2)cc1,-0.8424952626228333
guided,O=C(Oc1ccccc1/C=N/NS(=O)(=O)c1ccc(F)cc1)c1ccccc1,-1.2713618278503418
guided,COc1ccc(/N=N\c2c(-c3ccc(C)cc3)[nH][nH]c2=O)cc1,-1.881658673286438
guided,O=NN1CCN(C(=O)c2cccs2)CC1,-3.160139560699463
guided,O=c1[nH]c2ccc(Cl)cc2o1,-4.203378677368164
guided,NCCO[C]1[N]N([C+]2[CH][CH][CH][CH][CH]2)[CH][C]1N([O-])[O-],-0.5026121735572815
guided,O[c-]1[cH+][cH-][c+](-[c+]2[cH-]n3[cH+][cH-][cH+][n-][c+]3[n-]2)[cH-][c+]1O[C-](F)F,-2.3926780223846436
guided,O=C(Nn1cnc2ccccc2c1=O)c1cc(Cl)ccc1Cl,-2.439626932144165
guided,[O-]N([O-])[C-][C+]1[N+](C[C]2[CH][CH][CH][C](F)[CH]2)[C][CH]C1(CO)CO,-0.5029922127723694
guided,Cl[c-]1[cH+][cH-][c+](CO[N-][C+]2[CH-]CCCCC2)[cH-][cH+]1,-9.602189064025879
guided,Cc1cc(S(N)(=O)=O)c(N)c(S(N)(=O)=O)c1,-0.430691659450531
