source,smiles,log_reward
guided,CCC(=O)N1N=C(c2ccc(C(=O)NCCc3ccccc3)cc2)C[C@H]1c1ccco1,-2.4319937229156494
guided,C[OH+][C-]([O-])N1[C+]([CH-][CH+][CH-][c+]2[cH-][cH+][cH-][cH+][cH-]2)[CH-][CH+]C1(C)[C-]([O-])NC[C+]1[CH+][CH-][CH+][CH+][N-]1,-0.5497941374778748
guided,COCCSc1nc(Cc2ccc(C)cc2)nc2ccccc12,-6.8469157218933105
guided,O=S(=O)(c1cccs1)N1CCC(O)(c2cccc(C(F)(F)F)c2)CC1,-3.3048222064971924
guided,CC(C)(C)c1ccc(S(=O)(=O)NCC(=O)N2CCCC2)cc1,-1.8754605054855347
guided,O=C(c1nc2ccccc2c(=O)[nH]1)c1cccc2ccccc12,-2.659339189529419
guided,NS(=O)(=O)c1ccc(/C=C2\NN(c3ccccc3Cl)C(=O)C2=O)cc1,-0.34014779329299927
guided,O=C(NNc1ccc(Cl)c(C(=O)O)c1)Nc1cccc(C(F)(F)F)c1,-1.7518646717071533
guided,Cc1cc(C)cc(OCC(=O)Nc2cccc3ccccc23)c1,-6.485496520996094
guided,COc1cc(CCC(=O)NNC(=O)c2ccc(C)o2)cc(OC)c1OC,-0.41183337569236755
guided,NS(=O)(=O)c1ccc(CCNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,-0.2922869026660919
guided,NS(=O)(=O)c1ccc(CCNc2cc(C(F)(F)F)nc3ccccc23)cc1,-1.350257158279419
guided,O=c1[nH]c(-c2ccc(S(=O)(=O)N3CCOCC3)o2)nc2ccccc12,-0.2553599774837494
guided,O=S(=O)(/C=C/c1ccco1)NC1CCCCCC1,-2.875584125518799
guided,COC(=O)C(C)(C)ONC(=O)Nc1ccccc1[N+](=O)[O-],-0.3990749716758728
guided,CCCCOc1ccc(N/C=N/C(=O)c2cccn2C)cc1,-3.5097126960754395
guided,COc1cc(/C=N/N(C)C)cc(Br)c1OCC(=O)O,-1.4897074699401855
guided,NN1C(=O)N[C@H](Cc2ccc(OC(F)(F)F)cc2)C1=O,-0.6683050990104675
guided,O=C(NCCOc1ccc2ccccc2c1)c1ccc([N+](=O)[O-])cc1,-1.512985348701477
guided,COC(=O)C1=C(C)N(Cc2cccs2)/C(=N/Cc2cc(OC)c(OC)c(OC)c2)N[C@H]1c1ccc(N(C)C)cc1,-2.5335428714752197
guided,CCOc1ccccc1OCC(=O)Nc1cccc(C(F)(F)F)c1,-4.904514312744141
guided,O=C(NNC(=S)NC(=O)c1ccc(Br)s1)c1cc2ccccc2o1,-1.221859097480774
guided,BrCCOC(c1ccccc1)c1ccccc1,-11.911707878112793
guided,[CH][C]COCCOC[CH+]OCCN[c+]1[n-][c+](N2CCOCC2)[n-][c+](N2CCN(C[c+]3[cH-][cH+][cH-][cH+][cH-]3)CC2)[n-]1,-0.2724696397781372
guided,C[C]/C(C(=O)Nc1cccc(-c2cnc3ccccc3n2)c1)=C(/[O-])NC[C+]1=CC=C2OCOC2=C1,-0.8198128342628479
guided,NNCc1c(O)ccc2ccccc12,-2.59417462348938
guided,O=C(CN1CCN(Cc2ccccc2)CC1)Nc1ncccn1,-2.1157870292663574
guided,CCCNC(=O)Cc1c(C)oc2ccccc12,-4.874668121337891
