source,smiles,log_reward
guided,COC(=O)c1ccc(Cn2cc(CN(C)Cc3cccnc3)c(=O)[nH]c2=O)o1,-0.26270541548728943
guided,Cc1ccc2c(c1)C(c1ccc(C(=O)O)s1)=NNC(=O)/C2=C\c1ccccc1,-2.106720447540283
guided,C/C(=N\NC(=O)c1cc(-c2ccncc2)nc2ccccc12)c1ccc(O[C@@H]2CC(=O)N(C(C)C)C2=O)cc1,-1.608988642692566
guided,C[C@@H]1CN(Cc2c[nH]c3ccc(F)cc3c2=O)C[C@H](C)O1,-4.310969352722168
guided,C/C(Cn1cnc(NC(=O)c2ccccc2)n1)=N\Nc1ccc2ccccc2c1,-1.8268356323242188
guided,[O-][CH-][C+]1[C+]([C+]([O-])O)[N-][C+]([C][C]CO)N1C1CCCCC1.[O-][C][c+]1[cH+][cH+][cH+][cH-][cH+]1,-0.36162829399108887
guided,COCCCNc1nc(-c2ccccc2OC)nc2ccccc12,-3.538379192352295
guided,NNCc1ccccc1,-5.2701005935668945
guided,[H]/[O+]=C(/CCC[C-](C)C)CC(=O)O,-2.720296859741211
guided,[O][C](NC1[CH+][N]NC1[C]([O])N[N][CH][C]1[CH][C](N([O-])[O-])[CH][CH][C]1O)[C]1[CH][CH][CH]O1,-0.54819256067276
guided,CCCCN(NC(=O)Nc1ccc(CC#N)cc1)c1ccccc1,-2.7349395751953125
guided,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1O,-3.6182479858398438
guided,COCCCNc1ncnc2c1oc1ccccc12,-2.6792290210723877
guided,COC(=O)c1nc(NC(=O)c2ccc(OC)c(OC)c2)n[nH]1,-0.3101772665977478
guided,COc1ccccc1[C@H](C#N)c1nc2ccccc2n2c(C)nnc12,-1.5969829559326172
guided,CN(C=O)C1=NC[C@@H](CSCC(=O)Nc2cc(-c3cccs3)[nH]n2)O1,-0.36421117186546326
guided,C/C=[N+]1\C2=C=CC=CC2=C\C1=C\C=C(/[O-])Nc1cc(C(C)(C)C)on1,-2.6116623878479004
guided,CCOC(=O)N/N=C/c1cn(-c2ccccc2)nc1-c1ccc(OC)cc1,-1.7125968933105469
guided,COc1cc2c(C)cc(=O)oc2cc1OC(=O)c1cc(OC)c(OC)c(OC)c1,-1.0116685628890991
guided,COc1ccc(C(=O)C2CCN(S(=O)(=O)c3c(C)noc3C)CC2)c2ccccc12,-1.3019014596939087
guided,CCOC(=O)[C@@H]1CCCN(C(=O)CNC(=O)c2cccs2)C1,-1.1123777627944946
guided,Cc1nn(-c2ccccc2O)c2c1[C@@H](c1ccc(Cl)cc1)n1nnnc1N2,-0.9875624775886536
guided,CC(C)[C@@H](O)[C@@H](CCCN1C(=O)O[C@](CC(=O)O)(C(C)(C)C)[C@@H]1c1ccc(C(F)(F)F)cc1)CCC(=O)O,-3.2405271530151367
guided,O=C(c1ccccc1)c1ccc(C(=O)c2ccc(NC(=O)[C@@H]3CCCCN3)cc2)cc1,-2.3114678859710693
guided,COC(=O)NC1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,-3.5055503845214844
guided,COCCCNS(=O)(=O)c1ccc(-n2cnnn2)cc1,-0.357258677482605
guided,O=C(C1CC1)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,-2.6616556644439697
guided,COc1cccc2[nH]c(C(=O)NC[C@H]3CCCO3)cc12,-2.130779266357422
guided,CCC(=O)N[C@@H](NC(=O)c1ccccc1)c1ccccc1,-2.8291287422180176
guided,C[C@H]1CN(C(=O)C(C)(C)C)c2ccccc2O1,-6.966766357421875
guided,CO[C@H]1CC[C@H](NC(=O)Cn2cc(C(C)=O)c3ccccc32)CC1,-2.677743673324585
guided,CO[C-]1[N-][C+]([C][C][c+]2[cH+][cH+][cH+][cH-][c+]2O[c-]2[cH+][cH-][cH+][cH-][cH+]2)[C+]2CCCC[C-]2[N-]1.[H+].[H+],-7.3441386222839355
guided,CC(C)OCCOc1ccccc1CN1CCN(C)CC1,-7.542327880859375
guided,COc1cccc(-c2nnc3n2N=C(c2ccc(OC)c(OC)c2)CS3)c1,-1.9997632503509521
guided,CCOc1ccc(CN(C)C(=O)[c-]2cc3cc4ccccc4nc3cc2=O)cc1.[H+],-3.5898983478546143
guided,COc1cccc(CN2CCC(n3nccc3NC(=O)C3CCCC3)CC2)c1,-3.342133045196533
guided,CCNC(=S)N/N=C/c1ccco1,-3.606097459793091
