guide,temp,position,flips,states,flip_rate
base,0.3,0,52,24000,0.0021666666666666666
base,0.3,1,2817,24000,0.117375
base,0.3,2,970,24000,0.04041666666666666
base,0.3,3,146,24000,0.006083333333333333
base,0.3,4,117,24000,0.004875
base,0.3,5,198,24000,0.00825
base,0.3,6,146,24000,0.006083333333333333
base,0.3,7,154,24000,0.006416666666666667
base,0.3,8,134,24000,0.005583333333333333
base,0.3,9,204,24000,0.0085
base,0.3,10,135,24000,0.005625
base,0.3,11,159,24000,0.006625
base,0.3,12,138,24000,0.00575
base,0.3,13,128,24000,0.005333333333333333
base,0.3,14,96,23999,0.0040001666736114005
base,0.3,15,115,23995,0.004792665138570536
base,0.3,16,109,23992,0.004543181060353451
base,0.3,17,105,23987,0.0043773710759995
base,0.3,18,79,23982,0.003294137269618881
base,0.3,19,72,23969,0.0030038800116817554
base,0.3,20,68,23955,0.002838655812982676
base,0.3,21,80,23931,0.0033429442981906315
base,0.3,22,56,23896,0.002343488449949782
base,0.3,23,59,23841,0.002474728409043245
base,0.3,24,60,23769,0.002524296352391771
base,0.3,25,50,23695,0.002110149820637265
base,0.3,26,52,23571,0.002206100716982733
base,0.3,27,46,23406,0.0019653080406733317
base,0.3,28,51,23248,0.002193737095664143
base,0.3,29,46,23042,0.001996354483117785
base,0.3,30,51,22749,0.002241856784913623
base,0.3,31,50,22388,0.0022333392889047703
base,0.3,32,26,21977,0.0011830550120580606
base,0.3,33,38,21504,0.0017671130952380952
base,0.3,34,34,20992,0.0016196646341463414
base,0.3,35,32,20401,0.0015685505612469976
base,0.3,36,37,19723,0.001875982355625412
base,0.3,37,26,18991,0.0013690695592649149
base,0.3,38,22,18182,0.0012099879001209988
base,0.3,39,22,17342,0.0012685964709952715
base,0.3,40,31,16523,0.001876172607879925
base,0.3,41,22,15629,0.0014076396442510718
base,0.3,42,29,14685,0.001974804221995233
base,0.3,43,22,13768,0.0015979081929110982
base,0.3,44,23,12851,0.0017897439887946463
base,0.3,45,22,11919,0.0018457924322510277
base,0.3,46,19,10986,0.0017294738758419808
base,0.3,47,13,10043,0.0012944339340834412
base,0.3,48,12,9143,0.0013124794925079295
base,0.3,49,9,8345,0.0010784901138406232
base,0.3,50,14,7550,0.0018543046357615894
base,0.3,51,10,6818,0.0014667057788207685
base,0.3,52,13,6136,0.00211864406779661
base,0.3,53,9,5454,0.0016501650165016502
base,0.3,54,8,4779,0.0016739903745553464
base,0.3,55,8,4267,0.0018748535270681978
base,0.3,56,6,3718,0.0016137708445400753
base,0.3,57,4,3226,0.0012399256044637321
base,0.3,58,3,2800,0.0010714285714285715
base,0.3,59,3,2418,0.0012406947890818859
base,0.3,60,6,2090,0.0028708133971291866
base,0.3,61,3,1781,0.0016844469399213925
base,0.3,62,8,1506,0.005312084993359893
base,0.3,63,1,1266,0.0007898894154818325
base,0.3,64,2,1069,0.0018709073900841909
base,0.3,65,3,912,0.003289473684210526
base,0.3,66,1,772,0.0012953367875647669
base,0.3,67,2,650,0.003076923076923077
base,0.3,68,1,554,0.0018050541516245488
base,0.3,69,2,468,0.004273504273504274
base,0.3,70,0,389,0.0
base,0.3,71,2,327,0.0061162079510703364
base,0.3,72,0,272,0.0
base,0.3,73,2,234,0.008547008547008548
base,0.3,74,3,198,0.015151515151515152
base,0.3,75,0,174,0.0
base,0.3,76,2,139,0.014388489208633094
base,0.3,77,1,115,0.008695652173913044
base,0.3,78,1,99,0.010101010101010102
base,0.3,79,0,82,0.0
base,0.3,80,0,67,0.0
base,0.3,81,1,61,0.01639344262295082
base,0.3,82,1,51,0.0196078431372549
base,0.3,83,0,45,0.0
base,0.3,84,0,40,0.0
base,0.3,85,0,34,0.0
base,0.3,86,1,34,0.029411764705882353
base,0.3,87,0,26,0.0
base,0.3,88,0,25,0.0
base,0.3,89,0,23,0.0
base,0.3,90,0,21,0.0
base,0.3,91,0,19,0.0
base,0.3,92,0,17,0.0
base,0.3,93,1,14,0.07142857142857142
base,0.3,94,0,13,0.0
base,0.3,95,0,11,0.0
base,0.3,96,0,10,0.0
base,0.3,97,0,10,0.0
base,0.3,98,0,10,0.0
base,0.3,99,0,6,0.0
base,0.3,100,0,6,0.0
base,0.3,101,1,5,0.2
base,0.3,102,0,4,0.0
base,0.3,103,0,3,0.0
base,0.3,104,0,3,0.0
base,0.3,105,0,3,0.0
base,0.3,106,0,3,0.0
base,0.3,107,0,3,0.0
base,0.3,108,0,3,0.0
base,0.3,109,0,3,0.0
base,0.3,110,0,3,0.0
base,0.3,111,0,3,0.0
base,0.3,112,0,3,0.0
base,0.3,113,0,3,0.0
base,0.3,114,0,1,0.0
base,0.3,115,0,1,0.0
base,0.3,116,0,1,0.0
base,0.3,117,0,1,0.0
base,0.3,118,0,1,0.0
base,0.3,119,0,1,0.0
base,0.3,120,0,1,0.0
base,0.3,121,0,1,0.0
base,0.3,122,0,1,0.0
base,0.3,123,0,1,0.0
base,0.3,124,0,1,0.0
base,0.3,125,0,1,0.0
base,0.3,126,0,1,0.0
base,0.3,127,0,1,0.0
base,0.3,128,0,1,0.0
base,0.3,129,0,1,0.0
base,0.3,130,0,1,0.0
base,0.3,131,0,1,0.0
base,0.3,132,0,1,0.0
base,0.3,133,0,1,0.0
base,0.3,134,0,1,0.0
base,0.3,135,0,1,0.0
base,0.3,136,0,1,0.0
base,0.3,137,0,1,0.0
base,0.3,138,0,1,0.0
base,0.3,139,0,1,0.0
base,0.3,140,0,1,0.0
base,0.3,141,0,1,0.0
base,0.3,142,0,1,0.0
base,0.3,143,0,1,0.0
base,0.3,144,0,1,0.0
base,0.3,145,0,0,
base,0.3,146,0,0,
base,0.3,147,0,0,
base,0.3,148,0,0,
base,0.3,149,0,0,
base,0.3,150,0,0,
base,0.3,151,0,0,
base,0.3,152,0,0,
base,0.3,153,0,0,
base,0.3,154,0,0,
base,0.3,155,0,0,
base,0.3,156,0,0,
base,0.3,157,0,0,
base,0.3,158,0,0,
base,0.3,159,0,0,
base,0.3,160,0,0,
base,0.3,161,0,0,
base,0.3,162,0,0,
base,0.3,163,0,0,
base,0.3,164,0,0,
base,0.3,165,0,0,
base,0.3,166,0,0,
base,0.3,167,0,0,
base,0.3,168,0,0,
base,0.3,169,0,0,
base,0.3,170,0,0,
base,0.3,171,0,0,
base,0.3,172,0,0,
base,0.3,173,0,0,
base,0.3,174,0,0,
base,0.3,175,0,0,
base,0.3,176,0,0,
base,0.3,177,0,0,
base,0.3,178,0,0,
base,0.3,179,0,0,
base,0.3,180,0,0,
base,0.3,181,0,0,
base,0.3,182,0,0,
base,0.3,183,0,0,
base,0.3,184,0,0,
base,0.3,185,0,0,
base,0.3,186,0,0,
base,0.3,187,0,0,
base,0.3,188,0,0,
base,0.3,189,0,0,
base,0.3,190,0,0,
base,0.3,191,0,0,
hidden,0.3,0,696,28000,0.024857142857142855
hidden,0.3,1,3519,28000,0.12567857142857142
hidden,0.3,2,1542,28000,0.05507142857142857
hidden,0.3,3,204,28000,0.007285714285714286
hidden,0.3,4,169,28000,0.006035714285714286
hidden,0.3,5,310,28000,0.01107142857142857
hidden,0.3,6,179,28000,0.006392857142857143
hidden,0.3,7,224,27999,0.00800028572449016
hidden,0.3,8,193,27999,0.006893103325118754
hidden,0.3,9,235,27999,0.008393156898460659
hidden,0.3,10,195,27998,0.0069647831987999145
hidden,0.3,11,236,27997,0.008429474586562846
hidden,0.3,12,179,27992,0.006394684195484424
hidden,0.3,13,167,27992,0.005965990282937982
hidden,0.3,14,141,27990,0.005037513397642015
hidden,0.3,15,128,27989,0.004573225195612562
hidden,0.3,16,151,27989,0.005394976597949195
hidden,0.3,17,131,27985,0.004681079149544399
hidden,0.3,18,92,27977,0.0032884154841476927
hidden,0.3,19,107,27967,0.0038259377123037864
hidden,0.3,20,102,27953,0.0036489822201552606
hidden,0.3,21,94,27926,0.0033660388168731646
hidden,0.3,22,84,27886,0.0030122642186043175
hidden,0.3,23,109,27833,0.003916214565443898
hidden,0.3,24,91,27767,0.003277271581373573
hidden,0.3,25,68,27669,0.0024576240558025226
hidden,0.3,26,85,27513,0.0030894486242867007
hidden,0.3,27,75,27333,0.002743935901657337
hidden,0.3,28,61,27116,0.0022495943354477062
hidden,0.3,29,72,26851,0.0026814643774905962
hidden,0.3,30,66,26509,0.002489720472292429
hidden,0.3,31,70,26114,0.0026805544918434556
hidden,0.3,32,74,25677,0.0028819566148693384
hidden,0.3,33,75,25157,0.0029812775768175855
hidden,0.3,34,55,24580,0.0022375915378356386
hidden,0.3,35,44,23867,0.001843549671093979
hidden,0.3,36,48,23114,0.0020766634939863287
hidden,0.3,37,46,22271,0.002065466301468277
hidden,0.3,38,36,21343,0.001686735697886895
hidden,0.3,39,45,20351,0.0022111935531423516
hidden,0.3,40,40,19364,0.002065688907250568
hidden,0.3,41,43,18324,0.0023466492032307358
hidden,0.3,42,44,17194,0.0025590322205420496
hidden,0.3,43,32,16147,0.0019817922833962965
hidden,0.3,44,27,15104,0.0017876059322033898
hidden,0.3,45,34,13986,0.002431002431002431
hidden,0.3,46,22,12962,0.0016972689399783983
hidden,0.3,47,23,11883,0.0019355381637633595
hidden,0.3,48,18,10851,0.0016588332872546309
hidden,0.3,49,21,9859,0.002130033471954559
hidden,0.3,50,18,8862,0.002031144211238998
hidden,0.3,51,18,7982,0.0022550739163117012
hidden,0.3,52,17,7121,0.0023873051537705377
hidden,0.3,53,14,6362,0.0022005658597925182
hidden,0.3,54,19,5623,0.003378979192601814
hidden,0.3,55,8,4918,0.0016266775111834079
hidden,0.3,56,6,4313,0.0013911430558775793
hidden,0.3,57,14,3762,0.003721424774056353
hidden,0.3,58,12,3242,0.003701418877236274
hidden,0.3,59,5,2804,0.001783166904422254
hidden,0.3,60,7,2418,0.0028949545078577337
hidden,0.3,61,12,2065,0.005811138014527845
hidden,0.3,62,9,1780,0.0050561797752808986
hidden,0.3,63,3,1528,0.001963350785340314
hidden,0.3,64,9,1285,0.007003891050583658
hidden,0.3,65,11,1080,0.010185185185185186
hidden,0.3,66,1,909,0.0011001100110011
hidden,0.3,67,5,767,0.00651890482398957
hidden,0.3,68,2,635,0.0031496062992125984
hidden,0.3,69,4,512,0.0078125
hidden,0.3,70,3,423,0.0070921985815602835
hidden,0.3,71,1,372,0.002688172043010753
hidden,0.3,72,6,314,0.01910828025477707
hidden,0.3,73,2,268,0.007462686567164179
hidden,0.3,74,2,219,0.0091324200913242
hidden,0.3,75,2,183,0.01092896174863388
hidden,0.3,76,0,157,0.0
hidden,0.3,77,0,130,0.0
hidden,0.3,78,1,116,0.008620689655172414
hidden,0.3,79,1,100,0.01
hidden,0.3,80,0,91,0.0
hidden,0.3,81,0,82,0.0
hidden,0.3,82,0,73,0.0
hidden,0.3,83,0,67,0.0
hidden,0.3,84,0,60,0.0
hidden,0.3,85,1,47,0.02127659574468085
hidden,0.3,86,1,41,0.024390243902439025
hidden,0.3,87,0,38,0.0
hidden,0.3,88,1,36,0.027777777777777776
hidden,0.3,89,0,31,0.0
hidden,0.3,90,2,29,0.06896551724137931
