name,family,reward,guide,guide_type,objective,replay,beta,temp,guide_source,n_traj,delivered_frac,argmax_flip_rate,sample_flip_rate,mean_total_variation,mean_KL,mean_prior_top1_gap,flip_rate_high_gap,flip_rate_low_gap,frac_states_high_gap,n_states,n_positions_reported,deepest_position_reached,ckpt
sweep-fexo-base-db-replay_off-b1,sweep,fexo,base,TempGainGuide,db,off,1,1.0,ema,2000,1.0,0.0033598956663977277,0.004487229080781176,0.003343902073509743,0.004193142542040268,16.49198445010129,0.0003376356297671849,0.015165876777251185,0.7201560583118735,90479,192,159,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-base-db-replay_off-b1/checkpoints/epoch=4-step=458.ckpt
sweep-fexo-base-db-replay_on-b1,sweep,fexo,base,TempGainGuide,db,on,1,1.0,ema,2000,1.0,0.017817764840786805,0.007629884449148805,0.006921326844056995,0.007668668702680864,16.42036769110826,0.00029099597200312437,0.02649293390544424,0.7199104701420129,90696,192,135,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-base-db-replay_on-b1/checkpoints/epoch=4-step=478.ckpt
sweep-fexo-base-db-replay_off-b10,sweep,fexo,base,TempGainGuide,db,off,10,1.0,ema,2000,1.0,0.011791079218909681,0.010208679025505214,0.008119064437545637,0.005971190322468665,16.437702685822167,0.00025892925138984083,0.035982008995502246,0.7214755881803496,91001,192,98,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-base-db-replay_off-b10/checkpoints/epoch=4-step=472.ckpt
sweep-fexo-base-db-replay_on-b10,sweep,fexo,base,TempGainGuide,db,on,10,1.0,ema,2000,1.0,0.023479811545066266,0.013121394918761834,0.01107035715043722,0.006529018519477482,16.42608952267178,0.00021373066882432866,0.046485931889033584,0.7210492712782353,90844,192,145,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-base-db-replay_on-b10/checkpoints/epoch=4-step=489.ckpt
sweep-fexo-hidden-db-replay_off-b1,sweep,fexo,hidden,HiddenGuide,db,off,1,1.0,ema,2000,1.0,0.02405433762217682,0.015969959688552655,0.013828728058719125,0.0361129150859997,16.388344996711066,0.0017235542150133884,0.052184798341352735,0.7176762935556905,90545,192,87,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-hidden-db-replay_off-b1/checkpoints/epoch=4-step=478.ckpt
sweep-fexo-hidden-db-replay_on-b1,sweep,fexo,hidden,HiddenGuide,db,on,1,1.0,ema,2000,1.0,0.013850506645611264,0.013675044962056411,0.011647603751809388,0.0431258818665711,16.378469586001106,0.0022441035035493475,0.04282988747420473,0.7183510988287932,91188,192,94,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-hidden-db-replay_on-b1/checkpoints/epoch=4-step=442.ckpt
sweep-fexo-hidden-db-replay_off-b10,sweep,fexo,hidden,HiddenGuide,db,off,10,1.0,ema,2000,1.0,0.018779963630352125,0.011869730533972557,0.010358671628593769,0.03303329791610986,16.422598024964127,0.0017292565727052918,0.037969199259521844,0.7201851545710035,90735,192,84,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-hidden-db-replay_off-b10/checkpoints/epoch=4-step=461.ckpt
sweep-fexo-hidden-db-replay_on-b10,sweep,fexo,hidden,HiddenGuide,db,on,10,1.0,ema,2000,1.0,0.025097650877482534,0.013192496011443032,0.011896672610741213,0.02511927958468066,16.47017700166771,0.0013602115205330807,0.04360807731594248,0.7199317819222094,90885,192,120,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-hidden-db-replay_on-b10/checkpoints/epoch=4-step=497.ckpt
sweep-fexo-tempgain-db-replay_off-b1,sweep,fexo,tempgain,TempGainGuide,db,off,1,1.0,ema,2000,1.0,0.00342947590573338,0.0034514597256419277,0.002933550476342632,0.001884366823886293,16.42462716357749,6.117236844117511e-05,0.012115527416266073,0.71875,90976,192,116,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-tempgain-db-replay_off-b1/checkpoints/epoch=4-step=455.ckpt
sweep-fexo-tempgain-db-replay_on-b1,sweep,fexo,tempgain,TempGainGuide,db,on,1,1.0,ema,2000,1.0,0.00681349316977976,0.002676331195985503,0.002291816321038906,0.0013116572445602609,16.4809780939728,9.294544102611767e-05,0.00931491580749174,0.7198661834402007,89675,192,94,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-tempgain-db-replay_on-b1/checkpoints/epoch=4-step=483.ckpt
