name,family,reward,guide,guide_type,objective,replay,beta,temp,guide_source,n_traj,delivered_frac,argmax_flip_rate,sample_flip_rate,mean_total_variation,mean_KL,mean_prior_top1_gap,flip_rate_high_gap,flip_rate_low_gap,frac_states_high_gap,n_states,n_positions_reported,deepest_position_reached,ckpt
stability-geom-base-db-b1,stability,atom_stability,base,TempGainGuide,db,off,1,0.3,ema,400,1.0,0.016058156567026527,0.004123040199641947,0.0038458746063759304,0.010751554693403956,16.210146623420126,0.00022686025408348456,0.014014206181608754,0.7174089947376987,18433,,,logs/quetzal-gfn/stability-geom-base-db-b1/checkpoints/last.ckpt
stability-geom-base-db-b1,stability,atom_stability,base,TempGainGuide,db,off,1,1.0,ema,400,1.0,0.01381902603504505,0.004477364435354596,0.0031484218806220174,0.005459229211627988,16.337033310219077,0.0002306805074971165,0.01533621706645694,0.7188657343430435,18091,,,logs/quetzal-gfn/stability-geom-base-db-b1/checkpoints/last.ckpt
stability-geom-base-db-b10,stability,atom_stability,base,TempGainGuide,db,off,10,0.3,ema,400,1.0,0.015472402062986942,0.004828267310435641,0.004561365952966483,0.01547398262029557,16.234916693343035,0.00030667791152342254,0.01620683002122323,0.7156260287501371,18226,,,logs/quetzal-gfn/stability-geom-base-db-b10/checkpoints/last.ckpt
stability-geom-base-db-b10,stability,atom_stability,base,TempGainGuide,db,off,10,1.0,ema,400,1.0,0.01302984429065744,0.005352508650519031,0.0037750403948815354,0.005520301204526895,16.544684008331036,0.0005246982984783749,0.017846750727449078,0.7212910899653979,18496,,,logs/quetzal-gfn/stability-geom-base-db-b10/checkpoints/last.ckpt
stability-geom-hidden-db-b1,stability,atom_stability,hidden,HiddenGuide,db,off,1,0.3,ema,400,1.0,0.009246886525201774,0.0056657223796034,0.00590878995491689,0.06326534617270627,16.418936983486034,0.0012615019293558919,0.017007452703993883,0.7202950451654284,18709,,,logs/quetzal-gfn/stability-geom-hidden-db-b1/checkpoints/last.ckpt
stability-geom-hidden-db-b1,stability,atom_stability,hidden,HiddenGuide,db,off,1,1.0,ema,400,1.0,0.00783202799533411,0.0071654724212631225,0.005557280928179074,0.029524125919580823,16.332987967089984,0.0015392903871315324,0.021756487025948103,0.7217130478253624,18003,,,logs/quetzal-gfn/stability-geom-hidden-db-b1/checkpoints/last.ckpt
stability-geom-hidden-db-b10,stability,atom_stability,hidden,HiddenGuide,db,off,10,0.3,ema,400,1.0,0.021584699453551914,0.007814207650273224,0.008244412915797073,0.09577083403048703,16.19756430339292,0.0014486123818237267,0.023919753086419752,0.7167213114754099,18300,,,logs/quetzal-gfn/stability-geom-hidden-db-b10/checkpoints/last.ckpt
stability-geom-hidden-db-b10,stability,atom_stability,hidden,HiddenGuide,db,off,10,1.0,ema,400,1.0,0.017994149141690126,0.008279516476237788,0.006797651648794615,0.02889055975949173,16.422323317574357,0.0016208706390861377,0.024995155977523737,0.7151294364409119,18117,,,logs/quetzal-gfn/stability-geom-hidden-db-b10/checkpoints/last.ckpt
sweep-fexo-base-db-replay_off-b1,sweep,fexo,base,TempGainGuide,db,off,1,0.3,ema,400,1.0,0.00270091500385845,0.004189174291698821,0.004554966051857026,0.01061435284850671,16.438508931258696,7.655209369976269e-05,0.014766686355581808,0.720041891742917,18142,,,logs/quetzal-gfn/sweep-fexo-base-db-replay_off-b1/checkpoints/last.ckpt
sweep-fexo-base-db-replay_on-b1,sweep,fexo,base,TempGainGuide,db,on,1,0.3,ema,400,1.0,0.02023899235655076,0.00958122510496286,0.008960377434375489,0.022523600096052615,16.20500781823827,0.00030140908748398765,0.03278688524590164,0.7143395413930456,18578,,,logs/quetzal-gfn/sweep-fexo-base-db-replay_on-b1/checkpoints/last.ckpt
