rank,oracle_call,score,smiles
1,8825,0.484544,CCOC(=O)c1[nH]c2ccc(OC)cc2c1NC(=O)C1CCCCC1
2,3452,0.468293,CCOC(=O)N1CCC(NC(=O)c2cc3sccc3n2CC)CC1
3,322,0.467236,CC[C@](C)(C(=O)NC1CCCC1)N(Cc1ccc(OC(F)F)c(OC)c1)C(=O)c1ccccc1C(=O)O
4,346,0.464572,COc1ccc([C@@H](NC(=O)[C@@H]2CCCC[C@H]2C(=O)O)C(C)C)cc1COc1c(F)c(F)cc(F)c1F
5,7312,0.462250,CCOC(=O)[C@@H]1CCCN(C(=O)[C@H](C)n2cnc(-c3cccs3)n2)C1
6,534,0.459763,CCCc1cc(=O)oc2cc(C)cc(OCC(=O)N3CCC(C(=O)O)CC3)c12
7,5042,0.454257,CCOC(=O)N1CCC(NC(=O)CCS(=O)(=O)c2ccc3nc(C)sc3c2)CC1
8,5873,0.450694,COCCNC(=O)[C@H]1CCCCN1C(=O)CCC(=O)Nc1nc2ccccc2s1
9,664,0.447214,CCC[C@@H](NC(=O)c1cc2ccccc2oc1=O)C(=O)N(CCC)CC(=O)NC(C)C
10,2685,0.445503,Cc1ccccc1N(CC(=O)NC1CCCCC1)C(=O)CCC(=O)Nc1nccs1
11,4104,0.443937,COc1cccc([C@@H](C(=O)NC2CCCCC2)N(C)C(=O)CNC(=O)c2ccccc2F)c1
12,4215,0.441170,CCOCCCN(C(=O)CCC(=O)Nc1nnc(C(F)(F)F)s1)[C@@H](C(=O)NC1CCCC1)c1ccccc1
13,8452,0.440732,O=C(NC1CCCC1)C1=C[C@@H](c2ccc(Br)cc2)C[C@@H](OCCc2ccc(C(=O)O)cc2)O1
14,5421,0.440225,CC[C-](CC)Oc1nc2ccccn2c(=O)c1/C=C(\C#N)C(=O)NC1CCCC1.[H+]
15,4871,0.439633,CCOC(=O)[C@H](Cc1ccsc1)NC(=O)Cn1nc(C(F)(F)F)cc1C
16,7790,0.437928,COC(=O)C1=C(CSc2nnc(CNC(=O)c3ccc(OC)cc3)o2)NC(=O)N[C@H]1C1CCCCC1
17,6339,0.437237,COc1cccc(N(C(=O)C(C)C)[C@H](C(=O)NC2CCCC2)c2ccc3c(c2)OCO3)c1
18,1043,0.436436,CCOC(=O)NNC(=O)c1c(O)c2c(n(Cc3ccccc3)c1=O)CCCC2
19,3460,0.435494,C[C@H](Cc1cccs1)n1cc(C(=O)NCC2CCCCC2)nn1
20,7058,0.434714,O=C(O)[C@H]1CCCC[C@H]1C(=O)N1CC=C(c2c[nH]c3ccccc3c2=O)CC1
21,8928,0.434714,CCOC(=O)[C@H](CCSC)NC(=O)/C=C(/Sc1ncccn1)c1ccccc1
22,2810,0.432426,CCOC(=O)N1CCC(Nc2c(Nc3ccc(C)c(C)c3)c(=O)c2=O)CC1
23,4517,0.431934,CCOC(=O)[C@@H]1CCCN(C(=O)C2CCN(S(=O)(=O)c3cccc4nsnc34)CC2)C1
24,4201,0.431788,CC[C@H]1CCCCN1C(=O)c1c[nH]c2c(C(=O)O)cc(F)cc2c1=O
25,3751,0.430331,COCCN(C(=O)c1ccc(OC)cc1)c1nnc(CCNC(=O)C2CCCCC2)s1
26,4573,0.429970,CCOC(=O)[C@H]1CCCN(C(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)C1
27,4530,0.429669,Cc1cc(C(=O)OCC(=O)Nc2ccc(S(=O)(=O)N3CCCC[C@@H]3C)cc2)c(C)o1
28,9129,0.429669,O=C(CN(C(=O)CCNC(=O)c1ccco1)c1cccc(F)c1)NC1CCCC1
29,1777,0.428952,O=C(O)CCCNC(=O)N1CCC[C@H](C(=O)c2cccc3ccccc23)C1
30,2913,0.428952,Cn1c(CNC(=O)C2CCCCC2)nnc1SCC(=O)c1ccccc1Cl
31,6460,0.428174,COC(=O)c1[nH]c2cc(OC)ccc2c1NC(=O)NC1CCCCC1
32,7628,0.428174,C[C@H](OC(=O)OC1CCCCC1)OC(=O)c1sc2ccccc2c1Cl
33,9452,0.427247,CCCC(=O)c1ccnc2cc(S(=O)(=O)NC#[N+]C3CCCCC3)ccc12.[CH3-]
34,4841,0.424795,Cc1cc(=O)oc2c3c(cc(OCC(=O)N4CCC(C(=O)O)CC4)c12)OC(C)(C)CC3
35,8750,0.424795,COc1cc(C(=O)NCC2CCCCC2)ccc1OCC(=O)Nc1ccc(C)cc1
36,3893,0.423896,CCOC(=O)c1c(NC(=O)c2ccccc2NCCOC)sc2c1CCCC2
37,4631,0.423896,COc1ccc(N(CC(=O)NC2CCCCC2)C(=O)c2csnn2)cc1OC
38,6058,0.423659,CCOC(=O)c1cc2oc(CCN3CCCC3)c(C(C)(C)C)c2[nH]1
39,3396,0.422921,C[C@H](C(=O)NC1CCCCC1)N(C(=O)c1cccs1)c1ccc(F)cc1
40,908,0.422249,CCOC(=O)[C@H](Cc1ccc(NC(=O)CC)cc1)N1C(=O)c2ccccc2C1=O
41,7549,0.421860,CCOC(=O)c1c(NC[C@@H]2CCCO2)c2ccccc2n(C)c1=O
42,4813,0.421637,CCOC(=O)C1(Cc2ccc(Cl)cc2)CCN(C(=O)CNC(=O)Cc2ccco2)CC1
43,1535,0.421212,CCOC(=O)c1cc(SCc2ccc(C(=O)O)cc2)cc(C(=O)OCC)n1
