rank,oracle_call,score,smiles
1,5498,0.533369,CCOC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)NCC1CCCCC1
2,3137,0.476331,CCOC(CNC(=O)c1ccc2c(c1)ncn2C1CCCCC1)OCC
3,6155,0.464758,COc1ccc2cc(C(=O)O[C@@H](C)C(=O)NC[C@H]3CC[C@@H](C(=O)O)CC3)[nH]c2c1
4,4858,0.455733,COCCN(C(=O)CNC(=O)c1cccs1)[C@H](C(=O)NC1CCCC1)c1cccs1
5,1047,0.453743,CCOc1ccc2[nH]c3c(c2c1)CCN1C(=O)N([C@H](C)C(=O)NC2CCCCC2)C(=O)[C@@]31C
6,4692,0.452084,COCCN(C(=O)CCC(=O)Nc1nccs1)[C@H](C(=O)NC1CCCC1)c1ccc(C)cc1
7,5916,0.450835,CC(=O)c1c(C)nc(-c2ccc(OCC(=O)N3CCC[C@@H]3C(=O)O)cc2)n1O
8,2953,0.449171,CCCn1nc(C(=O)NC2CCCCC2)c2ccccc2c1=O
9,97,0.447214,C[C@@H](NC(=O)C1CCN(C(=O)c2ccc3ccccc3c2)CC1)C(=O)O
10,1770,0.447214,CCOCCn1c(SCC(=O)NC2CCCCC2)nc2ccccc21
11,2022,0.447214,CC[C@@H](C(=O)NC1CCCC1)N(Cc1cccs1)C(=O)c1ccc(C)nc1C
12,5451,0.447214,CCOC(=O)N1CCC(NC(=O)c2ccc(C(=O)c3ccc(OC)cc3)cc2)CC1
13,7585,0.447214,CCOCCn1c(N(C)C2CCCCCC2)nc2c1c(=O)[nH]c(=O)n2C
14,679,0.445625,CCOc1ccc([C@@H](C(=O)NC2CCCCC2)N(C[C@H]2CCCO2)C(=O)c2ccc(C)o2)cc1
15,5415,0.444161,Cc1ccc(OCC(=O)Nc2cc(S(=O)(=O)N3CCCCC3)ccc2NC(=O)OCC(C)C)cc1C(=O)O
16,3151,0.443678,CCOC(=O)c1c(-c2cccc(C)c2)csc1NC(=O)[C@H]1CC=CC[C@@H]1C(=O)O
17,4273,0.443533,CC(C)CC(=O)Nc1nnc(-c2c(O)n(C3CCCCC3)c(=S)[nH]c2=O)s1
18,728,0.441942,COc1ccccc1N(CC(=O)NC1CCCC1)C(=O)CSc1nnc(C)n1C
19,2492,0.441237,CCCOc1ccc(-c2nnn([C@H](C)C(=O)OCC)n2)cc1O
20,7246,0.440488,COc1ccc(CN(CC(=O)NC2CCCC2)C(=O)CCC(=O)Nc2nccs2)cc1
21,1238,0.438529,CCc1cccc(N(C(=O)c2csnn2)[C@H](C(=O)NC(C)(C)C)C2CCCCC2)c1
22,82,0.437928,CCCCc1cc(=O)oc2cc(C(=O)NCC(=O)O)cc(OCC(=O)NC[C@H]3CC[C@@H](C(=O)O)CC3)c12
23,23,0.437237,CCOC(=O)N1CCC(NC(=O)[C@H]2CCCN(S(=O)(=O)c3cccc4nsnc34)C2)CC1
24,662,0.435985,CCOc1ccc(-n2nnnc2SCC(=O)NC2CCCCC2)cc1
25,3308,0.433629,CCn1cc(C(=O)O)c(=O)c2ccc(/C=C/C3CCCCC3)nc21
