rank,oracle_call,score,smiles
1,17357,0.539758,CCOC(=O)[C@@H](CCc1ccccc1)N[C@H](C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1
2,3749,0.491596,CCC(=O)N(c1cccc2ccccc12)[C@H](CC)C(=O)N1CCC[C@@H]1C(=O)O
3,15886,0.476331,CCOC(=O)N1CCC(NC(=O)c2sc3[nH]c(CC)nc(=O)c3c2C)CC1
4,8296,0.470504,COc1ccc(N(C(=O)[C@@H](C)NC(N)=O)[C@H](C(=O)NC2CCCC2)c2cccs2)c(C)c1
5,1163,0.467707,CCOC(=O)[C@@H]1CCC[C@@H](NC(=O)c2cnn(C)c2NC(=O)c2sccc2C)C1(C)C
6,9599,0.464811,CCCCCC(=O)O[C@@H]1[C@@H](C(=O)OC)[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@H]1OC(=O)C1CCCCC1
7,8438,0.464572,COc1cc(C(=O)NC(C)C)ccc1OC(=O)CN(CC1CCCCC1)C(=O)c1ccc(C)cc1
8,16398,0.463547,Cc1c(NC(=O)COC(=O)C2CCCCC2)c(=O)n(-c2ccccc2)n1C
9,3840,0.462321,CCOC(=O)C1CCN(C(=O)CSCC(=O)Nc2nc(-c3ccc(C)cc3)cs2)CC1
10,5953,0.461644,CCC[C@@H](C)N1CCC(n2nccc2NC(=O)CC(=O)c2cccs2)CC1
11,6076,0.461084,CCOc1cc(NC(=O)C2CCCCC2)c(OCC)cc1NC(=O)c1ccco1
12,6253,0.460086,CCCn1c(CCC(=O)NNC(=O)c2ccncc2)nnc1SCC(=O)NC1CCCCC1
13,14020,0.458349,CCC(=O)c1coc2ccc(OCC(=O)N3CCC(C(=O)O)CC3)cc12
14,18660,0.455733,O=C(COC(=O)CCc1nc2ccccc2c(=O)[nH]1)NC(=O)NC1CCCCCC1
15,17084,0.455420,CCO[C@H](C)CNc1nnc(SCC(=O)NC2CCCCC2)n1Cc1ccccc1OC
16,17199,0.455420,CCOc1ccc(N(CC(=O)NC2CCCC2)C(=O)c2cc3c(s2)CCC3)cc1OCC
17,831,0.454859,CCOc1ccc2nc(S[C@H](C)C(=O)NC3CCCCC3)[nH]c2c1
18,1273,0.454859,O=C(O)[C@H]1CCCC[C@H]1C(=O)NCCc1cccc2ccccc12
19,9575,0.454859,CCn1c(SCC(=O)NC2CCCC2)nc2c1c(=O)n(C)c(=O)n2C
20,10531,0.453513,COCCN(C(=O)CCC(=O)Nc1cc(C)on1)[C@H](C(=O)NC1CCCC1)c1ccc(OC)cc1
21,12588,0.452911,CC(C)n1c(=O)n([C@@H](C)C(=O)NC2CCCCCC2)c2ccccc21
22,907,0.452465,C[C@@H](CC(=O)O)C(=O)N1CCC[C@@H]1C(=O)NC(c1ccccc1)c1ccccc1
