rank,oracle_call,score,smiles
1,5809,0.820046,COc1cc2c(cc1NC(=O)CC(=O)NC1=[S+]C=C/C1=C(\N)[O-])oc1ccccc12
2,6152,0.817091,COc1cc(NC(=O)[C-]2C[C-]=[NH+]CCN2)ccc1/N=c1\ccc2cccc(OC)c2o1.[H+]
3,5531,0.800544,Cn1c(=O)c2c(ncn2CC(=O)Nc2ccccc2N2CCOCC2)n(C)c1=O
4,8953,0.797277,COCCNC(=O)CN(C(=O)Cn1nnc2ccccc21)c1cccc(OC)c1
5,9763,0.794968,COc1ccc(C)cc1NS(=O)(=O)c1ccc2c(c1)c(=O)n(C)c(=O)n2C
6,6065,0.790237,CN1CCN(c2nc3c(c(=O)n(C)c(=O)n3C)n2CCSc2nc3ccccc3[nH]2)CC1
7,6030,0.789996,COc1ccc2c(c1)=C/C(=C/C(=C/Nc1ccccc1)C(=O)NN)C(=O)N=2
8,1576,0.789887,COc1cc(NS(=O)(=O)c2ccc3c(c2)n(C)c(=O)c(=O)n3C)cc(OC)c1OC
9,9681,0.789815,O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1nn2c(=O)c3ccccc3nc2s1
10,5428,0.786742,COc1ccc(CN2CCNC(=O)[C@@H]2CC(=O)N(C)Cc2ccncn2)c(OC)c1
11,11029,0.786407,Cn1nc(C(=O)OCC(=O)NCc2ccco2)c2ccccc2c1=O
12,10664,0.786407,Cn1nc(C(=O)NNC(=O)/C=C/c2ccco2)c2ccccc2c1=O
13,2462,0.786140,Cn1c(CNC(=O)[C@@H](Cc2ccccc2)NC(=O)c2cccs2)cc(=O)n(C)c1=O
14,3035,0.785908,COc1ccc(N(CC(=O)NC2=Nc3c/c(=C(\[O-])O)ccc3=[S+]2)S(=O)(=O)c2c(C)noc2C)cc1
15,9848,0.785760,C[C@H](C(=O)NNC(=O)c1ccc2c(c1)OCO2)n1nnc2ccccc2c1=O
16,8163,0.785112,COCC[C-]([CH+][N-]N[C+]([O-])[C+]([O-])NCCCn1[cH+][n-][cH+][cH-]1)O[c+]1[cH-][cH+][cH-][c+]2[cH-][cH+][cH-][cH+][c-]12
17,133,0.783996,CC(=O)c1cccc(NS(=O)(=O)c2ccc3c(c2)c(=O)n(C)c(=O)n3C)c1
18,10267,0.783088,COc1ccccc1NC(=O)Cn1nnc(C(=O)NCc2cccs2)c1N
19,11479,0.781694,O=C(C/[S+]=C1\N=NC(/[NH+]=[C-]\CN2CCOCC2)=[S+]1)Nc1n[c-](-c2cccc(N([O-])[O-])c2)c[s+]1
20,11331,0.781359,CC#CCN(Cc1cc2ccccc2[nH]c1=O)S(=O)(=O)c1ccc2c(c1)n(C)c(=O)c(=O)n2C
21,6477,0.781151,CN1CCC2=C(C1)[S+]=C(NC(=S)NC(=O)c1cc3ccccc3o1)/C2=C(/N)[O-]
22,11952,0.778532,Cn1c(=O)oc2cc(S(=O)(=O)N3CCC[C@@H](C(=O)NC[C@@H]4COc5ccccc5O4)C3)ccc21
23,9405,0.778525,O=C(Nc1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCOCC1)c1ccccn1
24,10051,0.778405,COc1ccc(S(=O)(=O)Nc2cc(S(=O)(=O)N3CCOCC3)ccc2OC)cn1
25,6610,0.778092,CCOC(=O)CNC(=O)Cn1cnc2c(oc3ccccc32)c1=O
26,1228,0.777477,Cn1c(N)c(C(=O)CSc2nc3ccccc3o2)c(=O)[nH]c1=O
27,9240,0.777477,COC(=O)Cn1c(O)c(-c2nc3ccccc3s2)c(=O)[nH]c1=O
28,7186,0.777429,[H]/N=c1\c(=C\c2ccc(OC(=O)c3ccco3)c(OC)c2)c([O-])nc2[s+]nc(S(=O)(=O)C(C)C)n12
29,6749,0.777253,CCN(C(=O)COC(=O)c1c(N)c(=O)nc(C)n1C)c1cccc(OC)c1
30,7448,0.777253,COCCNc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1cccc(OC)c1
31,3943,0.777223,CO[c-]1[cH+][cH-][c+](CC(N[C-](C)[O-])[C+]([O-])N[CH+]CN[c+]2[c-](-n3[cH+][cH-][cH+][cH-]3)[c+]([O-])n(C)[c+]([O-])n2C)[c-](OC)[cH+]1.[H+].[H+]
32,10592,0.775373,CO[C][CH+][c-]1[cH+][cH-][c+]2[nH][c-](N[CH-][c+]3[c+]([O-])n(C)[c+]([O-])n(C)[c-]3[O-])[cH+][c-]2[c+]1[C+]([O-])N[C+]1[CH+][CH-][CH+][c-]2[cH+][cH-][cH+][cH-][c+]21
33,10225,0.775309,COCCNC(=O)C(=O)NC[C@H](c1cc(OC)c(OC)c(OC)c1)N1CCN(c2ccccc2)CC1
34,11034,0.775290,NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)oc(=O)n3CC(=O)N2CCCCC2)cc1
35,7764,0.775089,CO[c-]1[cH+][cH-][c+]([CH-]N2CCN[C+]([O-])C2C[C+]([O-])N(C)C[c+]2[n-]o[n-][c+]2C)[cH-][cH+]1
36,2035,0.774828,NS(=O)(=O)c1ccc(NC(=O)CSc2nnc(-c3cccnc3)o2)cc1
37,4194,0.774828,CO[C+]([O-])C([C+]([O-])N[c+]1[cH-][cH+][c-]([S+2]([O-])([O-])NC[c+]2[cH-][cH+][cH-]o2)[cH+][cH-]1)C([CH+][C-]([O-])OC)[c+]1[cH-][cH+][c-](OC)[cH+][cH-]1
38,6840,0.774616,CC(C)[C@@H](NC(=O)[C@H](C)n1nnc2ccccc2c1=O)C(=O)Nc1ccccn1
39,12103,0.774490,CCNC(=O)NC(=O)C/[S+]=c1\nc([O-])c2ccccc2n1C
40,8310,0.774442,CC(C)(C)N[C-]([O-])[N-][C+]([O-])CN1CCN([c+]2[n-][c+]3[cH+][cH+][cH-][cH+][c-]-3[c+]2[O-])CC1
41,7408,0.774376,COCCNc1nc2c(c(=O)n(C)c(=O)n2C)n1CCOC(=O)Cc1ccccc1
42,7341,0.773765,O=C(CCC/N=C(\[O-])c1cc2ccccc2oc1=O)NCCO.O=C=[OH+]
43,6121,0.773554,Cc1ccc(OCC(=O)NCCNC(=O)c2nc3ccccc3c(=O)[nH]2)cc1C
44,1359,0.773055,[CH2-]CCC(N)=C=[NH+]C(=O)CSc1ccc2nnc(-c3cccc(OC)c3OC)n2n1
45,9956,0.772383,COc1cc2cc(C#N)c(SCC(=O)NC3=[S+]C=C/C3=C(\N)[O-])nc2cc1OC
46,8486,0.772349,O=C(C/[S+]=c1/nccc([O-])[nH]1)NNC(=O)c1ccc2ccccc2c1
47,11780,0.771365,NS(=O)(=O)c1ccc(S(=O)(=O)NCCN(CCNS(=O)(=O)c2cccs2)Cc2ccccc2)cc1
48,1501,0.771340,O=C(Cn1nnc2ccccc2c1=O)NCc1ccc(N2CCCC2=O)cc1
49,7239,0.771225,CCO[C-]([O-])[C+]1[CH+][CH-][C+](CN[C-]([O-])[c+]2[cH+]n(CCOC)[c-]3[n-][c+](-[c+]4[cH-][cH+][cH-][cH+][cH-]4)[cH+][cH-]n3[c+]2[O-])O1
