rank,oracle_call,score,smiles
1,1926,0.466953,Cc1ccc([C@@H](C(=O)NC2CCCCC2)N(Cc2cccnc2)C(=O)CCCC(=O)O)o1
2,1145,0.453990,O=C(CCC(=O)OCC(=O)c1ccc(OC2CCCCC2)cc1)Nc1ccccn1
3,3074,0.452084,COCCN(C(=O)CNC(=O)c1ccco1)[C@@H](C(=O)NC1CCCCC1)c1cccc(F)c1
4,57,0.450564,O=C(COC(=O)CNC(=O)c1ccc(Cl)cc1)Nc1ccc(CC2CCCCC2)cn1
5,2489,0.439298,Cc1nc2nc(C)c(CCC(=O)NC3CCCCC3)c(C)n2n1
6,681,0.437384,CCOC(=O)c1[nH]c2cc(OC)ccc2c1NC(=O)CCC(=O)O
7,3589,0.434959,CCOC(=O)c1[nH]c2ccccc2c1NC(=O)CCC(=O)O
8,2976,0.434194,CCC(=O)Nc1c(C(=O)NC2CCCCC2)cnn1-c1ccccc1Cl
9,1253,0.432493,Cc1sc(NC(=O)/C=C\NC(=O)CCCNC(=O)C2CCCCC2)nc1-c1ccc(Cl)cc1
10,3842,0.432426,COCCN(C(=O)c1ccco1)[C@@H](C(=O)NC1CCCC1)c1cccs1
11,4152,0.432426,CCCCOC(=O)[C@@H](NC(=O)Nc1nc2ccc(OCC)cc2s1)C(C)C
12,2765,0.431092,CCC(=O)Nc1ccc2cc(C(=O)NC3CCCC3)[nH]c2c1
13,2673,0.430037,O=C(OCC(=O)N(C1CCCCC1)[C@H](C(=O)NC1CCCCC1)c1ccccc1)c1ccccc1
14,452,0.427327,CC(=O)c1snc2c(=O)[nH]c(SCC(=O)NC3CCCC3)nc12
15,304,0.427179,C[C@@H](C(=O)NCC1CC1)N(C(=O)c1ccco1)c1ccccc1C(=O)NC[C@@H]1CCCO1
16,688,0.423896,COc1cccc([C@@H](C(=O)NC2CCCC2)N(C(=O)c2ccco2)C2CC2)c1
17,4056,0.423451,CCOC(=O)[C@]1(Cc2ccccc2Cc2ccc(Cl)cc2)CCCN(C2CCN(C(C)=O)CC2)C1
18,4024,0.422249,CCOC(=O)c1ccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(F)cc2)cc1
19,281,0.421637,COc1cc2sc(NC(=O)/[C-]=C(/C#N)C(=O)OC3CCCCC3)nc2c(OC)c1OC.[H+]
20,229,0.420084,O=C(CCS(=O)(=O)c1cccc2nonc12)NCC1CCCCC1
21,2520,0.418548,CCOC(=O)[C@@H](NC(=O)CNC(=O)CNC(=O)OCc1cccs1)[C@@H](O)c1ccccc1
22,729,0.416667,N/C(=N\C(=O)C1CCCCC1)c1nc2ccccc2c(=O)n1CC(=O)NCCC1=CCCCC1
23,2412,0.416667,COc1ccc(OC(C)=O)cc1C(=O)OCC(=O)NC[C@H](c1ccc(N2CCCC2)cc1)N(C)C
24,505,0.415605,C[C@H](NC(=O)C1CCCCC1)c1nc2ccccc2[nH]1
25,1094,0.414297,CC[C@@H](C)NC(=O)c1ccc(N2CCCCC2)c(NC(=O)COc2ccccc2)c1
26,1036,0.414039,COc1ccc(C(=O)NCCN2CCOCC2)c2[nH]c(C(=O)NC3CCCCCC3)cc12
27,86,0.413728,Cc1cc(C)n2nc(C(=O)N(C)C3CCCCC3)nc2n1
28,1742,0.410051,COCc1c(C(=O)NC2CCCCC2)oc2ccccc12
29,4577,0.409804,COc1cc(C(C)=O)ccc1O[C@H](C)C(=O)N1CCC(Cc2ccccc2)CC1
30,2383,0.409736,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NC1CCN(C(=O)NCc2ccccc2)CC1
31,2524,0.409736,COc1cc(C(=O)OCC(=O)N2CCCCC2)ccc1OCC(=O)Nc1ccccc1
32,583,0.408248,NC(=O)C1CCN(C(=O)CCCc2cn(C3CCCCC3)c(=O)n(Cc3ccco3)c2=O)CC1
33,1082,0.408248,CCOC(=O)N1CCC(N2C(=O)c3ccccc3[C@@H]2Nc2ccc(C)cc2)CC1
34,2652,0.408248,CN(CC(=O)NC1CCCCC1)Cc1c(O)ccc2ccccc12
35,4323,0.406777,CCOC(=O)Cc1csc(NC(=O)COc2ccc(S(=O)(=O)NC[C@H]3CCCO3)cc2)n1
36,2230,0.406558,O=C(CSc1nc2ccccc2n1CC1CCCCC1)NC1CC1
37,2031,0.405190,CC(=O)c1ccc(S(=O)(=O)N(CC(=O)NC2CCCCCC2)c2ccccc2)cc1
38,4175,0.405190,COc1ccc(C(=O)Nc2ccccc2N2C(=O)[C@H]3CCCC[C@H]3C2=O)cc1OC
39,598,0.404888,CCOC(=O)C(=CNc1ccc2c(c1)nnn2C(C)(C)C)C(=O)OCC
40,1360,0.404888,Cc1cc(C(C)C)nc2cc(C(=O)NCCCN3CCCCC3)nn12
41,3027,0.404714,Cn1nccc1C(=O)NCc1ccc(OC2CCCC2)cc1
42,3960,0.402980,O=C(O)CCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCCC3
43,3024,0.401918,Cc1cc(S(=O)(=O)N(CC2CCCCC2)c2ccc(OC(F)F)cc2)c(C)n1C
44,1286,0.401610,CO[C@H]1CCCC[C@H]1NC(=O)CC(c1ccccc1)c1ccccc1
45,2463,0.401048,CN(C)CC[C@H](CCCNC(=O)CCc1nnc(Cc2cccc(Cl)c2)o1)C1CCCCC1
46,3272,0.400000,COCCNS(=O)(=O)c1ccc2nc(C3CCCCC3)c(SC)cc2c1
47,3384,0.399653,COc1cc(OC)cc(C(=O)NCC(=O)N(CC(=O)NC[C@@H]2CCCO2)c2ccccc2C)c1
48,3443,0.399580,CCOC(=O)Cc1nnc(NC(=O)C(=O)c2cccc(OC)c2)s1
49,1682,0.399275,CCOc1ccc(C(=O)OCC(=O)Nc2ccc(N3CCOCC3)cc2)cc1OCC
50,4141,0.399275,O=C(Cn1c([O-])c2ccccc2c1[O-])NC1=[S+]/C(=[S+]\CC(=O)NC2CCCCC2)N=N1
51,2173,0.396906,CC[C@H]1CCCCN1CCCNC(=O)C1CCN(Cc2nc(-c3cccc(Cl)c3)oc2C)CC1
52,861,0.396264,CCOc1cccc(/C=N/n2c(C3CCCCC3)n[nH]c2=S)c1O
53,2687,0.395874,CO[C@@H]1C[C@@H](C(=O)NC2CCN(Cc3ccccc3)CC2)N(C)c2ccccc21
54,295,0.395554,Cc1ccc([C@H](C(=O)NC2CCCCC2)N(Cc2ccco2)C(=O)C2=C(N)/C(=C(/N)[O-])N=[S+]2)cc1
55,315,0.394405,CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)OCC(=O)NCCc1ccccc1
56,1160,0.393611,O=C(NC[C@H]1CCCO1)[C@H](c1cccc(O)c1)N(C[C@H]1CCCO1)C(=O)c1cnccn1
57,2143,0.393611,O=C(N[C@H](C(=O)N(c1ccccc1)C1CCCCC1)N1CCOCC1)c1ccccc1O
58,2764,0.393029,COc1ccccc1CC(=O)N1CCC[C@@H]1C(=O)Nc1nnc(C)s1
59,3845,0.393029,O=C(NC[C@@H]1CCCO1)c1ccc2c(c1)nnn2C1CCCCC1
60,4335,0.393029,O=C(CN(C(=O)c1csnn1)c1ccc(F)cc1F)NC1CCCC1
61,4377,0.392890,C[C@@H](CC[C@@H](NC(=O)OCc1ccccc1)C(=O)O)[C@@H](NC(=O)Nc1cccc(S(N)(=O)=O)c1)C(=O)O
62,1587,0.391516,CSCC[C@@H](NS(=O)(=O)c1ccccc1)C(=O)OCC(=O)NC(=O)NCc1ccco1
