rank,oracle_call,score,smiles
1,3105,0.474579,C[C@H](C(=O)N1CCC[C@@H]1C(=O)O)c1ccc2c(c1)n(C)c(=O)n2C
2,2208,0.461774,CC(C)N(CCCNC(=O)[C@H](C(=O)C1CCCCC1)n1ccccc1=O)Cc1ccccc1
3,3138,0.458349,CCOC(=O)C(CCC(=O)Nc1nnc(-c2ccco2)o1)C(=O)OCC
4,1344,0.449089,COC(=O)CSc1nc2ccccc2n1CC(=O)NC1CCCCC1
5,375,0.445566,COc1ccccc1N(CC(=O)NC1CCCCC1)C(=O)CCC(=O)Nc1ccccn1
6,4074,0.445503,COCCNC(=O)/C(C#N)=C/c1cn(CC(=O)NC2CCCCC2)c2ccccc12
7,4308,0.443533,O=C(O)CCn1c(-c2ccccc2)cnc1SCC(=O)NC1CCCC1
8,2233,0.441237,CCOC(=O)[C@H]1CCCCN1Cc1cccc2ccccc12
9,2018,0.436436,CCC[C@@H](c1nnnn1C1CCCC1)N1CCN(C(=O)c2ccco2)CC1
10,3793,0.436051,CC[C@](C)(C(=O)NC1CCCCC1)N(C(=O)CN1C(=O)c2ccccc2C1=O)c1ccc(C)cc1
11,2331,0.435985,CCO[C@]1(C(=O)Nc2ccc3ccccc3c2)CCC[C@@H](C(=O)O)[C@@H]1C
12,4557,0.433629,CC/N=c1\sc2cc(S(=O)(=O)NC3CCCCC3)ccc2n1CC
13,3561,0.431788,O=C(Cn1cc(C(=O)C2CCCCC2)c2ccccc21)NC1CC1
14,640,0.431331,CC(=O)OCC(=O)c1cc(-c2ccccc2)n(CC(=O)NC[C@H]2CCCO2)c1C
15,601,0.431092,O=C(CCCn1c(=O)[nH]c2ccsc2c1=O)NC1CCCC1
16,3300,0.430946,O=C(N[C@@H](c1ccccc1)[C@H]1C[C@@H]1C(=O)O)OC1(C(=O)NCc2ccccc2)CCCCC1
17,1893,0.428353,CCCC(=O)Nc1ccc2oc(C)c(C(=O)OCC)c2c1
18,2957,0.427247,COCCN(C(=O)c1csnn1)[C@H](C(=O)NC1CCCC1)c1cccnc1
19,39,0.427071,CCOCCCNC(=O)[C@@H](C(C)C)N(C(=O)C1(NC(=O)Nc2ccccc2)CCCCC1)c1ccc2c(c1)OCO2
20,575,0.426401,CCOC(CNC(=O)c1ccc2c(c1)nc1n2CCCCC1)OCC
21,3292,0.424795,C[C@@H]1[C@@H](NC(=O)CSc2cn(CC(=O)N3CCCC3)c3ccccc23)CCC[C@@H]1C
22,2978,0.424476,CCOC(=O)C(=O)c1cn([C@H]2CCCO2)c2ccccc12
23,771,0.423896,COc1ccc(CCCc2nnc(SCC(=O)NC3CCCC3)n2C)c(C)c1
24,3498,0.422921,Cc1ccc(C)c(N(CC(=O)NC2CCCCC2)C(=O)c2csnn2)c1
25,1132,0.421860,CCOC(=O)c1sc2nc(C)nc(SCC(=O)N[C@@H](C)CC)c2c1C
26,2434,0.421637,CCOC(=O)N1CCC(N2C(=O)c3ccc(C(=O)NCc4cccs4)cc3C2=O)CC1
27,4087,0.419014,CC(C)[CH-]CCC(=O)Nc1ccnn1C1CCN(C(=O)Cc2ccn(C)c2)CC1.[H+]
28,4259,0.415605,CCn1c(C(=O)O)c(CC(=O)NC2CC2)c2ccccc21
29,3930,0.415227,COCc1cc(C)nc2sc(C(=O)NC3CCCCC3)c(N)c12
30,4487,0.414039,CCOC(=O)[C@H](C)c1nn(C)c(=O)c2ccccc12
31,739,0.411693,CCn1c(SCC(=O)NC2CCCC2)nnc1-c1ccncc1
32,3834,0.411693,O=C(Oc1ccc(NC(=O)C2CCCCC2)cc1)c1ccco1
33,1646,0.411527,CCOc1ccc2c(Cl)c(C(=O)OCC(=O)NC[C@@H]3CCCO3)sc2c1
34,2854,0.409960,CCOC(=O)c1ccc2[nH]c(C)c(C(=O)CN3CCOCC3)c2c1
35,284,0.409878,C[C@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)N1CCCCC1
36,2008,0.409878,C[C@H]1CCCCN1C(=O)CCNC(=S)OCc1cccc2cccnc12
37,513,0.408248,CO[C@@H](c1ccc(CC(=O)NCc2ccccc2)cc1)C1CCCCC1
38,2282,0.408248,Cc1cc(Oc2ccccc2)nc(CCCNC(=O)C2CCCCC2)n1
