rank,oracle_call,score,smiles
1,6319,0.495595,CCOC(=O)Cc1nnn2c(CC)cc(N(C)C3CCCCC3)nc12
2,7132,0.486664,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1C(=O)O
3,20256,0.469668,NNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H]1[C@H]2CCCC[C@@H]2CN1C(=O)/C=C/c1cccs1
4,1472,0.469403,CCN(C(=O)Cn1nc(C(=O)O)c2ccccc2c1=O)C1CCCCC1
5,12511,0.467426,COC(=O)c1nn(C(=O)[C@H]2CCCC[C@H]2C(=O)OC)c2nc(C)cc(C)c12
6,7110,0.466628,COC[C@@H](C)NC(=O)Cn1c(SCC(=O)NC2CCCC2)nc2ccccc21
7,13502,0.465207,COc1ccc(C)cc1NC(=O)C[S@+]([O-])c1ccccc1NC(=O)[C@H]1CCCC[C@H]1C(=O)O
8,14997,0.462250,COc1cccc2[nH]c(C(=O)N[C@@H](C)C(=O)NC3CCCCC3)cc12
9,5006,0.461084,CC(C)CCN(C(=O)c1csnn1)[C@@H](C(=O)NC1CCCCC1)c1cccnc1
10,32145,0.459279,CC(C)OC(=O)c1sc(NC(=O)CSc2nncc(=O)n2N)nc1C1CCCCC1
11,8275,0.458831,CCCC(=O)Nc1ccc2c(c1)nc(CNC(=O)CN1CCN(C(=O)OCC)CC1)n2C
12,10225,0.458831,CCOC(=O)c1cc2c(ccn2C)n1CC(=O)N1CCC[C@@H](C)C1
13,5013,0.457265,CCOC(=O)c1c(N)c2cnc(N)nc2n1C1CCCCC1
14,495,0.456435,COCc1c(C(=O)OCC(=O)NC2CCCCC2)oc2ccc(C)cc12
15,716,0.456070,C[C@H](OC(=O)c1ccccc1NC(=O)c1ccco1)C(=O)NC1CCCCC1
16,13340,0.456070,CCn1c(CNC(=O)c2cccn2C)nnc1SCC(=O)NC1CCCCC1
17,2684,0.453990,O=C(CNC(=O)C1CCCCC1)OCc1ccc(COC(=O)c2ccccn2)cc1
18,114,0.452911,CCOC(=O)CSc1nnc(-c2cccnc2)n1C1CCCCC1
19,7433,0.452267,CC(=O)N[C@@H](C)C(=O)N1CCC(n2nccc2NC(=O)CCCc2ccccc2)CC1
20,13864,0.452084,COCCN(C(=O)CNC(=O)c1ccco1)[C@@H](C(=O)NC1CCCC1)c1cccc(OC)c1
21,15726,0.452084,COC(=O)CCN(C(=O)CSc1nnnn1C1CCCC1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
22,2161,0.450564,COc1ccc(N(CC(=O)NC2CCCCC2)C(=O)CCC(=O)Nc2nccs2)cc1
23,2506,0.450564,CC(=O)Nc1ccc(CNC(=O)[C@@H](Cc2ccccc2)NC(=O)C2CCCCC2)cc1
24,19746,0.448944,CCOCCCNC(=O)CN(C(=O)c1cccc2ccccc12)C1CCCCC1
25,8150,0.447214,CCN(CC)c1nc2cc3c(cc2s1)N(CC(=O)NC1CCCCC1)C(=O)[C@@H]3O[C@@H]1CC=COC1=O
26,8998,0.445282,CCOC(=O)Cn1c(C(=O)N2CCC[C@@H](C)C2)nc2cccnc21
27,1681,0.445195,CCn1c(N2CCC[C@@H]2C(=O)O)nc2c1c(=O)n(C)c(=O)n2C
28,2332,0.443533,COCc1c(C(=O)OCC(=O)NC2CCCCCC2)oc2ccccc12
29,18893,0.443375,CCOC(=O)[C@@H](NC(C)=O)C(=O)Nc1cc2c(cc1C)n(C)c(=O)n2C
30,22201,0.442326,COc1ccc(C)cc1NC(=O)CCNc1ccnn(CC(=O)NCC2CCCCC2)c1=O
31,9794,0.442141,CC[C@H](c1nnc(SCC(=O)NCC2CCCCC2)n1-c1cccc(OC)c1)N(C)C
32,12909,0.441726,CCOC(=O)C1CCN(C(=O)COc2cc(=O)n(C)c3ccccc23)CC1
33,14880,0.439435,COc1ccc([C@@H](C(=O)NC2CCCCC2)N(C)C(=O)CN2C[C@@H](c3ccccc3)CC2=O)cc1O
34,7505,0.439298,C[C@@H]1CCC[C@@H](C(=O)NCc2c(C(=O)O)nc3ccccn23)C1
35,20634,0.439298,CCn1cc(C(=O)NC2CCCCC2)c(=O)c2ccc(C)nc21
36,761,0.437798,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCCCCC1
37,200,0.437237,C[C@H]1[C@H](C)CCC[C@H]1NC(=O)COC(=O)COc1ccc2c3c(c(=O)oc2c1)CCCC3
38,4893,0.436436,CCOC(=O)N1CCN(Cc2nc3cc(NC(=O)CC)ccc3n2CC)CC1
39,1707,0.435985,CCOc1ccc(-n2cccc2CNC2CCCCC2)cc1OCC
40,9072,0.435985,CCOC(=O)c1c(NC(=O)CCC(=O)O)sc2c1CCc1ccccc1-2
41,6064,0.435494,Cc1c(C(=O)Nc2ccc(O)cc2C(=O)O)nnn1C1CCCC1
42,6615,0.435494,CC(C)n1c(=O)n(C)c2ccc(S(=O)(=O)N3CCC[C@H]3C(=O)O)cc21
43,13069,0.434959,C[C@@H](C(=O)NCCCCCC(=O)NC1CCCC1)N1C(=O)N2CCc3c([nH]c4ccccc34)[C@@]2(C)C1=O
44,1098,0.434194,COCCn1c(=O)[nH]c2cc(C(=O)NC3CCCCCC3)ccc2c1=O
45,17449,0.433013,O=C(CSCC(=O)Nc1nnc(C2CCCCC2)s1)NNC(=O)c1ccco1
46,1493,0.432426,COc1ccccc1C(=O)Nc1c(O)n(C2CCCCC2)c(=O)n(C)c1=O
47,12476,0.432426,CCOC(=O)c1nnn(CC(=O)Nc2cccc(OC)c2)c1C(=O)OCC
48,2502,0.431934,O=C(COC(=O)CN1C(=O)[C@H]2CCCC[C@H]2C1=O)Nc1nc(-c2ccc(Cl)cc2)cs1
49,10728,0.431934,COc1ccc(C(=O)Nc2ccc(C(=O)NNC(=O)C3CCCCC3)cc2)cc1OC
50,3996,0.431788,Cc1[nH]c2ccccc2c1C(=O)C(=O)NCCSC1CCCCC1
51,12304,0.431517,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NC1CCN(C(=O)Nc2ccc(C(=O)OC(C)C)cc2)CC1
52,7496,0.431092,CCN(C(=O)Cn1c(=O)oc2ccccc21)C1CCCCC1
53,3982,0.430678,CCOC(=O)[C@H]1CCCCN1Cc1cn[nH]c1-c1ccc2c(c1)OCO2
54,15637,0.430678,C/C(CC(=O)N(C)C1CCCCC1)=N\NC(=O)c1sc2ccccc2c1Cl
55,33,0.430331,Cc1ncc([N+](=O)[O-])n1CCOC(=O)N1CCC[C@@H](C(=O)Nc2ccccc2C(=O)O)C1
56,10447,0.430331,COc1cc(CNC(=O)CNC(=O)C2CCCCC2)ccc1OCc1cccc(C)c1
57,184,0.429970,CCOC(=O)N1CCC(Nc2c(-c3ccc(C)cc3)c(=O)c2=O)CC1
58,7727,0.429970,NC(=O)C[C@@H](C(=O)O)C(=O)N1CCC[C@H](c2nc3ccccc3[nH]2)C1
59,4536,0.429669,CCOc1ccc(CN2CCC(n3nccc3NC(=O)CCC(C)C)CC2)cc1
60,8799,0.429415,O=C(NCC(=O)N(C[C@@H]1CCCO1)[C@H](C(=O)NC1CCCC1)c1cccnc1)c1ccco1
61,10961,0.429415,CC(=O)N1CCC[C@H]1C(=O)N[C@H](Cc1cc2cc3c(cc2[nH]c1=O)OCCO3)C(=O)NC1CC1
62,1462,0.428952,CCOC(=O)[C@@H](NC(=O)c1ccc(-c2ccc(C)cc2)[nH]1)N1CCOCC1
63,24842,0.428952,C[C@@H](OC(=O)c1cnc(-c2ccccc2)nc1Cl)C(=O)NC1CCCCC1
64,8760,0.428746,CCS(=O)(=O)N(CC(=O)Nc1ccccc1C)c1ccccc1C(=O)NC1CCCCC1
65,2862,0.428174,COc1ccc2oc(=O)c(C(=O)NC(=O)NC3CCCCC3)cc2c1
66,11675,0.428174,Cc1cc(OCC(=O)NCC2CCCCC2)c2c(C)cc(=O)oc2c1
67,2482,0.426401,CN(CC(=O)Nc1ccccc1)CC(=O)Nc1sc(N(C)C)nc1C1CCCCC1
68,6841,0.426401,[CH2-][C@H](c1ccco1)N(CC/C=[NH+]/C(=O)c1cc(C)oc1C)C(=O)NC1CCCCC1
69,4447,0.425628,CC(=O)N[C@H](CCCc1ccccc1)C(=O)NC1CCN(C(=O)NCc2ccco2)CC1
70,6439,0.425561,CC[C@@H](C(=O)Nc1ccccc1)n1cc(CCCNC2CCCCC2)nn1
71,23401,0.425561,CN(CC(=O)NC1CCCCC1)S(=O)(=O)c1ccc2c(c1)n(C)c(=O)c(=O)n2C
72,26551,0.424410,NNC(=O)Cn1oc(=O)n([C@H](NC(=O)CNC(=O)OCCCCCNC(=O)OC2CCCCC2)c2ccccc2)c1=O
73,16852,0.424264,COc1cc(NC(=O)c2ccco2)c(OC)cc1NC(=O)CN1CCN(C(=O)NC2CCCCC2)CC1
