rank,oracle_call,score,smiles
1,5864,0.476393,CCOC(=O)N1CCC(n2c(SCC(=O)NC3CCCC3)nc3cc(OC)c(OC)cc3c2=O)CC1
2,4321,0.471405,CCOc1ccc([C@H](C(=O)NC2CCCCC2)N(CC)C(=O)c2ccco2)cc1
3,1073,0.468718,CC(=O)c1cccc(N(C(=O)c2csnn2)[C@@H](CCC(=O)O)C(=O)NC2CCCCC2)c1
4,6308,0.461644,CCOC(=O)[C@@H](Cc1cc2ccc(OC)cc2[nH]c1=O)NC(=O)OCC(C)C
5,4865,0.455420,CCCCCN(Cc1ccc(OC)cc1)C(=O)c1cn(CC(=O)NC2CCCCC2)nn1
6,4196,0.454257,CC[C@@H](C(=O)O[C@H](C(=O)NC1CCCCC1)c1ccccc1)c1ccccc1
7,3129,0.453513,C=CCN(C(=O)COC(=O)c1ccc(SC)cc1)[C@H](C(=O)NC1CCCCC1)c1ccc(C)cc1
8,1569,0.452911,O=C(COC(=O)Cn1nnc2ccccc21)NC1CCCCCC1
9,3901,0.449089,CCOC(=O)N1CCC(NC(=O)CCc2nc3ccccc3[nH]2)CC1
10,5466,0.449013,CCOC(=O)c1c(NC(=S)NC(=O)c2cnn(CC)c2)sc2c1CC[C@@H](C)C2
11,575,0.447214,O=C(Cc1ccccc1)N[C@@H](C(=O)OCc1ccccc1)C1CCCCC1
12,5238,0.447214,COCCN(C(=O)/C=C/C(=O)Nc1ccccn1)[C@@H](C(=O)NC1CCCCC1)c1ccc(C)o1
13,1246,0.443937,CCOC(=O)c1c(C)[nH]c(C(=O)COC(=O)C2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)c1C
14,2314,0.443203,CC(=O)c1cn(CCC(=O)NC2CCCC2)c2ccccc12
15,8568,0.440488,O=C(NC1CCCC1)C(=O)N(C/C=C/c1ccccc1)[C@H](Cc1ccccc1)C(=O)O
16,3111,0.439941,CC[C@@](C)(C(=O)NC1CCCC1)N(Cc1ccco1)C(=O)Cc1cccs1
17,8305,0.439155,NC(=O)CCCNC(=O)[C@H](Cc1ccc(OC2CCCC2)cc1)NC(=O)c1ccc(Cl)cc1Cl
18,4756,0.437237,CCOC(=O)N1CCC(N(Cc2ccccc2)Cc2nc(C3CCCCC3)no2)CC1
19,10445,0.436852,CC(=O)NC[C@H]1CCCN(C(=O)Cn2c(CC(=O)NC3CC3)nc3ccccc32)C1
20,225,0.436436,CC[C@@H]1CCCCN1C(=O)CCNC(=O)Cn1c(C)cc2ccccc2c1=O
21,6703,0.436436,CCN(CC)CCNC(=O)C1CCN(S(=O)(=O)c2ccc3nc4c(c(C(=O)O)c3c2)CCCCC4)CC1
22,10085,0.435194,CCOCCn1c(SCC(=O)N2CCC(C(=O)O)CC2)nc2cc(S(N)(=O)=O)ccc21
23,1951,0.434714,CCOC(=O)c1sc(NCc2ccc(F)cc2)c(/C=N/C2CCCCC2)c1N
24,2803,0.434194,CCCC(=O)N(Cc1cc2cccc(C)c2[nH]c1=O)CC1CCCCC1
25,6789,0.434057,COC(=O)CN(Cc1ccco1)[C@H](C(=O)N[C@H]1CCCC[C@H]1C)c1ccc(OC)cc1OC
26,5886,0.433629,Cc1nc2nc(C)c(CCC(=O)NC3CCCCCC3)c(C)n2n1
27,7666,0.433013,CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)[C@H]2CCCC[C@H]2C(=O)O)cc1
28,3659,0.432493,CCOC(=O)N(CC[C@@H](C)N1Cc2cccc(C(=O)Nc3cccc(C)c3)c2C1=O)CC(N)=O
29,6074,0.431934,O=C(NCCNC(=O)c1cc(COc2ccc(F)cc2Cl)on1)C(=O)NC1CCCC1
30,6200,0.431934,Cn1c(CNC(=O)C2CCCCC2)cc(=O)n(CC(=O)NCCc2ccccc2)c1=O
31,8266,0.431934,COc1ccc([C@H](C(=O)NC2CCCC2)N(C(=O)Cc2cccs2)C2CC2)cc1OC
32,10302,0.431934,Cn1nc(C(N)=O)c2c(c(SCC(=O)NC[C@@H]3CCCO3)nn2C2CCCCC2)c1=O
33,1713,0.431788,CCOC(=O)[C@@H]1CCCN(C(=O)CSc2ncnc3[nH]ncc23)C1
34,703,0.431331,COc1ccc([C@@H]2CCCCN2C[C@H](CC(=O)O)C(=O)c2cccs2)cc1OC
35,9307,0.429415,COc1ccccc1N(C)S(=O)(=O)c1ccc(C(=O)OCC(=O)NCCCC2CCCC2)cc1
36,4224,0.428174,CCOC(=O)[C@@H]1CCCCN1Cc1cn[nH]c1-c1ccc(F)cc1F
37,2696,0.425481,CCC(=O)N[C@H](c1c(O)ccc2ccccc12)C1CCCCC1
38,9963,0.424650,O=C(CN(CCCn1cncn1)C(=O)c1cccs1)NC1CCCC1
39,2795,0.424264,O=C(COc1cccc(CN(C[C@H]2CCCO2)S(=O)(=O)c2ccc(C(=O)O)cc2)c1)NC1CCCCC1
40,6408,0.423896,N#Cc1cc2ccc(C(=O)O)cc2nc1SCC(=O)NCCCC1CCCC1
41,2030,0.422921,C[C@@H]1CCCCN1C(=O)CCNC(=O)Cn1cnc2ccccc2c1=O
42,3602,0.422249,C[C@@H]1CCCCN1CCNC(=O)CCC(=O)OCCc1c[nH]c2ccccc12
43,7126,0.421860,CCOC(=O)N1CCN(C(=O)c2cc3oc(C)c(C(C)C)c3[nH]2)[C@@H]1C
44,4475,0.421637,CCOC(OCC)[C@H](Cc1nnc([C@H]2CC[C@@H](C)CC2)o1)c1ccc(NC(C)=O)cc1
45,8020,0.421212,Cc1ccc(O[C@@H](C)C(=O)N[C@@H](CCC(=O)Nc2nccs2)C(=O)O)cc1
46,10292,0.421076,O=C(C[C@H]1C(=O)NCCN1CCC1CCCC1)NCc1cc(C(=O)c2ccccc2Cl)n[nH]1
47,2694,0.420703,CCOC(=O)C(Nc1ccc2ccccc2c1)C(=O)OCC
48,4068,0.420622,CCOC(=O)C1(CCc2cc3cc(C)ccc3[nH]c2=O)CCN(CC2CC2)CC1
49,5248,0.420622,O=C(CN(c1cccc(C(=O)O)c1)S(=O)(=O)c1ccccc1)NC1CCCCC1
50,4058,0.419524,COc1ccc(N(CC(=O)NC2CCCC2)C(=O)c2ccc(C)s2)cc1Cl
51,7168,0.419524,O=C(N[C@H](Cc1ccccc1)C(=O)NC1CCCCC1)c1ccccc1
52,8558,0.419014,CC(=O)N1CCOc2ccc(-c3nnc(SCC(=O)NC4CCCC4)n3C)cc21
53,3175,0.418854,CC[C@H](OC(=O)c1cc2sccc2n1C)C(=O)NCCC(C)C
54,7953,0.418854,CCOC(=O)c1cn(CC)c2ccc(NC(=O)OC)cc2c1=O
55,1571,0.418548,CCOC(=O)N1CCC(N2Cc3cccc(C(=O)Nc4c(Cl)cccc4Cl)c3C2=O)CC1
56,4129,0.418330,O=C(NCc1cccs1)c1cc(CNC(=O)C2CCCCC2)on1
57,78,0.418121,CC[C@H](C)[C@H](NC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)OC
58,1173,0.417855,CCC[C@@H](c1nnnn1Cc1cccc(OC)c1)N1CCC(C(N)=O)CC1
59,8914,0.417855,O=C(CN1c2cccc3cccc(c23)S1(=O)=O)NC(=O)NC1CCCCC1
60,8747,0.416667,COc1cc2c(cc1C(=O)O)C(c1ccc(NC(=O)NC3CCCCC3)cc1OC(F)F)=NC2=O
61,6471,0.416598,CC[CH+][N-]C([c+]1[cH-][cH+][c-](OCC)[cH+][cH-]1)[c-]1[n-][n-][n-]n1C1CCCC1.[H+]
62,380,0.416207,O=C(NC(=O)N(CCc1ccccc1)c1ccc(O)cc1)C1CCCCC1
