rank,oracle_call,score,smiles
1,14300,0.493865,CCC(=O)N[C@@H](C(=O)OCC(=O)NC1CCCC1)c1c(O)ccc2ccccc12
2,11344,0.485564,Cn1c(SCC(=O)O)nc2ccc(C(=O)OCC(=O)NC3CCCC3)cc2c1=O
3,15497,0.483298,COc1cc(OC)cc([C@H](C(=O)NC2CCCCC2)N(CCCC(=O)O)C(=O)c2cc(C)no2)c1
4,6031,0.480384,CCOC(=O)[C@@H](Cc1ccccc1)NC(=O)C1CCN(Cc2ccc(OC)cc2)CC1
5,40239,0.477119,CCOC(=O)[C@@H]1CCCCN1C(=O)Cn1nnc(-c2ccc(OCC)cc2)n1
6,7241,0.475191,Cn1c(=O)c2c(ncn2CC(=O)OCC(=O)NCCC2CCCCC2)n(C)c1=O
7,26848,0.473602,CCOC(=O)c1cnn2c(C3CCCCC3)cc(C)nc12
8,34423,0.473160,CCN(CC)CCOc1ccc(C2CCCCC2)c(C(=O)Nc2cc(C(=O)O)ccc2C)c1
9,17110,0.472310,CCC[C@@H](C(=O)NC1CCCCC1)N(C)C(=O)[C@H](c1ccccc1)c1ccc(F)cc1
10,26298,0.470438,CCOCc1c(C(=O)OCC(=O)NC2CCCCCC2)oc2ccccc12
11,17627,0.469545,Cc1nn(-c2ccccc2)c(Cl)c1C(=O)O[C@@H](C)C(=O)NC(=O)NC1CCCCC1
12,20592,0.469403,Cc1ccc2occ(CC(=O)O[C@H](C)C(=O)N[C@H]3CCCC[C@@H]3C)c2c1
13,6799,0.467707,Cc1c(CCC(=O)N[C@H](C)C(=O)O)c(=O)oc2c(C)c(O[C@H]3CCCCC3=O)ccc12
14,29566,0.467426,CCOC(=O)[C@@H]1CCCCN1Cc1cc(=O)oc2cc(OCC)ccc12
15,26980,0.466628,CCOC(=O)C1CCN(C(=O)CCc2nnc(NC(=O)c3ccco3)s2)CC1
16,31400,0.465475,CCCC(=O)Oc1ccc2ccccc2c1C(=O)OCC1CCCCC1
17,11759,0.465207,CC#Cc1ccc(-c2c(C)sc(NC(=O)[C@@H]3[C@H](C(=O)O)[C@H]4CC[C@@H]3O4)c2C(=O)OCC)cc1
18,20762,0.465207,CC(C)OC(=O)NCC(=O)N1CCC(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)CC1
19,26860,0.465207,CCOc1ccc([C@H](Cc2ccc(OC)cc2)NC(=O)[C@@H]2CCCN2C(C)=O)cc1C(=O)O
20,23979,0.464238,CCCCn1c(C2CCCCC2)nc2c1c(=O)[nH]c(=O)n2CC(C)C
21,17789,0.464095,CCOC(=O)CSc1cn(CC(=O)N2CCC(C(N)=O)CC2)c2ccc(OCC)cc12
22,8900,0.462910,CCCn1c(=O)c2sccc2n(CC(=O)NC2CCCC2)c1=O
23,38861,0.462321,COCC[C@@H](C(=O)NC1CCCCC1)N(Cc1cccc(F)c1)C(=O)c1ccnn1C
24,29819,0.461774,CCOC(=O)c1cc(NC(=O)NC2CCN(Cc3ccccc3)CC2)cc(C(=O)OCC)c1
25,31559,0.461644,CCOC(=O)C1CCN(C(=O)COC(=O)Cc2c[nH]c3ccccc23)CC1
26,35788,0.461644,COCc1c(C(=O)OCC(=O)NC(=O)NC2CCCC2)oc2ccccc12
27,30874,0.460287,COCCN(CC(=O)NC1CCCCC1)C(=O)c1cn2ccsc2n1
28,31806,0.460086,Cc1ccccc1N(C(=O)c1csnn1)[C@@H](CCC(=O)NC1CCCCC1)C(=O)NC(C)(C)C
29,35895,0.459279,CCOC(=O)N1CCN(C(=O)CC(=O)Nc2cnc3cc(C)cc(CC)c3n2)CC1
30,40021,0.459279,Cc1ccc(C(=O)N[C@H](CCC2CCN(C(=O)c3ccccc3C)CC2)C(=O)O)o1
31,38414,0.459221,CC(C)C[C@@H](NC(=O)C1CCN(C(=O)c2ccc(-c3ccccc3)[nH]2)CC1)C(=O)N1CCC(C(=O)O)CC1
32,34837,0.458349,CCOC(=O)c1c(NC(=O)c2c(Br)cnn2CC)sc2c1CCCCC2
33,8857,0.457116,CCCCn1cc([C@H](SCC(=O)NC2CCCCC2)c2ccc(OC)c(OC)c2)c(=O)[nH]1
34,29553,0.456070,CCOC(=O)C1CCN(C(=O)COC(=O)CSc2nc3ccccc3o2)CC1
35,30534,0.456070,CCOC(=O)N1CCC(NC(=O)Cn2cccc2C(=O)c2ccccc2)CC1
36,36053,0.456070,C[C@H](OC(=O)NCC1CCCCC1)OC(=O)c1ccc(-c2ccccc2)n1C
37,24606,0.455200,Cc1ccnc2nc(C(=O)OCC(=O)NC3CCCC3)nn12
38,31796,0.454859,CCC(C)(C)NC(=O)[C@H](c1ccc(F)cc1)N(CC1CCCCC1)C(=O)CCC(=O)Nc1ccccn1
39,32684,0.454859,CCOc1c2ccc(C(=O)NC3CCCC3)cc2nn1CCOC
40,12333,0.454545,CCC[C@@H](NC(=O)COc1cc(-c2ccccc2)ccc1C(C)C)C(=O)O
41,22505,0.454545,CCCOc1ccc2[nH]c(C(=O)NNC(=O)NC3CCCCC3)cc2c1
42,27955,0.453743,CCOC(=O)c1c(C(=O)COC(=O)[C@H]2CCCN2S(=O)(=O)Cc2ccccc2)c(C)n(C)c1C
43,29570,0.453743,CCO[C@@H]1OC(C(=O)NCc2nc3ccccc3[nH]2)=C[C@H](C2CCCCC2)[C@H]1CCCO
44,2015,0.452465,Cc1cc(-c2ccccc2)oc1C(=O)N(CC(=O)NC1CCCCC1)OC(C)C
