rank,oracle_call,score,smiles
1,4103,0.521536,CC(C)C[C@H](NC(=O)c1cc(C(=O)C2CCCCC2)c[nH]1)C(=O)OCc1ccccc1
2,3052,0.473050,CCOC(=O)CN(C(=O)CNC(=O)c1ccc(Br)cc1)[C@H](C(=O)NC1CCCC1)c1ccc(OC)cc1
3,2957,0.472377,CCOC(=O)CCNC(=O)N1CCC[C@@H](C(=O)c2cc3ccccc3s2)C1
4,663,0.468521,COc1cccc2cc(CNC(=O)[C@@H](NC(=O)C3CCCCC3)C(C)C)[nH]c12
5,7577,0.466953,CCOC(=O)[C@@H]1CCCN(C(=O)c2ccc3c(SCC(=O)O)c4c(nc3c2)CCCC4)C1
6,7587,0.464095,Cc1ccc(NC(=O)[C@@H](C2CCCCC2)N(CC(C)C)C(=O)Cn2nnnc2N)cc1
7,8162,0.458831,C/C(CCCC(=O)O)=N\NC(=O)c1nnn(-c2nonc2N)c1CN(C)C1CCCCC1
8,50,0.458349,CCOC(=O)c1sc2ncn(CC(=O)NC[C@@H]3CCCO3)c(=O)c2c1C
9,629,0.456070,CCOC(=O)C1CCN(C(=O)Cc2ccccc2C(=O)Nc2nccs2)CC1
10,12307,0.456070,CCOC(=O)N1CCC(NC(=O)Cn2cccc2C(=O)c2ccccc2)CC1
11,1881,0.455733,CCOC(=O)c1c(C)[nH]c(C(=O)OCC(=O)Nc2sc3c(c2C#N)CCCCC3)c1C
12,11581,0.454257,Cc1c(C(=O)O[C@@H](C)C(=O)c2ccccc2)sc(NC(=O)C2CCCC2)c1C#N
13,6909,0.449013,CC(C)(C)N(C(=O)COC(=O)C1CCCCC1)c1cc2ccccc2oc1=O
14,11478,0.449013,C[C@@H](NNC(=O)NC1CCCCC1)C(=O)NCCc1c[nH]c2ccccc12
15,5602,0.448944,COc1cc2c(=O)n(CCCC(=O)NCC3CCCCC3)c(=O)n(C)c2cc1OC
16,2852,0.447214,COc1ccc(NC(=O)C2CCCCC2)cc1N[C@@H](C)C(=O)Nc1ccc(C)cc1
17,3964,0.445503,Cn1c(CSc2ncccc2NCC(=O)O)nnc1SCC(=O)NC1CCCCC1
18,12257,0.445503,COc1ccccc1N(CC(=O)NC1CCCC1)C(=O)CCC(=O)Nc1nccs1
19,1850,0.445435,CC(C)[C@H](NC(=O)N1CCn2c1nc1ccccc12)C(=O)NC1CCCCC1
20,12261,0.445362,N#C/C(=C/c1cn(CC(=O)O)c2ccccc12)C(=O)NC1CCCCC1
21,11538,0.445282,CCn1c(=O)c(=O)[nH]c2cc(C(=O)NCC3CCCCC3)ccc21
22,11542,0.445195,CCCn1c(=O)c2nc(C3CCCC3)[nH]c2n(CCC)c1=O
23,5671,0.443813,CCOC(=O)C1=C(O)C[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)N1c1ccccc1
24,11412,0.443533,CN(C)S(=O)(=O)c1ccc2c(c1)nc(CCC(=O)NC1CCCCC1)n2C
25,10436,0.443203,CCOC(=O)[C@@H](Nc1nc2ccccc2n1C)N1CCCC1
26,12482,0.443203,CCOC(=O)[C@H]1CCCCN1Cc1nc2ccc(F)cc2[nH]1
27,1479,0.441726,CCOC(=O)c1oc2ccccc2c1NC(=O)CCN1CCCC(C)(C)C1
28,1094,0.441492,CCOC(=O)[C@H]1CCCN(C(=O)c2[nH]c3ccc(OC)cc3c2C)C1
29,5319,0.440225,COc1ccc(-c2nnc(SCC(=O)NCCCC3CCCC3)n2C(C)C)cc1
30,11248,0.439633,CCN(C(C)=O)[C@@H](C(=O)NC1CCCC1)c1cccc2ccccc12
31,7554,0.439155,CCN(CC)S(=O)(=O)c1ccc2nc(COC(=O)C3=NN(C4CCCCC4)C(=O)CC3)[nH]c2c1
32,8454,0.436436,NC(=O)Cn1c(=O)n(CCCC(=O)NC2CCCCC2)c(=O)c2ccccc21
33,2412,0.436051,COCCN(CCOc1ccc(OC)cc1)C(=O)[C@@H](Cc1cccs1)NC(=O)C1CCCCC1
34,3421,0.435639,CCOC(=O)N1CCC(NC(=O)C2CCN(Cc3nc(-c4ccco4)oc3C)CC2)CC1
35,9670,0.435639,CCOc1ccc(-c2ccc(=O)n(CC(=O)NCCCNC3CCCCC3)n2)cc1OC
36,7375,0.435194,Cc1ccc(N(CC(=O)NC2CCCC2)C(=O)CCC(=O)Nc2ccccn2)cc1
37,1519,0.432426,CCOC(=O)N1CCC(Nc2c(-n3cccc3)c(=O)n(C)c(=O)n2C)CC1
38,5201,0.432426,CCOC(=O)N1CCC(CC(=O)c2ccc3c4c(cccc24)CC3)CC1
39,5811,0.432338,CCOC(=O)Cn1cc(C(=O)C2CC2)c2ccccc21
40,4117,0.431934,Cc1cccc(-n2c(SCC(=O)NNC(=S)NCC(C)C)nnc2C2CCCCC2)c1
41,5463,0.431331,COc1cc(OC)cc(C(=O)NNC(=O)c2cccn(C3CCCCC3)c2=O)c1
42,5720,0.431331,CCOC(=O)c1[nH]c2ccc(OC)cc2c1NC(=O)CCN1CCN(CC)CC1
43,8138,0.431092,Cc1ccc2oc(=O)n(CCC(=O)NC3CCCCC3)c2c1
44,5030,0.430678,COCCNC(=S)N(Cc1ccc2c(c1)n(C)c(=O)n2C)C1CCCCC1
45,8840,0.428174,Cc1[nH]c2ccc(C(=O)NCCCN(C)C3CCCCC3)cc2c1C
46,953,0.428026,CCOC(=O)[C@@H]1CCCN(C(=O)C2CCN(c3nnc(-n4cccc4)s3)CC2)C1
47,829,0.426401,O=C(COC(=O)c1cc(Cc2cccc(F)c2)no1)NC1CCCC1
48,5968,0.426401,COc1ccc(C)cc1N(C(=O)CCl)[C@@H](C(=O)NC1CCCCC1)c1ccccc1
49,8062,0.426401,COc1ccc([C@@H](C(=O)NC2CCCCC2)N(C(=O)c2ccoc2C)C2CC2)cc1
50,9140,0.425481,CCOC(=O)n1c(SCC(=O)N2CCCC2)nc2ccccc21
51,9907,0.424476,C[C@H](C(=O)C1CCCCC1)n1cnc2ccccc2c1=O
52,9025,0.423896,C[C@H]1CCCC[C@H]1NC(=O)[C@@H]1CCCCN1S(=O)(=O)c1cccc2nonc12
53,4139,0.423207,Cn1c(=O)c2c(ncn2CC(=O)OCC(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n(C)c1=O
54,2385,0.422921,CCCCc1cc(=O)oc2cc(OCC(=O)N3CCCC[C@@H]3C)ccc12
55,6644,0.422577,COc1cc(C(=O)Nc2ccccc2C(=O)C(=O)N2CCC(C(=O)O)CC2)cc(OC)c1OC
56,8773,0.422577,CN1C(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3cc(F)ccc23)C(=O)N2CCC[C@H]2C(N)=O)NC1=O
57,9633,0.421637,Cc1cc(C)nc(N/C(=N\C[C@@H](c2ccccc2)C(C)C)NC(=O)C2CCCCC2)n1
58,11427,0.420703,CCOC(=O)CNC(=O)Cn1cnc2c(=O)n(C)c(=O)n(C)c21
59,10827,0.420560,CCCOc1ccc(/C=C/C(=O)OCC(=O)NCCc2ccccc2)cc1C[C@H](CO)C(=O)OCC
60,3388,0.420084,CCOC(=O)c1nc2ccccc2c(C(=O)OCC)c1C(=O)OCC
61,10224,0.420084,C[C@H](NC(=O)Cc1cccc2ccccc12)C(=O)N1CCCCC1
62,2008,0.419591,CCOC(=O)[C@@]1(Cc2ccccc2)CCCN(C(=O)C[C@@H](C)N2C(=O)c3ccccc3C2=O)C1
63,5978,0.419591,CCCCOc1ccc2[nH]c(=O)c(CN(C(=O)NC3CCCCC3)C3CCCCC3)cc2c1
64,836,0.419524,CSCC[C@@H](NC(=O)c1cccs1)C(=O)O[C@H](C)C(=O)NCc1cccs1
65,9761,0.417855,CCOC(=O)N1CCN(C(=O)CSc2nc3ccc(OCC)cc3[nH]2)CC1
66,4907,0.417728,CCOC(=O)[C@@H]1CCCN(C(=O)C[C@H]2CN(CCc3ccccc3)C(=O)CN2Cc2ccccc2)C1
67,16,0.417029,Cc1cccc(C)c1N1C(=O)[C@@H](CC(=O)NCc2ccccc2)N(C2CCCCC2)C1=O
68,639,0.416667,Cc1cc(NC(=O)C2CC2)ncc1NC(=O)COC(=O)c1cccc(S(=O)(=O)N2CCCCC2)c1
69,2535,0.416667,CC(C)[C@H](C(=O)NC[C@@H]1CCCCO1)N(Cc1cccs1)C(=O)CNS(=O)(=O)c1ccc(F)cc1
70,12181,0.416598,NC(=O)c1nnn(-c2cccc(NC(=O)CCC3CCCC3)c2)c1N
71,2260,0.415851,C=CCN(c1cccc(C(=O)N2CCC(C(=O)OCC)CC2)c1)c1ccccc1C
72,5846,0.415227,CCOC(=O)C1=C(CC)Nc2ccccc2N=C1NC(=O)c1cccc(S(=O)(=O)N2CCCC2)c1
73,11630,0.415227,CCOC(=O)[C@@H](Cc1cccnc1)NC(=O)c1ccccc1Br
74,5399,0.414887,CC[C@@H]1CCCCN1CCCNC(=O)c1cc2ccc(OC)cc2[nH]1
75,10573,0.414887,C[C@@H](C(=O)N1CCN(C2CCCC2)CC1)n1ncn2cccc2c1=O
76,11087,0.414887,Cc1cc(C)c(NC(=O)c2nn(C3CCCCC3)cc2[N+](=O)[O-])c(C)c1
77,3027,0.414578,CC(=O)Nc1ccc2nc(CN3CCC(C(=O)NCC(C)C)CC3)ccc2c1
78,4945,0.414578,Cc1ccc(F)cc1NC(=O)Nc1nnc(CC(=O)N(C)C2CCCCC2)s1
79,10859,0.414578,CCCOC(=O)Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C(=O)OC
80,12037,0.414578,NS(=O)(=O)c1ccc(/N=N/c2cn(CCC(=O)O)nc2C2CCCCC2)cc1
81,2688,0.413449,CCN[C@H](Nc1c(C)n(C)n(-c2ccccc2)c1=O)C(=O)OCC
82,4890,0.413449,COc1cc2nc(C)cnc2cc1NC(=O)CC1CCCCC1
83,5594,0.413449,COc1ccc2c(CC(=O)NC3CCCCC3)cc(=O)oc2c1
84,12352,0.413449,CCOc1ccc(S(=O)(=O)NC2CCCCC2)c2ccccc12
85,4936,0.413197,CN(C)S(=O)(=O)c1ccc(C(=O)Nc2ccnn2C2CCCCC2)cc1
86,6682,0.413197,CCOC(=O)N1CCN(C(=O)CSc2nc3nc(C)cc(C)n3n2)CC1
87,6877,0.413197,CCOCCOC(=O)Cn1c(N2CCCC2)nc2c1c(=O)[nH]c(=O)n2C
88,11357,0.413197,O=C(CCCn1cnc2ccccc2c1=O)NC1CCCCCCC1
