rank,oracle_call,score,smiles
1,178,0.462321,O=C(NN1C[C@@H](C(=O)N[C@@H]2CCCC[C@@H]2C(=O)O)CC1=O)c1cccc2ccccc12
2,12963,0.443937,NS(=O)(=O)c1cccc(NC(=O)COC(=O)[C@@H](NC(=O)c2ccccc2)C2CCCCC2)c1
3,10651,0.436852,COCCn1c(CN2CCC(C3CCCCC3)CC2)nc2c1c(=O)n(C)c(=O)n2C
4,3242,0.434524,NS(=O)(=O)c1ccc(NC(=O)COC(=O)C[C@@H](NC(=O)NC2CCCCC2)c2ccccc2)cc1
5,3881,0.432493,C[C@H](O)[C@H](C(=O)N1CCC[C@H](NC(=O)OCc2ccccc2)C1)n1cc(CCCCN)nn1
6,5024,0.431934,NS(=O)(=O)c1ccc(NC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCCC2)cc1
7,7963,0.431517,CC[C@@H](C)NC(=O)[C@@H](c1ccc(OC)cc1)N(C[C@@H]1CCCO1)C(=O)CCC(=O)Nc1cc(C)on1
8,17513,0.429669,NC(=O)c1sccc1S(=O)(=O)c1ccc(Cl)c(C(=O)OCC(=O)NC2CCCC2)c1
9,2287,0.427247,Nn1c(SCC(=O)NCCNC(=O)c2ccco2)nnc1C1CCCCC1
10,14296,0.425628,NS(=O)(=O)c1cc(NC(=O)COC(=O)CN2C(=O)[C@H]3CCCC[C@H]3C2=O)cc2ccccc12
11,10756,0.424918,NS(=O)(=O)c1ccc(CNC(=O)C[C@@H](NC(=O)Nc2ccccc2)C(=O)NC2CCCCC2)cc1
12,8912,0.423896,COc1ccccc1NC(=O)Nc1nnc(CC(=O)N(C)C2CCCCC2)s1
13,3608,0.420084,NNC(=O)Cn1c(SCC(=O)NC2CCCC2)nc2ccccc21
14,5342,0.415851,NS(=O)(=O)c1cccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)C2CCCCC2)c1
15,18942,0.415227,NS(=O)(=O)c1ccc(N(CC(=O)NC2CCCCC2)C(=O)CCCC(=O)Nc2ccccn2)cc1
16,6685,0.413197,COc1cc(NC(=O)C2CCCCC2)n(-c2ccc(S(N)(=O)=O)cn2)n1
17,18904,0.412759,NS(=O)(=O)c1ccc(CCNC(=O)COC(=O)[C@@H]2CCCN2C(=O)c2cccs2)cc1
18,786,0.411877,NNC(=O)Cn1nnc2c(cnn2C2CCCCC2)c1=O
19,12767,0.411877,NNC(=O)Cn1cnc2c(cnn2C2CCCCC2)c1=O
20,20851,0.411239,NS(=O)(=O)c1cccc(N(Cc2cccs2)C(=O)CCCNC(=O)C2CCCCC2)c1
21,11886,0.408248,NS(=O)(=O)c1ccc(CCNC(=O)CN(C(=O)C2CCCCC2)c2ccc(F)cc2)cc1
22,12046,0.408248,NS(=O)(=O)c1ccc(OCc2ccccc2)c(NC(=O)CCC2CCCCC2)c1
23,8340,0.405442,NS(=O)(=O)c1ccc(CCNC(=O)[C@H]2CCCN2S(=O)(=O)c2ccc(OC3CCCC3)cc2)cc1
24,11188,0.405322,NS(=O)(=O)c1ccc(CCNC(=O)COC(=O)[C@H]2CCCN2C(=O)c2ccccc2F)cc1
25,18619,0.405190,NS(=O)(=O)c1cccc(NC(=O)C[C@@H](NC(=O)C2CCCCC2)c2ccccc2)c1
26,13060,0.404888,NS(=O)(=O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2cccc2)cc1
27,8698,0.404714,Nc1nn(-c2ccccc2)nc1C(=O)OCC1CCCCC1
28,8800,0.403473,NS(=O)(=O)c1cccc(NC(=O)NNC(=O)c2cccn2C2CCCCC2)c1
