rank,oracle_call,score,smiles
1,15407,0.481812,C[C@H](OC(=O)c1cc2sccc2n1C)C(=O)N[C@@H]1CCCC[C@H]1C
2,3052,0.481125,CCOC(=O)c1sc(C)c2c(=O)n(C3CCCCC3)cnc12
3,12869,0.481046,CCOC(=O)N1CCC(NC(=O)c2oc3c(OC)cccc3c2C(=O)O)CC1
4,27348,0.481046,CC(C)[C@@H](OC(=O)c1nn(C)c(=O)c2ccccc12)C(=O)NC1CCCCC1
5,8421,0.479675,CCOC(=O)c1[nH]c2ccc(C(=O)CC3CCCCC3)cc2c1N
6,28469,0.479675,C[C@@H](OC(=O)c1cc2sccc2n1C)C(=O)NCC1CCCCC1
7,35152,0.478913,CCOC(=O)c1[nH]c2ccccc2c1NC(=O)C1CCCC1
8,3702,0.477432,Cc1cc(NC(=O)CCC(=O)N(Cc2ccco2)[C@@H](CC(C)C)C(=O)NC2CCCCC2)no1
9,18215,0.474936,CCCCN(C(=O)Cc1cccs1)[C@@H](C(=O)NC1CCCCC1)c1ccccc1OCC
10,37226,0.474342,CCC[C@@H](CC(=O)OCc1ccccc1)c1cn(C2CCCCC2)nn1
11,3498,0.474137,CCOC(=O)Nc1ccc2c(COC(=O)[C@@H]3CCCN3C(=O)OCC)cc(=O)oc2c1
12,6439,0.472310,CCN(C[C@H](O)COC(=O)NC1CCCCC1)C(=O)c1ccnn1-c1ccc(F)cc1
13,2572,0.470504,Cc1c(C(=O)N2CCC(C(=O)O)CC2)[nH]c2ccc(OCCCNC3CCCC3)cc12
14,33626,0.469668,CC(C)[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@@H]1C(=O)O
15,928,0.469545,CSCC[C@H](NC(=O)c1coc(=O)c2ccccc12)C(=O)N1CCC(C(=O)O)CC1
16,5860,0.468718,CCOC(=O)Cn1c(CN2CCN(C3CCCCC3)CC2)nc2c1c(=O)n(C)c(=O)n2C
17,35567,0.467426,Cc1nc2cc(C(=O)NCCCOC(C)C)ccc2n1C1CCCCC1
18,7886,0.466628,O=C(CCC(=O)OCC(=O)c1cc2ccccc2oc1=O)NC1CCCCC1
19,24656,0.465891,CCOC(CCn1c(SCC(=O)NC2CCCC2)nc2ccccc2c1=O)OCC
20,20873,0.464238,CCOC(=O)[C@@H](CC(C)C)NC(=O)COc1cccc2ccccc12
21,21710,0.464238,COc1ccc2c(c1)c(C(C)=O)c(C)n2CC(=O)NC1CCCCC1
22,32791,0.463547,CCn1c(=O)c(=O)n(CC)c2cc(S(=O)(=O)N3CCCC[C@H]3C(=O)O)ccc21
23,20219,0.462910,COC(=O)c1cc2oc(C)cc2n1CC(=O)NC1CCCCC1
24,18824,0.462321,COc1ccc(C(=O)N[C@@H](Cc2nccn2C)C(=O)NCC2CCCCC2)cc1OC
25,38139,0.462321,CCOC(=O)c1ccc(CCNC(=O)c2ccc(S(=O)(=O)NC3CCCC3)cc2)cc1
26,15652,0.462250,CCOc1ccc2oc(C(=O)NNC(=O)C3CCCCC3)c(C)c2c1
27,29607,0.462250,CCOc1cccc2cc(C)c(=O)n(CC(=O)NC3CCCCC3)c12
28,3189,0.461774,CC[C@H](C(=O)NC1CCCC1)N(C(=O)CCc1nnc([C@H](OC)c2ccccc2)o1)C1CC1
29,21353,0.461266,CO[C@@H](c1ccccc1)c1nnc(CCC(=O)N[C@@H](CCSC)[C@H](C)C(=O)NC2CCCCC2)o1
30,29850,0.461084,C[C@H](CN(C)Cc1cccn1CC(=O)Nc1nccs1)C(=O)NC1CCCCC1
31,32179,0.461084,COC(=O)c1c(-c2ccco2)csc1NC(=O)CCC(=O)NCC1CCCCC1
32,34678,0.461084,COc1ccc(NC(=O)N2CCC[C@H]2C(=O)O)cc1NC(=O)Cn1nc(C)cc1C
33,1564,0.460566,CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N1CCN(C(=O)C2CCCCC2)CC1
34,33318,0.459933,CCOC(=O)c1cc2sccc2n1[C@@H](C)C(=O)OCC
35,32316,0.459763,COCCNc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(=O)NC1CCCCC1
36,6576,0.459279,CCOC(=O)N1CCC(Nc2c(NCCc3ccc(C(C)C)cc3)c(=O)c2=O)CC1
37,7736,0.459279,CCOC(=O)c1c(NC(=O)Cn2nnc(C(C)(C)OCC)n2)sc2c1CCCCC2
38,1908,0.458831,CCOC(=O)C1CCN(c2nc3ccccc3nc2[C@H](C#N)C(=O)O[C@H](C)COC)CC1
39,32727,0.458831,COC(=O)c1c(NC(=O)C2CCCCC2)c2c(C)cccc2n1C
40,12800,0.458416,CCOC(=O)c1ccc(C(=O)N2CCC[C@@H](Nc3ccc(/C=C\C(=O)OC(C)C)cc3)C2)nc1
41,12705,0.457905,COCCn1c(SC(C)C)nc2cc(C(=O)NC3CCCCC3)ccc2c1=O
42,32301,0.457496,CC(C)[C@H](NC(=O)c1nc[nH]c1C(=O)N1CCCCC1)C(=O)OCc1ccccc1
43,20876,0.456832,CCOC(=O)[C@H]1CCCCN1Cc1cc2cccc(C)c2[nH]c1=O
44,36996,0.456832,CCOC(=O)c1c(NC(=O)c2ccn(CC)n2)sc2c1CCCC2
45,14813,0.456764,COCCN(C(=O)CNC(=O)c1cccs1)[C@H](C(=O)NC1CCCCC1)c1cccc(OC)c1
46,34066,0.456435,CCCC[C@H](C)n1c(/C=C/C(=O)NC(C)C)cc2cc(C(=O)OCC)sc21
47,31182,0.455733,Cc1cc(NC(=O)[C@H](C)Sc2nnc(CC(=O)NC(C)C)n2C2CCCCC2)sc1C
48,17567,0.455420,COC[C@@H](NC(=O)c1ccccc1)C(=O)OCC(=O)N1CCC(Cc2ccccc2)CC1
