run,variant,n_oracle_calls,n_unique_smiles,smiles_conversion_rate,score_mean,top1,top10,top100,guacamol_score,auc_top10,quality_pass_rate,internal_diversity,n_scaffolds,top_scaffold_frac,calls_to_0.8,yield_0.8,novelty_vs_ref
rtb-atom-lora16-osim-b10,budgeted,10000,9354,0.9366,0.24578428218012513,0.8152467149676166,0.8028549425468141,0.7729123207915398,0.7970046594353235,0.7808193359543895,,,,,,,
rtb-atom-lora16-osim-b10,unbounded,14752,13720,0.9379745119305857,0.2939849250287352,0.8152467149676166,0.8074494122625454,0.7827056532598465,0.8018005934966695,,,,,,,,
rtb-atom-lora4-osim-b10,budgeted,9664,8795,0.945260761589404,0.3802292047222461,0.8081928111707762,0.8020540954876829,0.7812213375242585,0.7971560813942391,0.7814490322585539,,,,,,,
rtb-atom-lora4-osim-b10,unbounded,9664,8795,0.945260761589404,0.3802292047222461,0.8081928111707762,0.8020540954876829,0.7812213375242585,0.7971560813942391,,,,,,,,
rtb-atom-lora64-osim-b10,budgeted,10000,9245,0.9398,0.32669275768561584,0.817999740687494,0.80439574856101,0.7825679515270384,0.801654480258514,0.7896988133361565,,,,,,,
rtb-atom-lora64-osim-b10,unbounded,10592,9745,0.9387273413897281,0.33727992319965117,0.817999740687494,0.8068121152298573,0.7840981302763023,0.8029699953978846,,,,,,,,
rtb-atom-osim-b10,budgeted,10000,9392,0.941,0.2329333678144424,0.8111768936703765,0.7964131382420894,0.7699791267761165,0.7925230528961942,0.776667522297828,,,,,,,
rtb-atom-osim-b10,unbounded,19208,18026,0.9427321949187838,0.2472137781369769,0.811504091059703,0.8043481178314783,0.7821173484326616,0.7993231857746143,,,,,,,,
rtb-full-osim-b10,budgeted,4800,4525,0.9435416666666666,0.2514424928944749,0.8145128087039786,0.7835231300531869,0.7538800951326141,0.7839720112965932,0.7594357114238567,,,,,,,
rtb-full-osim-b10,unbounded,4800,4525,0.9435416666666666,0.2514424928944749,0.8145128087039786,0.7835231300531869,0.7538800951326141,0.7839720112965932,,,,,,,,
rtb-lora16-osim-b10,budgeted,10000,9384,0.9402,0.24672083242035192,0.8032901999716012,0.7912624301747078,0.7703935373910107,0.7883153891791066,0.775065975474044,,,,,,,
rtb-lora16-osim-b10,unbounded,38400,32227,0.9469270833333333,0.3863822145586759,0.8446110430139449,0.8228978399093645,0.7995745600349144,0.8223611476527412,,,,,,,,
rtb-lora4-osim-b10,budgeted,10000,9429,0.9455,0.23758802336967316,0.8239930734455874,0.8080156774639622,0.7746483341573507,0.8022190283556334,0.7861024748930868,,,,,,,
rtb-lora4-osim-b10,unbounded,38400,32645,0.9465625,0.3704361474370744,0.830335979989656,0.8203667698913591,0.800350093399177,0.8170176144267307,,,,,,,,
rtb-lora64-osim-b10,budgeted,10000,9329,0.9391,0.29620299738281114,0.828880521318674,0.8100836925716992,0.7808383641134435,0.8066008593346056,0.7908354482012393,,,,,,,
rtb-lora64-osim-b10,unbounded,31616,25953,0.9460716093117408,0.41629405883773474,0.828880521318674,0.8176909994135787,0.7982069051382967,0.8149261419568498,,,,,,,,
rtb-lora64-osim-b10-init,budgeted,10000,9408,0.9435,0.24601294216975048,0.8323897027678772,0.804219752030048,0.7726693964991636,0.8030929504323628,0.7869508395026438,,,,,,,
rtb-lora64-osim-b10-init,unbounded,11200,10544,0.9445535714285714,0.25232040814901663,0.8323897027678772,0.806166924145652,0.7763097201425916,0.8049554490187069,,,,,,,,
rtb-proj-nitrogen-sanity,budgeted,10000,9400,0.9423,0.23474473324245368,0.8356287959756175,0.8041156445353493,0.7717331631283934,0.8038258678797866,0.7856327152883258,,,,,,,
rtb-proj-nitrogen-sanity,unbounded,12800,12037,0.943359375,0.2432382002314981,0.8356287959756175,0.8049311788980246,0.7768635909914379,0.8058078552883599,,,,,,,,
rtb-proj-osim-b10,budgeted,10000,9367,0.9394,0.23330577539423306,0.8269887960251265,0.8012007818015292,0.7747250747353894,0.8009715508540151,0.7863645567064687,,,,,,,
rtb-proj-osim-b10,unbounded,41664,35567,0.9454445084485407,0.36568346945482,0.8269887960251265,0.8173780226816625,0.7987466942286912,0.8143711709784934,,,,,,,,
rtb-proj-osim-b20,budgeted,10000,8122,0.9508,0.5070044172152799,0.8269412173989998,0.8172966022709194,0.7918738166063031,0.8120372120920741,0.8003406546514976,,,,,,,
rtb-proj-osim-b20,unbounded,22976,16346,0.9502959610027855,0.5353610012994112,0.8269412173989998,0.8195818066520049,0.8003373211888481,0.8156201150799509,,,,,,,,
