run,variant,n_oracle_calls,n_valid_smiles,n_unique_smiles,smiles_conversion_rate,uniqueness_among_valid,score_mean,top1,top10,top100,guacamol_score,auc_top10
rtb-atom-lora16-osim-b10,budgeted,10000,9366,9354,0.9366,0.9987187700192185,0.15910229572800452,0.5291502622129182,0.47344297577583766,0.4282116928452935,0.4769349769446831,0.45610042993968297
rtb-atom-lora16-osim-b10,unbounded,14752,13837,13720,0.9379745119305857,0.9915444099154441,0.1497369749677567,0.5291502622129182,0.4741214467359517,0.4301131319257636,0.4777949469582112,
rtb-atom-lora16-peri-b10,budgeted,9600,8969,8954,0.9342708333333334,0.9983275727505854,0.15782640746533025,0.4763305116224668,0.46332751719294274,0.42173677635830686,0.45379826839123877,0.4422829327291663
rtb-atom-lora16-peri-b10,unbounded,9600,8969,8954,0.9342708333333334,0.9983275727505854,0.15782640746533025,0.4763305116224668,0.46332751719294274,0.42173677635830686,0.45379826839123877,
rtb-atom-lora4-osim-b10,budgeted,9664,9135,8795,0.945260761589404,0.9627805145046524,0.13886651028865846,0.4981167541368988,0.46328553796508726,0.4126311574209469,0.4580111498409776,0.4487182205146277
rtb-atom-lora4-osim-b10,unbounded,9664,9135,8795,0.945260761589404,0.9627805145046524,0.13886651028865846,0.4981167541368988,0.46328553796508726,0.4126311574209469,0.4580111498409776,
rtb-atom-lora4-peri-b10,budgeted,9600,9002,8988,0.9377083333333334,0.9984447900466563,0.15659730944465342,0.48454371185234896,0.460432617415643,0.4221105793292499,0.45569563619908066,0.44315817001382535
rtb-atom-lora4-peri-b10,unbounded,9600,9002,8988,0.9377083333333334,0.9984447900466563,0.15659730944465342,0.48454371185234896,0.460432617415643,0.4221105793292499,0.45569563619908066,
rtb-atom-lora64-osim-b10,budgeted,10000,9398,9245,0.9398,0.9837199404128538,0.1493263882058274,0.5333692516640697,0.46304494493907544,0.420950806919937,0.4724550011743607,0.44865487444696517
rtb-atom-lora64-osim-b10,unbounded,10592,9943,9745,0.9387273413897281,0.9800864930101579,0.1482338307663401,0.5333692516640697,0.46304494493907544,0.420950806919937,0.4724550011743607,
rtb-atom-lora64-peri-b10,budgeted,9600,8912,8893,0.9283333333333333,0.9978680430879713,0.1601149670602769,0.4979959839195493,0.47201529493732314,0.42421864874599235,0.46474330920095497,0.441482909687709
rtb-atom-lora64-peri-b10,unbounded,9600,8912,8893,0.9283333333333333,0.9978680430879713,0.1601149670602769,0.4979959839195493,0.47201529493732314,0.42421864874599235,0.46474330920095497,
rtb-atom-osim-b10,budgeted,10000,9410,9392,0.941,0.9980871413390011,0.16159773784623122,0.4915960401250875,0.4659183322213569,0.4292538118675155,0.4622560614046533,0.44925314282267736
rtb-atom-osim-b10,unbounded,19208,18108,18026,0.9427321949187838,0.995471614755909,0.16022482427095572,0.5397578926492556,0.47627904821214634,0.44040811957587844,0.48548168681242676,
rtb-atom-peri-b10,budgeted,9600,9049,9030,0.9426041666666667,0.9979003204774008,0.1606463575767032,0.4936572484949417,0.4677950793349942,0.42466792319005386,0.4620400836733299,0.4428829691209429
rtb-atom-peri-b10,unbounded,9600,9049,9030,0.9426041666666667,0.9979003204774008,0.1606463575767032,0.4936572484949417,0.4677950793349942,0.42466792319005386,0.4620400836733299,
rtb-full-osim-b10,budgeted,4800,4529,4525,0.9435416666666666,0.9991168028262309,0.15759303100260016,0.4669530091796763,0.44343430769021464,0.40255645782133004,0.43764792489707366,0.42766722262974627
rtb-full-osim-b10,unbounded,4800,4529,4525,0.9435416666666666,0.9991168028262309,0.15759303100260016,0.4669530091796763,0.44343430769021464,0.40255645782133004,0.43764792489707366,
rtb-full-peri-b10,budgeted,4800,4512,4504,0.94,0.99822695035461,0.15910395337019476,0.4745789978762495,0.4492117996373518,0.4085341573868518,0.444108318300151,0.42792162073883533
rtb-full-peri-b10,unbounded,4800,4512,4504,0.94,0.99822695035461,0.15910395337019476,0.4745789978762495,0.4492117996373518,0.4085341573868518,0.444108318300151,
rtb-lora16-osim-b10,budgeted,10000,9402,9384,0.9402,0.998085513720485,0.15902972951322578,0.4962546289118298,0.4659547619460687,0.4295480431304029,0.4639191446627671,0.4496390643850196
rtb-lora16-osim-b10,unbounded,38400,36362,32227,0.9469270833333333,0.8862823827072218,0.14417795658492322,0.4962546289118298,0.4717760752857463,0.43472772020828043,0.4675861414686189,
rtb-lora4-osim-b10,budgeted,10000,9455,9429,0.9455,0.9972501322051824,0.15859838984950117,0.49559462778335206,0.4661965557086753,0.4262548225170368,0.4626820020030214,0.4501958685314639
rtb-lora4-osim-b10,unbounded,38400,36348,32645,0.9465625,0.8981236931880708,0.14329811248803656,0.49559462778335206,0.470320536085629,0.4365278132393759,0.46748099236945234,
rtb-lora64-osim-b10,budgeted,10000,9391,9329,0.9391,0.9933979341923118,0.14826922622825042,0.46225016352102427,0.44651569536530544,0.41175410787534433,0.44017332225389133,0.43644929826410817
rtb-lora64-osim-b10,unbounded,31616,29911,25953,0.9460716093117408,0.8676740998294942,0.14001404319869898,0.46423834544262965,0.4524292487839247,0.42277238420547264,0.4464799928106757,
rtb-lora64-osim-b10-init,budgeted,10000,9435,9408,0.9435,0.9971383147853736,0.15782243344579258,0.47639306734033093,0.4592361824405199,0.4232741726811275,0.45296780748732607,0.4447576734929902
rtb-lora64-osim-b10-init,unbounded,11200,10579,10544,0.9445535714285714,0.9966915587484639,0.15656165444289863,0.47639306734033093,0.4592361824405199,0.42455271653026894,0.4533939887703733,
rtb-proj-lora16-peri-b10,budgeted,10000,9439,9416,0.9439,0.9975633011971607,0.1621368769056532,0.5345224838248488,0.4789435405574194,0.43176748564684125,0.4817445033430365,0.4574390846199208
rtb-proj-lora16-peri-b10,unbounded,38464,36267,35991,0.9428816555740432,0.9923897758292662,0.16511545789827717,0.5345224838248488,0.49617301282897863,0.45823492686776673,0.4963101411738648,
rtb-proj-lora4-peri-b10,budgeted,10000,9410,9383,0.941,0.9971307120085016,0.16225372147812672,0.4895604370122276,0.4640807146644258,0.431635445452713,0.4617588657097888,0.447415741845507
rtb-proj-lora4-peri-b10,unbounded,53760,50497,49927,0.9393043154761904,0.9887122007247955,0.16381316811705843,0.515876954571596,0.49264013192531386,0.4602998018731202,0.4896056294566767,
rtb-proj-lora64-peri-b10,budgeted,10000,9395,9374,0.9395,0.9977647684938797,0.16375325866241658,0.4803844614152614,0.45956921528959704,0.4278079379232191,0.4559205382093592,0.4407041729925972
rtb-proj-lora64-peri-b10,unbounded,41024,38639,38332,0.9418632995319812,0.9920546597996842,0.16288070303233618,0.4938647983247948,0.478493076002149,0.4540987164626288,0.4754855302631909,
rtb-proj-nitrogen-sanity,budgeted,10000,9423,9400,0.9423,0.9975591637482755,0.16219646196971815,0.521536192416212,0.4695516979401094,0.42515792904748145,0.4720819398012676,0.4517851911995038
rtb-proj-nitrogen-sanity,unbounded,12800,12075,12037,0.943359375,0.9968530020703934,0.15887238511506604,0.521536192416212,0.4695854434253099,0.4303918526646369,0.4738378295020529,
rtb-proj-osim-b10,budgeted,10000,9394,9367,0.9394,0.9971258249946775,0.16086779166630208,0.48104569292083466,0.46865116684307606,0.4272866304521875,0.4589944967386994,0.44733570963243785
