name,seed,family,reward,guide,objective,replay,beta,base_atom_stability,base_log_reward_mean,base_log_reward_top1,base_log_reward_top10,base_log_reward_top100,base_mol_stability,base_n_valid_smiles,base_parse_rate,base_reused_from,base_reward_mean,base_reward_top1,base_reward_top10,base_reward_top100,base_uniqueness,fcd_base_vs_ref,fcd_guided_vs_base,fcd_guided_vs_ref,guided_atom_stability,guided_log_reward_mean,guided_log_reward_top1,guided_log_reward_top10,guided_log_reward_top100,guided_mol_stability,guided_n_valid_smiles,guided_parse_rate,guided_reward_mean,guided_reward_top1,guided_reward_top10,guided_reward_top100,guided_uniqueness,mean_delta,n_components,reward_mean_delta,reward_top100_delta,reward_top10_delta,reward_top1_delta,top100_delta,top10_delta,top1_delta,wass_MW_base_vs_ref,wass_MW_guided_vs_ref,wass_TPSA_base_vs_ref,wass_TPSA_guided_vs_ref,wass_logP_base_vs_ref,wass_logP_guided_vs_ref,wass_n_heavy_base_vs_ref,wass_n_heavy_guided_vs_ref,wass_n_rings_base_vs_ref,wass_n_rings_guided_vs_ref
base_quetzal-fexo,0,base_prior,fexo,base_prior,none,off,0,0.8544708614082822,-2.6246332939625097,-0.29970118403434753,-0.33890398442745207,-0.4149780145287514,0.027,4641,0.9282,,0.2557111103656613,0.7410396220711913,0.7126712716501876,0.660758806752292,0.9976298211592329,,,,0.8544708614082822,-2.6246332939625097,-0.29970118403434753,-0.33890398442745207,-0.4149780145287514,0.027,4641,0.9282,0.2557111103656613,0.7410396220711913,0.7126712716501876,0.660758806752292,0.9976298211592329,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-fexo,100,base_prior,fexo,base_prior,none,off,0,0.8524100641490594,-2.4769111352618136,-0.2348952740430832,-0.33950297981500627,-0.4203134839236736,0.0244,4673,0.9346,,0.26065640167039594,0.790653647252928,0.7127547072534384,0.6572991885901124,0.99700406591055,,,,0.8524100641490594,-2.4769111352618136,-0.2348952740430832,-0.33950297981500627,-0.4203134839236736,0.0244,4673,0.9346,0.26065640167039594,0.790653647252928,0.7127547072534384,0.6572991885901124,0.99700406591055,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-fexo,42,base_prior,fexo,base_prior,none,off,0,0.8526116757267785,-2.563589575041682,-0.27062588930130005,-0.35302517712116244,-0.42888619303703307,0.0232,4620,0.924,,0.25774092413102057,0.7629018527694819,0.702987043381879,0.6516390626282181,0.9987012987012988,,,,0.8526116757267785,-2.563589575041682,-0.27062588930130005,-0.35302517712116244,-0.42888619303703307,0.0232,4620,0.924,0.25774092413102057,0.7629018527694819,0.702987043381879,0.6516390626282181,0.9987012987012988,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-nitrogen,0,base_prior,nitrogen,base_prior,none,off,0,0.8544708614082822,-2.369011733018743,-0.6890063881874084,-0.8845488488674164,-1.1575119698047638,0.027,4641,0.9282,,0.1188614525742681,0.5020746886493244,0.41432754114578224,0.31683090330616337,0.9976298211592329,,,,0.8544708614082822,-2.369011733018743,-0.6890063881874084,-0.8845488488674164,-1.1575119698047638,0.027,4641,0.9282,0.1188614525742681,0.5020746886493244,0.41432754114578224,0.31683090330616337,0.9976298211592329,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-nitrogen,100,base_prior,nitrogen,base_prior,none,off,0,0.8524100641490594,-2.350504577019575,-0.22067135572433472,-0.7487554907798767,-1.1367111933231353,0.0244,4673,0.9346,,0.12015542454356783,0.8019802031881521,0.48449242393022657,0.3260704254044128,0.99700406591055,,,,0.8524100641490594,-2.350504577019575,-0.22067135572433472,-0.7487554907798767,-1.1367111933231353,0.0244,4673,0.9346,0.12015542454356783,0.8019802031881521,0.48449242393022657,0.3260704254044128,0.99700406591055,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-nitrogen,42,base_prior,nitrogen,base_prior,none,off,0,0.8526116757267785,-2.3789634595185647,-0.3973017930984497,-0.8003651082515717,-1.1750991439819336,0.0232,4620,0.924,,0.11770201534079149,0.6721311504785689,0.4567959652084367,0.3138430595614076,0.9987012987012988,,,,0.8526116757267785,-2.3789634595185647,-0.3973017930984497,-0.8003651082515717,-1.1750991439819336,0.0232,4620,0.924,0.11770201534079149,0.6721311504785689,0.4567959652084367,0.3138430595614076,0.9987012987012988,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-osim,0,base_prior,osim,base_prior,none,off,0,0.8544708614082822,-3.1923456504809344,-0.21349063515663147,-0.2332309365272522,-0.2808708596229553,0.027,4641,0.9282,,0.2159227033972052,0.8077597246584434,0.7920372162888081,0.7553050879832695,0.9976298211592329,,,,0.8544708614082822,-3.1923456504809344,-0.21349063515663147,-0.2332309365272522,-0.2808708596229553,0.027,4641,0.9282,0.2159227033972052,0.8077597246584434,0.7920372162888081,0.7553050879832695,0.9976298211592329,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-osim,100,base_prior,osim,base_prior,none,off,0,0.8524100641490594,-3.0434217853704815,-0.21445539593696594,-0.23209359347820283,-0.2752979502081871,0.0244,4673,0.9346,,0.2201816767082432,0.8069808055518775,0.7929014935805044,0.7595377575649668,0.99700406591055,,,,0.8524100641490594,-3.0434217853704815,-0.21445539593696594,-0.23209359347820283,-0.2752979502081871,0.0244,4673,0.9346,0.2201816767082432,0.8069808055518775,0.7929014935805044,0.7595377575649668,0.99700406591055,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-osim,42,base_prior,osim,base_prior,none,off,0,0.8526116757267785,-3.1227731127791847,-0.21496085822582245,-0.23358982056379318,-0.2781782804429531,0.0232,4620,0.924,,0.21654522291036724,0.8065730102580936,0.7917107432529368,0.7573445776966795,0.9987012987012988,,,,0.8526116757267785,-3.1227731127791847,-0.21496085822582245,-0.23358982056379318,-0.2781782804429531,0.0232,4620,0.924,0.21654522291036724,0.8065730102580936,0.7917107432529368,0.7573445776966795,0.9987012987012988,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-peri,0,base_prior,peri,base_prior,none,off,0,0.8544708614082822,-2.5867711941221363,-0.7142473459243774,-0.7965441644191742,-0.9132395958900452,0.027,4641,0.9282,,0.14586233091340542,0.4895604428285758,0.45137802705293223,0.4017465091843182,0.9976298211592329,,,,0.8544708614082822,-2.5867711941221363,-0.7142473459243774,-0.7965441644191742,-0.9132395958900452,0.027,4641,0.9282,0.14586233091340542,0.4895604428285758,0.45137802705293223,0.4017465091843182,0.9976298211592329,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
