name,family,reward,guide,objective,replay,beta,n_seeds,base_atom_stability_mean,base_atom_stability_std,base_log_reward_mean_mean,base_log_reward_mean_std,base_log_reward_top1_mean,base_log_reward_top1_std,base_log_reward_top10_mean,base_log_reward_top10_std,base_log_reward_top100_mean,base_log_reward_top100_std,base_mol_stability_mean,base_mol_stability_std,base_n_valid_smiles_mean,base_n_valid_smiles_std,base_parse_rate_mean,base_parse_rate_std,base_reused_from_mean,base_reused_from_std,base_reward_mean_mean,base_reward_mean_std,base_reward_top1_mean,base_reward_top1_std,base_reward_top10_mean,base_reward_top10_std,base_reward_top100_mean,base_reward_top100_std,base_uniqueness_mean,base_uniqueness_std,fcd_base_vs_ref_mean,fcd_base_vs_ref_std,fcd_guided_vs_base_mean,fcd_guided_vs_base_std,fcd_guided_vs_ref_mean,fcd_guided_vs_ref_std,guided_atom_stability_mean,guided_atom_stability_std,guided_log_reward_mean_mean,guided_log_reward_mean_std,guided_log_reward_top1_mean,guided_log_reward_top1_std,guided_log_reward_top10_mean,guided_log_reward_top10_std,guided_log_reward_top100_mean,guided_log_reward_top100_std,guided_mol_stability_mean,guided_mol_stability_std,guided_n_valid_smiles_mean,guided_n_valid_smiles_std,guided_parse_rate_mean,guided_parse_rate_std,guided_reward_mean_mean,guided_reward_mean_std,guided_reward_top1_mean,guided_reward_top1_std,guided_reward_top10_mean,guided_reward_top10_std,guided_reward_top100_mean,guided_reward_top100_std,guided_uniqueness_mean,guided_uniqueness_std,mean_delta_mean,mean_delta_std,n_components_mean,n_components_std,reward_mean_delta_mean,reward_mean_delta_std,reward_top100_delta_mean,reward_top100_delta_std,reward_top10_delta_mean,reward_top10_delta_std,reward_top1_delta_mean,reward_top1_delta_std,top100_delta_mean,top100_delta_std,top10_delta_mean,top10_delta_std,top1_delta_mean,top1_delta_std,wass_MW_base_vs_ref_mean,wass_MW_base_vs_ref_std,wass_MW_guided_vs_ref_mean,wass_MW_guided_vs_ref_std,wass_TPSA_base_vs_ref_mean,wass_TPSA_base_vs_ref_std,wass_TPSA_guided_vs_ref_mean,wass_TPSA_guided_vs_ref_std,wass_logP_base_vs_ref_mean,wass_logP_base_vs_ref_std,wass_logP_guided_vs_ref_mean,wass_logP_guided_vs_ref_std,wass_n_heavy_base_vs_ref_mean,wass_n_heavy_base_vs_ref_std,wass_n_heavy_guided_vs_ref_mean,wass_n_heavy_guided_vs_ref_std,wass_n_rings_base_vs_ref_mean,wass_n_rings_base_vs_ref_std,wass_n_rings_guided_vs_ref_mean,wass_n_rings_guided_vs_ref_std
base_quetzal-fexo,base_prior,fexo,base_prior,none,off,0,3,0.85316420042804,0.0009276076739057145,-2.5550446680886685,0.06060924362353294,-0.2684074491262436,0.02650336582469847,-0.34381071378787365,0.006520196814972753,-0.4213925638298193,0.005729029437141034,0.024866666666666665,0.0015860503004493762,4644.666666666667,21.791945504908202,0.9289333333333333,0.004358389100981617,,,0.2580361453890259,0.002029670451995385,0.7648650406978671,0.0203023554268155,0.7094710074285017,0.004584981475309282,0.6565656859902075,0.0037590737130482484,0.9977783952570273,0.0007008116643814896,,,,,,,0.85316420042804,0.0009276076739057145,-2.5550446680886685,0.06060924362353294,-0.2684074491262436,0.02650336582469847,-0.34381071378787365,0.006520196814972753,-0.4213925638298193,0.005729029437141034,0.024866666666666665,0.0015860503004493762,4644.666666666667,21.791945504908202,0.9289333333333333,0.004358389100981617,0.2580361453890259,0.002029670451995385,0.7648650406978671,0.0203023554268155,0.7094710074285017,0.004584981475309282,0.6565656859902075,0.0037590737130482484,0.9977783952570273,0.0007008116643814896,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
base_quetzal-nitrogen,base_prior,nitrogen,base_prior,none,off,0,3,0.85316420042804,0.0009276076739057145,-2.3661599231856276,0.01179199199360915,-0.43565984567006427,0.19311124739531554,-0.8112231492996216,0.055966548441746554,-1.156440769036611,0.015690109246695335,0.024866666666666665,0.0015860503004493762,4644.666666666667,21.791945504908202,0.9289333333333333,0.004358389100981617,,,0.11890629748620914,0.0010021019504561932,0.6587286807720152,0.12280214183359092,0.45187197676148183,0.02885552449367956,0.31891479609066126,0.005204746277366078,0.9977783952570273,0.0007008116643814896,,,,,,,0.85316420042804,0.0009276076739057145,-2.3661599231856276,0.01179199199360915,-0.43565984567006427,0.19311124739531554,-0.8112231492996216,0.055966548441746554,-1.156440769036611,0.015690109246695335,0.024866666666666665,0.0015860503004493762,4644.666666666667,21.791945504908202,0.9289333333333333,0.004358389100981617,0.11890629748620914,0.0010021019504561932,0.6587286807720152,0.12280214183359092,0.45187197676148183,0.02885552449367956,0.31891479609066126,0.005204746277366078,0.9977783952570273,0.0007008116643814896,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
base_quetzal-osim,base_prior,osim,base_prior,none,off,0,3,0.85316420042804,0.0009276076739057145,-3.1195135162102,0.06084158735165446,-0.2143022964398066,0.000609900844574025,-0.2329714501897494,0.0006377950258123746,-0.2781156967580318,0.0022755610845850522,0.024866666666666665,0.0015860503004493762,4644.666666666667,21.791945504908202,0.9289333333333333,0.004358389100981617,,,0.21754986767193854,0.001878243281854618,0.8071045134894715,0.0004923078355170414,0.792216484374083,0.0005023772622569947,0.7573958077483053,0.0017283597880839957,0.9977783952570273,0.0007008116643814896,,,,,,,0.85316420042804,0.0009276076739057145,-3.1195135162102,0.06084158735165446,-0.2143022964398066,0.000609900844574025,-0.2329714501897494,0.0006377950258123746,-0.2781156967580318,0.0022755610845850522,0.024866666666666665,0.0015860503004493762,4644.666666666667,21.791945504908202,0.9289333333333333,0.004358389100981617,0.21754986767193854,0.001878243281854618,0.8071045134894715,0.0004923078355170414,0.792216484374083,0.0005023772622569947,0.7573958077483053,0.0017283597880839957,0.9977783952570273,0.0007008116643814896,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
base_quetzal-peri,base_prior,peri,base_prior,none,off,0,3,0.85316420042804,0.0009276076739057145,-2.5732673055849675,0.018481487012506025,-0.7314611673355103,0.012186763311777872,-0.8006550828615824,0.012673280670290669,-0.9144382653633754,0.0048556318366790915,0.024866666666666665,0.0015860503004493762,4644.666666666667,21.791945504908202,0.9289333333333333,0.004358389100981617,,,0.14615820535792595,0.0005093001154992553,0.4812411904326537,0.005889548086624915,0.44936984405985614,0.005655167387404479,0.40129497753648824,0.00202952337864817,0.9977783952570273,0.0007008116643814896,,,,,,,0.85316420042804,0.0009276076739057145,-2.5732673055849675,0.018481487012506025,-0.7314611673355103,0.012186763311777872,-0.8006550828615824,0.012673280670290669,-0.9144382653633754,0.0048556318366790915,0.024866666666666665,0.0015860503004493762,4644.666666666667,21.791945504908202,0.9289333333333333,0.004358389100981617,0.14615820535792595,0.0005093001154992553,0.4812411904326537,0.005889548086624915,0.44936984405985614,0.005655167387404479,0.40129497753648824,0.00202952337864817,0.9977783952570273,0.0007008116643814896,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
base_quetzal-stability,base_prior,stability,base_prior,none,off,0,3,0.85316420042804,0.0009276076739057145,-0.15957413125323308,0.0008764508374068731,0.0,0.0,0.0,0.0,0.0,0.0,0.024866666666666665,0.0015860503004493762,4644.666666666667,21.791945504908202,0.9289333333333333,0.004358389100981617,,,0.8558707091141553,0.0006560218921903803,1.0,0.0,1.0,0.0,1.0,0.0,0.9977783952570273,0.0007008116643814896,,,,,,,0.85316420042804,0.0009276076739057145,-0.15957413125323308,0.0008764508374068731,0.0,0.0,0.0,0.0,0.0,0.0,0.024866666666666665,0.0015860503004493762,4644.666666666667,21.791945504908202,0.9289333333333333,0.004358389100981617,0.8558707091141553,0.0006560218921903803,1.0,0.0,1.0,0.0,1.0,0.0,0.9977783952570273,0.0007008116643814896,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
compose-osimertinib-harmonic-k3-b10,compose,osimertinib,harmonic,compose,off,10,1,0.8664679206877451,0.0,-2.955624255416007,0.0,-0.1905978981837323,0.0,-0.21832460566646442,0.0,-0.27200867779707594,0.0,0.0218,0.0,4700.0,0.0,0.94,0.0,,,0.21104308020058452,0.0,0.8264648443613034,0.0,0.8039471549436188,0.0,0.7620998018066107,0.0,0.9987234042553191,0.0,2.6848679968839093,0.0,1.0147942109733066,0.0,3.463274081744686,0.0,0.8668637865753315,0.0,-2.7993370400846427,0.0,-0.20764932680748618,0.0,-0.23314051504591166,0.0,-0.27669485026711216,0.0,0.018,0.0,4707.0,0.0,0.9414,0.0,0.22138303441540566,0.0,0.8124919058915581,0.0,0.7921158241644076,0.0,0.7584657039403608,0.0,0.9987253027405991,0.0,0.15628721533136414,0.0,3.0,0.0,0.010339954214821145,0.0,-0.003634097866249908,0.0,-0.011831330779211169,0.0,-0.013972938469745344,0.0,-0.004686172470036221,0.0,-0.01481590937944724,0.0,-0.01705142862375389,0.0,7.652701425531917,0.0,5.427515418270654,0.0,1.5174134042553211,0.0,1.3362441261950297,0.0,0.23982711170212775,0.0,0.2254316996732527,0.0,0.44071063829787227,0.0,0.24565323985553358,0.0,0.17682978723404244,0.0,0.2111708094327599,0.0
compose-osimertinib-harmonic-k4-b10,compose,osimertinib,harmonic,compose,off,10,1,0.8666299529643305,0.0,-2.906547252574743,0.0,-0.20984093317794597,0.0,-0.23031884863793936,0.0,-0.2795181499642642,0.0,0.0238,0.0,4708.0,0.0,0.9416,0.0,,,0.21077564718755606,0.0,0.8107131932855486,0.0,0.7943712869851101,0.0,0.7563482230943608,0.0,0.9991503823279524,0.0,2.7445466605411184,0.0,1.1345093944434836,0.0,3.6065289107691285,0.0,0.8690040993061348,0.0,-2.7350772717251357,0.0,-0.2107231417298218,0.0,-0.2271793122325209,0.0,-0.271938273486142,0.0,0.0192,0.0,4775.0,0.0,0.955,0.0,0.2289101229933576,0.0,0.8099982905663268,0.0,0.7968082038694454,0.0,0.7621040115794625,0.0,0.9981151832460733,0.0,0.1714699808496074,0.0,4.0,0.0,0.018134475805801548,0.0,0.0057557884851017205,0.0,0.0024369168843353384,0.0,-0.0007149027192218105,0.0,0.007579876478122194,0.0,0.003139536405418447,0.0,-0.0008822085518758183,0.0,7.88221610994053,0.0,4.0695570670156975,0.0,1.499683271028038,0.0,1.805705015706805,0.0,0.22855294020220912,0.0,0.24477268095287968,0.0,0.4540334749362785,0.0,0.18453717277486906,0.0,0.1679933729821581,0.0,0.22972879581151862,0.0
compose-osimertinib-linear-k3-b10,compose,osimertinib,linear,compose,off,10,1,0.866447830122473,0.0,-2.9204964253943233,0.0,-0.21015354734276329,0.0,-0.23510191562465454,0.0,-0.277977893698672,0.0,0.0228,0.0,4727.0,0.0,0.9454,0.0,,,0.21444479721024864,0.0,0.8104597924681294,0.0,0.7905400958105536,0.0,0.7575231550317532,0.0,0.998942246668077,0.0,2.7663200469229565,0.0,0.7293256180781214,0.0,3.283182315931427,0.0,0.8651647734478323,0.0,-2.82104549726941,0.0,-0.21385496909708393,0.0,-0.2291666658716242,0.0,-0.27685517665871884,0.0,0.0212,0.0,4738.0,0.0,0.9476,0.0,0.22646742035061235,0.0,0.8074654839792076,0.0,0.7952337812419105,0.0,0.7583702665682566,0.0,0.9987336428872943,0.0,0.09945092812491341,0.0,3.0,0.0,0.012022623140363703,0.0,0.0008471115365034088,0.0,0.004693685431356842,0.0,-0.002994308488921793,0.0,0.0011227170399531472,0.0,0.005935249753030336,0.0,-0.003701421754320644,0.0,8.098849044510263,0.0,7.876536718699874,0.0,1.4630135642056286,0.0,1.5836936082735327,0.0,0.23333685676285182,0.0,0.3264862351008866,0.0,0.4686753120372326,0.0,0.4861993246095396,0.0,0.19006189972498402,0.0,0.2087268045588858,0.0
compose-osimertinib-linear-k4-b10,compose,osimertinib,linear,compose,off,10,1,0.8666299529643305,0.0,-2.906547252574743,0.0,-0.20984093317794597,0.0,-0.23031884863793936,0.0,-0.2795181499642642,0.0,0.0238,0.0,4708.0,0.0,0.9416,0.0,,,0.21077564718755606,0.0,0.8107131932855486,0.0,0.7943712869851101,0.0,0.7563482230943608,0.0,0.9991503823279524,0.0,2.7445466605411184,0.0,0.7498799719727032,0.0,3.297802088281756,0.0,0.8655786714160446,0.0,-2.8312957077505736,0.0,-0.21385496909708393,0.0,-0.22447994756576173,0.0,-0.27765246209394556,0.0,0.0222,0.0,4740.0,0.0,0.948,0.0,0.22087536535339614,0.0,0.8074654839792076,0.0,0.7989632147226557,0.0,0.7577813991439117,0.0,0.9983122362869198,0.0,0.07525154482416951,0.0,4.0,0.0,0.010099718165840071,0.0,0.001433176049550955,0.0,0.004591927737545687,0.0,-0.0032477093063409956,0.0,0.0018656878703186552,0.0,0.0058389010721776324,0.0,-0.004014035919137959,0.0,7.88221610994053,0.0,8.852256380590719,0.0,1.499683271028038,0.0,1.3377432489451477,0.0,0.22855294020220912,0.0,0.2946899511983124,0.0,0.4540334749362785,0.0,0.5383029535864975,0.0,0.1679933729821581,0.0,0.21135949367088624,0.0
compose-osimertinib-product-k3-b10,compose,osimertinib,product,compose,off,10,1,0.8644649020831182,0.0,-2.963259513653934,0.0,-0.20906200605015463,0.0,-0.23030027142040246,0.0,-0.2809543206068777,0.0,0.021,0.0,4693.0,0.0,0.9386,0.0,,,0.21020888107170363,0.0,0.8113449257895087,0.0,0.7943456549065177,0.0,0.7552675483068333,0.0,0.9987215001065417,0.0,2.6794324122242443,0.0,0.8771444069082293,0.0,3.4845682017189574,0.0,0.8612577211623564,0.0,-2.95306762241783,0.0,-0.21886718433847507,0.0,-0.2315957706840448,0.0,-0.27677174224954515,0.0,0.0242,0.0,4726.0,0.0,0.9452,0.0,0.21496709377299122,0.0,0.8034284189446517,0.0,0.7932967482254604,0.0,0.7583922954175836,0.0,0.9966144731273805,0.0,0.010191891236103867,0.0,3.0,0.0,0.004758212701287595,0.0,0.003124747110750281,0.0,-0.0010489066810572822,0.0,-0.007916506844857008,0.0,0.004182578357332545,0.0,-0.0012954992636423357,0.0,-0.009805178288320449,0.0,6.50592658372043,0.0,13.25495948870081,0.0,1.6782094979757085,0.0,2.1867801718154865,0.0,0.20873014388706598,0.0,0.3299894184435042,0.0,0.33532073300660514,0.0,0.8813439695302577,0.0,0.1613283187726402,0.0,0.2144882776132039,0.0
