source,smiles,log_reward
base,CCCOc1ccc(/C=C2/SC(=S)N(CC(=O)Nc3cccc(F)c3)C2=O)cc1OC,-1.4397430419921875
base,O=C(N[C@@H](O)C(=O)c1ccco1)c1ccco1,-0.7739772200584412
base,O[C@@H]1[C@H](O)[C@@H](O)OC[C@@H]1O,-1.2228922843933105
base,O=C(c1cc2sccc2n1Cc1ccccc1)N1CCN(c2nc3ccccc3s2)CC1,-4.620988368988037
base,[H+].[N][C][C]1[C]2CCCC[C]2[S+][C]1[N+]1[CH][CH][C]([C]([O-])[C]2[C][C]([N+]([O-])[O-])[CH][CH][CH]2)[CH][CH]1,-0.7434537410736084
base,COc1ccc(-c2nonc2NC(=O)c2ccccc2C(=O)O)cc1,-0.6671599745750427
base,CCCC(=O)N[C@@H](C(=O)OCC)c1cccc(OC)c1,-1.7003052234649658
base,CNCC(=O)C1CCN(Cc2ccccc2O)CC1,-2.8566293716430664
base,CC(=O)c1c[nH]c(C(=O)N2CCN(Cc3ccc(F)cc3)CC2)c1,-2.3431525230407715
base,CCNC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1,-1.626451849937439
base,Fc1ccc2nc(-c3ccncc3)c(N3CCC[C-](C[C@@H](CC(F)(F)F)C(F)(F)F)C3)n2c1.[H+],-6.705148696899414
base,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCCCCC1,-3.6289281845092773
base,O=c1cc(-c2ccccc2Cl)oc2c(NS(=O)(=O)c3cccs3)ccc(O)c12,-0.7647576928138733
base,CC1=C[C+](C)C23[C-]4C1[C-]=[N+]=C=N[CH-]/C(C)=C1\[C@]42[N@+]13c1cccc(O)c1,-3.7020320892333984
base,FC(F)OC(F)(F)[C@@H](F)Cl,-12.869475364685059
base,OCC1(Cc2ccc(O)cc2)CCN(Cc2ccc(Cl)c3ccccc23)CC1,-4.022065162658691
base,CCCCn1nc(C(=O)Nc2sc(N)nc2C)c2ccccc2c1=O,-0.6434686779975891
base,CC[C@H](O)CC(=O)OCC(=O)Nc1ccc(F)cc1,-0.994456946849823
base,Cc1ccc(-c2ncnc3c2oc2ccccc23)c(O)c1,-2.241997480392456
base,N/N=N\c1nc2ccccc2[nH]1,-1.1858041286468506
base,COc1cccc(CN(Cc2cccnc2)C(=O)Nc2ccc(N(C)C)cc2)c1,-2.2918589115142822
base,Clc1cccc(N2CCN(c3ccccc3)CC2)c1,-12.149479866027832
base,CCC(=O)Nc1cc(C(=O)OCC(=O)c2ccc(C)c(C)c2)ccc1OC,-0.7301335334777832
base,O=c1[nH]c(CSc2ccc(C(F)(F)F)cc2S(=O)(=O)F)nc2ccccc12,-0.8739627599716187
base,C[P+]([O-])(N[c-]1[cH+][cH-][c+](Cl)[cH+][n-]1)O[C-]1[CH+][CH-][CH+][C-]2[CH+]S[CH-]N21,-1.950057029724121
base,CCN(CC)C(=O)CCN1C(=O)/C(=C/c2c(F)cccc2Cl)SC1=S,-4.682740211486816
base,CCN(Cc1ccccc1)C1CCN(CCCc2ccccc2)CC1,-12.004705429077148
base,CO/N=C/c1cc(OC)c(OC)cc1[N+](=O)[O-],-0.8862411379814148
base,COCCl,-5.0
base,CCCOC(=O)c1ccc(NC(=O)c2cnccc2C(F)(F)F)cc1,-1.3683432340621948
base,COc1ccc(C(=O)OCC(=O)N2CCCC2)cc1OC1CCCC1,-1.5051441192626953
base,[O-][S+2]1([O-])CC[CH-][CH+]C([N-]O)C1,-1.1107139587402344
base,[H]/N=C1C(=C(\C#N)c2cc(OC)c(OC)c(OC)c2)/C(=O)N=C2SC(C(C)C)=NN2/1,-0.9111536741256714
base,CCCOc1cccc(CNCCc2ccccn2)c1,-5.801092624664307
base,CN1C(=O)/C(=N\NC(=O)c2ccco2)c2ccccc21,-1.089490532875061
base,S=c1[nH]nc(COc2ccc(Cl)cc2)n1Cc1ccccc1,-4.410813331604004
base,O=[N+]([O-])c1ccc(NNS(=O)(=O)c2cccc3cccnc23)nc1,-0.70889812707901
base,CCCn1c(N)c(C(=O)NCCN2CCOCC2)c2nc3cccc(C)c3nc21,-0.5623658299446106
base,Clc1ccc2nc(CSc3ncn[nH]3)cn2c1,-2.4833641052246094
base,CC(=O)C(=S)/C(C)=C(\[C-]=[NH+]/C(=O)Nc1ccc(C)cn1)C(N)=O,-0.8560071587562561
base,[O-][C+](CCn1[c+]([O-])[c+]([CH+][c-]2[cH+][c-]3[cH+][cH-][c+](O)[cH-][c+]3[n-][c+]2[O-])s[c-]1[S-])N1CCCCCC1,-0.44055503606796265
base,COc1ccc(C(=O)N2CCN(C)[C@H](C)C2)cc1OC1CCN(C(C)=O)CC1,-1.7978875637054443
base,O=C(NNC1=NCCC1)c1ccc(CC(F)(F)F)s1,-3.056880474090576
base,O=C(NCC(=O)N1CCCCC1)C(=O)NC[C@@H]1CCCO1,-0.7137197256088257
base,NC=O,-5.0
base,O=S(=O)(Cc1ccccc1)N1CCC(N2CCOCC2)CC1,-3.190329074859619
base,COCC(=O)Nc1nc(-c2ccccc2Cl)cs1,-3.250415563583374
base,CCNCc1cc(Cl)c(OCc2ccccc2)c(Oc2ccccc2F)c1,-7.078958511352539
base,FC(F)(F)c1ccccc1-c1nnc(-c2ccccc2Cl)o1,-5.293846607208252
base,S=C(NCc1ccccn1)Nc1ccccc1,-5.424144744873047
base,COc1ccccc1-c1cc(C(=O)Nc2cccc3cccnc23)c2ccccc2n1,-2.2552194595336914
base,Cc1cc(C(F)(F)F)n(C2=N/C(=C\c3ccco3)C(=O)N2)n1,-1.425274133682251
base,O=C(O)/C=C/C(=O)N(Cc1cccc([N+](=O)[O-])c1)C[C@H]1CCCO1,-0.4463898241519928
base,Cc1ccc(C)c(OCCSCC(N)=O)c1,-3.130403995513916
base,[O-]P(C(Cl)Cl)N([c+]1[cH-][cH+][cH-][cH+][cH-]1)[c+]1[cH-][cH+][cH-][cH+][cH-]1,-7.319065570831299
base,Fc1ccccc1SCCc1ccc2c(c1)OCO2,-9.172825813293457
base,CCn1c(SCC(=O)c2ccc3c(c2)OCO3)nnc1-c1cccs1,-1.6774218082427979
base,CC1(CC(=O)N/N=C/c2ccc3c(c2)OCO3)OCCCO1,-0.8699296712875366
base,O=C1c2ccccc2N[C@H](c2ccc3ccccc3n2)N1NS(=O)(=O)c1ccccc1,-0.6284042000770569
base,CC(C)N1C(=O)/C(=C/Nc2ccc(Br)cc2)C(=O)N(C2CCCCC2)C1=O,-1.1762200593948364
base,N#C/C(=C\c1ccc(Cl)cc1)C(=O)c1ccccc1,-4.61713981628418
base,COCCN[C-]([O-])C([C+]1[CH+][CH-][C+](C)O1)N1[c+]2[cH-][cH+][cH-][cH+][c-]2C([c+]2[cH-][cH+][cH-][cH+][cH-]2)n2[n-][c+]3[cH-][cH+][cH-][cH+][c+]3n2C[C-]1[O-],-0.405854731798172
base,CCOC(=O)C(/C=N/NC(=O)c1ccncc1)=N/Nc1ccc(C)cc1,-0.6853266954421997
base,CP(C)#[O+].[CH2-]CCOCC,-7.691108703613281
base,CC(=O)NCC(=O)Nn1c(C(=O)/N=c2\[n-]nc(C3CC3)s2)nc2ccccc2c1=O.[H+],-0.7313483357429504
base,C[C@@H]1CCC[NH+]=[C-][P@@]1(O)=S,-6.273718357086182
base,CN(C)CCCN(CCCNC(=O)/C=C\c1ccccc1F)Cc1ccccc1,-5.274079322814941
base,S=C(Nc1ccc(Br)cc1)NC1CCCC1,-7.876805305480957
base,Cc1ccc([C@]2(CC(=O)Nc3nc4ccccc4[nH]3)CCO[C@H](C(C)C)C2)cc1,-1.5339480638504028
base,CCCNC(=O)CSc1nnc(C/[S+]=C2\N=CC=C\C2=C(/[O-])O)n1CCC,-0.6312331557273865
base,CCOc1ccccc1NC(=O)c1nn(C)cc1Br,-2.657330274581909
base,CN(Cc1nc(-c2cccnc2)no1)S(=O)(=O)c1ccccc1,-0.6952971816062927
base,COc1ccc(C(=O)NCCN2CCC[C@H](C)C2)c(OC)c1,-3.0267491340637207
base,[N][C][C]([N]N[C]1[CH][CH][CH][CH][C]1N([O-])[O-])[C+]([NH])N1CCCCC1,-0.7939691543579102
base,COc1cc(OC)c2c(c1)[s+]c(/N=C(\[O-])C(C)C)n2C,-2.4706265926361084
base,Cc1cc(/C=N/n2cnnc2)c(C)n1-c1ccc(N2CCOCC2)cc1,-1.9563108682632446
