source,smiles,log_reward
base,CCCOc1ccc(/C=C2/SC(=S)N(CC(=O)Nc3cccc(F)c3)C2=O)cc1OC,-0.16705408692359924
base,O=C(N[C@@H](O)C(=O)c1ccco1)c1ccco1,0.0
base,O[C@@H]1[C@H](O)[C@@H](O)OC[C@@H]1O,0.0
base,O=C(c1cc2sccc2n1Cc1ccccc1)N1CCN(c2nc3ccccc3s2)CC1,-0.11778303235769272
base,[H+].[N][C][C]1[C]2CCCC[C]2[S+][C]1[N+]1[CH][CH][C]([C]([O-])[C]2[C][C]([N+]([O-])[O-])[CH][CH][CH]2)[CH][CH]1,-0.28768208622932434
base,COc1ccc(-c2nonc2NC(=O)c2ccccc2C(=O)O)cc1,-0.1718502640724182
base,CCCC(=O)N[C@@H](C(=O)OCC)c1cccc(OC)c1,-0.10265415161848068
base,CNCC(=O)C1CCN(Cc2ccccc2O)CC1,-0.05001042038202286
base,CC(=O)c1c[nH]c(C(=O)N2CCN(Cc3ccc(F)cc3)CC2)c1,-0.14660347998142242
base,CCNC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1,-0.08455739170312881
base,Fc1ccc2nc(-c3ccncc3)c(N3CCC[C-](C[C@@H](CC(F)(F)F)C(F)(F)F)C3)n2c1.[H+],-0.07696104049682617
base,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCCCCC1,-0.11122563481330872
base,O=c1cc(-c2ccccc2Cl)oc2c(NS(=O)(=O)c3cccs3)ccc(O)c12,-0.2548922598361969
base,CC1=C[C+](C)C23[C-]4C1[C-]=[N+]=C=N[CH-]/C(C)=C1\[C@]42[N@+]13c1cccc(O)c1,-0.2719337046146393
base,FC(F)OC(F)(F)[C@@H](F)Cl,0.0
base,OCC1(Cc2ccc(O)cc2)CCN(Cc2ccc(Cl)c3ccccc23)CC1,-0.07696104049682617
base,CCCCn1nc(C(=O)Nc2sc(N)nc2C)c2ccccc2c1=O,-0.07061756402254105
base,CC[C@H](O)CC(=O)OCC(=O)Nc1ccc(F)cc1,-0.12136085331439972
base,Cc1ccc(-c2ncnc3c2oc2ccccc23)c(O)c1,-0.36101335287094116
base,N/N=N\c1nc2ccccc2[nH]1,-0.23638877272605896
base,COc1cccc(CN(Cc2cccnc2)C(=O)Nc2ccc(N(C)C)cc2)c1,-0.24613307416439056
base,Clc1cccc(N2CCN(c3ccccc3)CC2)c1,-0.2513144314289093
base,CCC(=O)Nc1cc(C(=O)OCC(=O)c2ccc(C)c(C)c2)ccc1OC,-0.08338160812854767
base,O=c1[nH]c(CSc2ccc(C(F)(F)F)cc2S(=O)(=O)F)nc2ccccc12,-0.2787134051322937
base,C[P+]([O-])(N[c-]1[cH+][cH-][c+](Cl)[cH+][n-]1)O[C-]1[CH+][CH-][CH+][C-]2[CH+]S[CH-]N21,-0.2776317298412323
base,CCN(CC)C(=O)CCN1C(=O)/C(=C/c2c(F)cccc2Cl)SC1=S,-0.20585206151008606
base,CCN(Cc1ccccc1)C1CCN(CCCc2ccccc2)CC1,-0.11122563481330872
base,CO/N=C/c1cc(OC)c(OC)cc1[N+](=O)[O-],-0.10919929295778275
base,COCCl,0.0
base,CCCOC(=O)c1ccc(NC(=O)c2cnccc2C(F)(F)F)cc1,-0.10536051541566849
base,COc1ccc(C(=O)OCC(=O)N2CCCC2)cc1OC1CCCC1,-0.12783336639404297
base,[O-][S+2]1([O-])CC[CH-][CH+]C([N-]O)C1,-0.2719337046146393
base,[H]/N=C1C(=C(\C#N)c2cc(OC)c(OC)c(OC)c2)/C(=O)N=C2SC(C(C)C)=NN2/1,-0.15762893855571747
base,CCCOc1cccc(CNCCc2ccccn2)c1,-0.21130909025669098
base,CN1C(=O)/C(=N\NC(=O)c2ccco2)c2ccccc21,-0.06669137626886368
base,S=c1[nH]nc(COc2ccc(Cl)cc2)n1Cc1ccccc1,-0.28768208622932434
base,O=[N+]([O-])c1ccc(NNS(=O)(=O)c2cccc3cccnc23)nc1,-0.2231435477733612
base,CCCn1c(N)c(C(=O)NCCN2CCOCC2)c2nc3cccc(C)c3nc21,-0.07275935262441635
base,Clc1ccc2nc(CSc3ncn[nH]3)cn2c1,-0.2231435477733612
base,CC(=O)C(=S)/C(C)=C(\[C-]=[NH+]/C(=O)Nc1ccc(C)cn1)C(N)=O,-0.16705408692359924
base,[O-][C+](CCn1[c+]([O-])[c+]([CH+][c-]2[cH+][c-]3[cH+][cH-][c+](O)[cH-][c+]3[n-][c+]2[O-])s[c-]1[S-])N1CCCCCC1,-0.1636294275522232
base,COc1ccc(C(=O)N2CCN(C)[C@H](C)C2)cc1OC1CCN(C(C)=O)CC1,-0.10724552720785141
base,O=C(NNC1=NCCC1)c1ccc(CC(F)(F)F)s1,-0.03278982266783714
base,O=C(NCC(=O)N1CCCCC1)C(=O)NC[C@@H]1CCCO1,-0.09531018137931824
base,NC=O,0.0
base,O=S(=O)(Cc1ccccc1)N1CCC(N2CCOCC2)CC1,-0.13976193964481354
base,COCC(=O)Nc1nc(-c2ccccc2Cl)cs1,-0.18924200534820557
base,CCNCc1cc(Cl)c(OCc2ccccc2)c(Oc2ccccc2F)c1,-0.18232156336307526
base,FC(F)(F)c1ccccc1-c1nnc(-c2ccccc2Cl)o1,-0.14310084283351898
base,S=C(NCc1ccccn1)Nc1ccccc1,-0.2657031714916229
base,COc1ccccc1-c1cc(C(=O)Nc2cccc3cccnc23)c2ccccc2n1,-0.12783336639404297
base,Cc1cc(C(F)(F)F)n(C2=N/C(=C\c3ccco3)C(=O)N2)n1,0.0
base,O=C(O)/C=C/C(=O)N(Cc1cccc([N+](=O)[O-])c1)C[C@H]1CCCO1,-0.07410797476768494
base,Cc1ccc(C)c(OCCSCC(N)=O)c1,-0.09531018137931824
base,[O-]P(C(Cl)Cl)N([c+]1[cH-][cH+][cH-][cH+][cH-]1)[c+]1[cH-][cH+][cH-][cH+][cH-]1,-0.37156355381011963
base,Fc1ccccc1SCCc1ccc2c(c1)OCO2,-0.33024168014526367
base,CCn1c(SCC(=O)c2ccc3c(c2)OCO3)nnc1-c1cccs1,-0.10536051541566849
base,CC1(CC(=O)N/N=C/c2ccc3c(c2)OCO3)OCCCO1,-0.05129329487681389
base,O=C1c2ccccc2N[C@H](c2ccc3ccccc3n2)N1NS(=O)(=O)c1ccccc1,-0.2809023857116699
base,CC(C)N1C(=O)/C(=C/Nc2ccc(Br)cc2)C(=O)N(C2CCCCC2)C1=O,-0.08167803287506104
base,N#C/C(=C\c1ccc(Cl)cc1)C(=O)c1ccccc1,-0.2318016141653061
base,COCCN[C-]([O-])C([C+]1[CH+][CH-][C+](C)O1)N1[c+]2[cH-][cH+][cH-][cH+][c-]2C([c+]2[cH-][cH+][cH-][cH+][cH-]2)n2[n-][c+]3[cH-][cH+][cH-][cH+][c+]3n2C[C-]1[O-],-0.13762137293815613
base,CCOC(=O)C(/C=N/NC(=O)c1ccncc1)=N/Nc1ccc(C)cc1,-0.14310084283351898
base,CP(C)#[O+].[CH2-]CCOCC,0.0
base,CC(=O)NCC(=O)Nn1c(C(=O)/N=c2\[n-]nc(C3CC3)s2)nc2ccccc2c1=O.[H+],-0.16126814484596252
base,C[C@@H]1CCC[NH+]=[C-][P@@]1(O)=S,-0.14660347998142242
base,CN(C)CCCN(CCCNC(=O)/C=C\c1ccccc1F)Cc1ccccc1,-0.06782259792089462
base,S=C(Nc1ccc(Br)cc1)NC1CCCC1,-0.17589066922664642
base,Cc1ccc([C@]2(CC(=O)Nc3nc4ccccc4[nH]3)CCO[C@H](C(C)C)C2)cc1,-0.10919929295778275
base,CCCNC(=O)CSc1nnc(C/[S+]=C2\N=CC=C\C2=C(/[O-])O)n1CCC,-0.12783336639404297
base,CCOc1ccccc1NC(=O)c1nn(C)cc1Br,-0.12921173870563507
base,CN(Cc1nc(-c2cccnc2)no1)S(=O)(=O)c1ccccc1,-0.3920421004295349
base,COc1ccc(C(=O)NCCN2CCC[C@H](C)C2)c(OC)c1,-0.08701137453317642
base,[N][C][C]([N]N[C]1[CH][CH][CH][CH][C]1N([O-])[O-])[C+]([NH])N1CCCCC1,-0.0822381004691124
base,COc1cc(OC)c2c(c1)[s+]c(/N=C(\[O-])C(C)C)n2C,-0.11122563481330872
base,Cc1cc(/C=N/n2cnnc2)c(C)n1-c1ccc(N2CCOCC2)cc1,-0.04255961626768112
base,Cc1n[nH]c(=S)n1Cc1cccc(Cl)c1,-0.2231435477733612
base,OCCN1CCN(C(=S)c2ccc(Cl)c(Cl)c2)CC1,-0.188052237033844
base,CC(C)/[S+]=c1\nc2n(C)c(=O)n(C)c([O-])c-2n1CCc1ccccc1,-0.11247798055410385
base,[O-][C+](O)Cn1[cH+][c+]([C-]([O-])C2CCCC[C+]2[O-])s[n-]1,-0.10178269445896149
base,O=C(CNc1cccc(F)c1)c1cccc(Br)c1,-0.2318016141653061
base,O=S(=O)(Nc1nnccc1O)c1ccc(Cl)cc1,-0.16705408692359924
base,CCOC(=O)c1cnn(-c2ccccc2)c1NC(=O)c1ccco1,-0.22957444190979004
base,Clc1ccc(Nc2c3c(nc4ccccc24)CCCC3)cc1,-0.22957444190979004
base,NS(=O)(=O)c1ccc(CNC(=O)[C@H]2CC[C@H](CNS(=O)(=O)c3cccs3)CC2)cc1,-0.1786917895078659
base,O=C(N/N=C/c1ccncc1)c1ccc(Cl)cc1,-0.3364722430706024
base,N/C(=N/C1CCCCC1)c1c(Cl)nc2sccn12,-0.09531018137931824
base,Nc1nnc(SCCOc2ccccc2)s1,-0.2513144314289093
base,CSC1=N[C@@H](c2ccccc2)C=C(C)N1,-0.10919929295778275
base,Clc1ccc(-c2nnc3sc(Cc4cccs4)nn23)cc1,-0.14310084283351898
base,NNC(=O)Nc1ccc(Cl)c(Cl)c1,-0.10536051541566849
base,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc3[nH]c4c(c3c2)CCCC4)nc1,-0.32158362865448
base,Cc1cccc(Cc2ccccc2OCc2nnc(N)s2)c1,-0.19782574474811554
base,OCC1(C#Cc2ccc(-c3ccccn3)cc2)CCCCC1,-0.09763847291469574
base,CC[C@H]1Oc2ccccc2N(CC(=O)NCc2cccs2)C1=O,-0.07598590850830078
base,NC(=O)N[C@H](CC(=O)OCCCOC(=O)Cc1ccccc1)c1ccccc1,-0.12260232120752335
base,N#C/C(=C/C(=O)NN)Cc1ccccc1,-0.2623642683029175
base,CC[C@@H]1CCCCN1C(=O)CCc1nnc(Cc2c[nH]c3ccccc23)o1,-0.038466282188892365
base,Cc1ccn2c(Nc3cccc(Br)c3)c(C(=O)N3CCOCC3)nc2c1,-0.09309042245149612
base,[NH-]O[c+]1[c-]([C+]([O-])NC2CC2)[cH+][cH-][c+]2[cH-][cH+][cH-][cH+][c-]12,-0.10178269445896149
base,COc1ccccc1OCC(=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,-0.16705408692359924
base,CC(C)COc1ccc(/C=C2/CN(C)C/C(=C\CN3CCOCC3)C2=O)cc1,-0.10536051541566849
base,CCN1C=CC(CNC(=O)c2ccc(F)cc2)=C[C@@H]1C(=O)N1CCCC1,-0.040821995586156845
base,COc1cccc2cc(C(=O)Oc3cccc4cccnc34)c(=O)oc12,-0.10821358114480972
base,Cc1ccn(C(=O)c2[nH]c3ccc(F)cc3c2N2CCOCC2)n1,-0.15822400152683258
base,[O-][C+]1[C-]2[C-](O[c+]3[cH-][cH+][cH-][cH+][c-]31)[C+]([O-])[NH+]1C2C1(O)N1CCN(C[c+]2[cH-][cH+][c-]3[c+]([cH-]2)OCO3)CC1,-0.13613218069076538
base,Cc1ccc(S(=O)(=O)N[C@H]2OC(=O)c3c(O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)cccc32)cc1,-0.15415067970752716
base,OC1([c-]2[cH+][cH-][cH+][c-](C(F)(F)F)[cH+]2)CCN(C23[N-][CH+][N-][C+]4C25C43[N+]52CCOCC2)CC1,-0.2135740965604782
base,CN1CCN(c2ccc(/N=C/C3=C(O)CC(C)(C)CC3=O)cc2)CC1,-0.12260232120752335
base,O=C(O)CCN1CCCCC1,0.0
base,[CH2-]CC/C=[C-]/C(Cc1ccco1)=[N+]=[NH+]C(=S)Nc1ccc(F)cc1,-0.12675170600414276
base,O=S1(=O)C[C@H](O)[C@@H](N2CCC3(CC2)OCCO3)C1,-0.11441034823656082
base,O=c1[nH]c2cc(C(F)(F)F)ccc2c(O)c1SCCO,-0.10536051541566849
base,NS(=O)(=O)c1ccc(CCNS(=O)(=O)c2cccc3nsnc23)cc1,-0.4855078160762787
base,COc1ccc(C(=O)N(C)CCc2cc3ccc(OC)cc3[nH]c2=O)cc1,-0.08515781164169312
base,CCCNc1ccncc1S(=O)(=O)Nc1nccs1,-0.16430304944515228
base,S=C(Nc1ccccc1Cl)N1CCN(c2nc(-c3cccs3)nc3c2oc2ccccc23)CC1,-0.275411993265152
base,COc1ccc(Cl)cc1NC(=O)c1oc2ccccc2c1NC(=O)c1ccn[nH]1,-0.25782909989356995
base,CC[C@H](Sc1nnnn1-c1ccc(F)cc1)C(=O)Nc1ncc(C(F)(F)F)n1C,-0.1206279844045639
base,O=C(NC1CC1)c1ccc(=O)oc1,0.0
base,Nc1ccccc1SCc1ccccc1OCc1ccccc1,-0.24116206169128418
base,COc1ccc(CCNC[C@H](O)c2ccccc2)cc1,-0.10265415161848068
base,N#[N+][N-][C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,-0.09844007343053818
base,Cc1cccc2c1N[C-]([O-])Cc1[n-]c(c[s+]1)COC(=O)CCc1ccccc1[O+]1C[C@H]1CC2.[H+],-0.23967285454273224
base,O=c1cc(CSc2ccc3ccccc3n2)nc2[nH]c(=S)[nH]n12,-0.19415602087974548
base,Nc1ccn([C@H]2O[C@@H](CO)[C@H](O)[C@@H]2O)c(=O)n1,-0.14310084283351898
base,S=C(NCCCc1ccccc1)Nc1ccccc1,-0.20972053706645966
base,O=C(NCCN1CCCC1)c1cc(-c2ccncc2)nc2ccc(S(=O)(=O)N3CCOCC3)cc12,-0.16989903151988983
base,O=S(=O)(/C=C/c1ccccc1)N1CCNCC1,-0.12921173870563507
base,O=[N+]([O-])c1ccccc1S(=O)(=O)N1CCCCC1,-0.16989903151988983
base,Cn1nnc(NC(=O)C2CCCC2)n1,-0.16034264862537384
base,O=Cc1coc(-c2ccc(Cl)cc2)cc1=O,-0.09097177535295486
base,O=C(Nc1ccc2oc3ccccc3c(=O)c2c1)c1cccs1,-0.15906469523906708
base,Fc1ccc(-c2nc3ccccc3nc2/C=C/c2ccccc2Br)cc1,-0.43078291416168213
base,C=C[CH+]CCC(=O)[N-][C@@H](Cc1ccccc1)C(=O)OCC(=O)Nc1cccc(S(N)(=O)=O)c1,-0.18924200534820557
base,C=CN(CC/C=[O+]/c1[c-]cccc1Cl)C1CC1,-0.20067068934440613
base,[CH2+][C+]([N-][CH+][C]CN1CCCC([C-]([O-])[c+]2[cH-][cH+][cH-][cH+][c-]2SC)C1)[N-][C+]1[CH+][C+](N([O-])[O-])[CH-][CH+][C-]1OC,-0.1988508552312851
base,O=c1[nH]c(SCCOc2ccccc2)nc2ccccc12,-0.08961215615272522
base,O=C(NOCCO)c1ccc(-c2ccc3ccccc3n2)o1,-0.05715841427445412
base,COc1cc(Cl)c(NC(=O)c2nccnc2C)c2cccnc12,-0.18232156336307526
base,COc1nc2ccccc2c(C(=O)NCCN2CCOCC2)c1C(=S)/N=C/c1ccco1,-0.1752040833234787
base,C=CCNCc1c(C[C@]2(O)C(=O)Nc3ccccc32)cc(C)[nH]c1=O,-0.09097177535295486
base,S=C(N/N=C/c1ccccc1Oc1ccccc1)c1ccc(Oc2ccccc2)cc1,-0.2682639956474304
