source,smiles,log_reward
guided,CCCOc1ccc(/C=C2/SC(=S)N(CC(=O)Nc3cccc(F)c3)C2=O)cc1OC,-0.16705408692359924
guided,O=C(N[C@@H](O)C(=O)c1ccco1)c1ccco1,0.0
guided,O[C@@H]1[C@H](O)[C@@H](O)OC[C@@H]1O,0.0
guided,OC[C@]1(Cc2ccccc2)CCCN(CCc2ccc(OCc3ccccc3)cc2)C1,-0.20763936638832092
guided,FC(F)Oc1ccc(Cl)c2cccnc12,-0.10008345544338226
guided,[H+].[N][C][C]1[C]2CCCC[C]2[S+][C]1[N+]1[CH][CH][C]([C]([O-])[C]2[C][C]([N+]([O-])[O-])[CH][CH][CH]2)[CH][CH]1,-0.28768208622932434
guided,COc1ccc(-c2nonc2NC(=O)c2ccccc2C(=O)O)cc1,-0.1718502640724182
guided,CCCC(=O)N[C@@H](C(=O)OCC)c1cccc(OC)c1,-0.10265415161848068
guided,CNCC(=O)C1CCN(Cc2ccccc2O)CC1,-0.05001042038202286
guided,CC(=O)c1c[nH]c(C(=O)N2CCN(Cc3ccc(F)cc3)CC2)c1,-0.14660347998142242
guided,CCNC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1,-0.08455739170312881
guided,Fc1ccc2nc(-c3ccncc3)c(NCc3ccco3)n2c1,-0.11778303235769272
guided,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCCCCC1,-0.11122563481330872
guided,O=c1cc(-c2ccccc2Cl)oc2c(NS(=O)(=O)c3cccs3)ccc(O)c12,-0.2548922598361969
guided,CC1=C[C+](C)C23[C-]4C1[C-]=[N+]=C=N[CH-]/C(C)=C1\[C@]42[N@+]13c1cccc(O)c1,-0.2719337046146393
guided,FC(F)OC(F)(F)[C@@H](F)Cl,0.0
guided,OCC1(Cc2ccc(O)cc2)CCN(Cc2ccc(Cl)c3ccccc23)CC1,-0.07696104049682617
guided,CCCCn1nc(C(=O)Nc2sc(N)nc2C)c2ccccc2c1=O,-0.07061756402254105
guided,CCC[CH-]CN(C)[C@@H](c1ccccc1)[C+]1C(=O)NC(=O)N(Cc2ccccc2)C1=O,-0.11122563481330872
guided,Cc1ccc(-c2ncnc3c2oc2ccccc23)c(O)c1,-0.36101335287094116
guided,N/N=N\c1nc2ccccc2[nH]1,-0.23638877272605896
guided,COc1cccc(CN(Cc2cccnc2)C(=O)Nc2ccc(N(C)C)cc2)c1,-0.24613307416439056
guided,Clc1cccc(N2CCN(c3ccccc3)CC2)c1,-0.2513144314289093
guided,CCC(=O)Nc1cc(C(=O)OCC(=O)c2ccc(C)c(C)c2)ccc1OC,-0.08338160812854767
guided,O=c1[nH]c(CSc2ccc(C(F)(F)F)cc2S(=O)(=O)F)nc2ccccc12,-0.2787134051322937
