source,smiles,log_reward
guided,CCCOc1ccc(/C=C2/SC(=S)N(CC(=O)Nc3cccc(F)c3)C2=O)cc1OC,-0.16705408692359924
guided,O=[C+](c1ccco1)[C@H](O)N[C][O-],-0.05715841427445412
guided,O[C@@H]1[C@H](O)[C@@H](O)OC[C@@H]1O,0.0
guided,O=S(=O)(N[C@@H]1CCCC[C@@H]1Sc1ccccn1)c1ccccc1,-0.23483958840370178
guided,[H+].[N][C][C]1[C]2CCCC[C]2[S+][C]1[N+]1[CH][CH][C]([C]([O-])[C]2[C][C]([N+]([O-])[O-])[CH][CH][CH]2)[CH][CH]1,-0.28768208622932434
guided,COc1ccc(-c2nonc2NC(=O)c2ccc3c(c2)OCCO3)cc1,-0.15822400152683258
guided,CCCC(=O)N[C@@H](C(=O)OCC)c1cccc(OC)c1,-0.10265415161848068
guided,CNCC(=O)C1CCN(Cc2ccccc2O)CC1,-0.05001042038202286
guided,CC(=O)c1c[nH]c(C(=O)N2CCN(Cc3ccc(F)cc3)CC2)c1,-0.14660347998142242
guided,CCNC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1,-0.08455739170312881
guided,Fc1ccc2nc(-c3ccncc3)c(NCc3ccco3)n2c1,-0.11778303235769272
guided,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCCCCC1,-0.11122563481330872
guided,O=c1cc(-c2ccccc2Cl)oc2c(NS(=O)(=O)c3cccs3)ccc(O)c12,-0.2548922598361969
guided,CC1=C[C+](C)C23[C-]4C1[C-]=[N+]=C=N[CH-]/C(C)=C1\[C@]42[N@+]13c1cccc(O)c1,-0.2719337046146393
guided,FC(F)OC(F)(F)[C@@H](F)Cl,0.0
guided,[OH-],-0.6931471824645996
guided,CCCCn1nc(C(=O)Nc2sc(N)nc2C)c2ccccc2c1=O,-0.07061756402254105
guided,CCC[CH-]CN(C)[C@@H](c1ccccc1)[C+]1C(=O)NC(=O)N(Cc2ccccc2)C1=O,-0.11122563481330872
guided,Cc1ccc(-c2ncnc3c2oc2ccccc23)c(O)c1,-0.36101335287094116
guided,N/N=N\c1nc2ccccc2[nH]1,-0.23638877272605896
guided,COc1cccc(CN(Cc2cccnc2)C(=O)Nc2ccc(N(C)C)cc2)c1,-0.24613307416439056
guided,Clc1cccc(N2CCN(c3ccccc3)CC2)c1,-0.2513144314289093
guided,CCC(=O)Nc1cc(C(=O)OCC(=O)c2ccc(C)c(C)c2)ccc1OC,-0.08338160812854767
guided,O=c1[nH]c(CSc2ccc(C(F)(F)F)cc2S(=O)(=O)F)nc2ccccc12,-0.2787134051322937
guided,C=[P@@]([O-])(Nc1ccc(Cl)cn1)Oc1cccc2c[s+]cn12,-0.33024168014526367
guided,CCN(CC)C(=O)CCN1C(=O)/C(=C/c2c(F)cccc2Cl)SC1=S,-0.20585206151008606
guided,CCN(Cc1ccccc1)C1CCN(CCCc2ccccc2)CC1,-0.11122563481330872
guided,[CH2-]O[N-][CH+][c+]1[cH-][c+](OC)[c-](OC)[cH+][c-]1N([O-])[O-],-0.15415067970752716
guided,COCCl,0.0
guided,Clc1ccc(OCc2cc(-c3ccccc3Cl)on2)cc1,-0.28768208622932434
guided,COc1ccc(C(=O)OCC(=O)N2CCCC2)cc1OC1CCCC1,-0.12783336639404297
guided,[O-][S+2]1([O-])CC[CH-][CH+]C([N-]O)C1,-0.2719337046146393
guided,[H]/N=C1C(=C(\C#N)c2cc(OC)c(OC)c(OC)c2)/C(=O)N=C2SC(C(C)C)=NN2/1,-0.15762893855571747
guided,CCCOc1cccc(CNCCc2ccccn2)c1,-0.21130909025669098
guided,CN1C(=O)/C(=N\NC(=O)c2ccco2)c2ccccc21,-0.06669137626886368
guided,O=C1[N+]#CC(N2CCOCC2)=C=C([O-])O/C1=C/c1ccccc1Br,-0.20972053706645966
guided,O=[N+]([O-])c1ccc(NNS(=O)(=O)c2cccc3cccnc23)nc1,-0.2231435477733612
guided,[H+].[O-][S+]([O-])CCN1CC[C+]([c-]2[cH+]n(C[c-]3[cH+][cH-][c+](F)[c-](F)[cH+]3)[c-]3[cH+][cH-][cH+][cH-][c+]23)CC1,-0.1900435984134674
guided,CCCn1c(N)c(C(=O)NCCN2CCOCC2)c2nc3cccc(C)c3nc21,-0.07275935262441635
guided,Clc1ccc2nc(CSc3ncn[nH]3)cn2c1,-0.2231435477733612
guided,CC(=O)C(=S)/C(C)=C(\[C-]=[NH+]/C(=O)Nc1ccc(C)cn1)C(N)=O,-0.16705408692359924
guided,[O-][C+](CCn1[c+]([O-])[c+]([CH+][c-]2[cH+][c-]3[cH+][cH-][c+](O)[cH-][c+]3[n-][c+]2[O-])s[c-]1[S-])N1CCCCCC1,-0.1636294275522232
