source,smiles,log_reward
guided,CCCOc1ccc(/C=C2/SC(=S)N(CC(=O)Nc3cccc(F)c3)C2=O)cc1OC,-1.4397430419921875
guided,O=[C+](c1ccco1)[C@H](O)N[C][O-],-0.8790597319602966
guided,[OH-],-5.0
guided,[OH-],-5.0
guided,CCOc1ccc2[nH]c(=O)c(CN(CCN3CCOCC3)C(=O)Nc3cccc(-c4cccs4)c3)cc2c1,-0.5772652626037598
guided,N#Cc1c(N2C#CC(=C=O)C=C2)sc2c1CCCC2,-4.2896647453308105
guided,COc1ccc(-c2nonc2NC(=O)c2ccc3c(c2)OCCO3)cc1,-0.6487603783607483
guided,CCCC(=O)N[C@@H](C(=O)OCC)c1cccc(OC)c1,-1.7003052234649658
guided,CNCC(=O)C1CCN(Cc2ccccc2O)CC1,-2.8566293716430664
guided,CC(=O)c1c[nH]c(C(=O)N2CCN(Cc3ccc(F)cc3)CC2)c1,-2.3431525230407715
guided,COc1ccc(N2CCN(C(=O)CCCc3ccccc3)CC2)cc1,-5.818009376525879
guided,Cc1ccccc1C(=O)N/N=C1\SCC(=O)N1Cc1ccccc1,-1.9127177000045776
guided,[O-][CH+][C-]1[N-][C]N(CC2CCCCC2)[C+]1NC[C+]1[CH+][CH-][CH+][CH-][C+]1Cl,-3.1413793563842773
guided,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCCCCC1,-3.6289281845092773
guided,O=c1cc(-c2ccccc2Cl)oc2c(NS(=O)(=O)c3cccs3)ccc(O)c12,-0.7647576928138733
guided,[C-3][C+]1[CH+][C-](C)C23[C+]4[C+]1[C][N-][C][N-][CH-][C+](C)[C-]1N2C413,-6.672184467315674
guided,FC(F)OC(F)(F)[C@@H](F)Cl,-12.869475364685059
guided,COc1ccnc(Oc2ccccc2F)c1-c1ccccc1,-6.446986675262451
guided,CCCCn1nc(C(=O)Nc2sc3c(c2C#N)CCC3)c2ccccc2c1=O,-0.5990567207336426
guided,CC[C@H](O)CC(=O)OCC(=O)Nc1ccc(F)cc1,-0.994456946849823
guided,N/N=N\c1nc2ccccc2[nH]1,-1.1858041286468506
guided,COc1cccc(CN(Cc2cccnc2)C(=O)Nc2ccc(N(C)C)cc2)c1,-2.2918589115142822
guided,Clc1cccc(N2CCN(c3ccccc3)CC2)c1,-12.149479866027832
guided,CN1C(=O)C(=Cc2ccc(N3CCCCC3)cc2)C(=O)N(C)C1=O,-1.8905742168426514
guided,O=c1[nH]c(CSc2ccc(C(F)(F)F)cc2S(=O)(=O)F)nc2ccccc12,-0.8739627599716187
guided,C[P+]([O-])(N[c-]1[cH+][cH-][c+](Cl)[cH+][n-]1)O[C-]1[CH+][CH-][CH+][C-]2[CH+]S[CH-]N21,-1.950057029724121
guided,CCN(CC)C(=O)CCN1C(=O)/C(=C/c2c(F)cccc2Cl)SC1=S,-4.682740211486816
guided,CCN(Cc1ccccc1)C1CCN(CCCc2ccccc2)CC1,-12.004705429077148
guided,CO/N=C/c1cc(OC)c(OC)cc1[N+](=O)[O-],-0.8862411379814148
guided,COCCl,-5.0
guided,CCCOC(=O)c1ccc(NC(=O)c2cnccc2C(F)(F)F)cc1,-1.3683432340621948
guided,COc1ccc(C(=O)OCC(=O)N2CCCC2)cc1OC1CCCC1,-1.5051441192626953
guided,CCOC(=O)NC(=O)CSc1n[nH]c(=O)n1CCc1ccccc1,-0.7407680749893188
guided,[H]/N=C1C(=C(\C#N)c2cc(OC)c(OC)c(OC)c2)/C(=O)N=C2SC(C(C)C)=NN2/1,-0.9111536741256714
guided,CCCOc1cccc(CNCCc2ccccn2)c1,-5.801092624664307
guided,C/C(N)=C(\C#N)C(=O)NCCc1ccccn1,-0.9136874675750732
guided,O=C(/C=C\C(=O)c1cccs1)/[O+]=C1\OC([O-])=C=C1N1CCOCC1,-0.5956620573997498
guided,O=[N+]([O-])c1ccc(NNS(=O)(=O)c2cccc3cccnc23)nc1,-0.70889812707901
guided,[O-][S+]([O-])CCN1CCC([c+]2[cH-]n(C[c+]3[cH-][cH+][cH-][c+](F)[cH-]3)[c+]3[cH-][cH+][cH-][cH+][c-]23)CC1,-2.423372745513916
guided,CCCn1c(N)c(C(=O)NCCN2CCOCC2)c2nc3cccc(C)c3nc21,-0.5623658299446106
guided,Clc1ccc2nc(CSc3ncn[nH]3)cn2c1,-2.4833641052246094
guided,CC(=O)C(=S)/C(C)=C(\[C-]=[NH+]/C(=O)Nc1ccc(C)cn1)C(N)=O,-0.8560071587562561
guided,[O-][C+](CCn1[c+]([O-])[c+]([CH+][c-]2[cH+][c-]3[cH+][cH-][c+](O)[cH-][c+]3[n-][c+]2[O-])s[c-]1[S-])N1CCCCCC1,-0.44055503606796265
guided,COc1ccc(C(=O)N2CCN(C)[C@H](C)C2)cc1OC1CCN(C(C)=O)CC1,-1.7978875637054443
guided,O=C(NNC1=NCCC1)c1ccc(CC(F)(F)F)s1,-3.056880474090576
guided,O=C(NCC(=O)N1CCCCC1)C(=O)NC[C@@H]1CCCO1,-0.7137197256088257
guided,NC=O,-5.0
guided,O=S(=O)(Cc1ccccc1)N1CCC(N2CCOCC2)CC1,-3.190329074859619
guided,COCC(=O)Nc1nc(-c2ccccc2Cl)cs1,-3.250415563583374
guided,CCNCc1cc(Cl)c(OCc2ccccc2)c(Oc2ccccc2F)c1,-7.078958511352539
guided,CCn1nc(C(=O)N2CCc3c([nH]c4ccccc34)[C@@H]2C(F)(F)F)c2ccccc2c1=O,-1.1714844703674316
guided,S=C(NCc1ccccn1)Nc1ccccc1,-5.424144744873047
guided,COc1ccccc1-c1cc(C(=O)Nc2cccc3cccnc23)c2ccccc2n1,-2.2552194595336914
guided,Cc1cc(C(F)(F)F)n(C2=N/C(=C\c3ccco3)C(=O)N2)n1,-1.425274133682251
guided,[O-][c+]1[nH][c+](C2CCN([S+2]([O-])([O-])[C+]3[CH+][C-](F)[CH+][CH-][C+]3F)CC2)[n-][c+]2[c-]1[N-][N-]N2[CH-][c+]1[cH-][cH+][cH-]o1,-0.587773859500885
guided,O=C(O)/C=C/C(=O)N(Cc1cccc([N+](=O)[O-])c1)C[C@H]1CCCO1,-0.4463898241519928
guided,Cc1ccc(C)c(OCCSCC(N)=O)c1,-3.130403995513916
guided,[O-]P(C(Cl)Cl)N([c+]1[cH-][cH+][cH-][cH+][cH-]1)[c+]1[cH-][cH+][cH-][cH+][cH-]1,-7.319065570831299
guided,Fc1ccccc1SCCc1ccc2c(c1)OCO2,-9.172825813293457
guided,CCn1c(SCC(=O)c2ccc3c(c2)OCO3)nnc1-c1cccs1,-1.6774218082427979
guided,CC1(CC(=O)N/N=C/c2ccc3c(c2)OCO3)OCCCO1,-0.8699296712875366
guided,[O-][C+]1[c-]2[cH+][cH-][cH+][cH-][c+]2N[C-]([c+]2[cH-][cH+][c-]3[cH+][cH-][cH+][cH-][c+]3[n-]2)N1N[S+2]([O-])([O-])[c-]1[cH+][cH-][cH+][cH-][cH+]1,-0.5679857730865479
guided,CC(C)N1C(=O)/C(=C/Nc2ccc(Br)cc2)C(=O)N(C2CCCCC2)C1=O,-1.1762200593948364
guided,N#C/C(=C\c1ccc(Cl)cc1)C(=O)c1ccccc1,-4.61713981628418
guided,COCCN[C-]([O-])C([C+]1[CH+][CH-][C+](C)O1)N1[c+]2[cH-][cH+][cH-][cH+][c-]2C([c+]2[cH-][cH+][cH-][cH+][cH-]2)n2[n-][c+]3[cH-][cH+][cH-][cH+][c+]3n2C[C-]1[O-],-0.405854731798172
guided,CCOC(=O)/C(=N/Nc1ccc(OC)cc1)N1CCCc2ccccc21,-1.731720209121704
guided,CP(C)#[O+].[CH2-]CCOCC,-7.691108703613281
guided,CC(=O)NCC(=O)Nn1c(C(=O)/N=c2\[n-]nc(C3CC3)s2)nc2ccccc2c1=O.[H+],-0.7313483357429504
guided,CC[P@@](O)(=S)CCCS,-9.329800605773926
guided,[CH2-]O[c+]1[cH-][cH+][c-](C)[c+]2s[c+](N[C+]([O-])[c+]3[cH-][cH+][cH-]s3)[n-][c-]12,-2.428018093109131
guided,S=C(Nc1ccc(Br)cc1)NC1CCCC1,-7.876805305480957
guided,Cc1ccc([C@]2(CC(=O)Nc3nc4ccccc4[nH]3)CCO[C@H](C(C)C)C2)cc1,-1.5339480638504028
guided,CCOc1cc(C(=O)O)cc(Br)c1OCC,-2.7440438270568848
guided,CCOc1ccccc1NC(=O)c1nn(C)cc1Br,-2.657330274581909
guided,CN(Cc1nc(-c2cccnc2)no1)S(=O)(=O)c1ccccc1,-0.6952971816062927
guided,COc1ccc(C(=O)NCCN2CCC[C@H](C)C2)c(OC)c1,-3.0267491340637207
guided,[O-][C][C+]1[CH+][CH-][CH+][CH-][C+]1OCCCO[c-]1[cH+][cH-][cH+][c-](C(F)(F)F)[cH+]1,-4.409299373626709
guided,COc1cc(OC)c2c(c1)[s+]c(/N=C(\[O-])C(C)C)n2C,-2.4706265926361084
guided,Cc1cc(/C=N/n2cnnc2)c(C)n1-c1ccc(N2CCOCC2)cc1,-1.9563108682632446
guided,Cc1n[nH]c(=S)n1Cc1cccc(Cl)c1,-6.206818580627441
guided,OCCN1CCN(C(=S)c2ccc(Cl)c(Cl)c2)CC1,-7.207111835479736
guided,CC(C)/[S+]=c1\nc2n(C)c(=O)n(C)c([O-])c-2n1CCc1ccccc1,-1.538881778717041
guided,[O-][C+](O)Cn1[cH+][c+]([C+]([O-])[C+]2C[C][C][CH-][C+]2[O-])s[n-]1,-0.6883509159088135
guided,O=C(CNC(=O)c1ccccc1F)c1cccc(Br)c1,-3.8673648834228516
guided,CCOC(=O)c1cnn(-c2ccccc2)c1NC(=O)c1ccco1,-0.6705923676490784
guided,Clc1ccc(SCCc2ccnn2-c2ccc3ccccc3c2)cc1,-9.886286735534668
guided,C[O+][C]1[CH][C]2[CH][CH][C]1[O+]C[CH][CH][C][CH][CH][CH][C-][N+]([O-])([O-])OS([NH2+])([O])[C]1[CH][CH][C]([CH][CH]1)CC[NH+][C]2[O-],-0.8000551462173462
guided,O=C(O)c1ccc(N[C@@H](CNS(=O)(=O)c2ccccc2)c2ccccc2)cc1,-0.48972126841545105
guided,CC(C)COC(=O)N[C@@H](C)C(=O)Nc1nc2ccccc2[nH]1,-0.7937183976173401
guided,Nc1nnc(SCCOc2ccccc2)s1,-2.2566909790039062
guided,CS[C-]1[N-][C+]([c+]2[cH-][cH+][cH-][cH+][cH-]2)[CH+][C-](C)N1,-7.6172380447387695
guided,Clc1ccc(-c2nnc3sc(Cc4cccs4)nn23)cc1,-4.462191104888916
guided,NNC(=O)Nc1ccc(Cl)c(Cl)c1,-1.7996915578842163
guided,[O-]NC1CCCN(C[c+]2[cH-][cH+][c-](-[c+]3[cH-]s[c+](N[c+]4[cH-][cH+][c-](F)[cH+][cH-]4)[n-]3)[cH+][cH-]2)C1,-1.5886924266815186
guided,Cc1cccc(Cc2ccccc2OCc2nnc(N)s2)c1,-1.9809606075286865
guided,OCC1(C#Cc2ccc(-c3ccccn3)cc2)CCCCC1,-5.821644306182861
guided,CC[C@H]1Oc2ccccc2N(CC(=O)NCc2cccs2)C1=O,-2.2310023307800293
guided,NC(=O)N[C@H](CC(=O)OCCCOC(=O)Cc1ccccc1)c1ccccc1,-0.44350099563598633
