source,smiles,log_reward
guided,CN(Cc1cccnc1)Cc1cn(Cc2ccco2)c(=O)[nH]c1=O,-1.7814180850982666
guided,Cc1ncc(/C=N/O)c2c1oc(=O)c1ccccc12,-2.229227304458618
guided,CCN1C(=O)N[C@@H](c2cc(Cl)ccc2OC)C1=O,-2.1753058433532715
guided,NN(c1ccccc1)c1ccccn1,-1.5274808406829834
guided,CCn1c(SCC(=O)Nc2ccccc2)nc2ccccc2c1=O,-2.064993381500244
guided,Nc1nncn1C(=O)CSc1cccc(Cl)c1,-1.4374333620071411
guided,[O-][CH-][C+]1[C+]([C+]([O-])O)[N-][C+]([C][C]CO)N1C1CCCCC1.[O-][C][c+]1[cH+][cH+][cH+][cH-][cH+]1,-2.6161489486694336
guided,N#Cc1ccc(CN2CCN(C(=O)c3ccccn3)CC2)cc1,-1.738948941230774
guided,NNCc1ccccc1,-1.4849249124526978
guided,C[C-](C)C[CH+]C[C-](O)C[C+]([O-])O,-5.48479700088501
guided,[N-2][C][N-][C+]1[N-]CN(C[c+]2[cH+][cH+][c+](S[c-]3[cH+][cH-][cH+][cH-][cH+]3)[cH-][cH+]2)CN1,-1.5182775259017944
guided,CNNC(=O)c1c(N)sc2c1CCCC2,-1.5962363481521606
guided,NCN(CCS[C-]1[N-][N-][CH+]N1[C+]1[CH+][CH-][CH+][CH-][C+]1C[CH-]N([O-])[O-])C[C+]1[CH+][CH+][CH-][CH+][CH-]1,-1.568960189819336
guided,COCCCNc1ncnc2c1Nc1ccccc1C2,-1.5995122194290161
guided,N#CN(c1ccc(/C=N/CCN2CCOCC2)cc1)c1ccc([N+](=O)[O-])cc1,-1.7146004438400269
guided,COc1cc(/C(=N\Cc2ccccc2)N2CCC(C(N)=O)CC2)ccc1OCC(N)=O,-2.036881923675537
guided,NS(=O)(=O)c1cccc(CNC(=O)CCc2nc3ccccc3s2)c1,-2.1057322025299072
guided,CCOC(=O)N/N=C/c1cn(-c2ccccc2)nc1-c1ccc(OC)cc1,-1.898970127105713
guided,[O-][C+](CS[C+]1[N-][N-][C-]2CC[c+]3[cH-][nH][c+]4[cH-][cH+][c-]([cH+][c-]34)[S+2]([O-])([O-])N[CH+]CN12)N1CC[c-]2[cH+][cH-][cH+][cH-][c+]21,-1.756717324256897
guided,COc1ccc(/N=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc12,-2.5030341148376465
guided,CCOC(=O)[C@@H]1CCCN(C(=O)CNC(=O)c2cccs2)C1,-2.3754727840423584
guided,Cc1nn(-c2ccccc2O)c2c1[C@@H](c1ccc(Cl)cc1)n1nnnc1N2,-1.344659447669983
guided,NN[C-]([O-])[C+]1N[CH+][C-](Br)[C+]1N1[CH-][C][C+](C2CCCCC2)[N-]1,-1.427512288093567
guided,O=C(CN[C+]1=CC(F)=CC=C1)/[NH+]=[N+]1[C]/C=C\C=[C-]\C=C/[C-]=C/c2ccccc2/[C-]=C/1,-2.2877211570739746
guided,COC(=O)NC1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,-1.9781709909439087
guided,Clc1cccc(Cl)c1COc1ccc(-n2cncn2)nc1,-1.6481837034225464
guided,O=C(CC/C(=C1\C=CC=CO1)c1ccccc1)NCCO,-2.998110294342041
guided,COc1cccc2[nH]c(C(=O)NC[C@H]3CCCO3)cc12,-2.2803893089294434
guided,O=C(/C=C/Nc1cccc(Br)c1)c1ccccn1,-2.1753058433532715
guided,C[C@H]1CN(C(=O)C(C)(C)C)c2ccccc2O1,-2.7873599529266357
