source,smiles,log_reward
guided,CCC(=O)N1N=C(c2ccc(C(=O)NCCc3ccccc3)cc2)C[C@H]1c1ccco1,-2.3204572200775146
guided,CO[C-]([O-])N1[C+]([C][CH+][CH+][c-]2[cH+][cH-][cH+][cH-][cH+]2)[CH+][CH-]C1(C)[C+]([O-])NC[c+]1[cH-][cH+][cH-][cH+][n-]1,-2.2538769245147705
guided,COCCSc1nc(Cc2ccc(C)cc2)nc2ccccc12,-2.419826030731201
guided,O=S(=O)(c1cccs1)N1CCC(O)(c2cccc(C(F)(F)F)c2)CC1,-3.172083616256714
guided,CC(C)(C)c1ccc(S(=O)(=O)NCC(=O)N2CCCC2)cc1,-2.3754727840423584
guided,O=C(c1nc2ccccc2c(=O)[nH]1)c1cccc2ccccc12,-2.419826030731201
guided,NS(=O)(=O)c1ccc(/C=C2\NN(c3ccccc3Cl)C(=O)C2=O)cc1,-2.1057322025299072
guided,O=C(NNc1ccc(Cl)c(C(=O)O)c1)Nc1cccc(C(F)(F)F)c1,-2.1057322025299072
guided,Cc1cc(C)cc(OCC(=O)Nc2cccc3ccccc23)c1,-3.0888755321502686
guided,COc1cc(CCC(=O)NNC(=O)c2ccc(C)o2)cc(OC)c1OC,-2.54217791557312
guided,NS(=O)(=O)c1ccc(CCNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,-1.970301628112793
guided,NS(=O)(=O)c1ccc(CCNc2cc(C(F)(F)F)nc3ccccc23)cc1,-2.1825454235076904
guided,Fc1ccccc1/C=N/C=[NH+]/c1[c-]c(N2CCOCC2)ncn1,-1.5182775259017944
guided,[S-]C[C+]([N-][C+]1[C][C][C-](Br)[CH+][CH+]1)[c-]1[cH+][cH-][c+]2[c-]([cH+]1)OCO2,-2.94943904876709
guided,CO[C-]([O-])C(C)(C)O[N-][C+]([O-])N[C+]1[CH+][CH+][CH-][CH+][C-]1N([O-])[O-],-1.931758999824524
guided,CCCCOc1ccc(N/C=N/C(=O)c2cccn2C)cc1,-1.9781709909439087
guided,COc1cc(/C=N/N(C)C)cc(Br)c1OCC(=O)O,-2.229227304458618
guided,[H+].[H+].[S-][C+]1N([C+]2[C][C][C][C][C-]2O[c+]2[cH-][cH+][c-](Cl)[c+](Cl)[cH-]2)[CH+][CH+][C+]2CCCCN21,-2.54217791557312
guided,O=C(NCCOc1ccc2ccccc2c1)c1ccc([N+](=O)[O-])cc1,-2.5030341148376465
guided,COC(=O)C1=C(C)N(Cc2cccs2)/C(=N/Cc2cc(OC)c(OC)c(OC)c2)N[C@H]1c1ccc(N(C)C)cc1,-2.291411876678467
guided,CCOc1ccccc1OCC(=O)Nc1cccc(C(F)(F)F)c1,-3.131344795227051
guided,O=C(NNC(=S)NC(=O)c1ccc(Br)s1)c1cc2ccccc2o1,-2.064993381500244
guided,BrCC[C@H]1[CH-][C@@H]1/C=C\C[CH+]CN1CCOCC1,-2.7873599529266357
