source,smiles,log_reward
guided,CN(Cc1cccnc1)Cc1cn(Cc2ccc(C(=O)O)o2)c(=O)[nH]c1=O,-1.898970127105713
guided,Cc1ncc(/C=N/O)c2c1oc(=O)c1ccccc12,-2.229227304458618
guided,CCN1C(=O)N[C@@H](c2cc(Cl)ccc2OC)C1=O,-2.1753058433532715
guided,CCn1c(SCC(=O)Nc2ccccc2)nc2ccccc2c1=O,-2.064993381500244
guided,Nc1nncn1C(=O)c1cc(C(F)(F)F)nc2ccccc12,-1.4739243984222412
guided,[O-][CH-][C+]1[C+]([C+]([O-])O)[N-][C+]([C][C]CO)N1C1CCCCC1.[O-][C][c+]1[cH+][cH+][cH+][cH-][cH+]1,-2.6161489486694336
guided,N#Cc1ccc(CN2CCN(C(=O)c3ccccn3)CC2)cc1,-1.738948941230774
guided,NNCc1ccccc1,-1.4849249124526978
guided,C[C-](C)C[CH+]C[C-](O)C[C+]([O-])O,-5.48479700088501
guided,[O][C](N[N][CH][C]1[CH][C](N([O-])[O-])[CH][CH][C]1O)C1N[N][CH+]C1Cl,-1.427512288093567
guided,CNNC(=O)c1c(N)sc2c1CCCC2,-1.5962363481521606
guided,O=C(NCCCO)c1cccc(/C=C/c2ccco2)c1O,-2.998110294342041
guided,COCCCNc1ncnc2c1Nc1ccccc1C2,-1.5995122194290161
guided,COC(=O)c1nc(NC(=O)c2ccc(OC)c(OC)c2)n[nH]1,-1.6945956945419312
guided,COc1ccccc1[C@H](C#N)c1nc2ccccc2n2c(C)nnc12,-1.6014856100082397
guided,[H]/N=C(/N)SC[C@@H]1CN=C(N(C)C(=O)OC(C)C)S1,-1.4944287538528442
guided,NS(=O)(=O)c1cccc(CNC(=O)CCc2nc3ccccc3s2)c1,-2.1057322025299072
guided,CCOC(=O)N/N=C/c1cn(-c2ccccc2)nc1-c1ccc(OC)cc1,-1.898970127105713
guided,COc1cc(NC(=O)CS(=O)(=O)c2ccc(C)cc2)cc(OC)c1OC,-3.2112276554107666
guided,COc1ccc(C(=O)C2CCN(S(=O)(=O)c3c(C)noc3C)CC2)c2ccccc12,-2.6850228309631348
guided,CCOC(=O)[C@@H]1CCCN(C(=O)CNC(=O)c2cccs2)C1,-2.3754727840423584
guided,Cc1nn(-c2ccccc2O)c2c1[C@@H](c1ccc(Cl)cc1)n1nnnc1N2,-1.344659447669983
guided,NN[C-]([O-])[C+]1N[CH+][C-](Br)[C+]1N1[CH-][C][C+](C2CCCCC2)[N-]1,-1.427512288093567
guided,O=C(Nc1ccc(NC(=O)[C@@H]2CCC(=O)N(CCc3ccccc3)C2)cn1)c1c(F)cccc1F,-2.1580586433410645
guided,COC(=O)NC1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,-1.9781709909439087
guided,COCCCNC(=O)/C=C/c1cccs1,-2.662587881088257
guided,O=C(CC/C(=C1\C=CC=CO1)c1ccccc1)NCCO,-2.998110294342041
guided,COc1cccc2[nH]c(C(=O)NC[C@H]3CCCO3)cc12,-2.2803893089294434
guided,O=C(/C=C/Nc1cccc(Br)c1)c1ccccn1,-2.1753058433532715
guided,C[C@H]1CN(C(=O)C(C)(C)C)c2ccccc2O1,-2.7873599529266357
guided,[H]/[C-]=C/[N+]#CNC(=O)C/[S+]=c1\[cH-]n(CC(=O)NCCCCOC)c2ccccc12,-1.9352717399597168
guided,COC(=O)c1ccccc1CSc1nccn1C,-2.1753058433532715
guided,O=C(CSc1ncnc2ccccc12)Nc1ccnc2ccccc12,-1.8221569061279297
guided,N/[C-]=N/N=C1\C(=O)N(CCCl)c2ccc(Br)cc21.[H+],-1.4944287538528442
guided,N#Cc1ccnc(NCc2ccncc2)c1,-1.3769919872283936
