source,smiles,log_reward
guided,CN(Cc1cccnc1)Cc1cn(Cc2ccc(C(=O)O)o2)c(=O)[nH]c1=O,-0.2821957767009735
guided,Cc1ccc2c(c1)C(c1ccc(C(=O)O)s1)=NNC(=O)/C2=C\c1ccccc1,-2.106720447540283
guided,CCN1[C-]([O-])C(O[C+]2[CH+][CH-][CH+][C-](Br)[CH+]2)C(C)([CH+][c+]2[cH-][cH+][cH-]n2-[c+]2[n-][cH+][cH-]s2)[C-]1[O-],-1.072466254234314
guided,CCn1c(SCC(=O)Nc2ccccc2)nc2ccccc2c1=O,-2.3953092098236084
guided,N[C-]1[N-]O[N-][C+]1[c+]1[n-]o[c+](CCCC[CH+][N-][C+]([O-])C2CC[C+]([O-])NC2)[n-]1.[H+],-0.42440199851989746
guided,[O-][CH-][C+]1[C+]([C+]([O-])O)[N-][C+]([C][C]CO)N1C1CCCCC1.[O-][C][c+]1[cH+][cH+][cH+][cH-][cH+]1,-0.36162829399108887
guided,COCCCNc1nc(-c2ccccc2OC)nc2ccccc12,-3.538379192352295
guided,NNCc1ccccc1,-5.2701005935668945
guided,C[C-](C)C[CH+]C[C-](O)C[C+]([O-])O,-2.240436315536499
guided,[O][C](N[N][CH][C]1[CH][C](N([O-])[O-])[CH][CH][C]1O)C1N[N][CH+]C1Cl,-0.5539633631706238
guided,CNNC(=O)c1c(N)sc2c1CCCC2,-1.8175252676010132
guided,O=C(NCCCO)c1cccc(/C=C/c2ccco2)c1O,-0.9037359356880188
guided,COCCCNc1ncnc2c1oc1ccccc12,-2.6792290210723877
guided,COC(=O)c1nc(NC(=O)c2ccc(OC)c(OC)c2)n[nH]1,-0.3101772665977478
guided,COc1cc(C(=S)N(Cc2ccccc2)Cc2nc3ccccc3[nH]2)ccc1OCC(N)=O,-1.26669180393219
guided,[H]/N=C(/N)SC[C@@H]1CN=C(N(C)C(=O)OC(C)C)S1,-0.6266562938690186
guided,Brc1ccc(-c2nc3ccccc3s2)cc1,-11.492949485778809
guided,CCOC(=O)N/N=C/c1cn(-c2ccccc2)nc1-c1ccc(OC)cc1,-1.7125968933105469
