source,smiles,log_reward
guided,CN(Cc1cccnc1)Cc1cn(Cc2ccco2)c(=O)[nH]c1=O,-0.6072596311569214
guided,Cc1ccc2c(c1)C=NNC(=O)/C2=C\c1ccc(Cl)cc1,-5.491988658905029
guided,[F-],-5.0
guided,NS(=O)(=O)c1c(C(=O)O)ccc2ccccc12,-0.3471215069293976
guided,CCn1c(SCC(=O)Nc2ccccc2)nc2ccccc2c1=O,-2.3953092098236084
guided,Cc1ccccc1NC(=O)C[C@@H]1SC(NC(N)=O)=NC1=O,-0.31461524963378906
guided,[O-][CH-][C+]1[C+]([C+]([O-])O)[N-][C+]([C][C]CO)N1C1CCCCC1.[O-][C][c+]1[cH+][cH+][cH+][cH-][cH+]1,-0.36162829399108887
guided,COCCCNc1nc(-c2ccccc2OC)nc2ccccc12,-3.538379192352295
guided,NNCc1ccccc1,-5.2701005935668945
guided,C[C-](C)C[CH+]C[C-](O)C[C+]([O-])O,-2.240436315536499
guided,[O-][C+](N[N-][CH+][c-]1[cH+][c-](N([O-])[O-])[cH+][cH-][c+]1O)[C+]1N[N-][CH+]C1Cl,-0.4342378079891205
guided,C/N=N\C(=O)c1c(N)sc2c1CCCC2,-1.98595130443573
guided,O=C(NCCCO)c1cccc(/C=C/c2ccco2)c1O,-0.9037359356880188
guided,COCCCNc1ncnc2c1oc1ccccc12,-2.6792290210723877
guided,COC(=O)c1nc(NC(=O)c2ccc(OC)c(OC)c2)n[nH]1,-0.3101772665977478
guided,COc1cc(C(F)(F)F)ccc1OCC(N)=O,-2.2343435287475586
guided,Brc1ccc2nc(CCc3cc(-c4ccco4)n[nH]3)cn2c1,-3.442600965499878
guided,Brc1ccc(-c2nc3ccccc3s2)cc1,-11.492949485778809
guided,CCOC(=O)N/N=C/c1cn(-c2ccccc2)nc1-c1ccc(OC)cc1,-1.7125968933105469
guided,COc1cc2c(C)cc(=O)oc2cc1OC(=O)c1cc(OC)c(OC)c(OC)c1,-1.0116685628890991
guided,COc1ccc(C(=O)C2CCN(S(=O)(=O)c3c(C)noc3C)CC2)c2ccccc12,-1.3019014596939087
guided,CCOC(=O)[C@@H]1CCCN(C(=O)CNC(=O)c2cccs2)C1,-1.1123777627944946
guided,Cc1nn(-c2ccccc2O)c2c1[C@@H](c1ccc(Cl)cc1)n1nnnc1N2,-0.9875624775886536
guided,NN[C-]([O-])[C+]1N[CH+][C-](Br)[C+]1N1[CH-][C][C+](C2CCCCC2)[N-]1,-0.6504247784614563
guided,O=C(Nc1ccccc1C(=O)Nc1ccc(C(=O)c2ccc(C(=O)O)c(C(=O)O)c2)cc1)c1ccccc1,-2.153961658477783
guided,COC(=O)NC1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,-3.5055503845214844
guided,Clc1cccc(Cl)c1COc1ccc(-n2cncn2)nc1,-3.9234166145324707
guided,O=C1SCC[C@H]1NS(=O)(=O)c1ccccc1,-2.04590106010437
guided,COc1cccc2[nH]c(C(=O)NC[C@H]3CCCO3)cc12,-2.130779266357422
guided,O=C(/C=C/Nc1cccc(Br)c1)c1ccccn1,-5.368836402893066
guided,C[C@H]1CN(C(=O)C(C)(C)C)c2ccccc2O1,-6.966766357421875
guided,[H]/[C-]=C/[N+]#CNC(=O)C/[S+]=c1\[cH-]n(CC(=O)NCCCCOC)c2ccccc12,-1.0339747667312622
guided,COC(=O)c1ccccc1CSc1nccn1C,-4.464919567108154
guided,O=C(CSc1ncnc2ccccc12)Nc1ccnc2ccccc12,-2.5423178672790527
