source,smiles,log_reward
guided,N[C@@H](C(=O)O)[C@H](O)CC(=O)O,-0.6628069877624512
guided,O=C(N[C@@H](O)C(=O)c1ccco1)c1ccco1,-0.4057384431362152
guided,O[C@@H]1[C@H](O)[C@@H](O)OC[C@@H]1O,-0.7820608019828796
guided,[H+].[N][C][C]1[C]2CCCC[C]2[S+][C]1[N+]1[CH][CH][C]([C]([O-])[C]2[C][C]([N+]([O-])[O-])[CH][CH][CH]2)[CH][CH]1,-0.548821747303009
guided,COc1ccc(NC(=O)c2ccnc(Nc3ccccn3)c2)cc1,-1.6886082887649536
guided,CCCC(=O)N[C@@H](C(=O)OCC)c1cccc(OC)c1,-2.0472617149353027
guided,NNC(=O)CSCc1nc2ccccc2c(=O)n1N,-0.2848585844039917
guided,CCNC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1,-1.7631232738494873
guided,[O-][CH+][C-]1[N-][C]N(CC2CCCCC2)[C+]1NC[C+]1[CH+][CH-][CH+][CH-][C+]1Cl,-3.6453397274017334
guided,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCCCCC1,-5.05289363861084
guided,O=c1cc(-c2ccccc2Cl)oc2c(NS(=O)(=O)c3cccs3)ccc(O)c12,-1.9254103899002075
guided,[O][C-]OCC[CH][O+][C]([O])[C][CH][O+][C]1[CH][CH][CH][C]([CH][O])[CH]1,-0.6843000650405884
guided,CCOC(OCC)[C@H](NC(=O)c1ncn[nH]1)c1ccccc1,-0.5185133814811707
guided,OC[CH-][N-][C+]1CCC[c-]2[cH+][c-]3[cH+][cH-][cH+][cH-][c+]3[cH-][c+]21,-6.562443733215332
guided,CCCCn1nc(C(=O)Nc2sc(N)nc2C)c2ccccc2c1=O,-0.6661922931671143
guided,CC[C@H](O)CC(=O)OCC(=O)Nc1ccc(F)cc1,-1.1050039529800415
guided,Cc1ccc(-c2ncnc3c2oc2ccccc23)c(O)c1,-3.5085666179656982
guided,N/N=N\c1nc2ccccc2[nH]1,-0.9533214569091797
guided,COc1cccc(CN(Cc2cccnc2)C(=O)Nc2ccc(N(C)C)cc2)c1,-3.8496499061584473
guided,O=C(/C(=N\Nc1ccc(O)cc1)Sc1nccc2ccccc12)c1ccccc1,-3.4362363815307617
guided,CCC(=O)Nc1cc(-c2nnc(SCc3ccc(C)cc3)n2N)ccc1OC,-1.1034564971923828
guided,O=c1[nH]c(CSc2ccc(C(F)(F)F)cc2S(=O)(=O)F)nc2ccccc12,-1.8214905261993408
guided,C[P+]([O-])(N[c-]1[cH+][cH-][c+](Cl)[cH+][n-]1)O[C-]1[CH+][CH-][CH+][C-]2[CH+]S[CH-]N21,-2.5878474712371826
guided,NS(=O)(=O)c1cccc(N2Cc3ccccc3C2=O)c1,-0.8181284070014954
guided,CO/N=C/c1cc(OC)c(OC)cc1[N+](=O)[O-],-0.7951091527938843
guided,NC(=O)CN(Cc1ccccc1)Cc1cc2ccccc2nc1N1CCCCC1,-2.8880090713500977
guided,COc1ccc(C(=O)OCC(=O)N2CCCC2)cc1OC1CCCC1,-2.2782416343688965
guided,[O-][S+2]1([O-])CC[CH-][CH+]C([N-]O)C1,-1.051391363143921
guided,[H]/N=C1C(=C(\C#N)c2cc(OC)c(OC)c(OC)c2)/C(=O)N=C2SC(C(C)C)=NN2/1,-0.8088863492012024
guided,CCCOc1cccc(CNCCc2ccccn2)c1,-6.295148849487305
guided,[O][C](NNS([O])([O])[C]1[CH][CH][C](N([O-])[O-])[CH][CH]1)[C+]1[CH][CH][C]2[CH][CH][CH][CH][C]2[CH]1,-0.654820442199707
guided,ON1O[N-][C+]2[C-]1CCC1N(O)CCC21O,-0.6383765339851379
guided,O=[N+]([O-])c1ccc(NC2CC2)nc1,-1.771117925643921
guided,O=c1cc(-c2ccc(F)cc2Cl)cn[nH]1,-4.302384853363037
guided,Clc1ccc2nc(CSc3ncn[nH]3)cn2c1,-2.7646024227142334
guided,CC(=O)C(=S)/C(C)=C(\[C-]=[NH+]/C(=O)Nc1ccc(C)cn1)C(N)=O,-0.35206830501556396
guided,[O-][C+](CCn1[c+]([O-])[c+]([CH+][c-]2[cH+][c-]3[cH+][cH-][c+](O)[cH-][c+]3[n-][c+]2[O-])s[c-]1[S-])N1CCCCCC1,-0.33093342185020447
guided,NC(=O)Cc1ccc(CCc2nc3ccccc3[nH]2)cc1,-1.514227032661438
guided,O=C(NNC1=NCCC1)c1ccc(CC(F)(F)F)s1,-3.319894313812256
guided,O=C(NCC(=O)N1CCCCC1)C(=O)NC[C@@H]1CCCO1,-0.6714034080505371
guided,NC=O,-4.8119354248046875
