source,smiles,log_reward
guided,CCCOc1ccc(/C=C2/SC(=S)N(CC(=O)Nc3cccc(F)c3)C2=O)cc1OC,-3.0279173851013184
guided,O=C(N[C@@H](O)C(=O)c1ccco1)c1ccco1,-0.4057384431362152
guided,O=C(c1cc2sccc2n1Cc1ccccc1)N1CCN(c2nc3ccccc3s2)CC1,-6.843664169311523
guided,CCOc1ccc2[nH]c(=O)c(CN(C(=O)Nc3cccc(-c4cccs4)c3)C3CCCCC3)cc2c1,-5.54597806930542
guided,[H+].[N][C][C]1[C]2CCCC[C]2[S+][C]1[N+]1[CH][CH][C]([C]([O-])[C]2[C][C]([N+]([O-])[O-])[CH][CH][CH]2)[CH][CH]1,-0.548821747303009
guided,COc1ccc(-c2nonc2NC(=O)c2ccccc2C(=O)O)cc1,-0.5918087959289551
guided,CCCC(=O)N[C@@H](C(=O)OCC)c1cccc(OC)c1,-2.0472617149353027
guided,CNCC(=O)C1CCN(Cc2ccccc2O)CC1,-3.170336961746216
guided,CC(=O)c1c[nH]c(C(=O)N2CCN(Cc3ccc(F)cc3)CC2)c1,-2.9239375591278076
guided,CCNC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1,-1.7631232738494873
guided,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCCCCC1,-5.05289363861084
guided,O=c1cc(-c2ccccc2Cl)oc2c(NS(=O)(=O)c3cccs3)ccc(O)c12,-1.9254103899002075
guided,CC1=C[C+](C)C23[C-]4C1[C-]=[N+]=C=N[CH-]/C(C)=C1\[C@]42[N@+]13c1cccc(O)c1,-4.2769341468811035
guided,CCOC(OCC)[C@H](NC(=O)c1ncn[nH]1)c1ccccc1,-0.5185133814811707
guided,COc1ccnc(Oc2ccccc2F)c1-c1ccccc1,-7.835026264190674
guided,CCCCn1nc(C(=O)Nc2sc(N)nc2C)c2ccccc2c1=O,-0.6661922931671143
guided,CC[C@H](O)CC(=O)OCC(=O)Nc1ccc(F)cc1,-1.1050039529800415
guided,Cc1ccc(-c2ncnc3c2oc2ccccc23)c(O)c1,-3.5085666179656982
guided,N/N=N\c1nc2ccccc2[nH]1,-0.9533214569091797
guided,COc1cccc(CN(Cc2cccnc2)C(=O)Nc2ccc(N(C)C)cc2)c1,-3.8496499061584473
guided,Clc1cccc(N2CCN(c3ccccc3)CC2)c1,-12.122002601623535
guided,CCC(=O)Nc1cc(-c2nnc(SCc3cc(=O)[nH]c4ccccc34)n2C)ccc1OC,-1.2889991998672485
guided,O=c1[nH]c(CSc2ccc(C(F)(F)F)cc2S(=O)(=O)F)nc2ccccc12,-1.8214905261993408
guided,C[P+]([O-])(N[c-]1[cH+][cH-][c+](Cl)[cH+][n-]1)O[C-]1[CH+][CH-][CH+][C-]2[CH+]S[CH-]N21,-2.5878474712371826
guided,CCN(CC)C(=O)CCN1C(=O)/C(=C/c2c(F)cccc2Cl)SC1=S,-5.88605260848999
guided,CCN(Cc1ccccc1)C1CCN(CCCc2ccccc2)CC1,-12.862699508666992
guided,CO/N=C/c1cc(OC)c(OC)cc1[N+](=O)[O-],-0.7951091527938843
guided,COCCl,-11.06946849822998
guided,CCCOC(=O)c1ccc(NC(=O)c2cnccc2C(F)(F)F)cc1,-2.6095306873321533
guided,COc1ccc(C(=O)OCC(=O)N2CCCC2)cc1OC1CCCC1,-2.2782416343688965
guided,CCOC(=O)NC(=O)CSc1n[nH]c(=O)n1CCc1ccccc1,-0.307706356048584
guided,[H]/N=C1C(=C(\C#N)c2cc(OC)c(OC)c(OC)c2)/C(=O)N=C2SC(C(C)C)=NN2/1,-0.8088863492012024
guided,CCCOc1cccc(CNCCc2ccccn2)c1,-6.295148849487305
guided,CN1C(=O)/C(=N\NC(=O)c2ccco2)c2ccccc21,-1.0986405611038208
guided,O=C=C(Cl)/C(=C/N(C(=O)/C=C\c1ccccc1)c1ccccc1)N1CCOCC1,-4.430301189422607
guided,CC(C)Oc1ccc([C@@H](CC(=O)N[C@@H](C)C(=O)O)c2ccccc2)cc1,-1.8528169393539429
guided,CCSCCN(C(=O)CSc1ccc(-c2cccnc2)nn1)[C@@H](C)CC,-3.506718635559082
guided,CCCn1c(N)c(C(=O)NCCN2CCOCC2)c2nc3cccc(C)c3nc21,-0.3697221875190735
guided,Clc1ccc2nc(CSc3ncn[nH]3)cn2c1,-2.7646024227142334
guided,CC(=O)C(=S)/C(C)=C(\[C-]=[NH+]/C(=O)Nc1ccc(C)cn1)C(N)=O,-0.35206830501556396
guided,[O-][C+](CCn1[c+]([O-])[c+]([CH+][c-]2[cH+][c-]3[cH+][cH-][c+](O)[cH-][c+]3[n-][c+]2[O-])s[c-]1[S-])N1CCCCCC1,-0.33093342185020447
guided,COc1ccc(C(=O)N2CCN(C)[C@H](C)C2)cc1OC1CCN(C(C)=O)CC1,-2.1978321075439453
guided,O=C(NNC1=NCCC1)c1ccc(CC(F)(F)F)s1,-3.319894313812256
guided,O=C(NCC(=O)N1CCCCC1)C(=O)NC[C@@H]1CCCO1,-0.6714034080505371
guided,NC=O,-4.8119354248046875
guided,O=S(=O)(Cc1ccccc1)N1CCC(N2CCOCC2)CC1,-3.461968183517456
guided,COCC(=O)Nc1nc(-c2ccccc2Cl)cs1,-3.760424852371216
guided,CCNCc1cc(Cl)c(OCc2ccccc2)c(Oc2cc3c([c-]c(C(N)=O)[s@SP3+]3C#N)cc2OC)c1,-3.331010103225708
guided,CCn1nc(C(=O)N2CCc3c([nH]c4ccccc34)[C@@H]2c2ccccn2)c2ccccc2c1=O,-1.7692773342132568
guided,S=C(NCc1ccccn1)Nc1ccccc1,-5.596767902374268
guided,COc1ccccc1-c1cc(C(=O)Nc2cccc3cccnc23)c2ccccc2n1,-4.581301689147949
guided,Cc1cc(C(F)(F)F)n(C2=N/C(=C\c3ccco3)C(=O)N2)n1,-1.4764435291290283
guided,O=C(O)/C=C/C(=O)N(Cc1cccc([N+](=O)[O-])c1)C[C@H]1CCCO1,-0.42091742157936096
guided,Cc1ccc(C)c(OCCSCC(N)=O)c1,-3.2979156970977783
guided,O=S(=O)(Cc1ccccc1)NCN1CN(Cc2ccccc2)CN(Cc2cccc(F)c2)C1,-3.432225227355957
guided,Fc1ccccc1Nc1nc(C(F)(F)F)nc2cc(-c3ccccc3)nn12,-4.490767002105713
guided,CCn1c(SCC(=O)c2ccc3c(c2)OCO3)nnc1-c1cccs1,-2.624856948852539
guided,CC1(CC(=O)N/N=C/c2ccc3c(c2)OCO3)OCCCO1,-0.9517233371734619
