source,smiles,log_reward
guided,CCC(=O)N1N=C(c2ccc(C(=O)NCCc3ccccc3)cc2)C[C@H]1c1ccco1,-2.1377782821655273
guided,COC(=O)c1cn[nH]c1NC(=S)Nc1ccc(Br)cc1Cl,-1.4290554523468018
guided,COCCSc1nc(Cc2ccc(C)cc2)nc2ccccc12,-2.5455212593078613
guided,O=S(=O)(c1cccs1)N1CCC(O)(c2cccc(C(F)(F)F)c2)CC1,-1.4016802310943604
guided,CC(C)(C)c1ccc(S(=O)(=O)NCC(=O)N2CCCC2)cc1,-1.9514925479888916
guided,O=C(c1nc2ccccc2c(=O)[nH]1)c1cccc2ccccc12,-5.755772590637207
guided,NS(=O)(=O)c1ccc(/C=C2\NN(c3ccccc3Cl)C(=O)C2=O)cc1,-1.7631802558898926
guided,O=C(NNc1ccc(Cl)c(C(=O)O)c1)Nc1cccc(C(F)(F)F)c1,-1.3351548910140991
guided,Cc1cc(C)cc(OCC(=O)Nc2cccc3ccccc23)c1,-2.3901853561401367
guided,COc1cc(CCC(=O)NNC(=O)c2ccc(C)o2)cc(OC)c1OC,-1.1512925624847412
guided,NS(=O)(=O)c1ccc(CCNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,-1.1512925624847412
guided,NS(=O)(=O)c1ccc(CCNc2cc(C(F)(F)F)nc3ccccc23)cc1,-2.669661045074463
guided,Fc1ccccc1/C=N/C=[NH+]/c1[c-]c(N2CCOCC2)ncn1,-1.6442009210586548
guided,[N-]=C1[O+]=[S@]1(=O)C/C(=N\c1ccc(Br)cc1)c1ccc2c(c1)OCO2,-1.7594902515411377
guided,COC(=O)C(C)(C)ONC(=O)Nc1ccccc1[N+](=O)[O-],-2.1300127506256104
guided,CCCCOc1ccc(NC2=N[C@@H]3CS(=O)(=O)C[C@@H]3S2)cc1,-2.0742173194885254
guided,COc1cc(/C=N/N(C)C)cc(Br)c1OCC(=O)O,-2.2079567909240723
guided,[H+].[H+].[S-][C+]1N([C+]2[C][C][C][C][C-]2O[c+]2[cH-][cH+][c-](Cl)[c+](Cl)[cH-]2)[CH+][CH+][C+]2CCCCN21,-2.431100368499756
guided,O=C(NCCOc1ccc2ccccc2c1)c1ccc([N+](=O)[O-])cc1,-2.412916660308838
guided,COC(=O)C1=C(C)N(Cc2cccs2)/C(=N/Cc2cc(OC)c(OC)c(OC)c2)N[C@H]1c1ccc(N(C)C)cc1,-2.3747994899749756
guided,CCOc1ccccc1OCC(=O)Nc1cccc(C(F)(F)F)c1,-1.2747225761413574
guided,[O-][C+]1[C-](N[c+]2[cH-][cH+][c-](F)[cH+][cH-]2)[C+]([c+]2[cH-][cH+][c-](F)[cH+][cH-]2)CN1[CH-]n1[cH+][cH-][cH+][cH-]1,-2.9424972534179688
guided,BrCC[C@H]1[CH-][C@@H]1/C=C\C[CH+]CN1CCOCC1,-5.20347261428833
guided,C#CCOCCOCCOCCN1c2nc(N3CCN(CC)CC3)ncc2NC(=O)[C@@H]1CC(=O)OCCOCC,-2.0581276416778564
guided,C[C]/C(C(=O)Nc1cccc(-c2cnc3ccccc3n2)c1)=C(/[O-])NC[C+]1=CC=C2OCOC2=C1,-2.4513208866119385
guided,NNCc1c(O)ccc2ccccc12,-1.7917594909667969
guided,[CH2-]CC(=O)NC1=C=[N+]=CC(NC(=O)Nc2ccccc2)=C1C,-2.311528444290161
guided,CCCNC(=O)Cc1c(C)oc2ccccc12,-1.142117977142334
guided,COc1cccc(Oc2[c-]ccc3ccccc23)c1.O=P(O)=[OH+],-2.7444515228271484
guided,CCCCCN(c1ccc(C(=O)OCC(=O)Nc2c(C)cccc2C)cc1)S(=O)(=O)c1ccc(C)cc1,-2.079742193222046
guided,O=C(O)c1cc2cc(/C=C/c3ccc(-c4ccc5ccccc5n4)c(=O)[nH]3)ccc2o1,-10.625832557678223
guided,COc1cc2nc3ccccc3nc2cc1OC,-2.844439744949341
guided,Cc1nc2cc(/C=C/C(N)=O)[nH]n2c(=O)c1/C(=N\c1ccc(Br)s1)c1ccccc1,-5.529017925262451
guided,S=c1[nH]nc(-c2ccco2)n1/N=C/C=C/c1ccco1,-3.429906129837036
guided,Cc1cnccc1CN(C)Cc1cn(C)nc1-c1ccc2c(c1)OCO2,-2.4942820072174072
guided,COc1ccc(Cn2nnc3c(=O)[nH]c(C4CCN(S(=O)(=O)c5ccc(S(=O)(=O)N(C)C)cc5)CC4)nc32)cc1C,-5.17865514755249
guided,O=C(NNC(=O)c1ccccc1O)c1cccnc1,-1.341366171836853
guided,CCOC(=O)CC(=O)Nc1ccccc1C(C)C,-1.8353407382965088
guided,CC(C)Sc1nnc2n(CCc3ccccc3)c(=O)c3c4c(sc3n12)COC(C)(C)C4,-5.299658298492432
guided,NNC(=O)CNc1cccc(F)c1,-2.50776743888855
guided,COc1cccc(Nc2nnc(SCC(=O)NC(=O)c3cccn3C)s2)c1,-2.213874101638794
guided,C[P@@](=O)(NC1=NCCCCC1)Oc1ccccc1,-2.160301685333252
