source,smiles,log_reward
guided,CCCOc1ccc(/C=C2/SC(=S)N(CC(=O)Nc3cccc(F)c3)C2=O)cc1OC,-1.1653779745101929
guided,O=C(N[C@@H](O)C(=O)c1ccco1)c1ccco1,-1.2516279220581055
guided,O[C@@H]1[C@H](O)[C@@H](O)OC[C@@H]1O,-5.456175327301025
guided,OC[C@]1(Cc2ccccc2)CCCN(CCc2ccc(OCc3ccccc3)cc2)C1,-2.312992572784424
guided,[H+].[N][C][C]1[C]2CCCC[C]2[S+][C]1[N+]1[CH][CH][C]([C]([O-])[C]2[C][C]([N+]([O-])[O-])[CH][CH][CH]2)[CH][CH]1,-5.515411853790283
guided,COc1ccc(-c2nonc2NC(=O)c2ccccc2C(=O)O)cc1,-2.2386510372161865
guided,CCCC(=O)N[C@@H](C(=O)OCC)c1cccc(OC)c1,-1.749617338180542
guided,CNCC(=O)C1CCN(Cc2ccccc2O)CC1,-1.9593795537948608
guided,CC(=O)c1c[nH]c(C(=O)N2CCN(Cc3ccc(F)cc3)CC2)c1,-1.1356662511825562
guided,CCNC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1,-1.9198077917099
guided,Fc1ccc2nc(-c3ccncc3)c(NCc3ccco3)n2c1,-5.907021522521973
guided,O=C(c1cc(-c2cccc(Cl)c2)on1)N1CCCCCC1,-1.1989476680755615
guided,O=c1cc(-c2ccccc2Cl)oc2c(NS(=O)(=O)c3cccs3)ccc(O)c12,-5.683648109436035
guided,CC1=C[C+](C)C23[C-]4C1[C-]=[N+]=C=N[CH-]/C(C)=C1\[C@]42[N@+]13c1cccc(O)c1,-2.655271530151367
guided,FC(F)OC(F)(F)[C@@H](F)Cl,-5.711587905883789
guided,OCC1(Cc2ccc(O)cc2)CCN(Cc2ccc(Cl)c3ccccc23)CC1,-2.382810115814209
guided,CCCCn1nc(C(=O)Nc2sc3c(c2C#N)CCC3)c2ccccc2c1=O,-2.066343069076538
guided,CC[C@H](O)CC(=O)OCC(=O)Nc1ccc(F)cc1,-1.9501200914382935
guided,Cc1ccc(-c2ncnc3c2oc2ccccc23)c(O)c1,-6.087193489074707
guided,N/N=N\c1nc2ccccc2[nH]1,-5.0
guided,COc1cccc(CN(Cc2cccnc2)C(=O)Nc2ccc(N(C)C)cc2)c1,-2.3336141109466553
guided,Clc1cccc(N2CCN(c3ccccc3)CC2)c1,-1.5972915887832642
guided,CCC(=O)Nc1cc(-c2nnc(SCc3cc(=O)[nH]c4ccccc34)n2C)ccc1OC,-5.219498634338379
guided,O=c1[nH]c(CSc2ccc(C(F)(F)F)cc2S(=O)(=O)F)nc2ccccc12,-2.7812328338623047
guided,C[P+]([O-])(N[c-]1[cH+][cH-][c+](Cl)[cH+][n-]1)O[C-]1[CH+][CH-][CH+][C-]2[CH+]S[CH-]N21,-2.7289464473724365
guided,CCN(CC)C(=O)CCN1C(=O)/C(=C/c2c(F)cccc2Cl)SC1=S,-2.179640293121338
guided,CCN(Cc1ccccc1)C1CCN(CCCc2ccccc2)CC1,-1.158926248550415
guided,CO/N=C/c1cc(OC)c(OC)cc1[N+](=O)[O-],-2.554530382156372
guided,COCCl,-5.622596740722656
guided,CCCOC(=O)c1ccc(NC(=O)c2cnccc2C(F)(F)F)cc1,-1.0986123085021973
guided,COc1ccc(C(=O)OCC(=O)N2CCCC2)cc1OC1CCCC1,-1.8259987831115723
guided,[O-][S+2]1([O-])CC[CH-][CH+]C([N-]O)C1,-5.477455139160156
guided,[H]/N=C1C(=C(\C#N)c2cc(OC)c(OC)c(OC)c2)/C(=O)N=C2SC(C(C)C)=NN2/1,-2.386294364929199
guided,CCCOc1cccc(CNCCc2ccccn2)c1,-1.3622897863388062
guided,CN1C(=O)/C(=N\NC(=O)c2ccco2)c2ccccc21,-1.4249402284622192
guided,[O][C]1N[C]([C]2[CH][CH][C-](F)[CH][CH]2)[C]([N+]2CCOCC2)[C][C]([OH+])O[C]1[CH][C]1[CH][CH][CH][CH][C]1Br,-5.716993808746338
guided,O=[N+]([O-])c1ccc(NNS(=O)(=O)c2cccc3cccnc23)nc1,-2.7594902515411377
guided,CCCn1c(N)c(C(=O)NCCN2CCOCC2)c2nc3cccc(C)c3nc21,-2.0773324966430664
guided,Clc1ccc2nc(CSc3ncn[nH]3)cn2c1,-3.0429880619049072
guided,CC(=O)C(=S)/C(C)=C(\[C-]=[NH+]/C(=O)Nc1ccc(C)cn1)C(N)=O,-2.1070871353149414
guided,[O-][C+](CCn1[c+]([O-])[c+]([CH+][c-]2[cH+][c-]3[cH+][cH-][c+](O)[cH-][c+]3[n-][c+]2[O-])s[c-]1[S-])N1CCCCCC1,-2.2996585369110107
guided,COc1ccc(C(=O)N2CCN(C)[C@H](C)C2)cc1OC1CCN(C(C)=O)CC1,-1.9320400953292847
guided,O=C(NNC1=NCCC1)c1ccc(CC(F)(F)F)s1,-2.2738537788391113
guided,O=C(NCC(=O)N1CCCCC1)C(=O)NC[C@@H]1CCCO1,-4.800152778625488
guided,NC=O,-6.1653666496276855
guided,O=S(=O)(Cc1ccccc1)N1CCC(N2CCOCC2)CC1,-2.1636388301849365
guided,COCC(=O)Nc1nc(-c2ccccc2Cl)cs1,-1.3995109796524048
guided,CCNCc1cc(Cl)c(OCc2ccccc2)c(Oc2ccccc2F)c1,-2.504958391189575
guided,Cl[C+]1[C][C+](C[c-]2[cH+][cH-][cH+][cH-][cH+]2)[C+]([C+]2[N-][N-][C-]([c+]3[cH-][cH+][cH-][cH+][c-]3Cl)O2)[CH+][CH-]1,-2.4918034076690674
guided,S=C(NCc1ccccn1)Nc1ccccc1,-1.836036205291748
guided,COc1ccccc1-c1cc(C(=O)Nc2cccc3cccnc23)c2ccccc2n1,-10.629048347473145
guided,Cc1cc(C(F)(F)F)n(C2=N/C(=C\c3ccco3)C(=O)N2)n1,-1.880600094795227
guided,O=C(O)/C=C/C(=O)N(Cc1cccc([N+](=O)[O-])c1)C[C@H]1CCCO1,-1.9812885522842407
guided,Cc1ccc(C)c(OCCSCC(N)=O)c1,-2.233107328414917
guided,[O-]P(C(Cl)Cl)N([c+]1[cH-][cH+][cH-][cH+][cH-]1)[c+]1[cH-][cH+][cH-][cH+][cH-]1,-2.397895336151123
guided,Fc1ccccc1SCCc1ccc2c(c1)OCO2,-1.8608345985412598
guided,CCn1c(SCC(=O)c2ccc3c(c2)OCO3)nnc1-c1cccs1,-2.35402512550354
guided,CC1(CC(=O)N/N=C/c2ccc3c(c2)OCO3)OCCCO1,-2.211193084716797
guided,O=C1c2ccccc2N[C@H](c2ccc3ccccc3n2)N1NS(=O)(=O)c1ccccc1,-5.625833034515381
guided,CC(C)N1C(=O)/C(=C/Nc2ccc(Br)cc2)C(=O)N(C2CCCCC2)C1=O,-1.8918956518173218
guided,N#C/C(=C\c1ccc(Cl)cc1)C(=O)c1ccccc1,-1.7047480344772339
guided,COCCN[C-]([O-])C([C+]1[CH+][CH-][C+](C)O1)N1[c+]2[cH-][cH+][cH-][cH+][c-]2C([c+]2[cH-][cH+][cH-][cH+][cH-]2)n2[n-][c+]3[cH-][cH+][cH-][cH+][c+]3n2C[C-]1[O-],-5.436782360076904
guided,CCOC(=O)C(/C=N/NC(=O)c1ccncc1)=N/Nc1ccc(C)cc1,-1.0436118841171265
guided,CP(C)#[O+].[CH2-]CCOCC,-5.128561496734619
guided,CC(=O)NCC(=O)Nn1c(C(=O)/N=c2\[n-]nc(C3CC3)s2)nc2ccccc2c1=O.[H+],-2.0184409618377686
guided,CC(C)(C)[P+]([S-])([C-](N)[c+]1[cH-][cH+][c-]2[c+]([cH-]1)OCCO2)N1CCOCC1,-2.331293821334839
guided,CN(C)CCCN(CCCNC(=O)/C=C\c1ccccc1F)Cc1ccccc1,-1.3897545337677002
guided,S=C(Nc1ccc(Br)cc1)NC1CCCC1,-2.0397207736968994
guided,Cc1ccc([C@]2(CC(=O)Nc3nc4ccccc4[nH]3)CCO[C@H](C(C)C)C2)cc1,-2.151292562484741
guided,CCCNC(=O)CSc1nnc(C/[S+]=C2\N=CC=C\C2=C(/[O-])O)n1CCC,-2.051304340362549
guided,CCOc1ccccc1NC(=O)c1nn(C)cc1Br,-1.1647462844848633
guided,CN(Cc1nc(-c2cccnc2)no1)S(=O)(=O)c1ccccc1,-2.7520272731781006
guided,COc1ccc(C(=O)NCCN2CCC[C@H](C)C2)c(OC)c1,-1.9272801876068115
guided,[N][C][C]([N]N[C]1[CH][CH][CH][CH][C]1N([O-])[O-])[C+]([NH])N1CCCCC1,-5.254799842834473
guided,COc1cc(OC)c2c(c1)[s+]c(/N=C(\[O-])C(C)C)n2C,-1.341366171836853
guided,Cc1cc(/C=N/n2cnnc2)c(C)n1-c1ccc(N2CCOCC2)cc1,-2.497866153717041
guided,Cc1n[nH]c(=S)n1Cc1cccc(Cl)c1,-1.800934076309204
guided,OCCN1CCN(C(=S)c2ccc(Cl)c(Cl)c2)CC1,-2.2738537788391113
guided,CC(C)/[S+]=c1\nc2n(C)c(=O)n(C)c([O-])c-2n1CCc1ccccc1,-2.338986396789551
guided,[O-][C+](O)Cn1[cH+][c+]([C-]([O-])C2CCCC[C+]2[O-])s[n-]1,-2.1032207012176514
guided,O=C(CNc1cccc(F)c1)c1cccc(Br)c1,-1.576367974281311
guided,O=S(=O)(Nc1nnccc1O)c1ccc(Cl)cc1,-1.6879397630691528
guided,CCOC(=O)c1cnn(-c2ccccc2)c1NC(=O)c1ccco1,-2.060131788253784
guided,Clc1ccc(Nc2c3c(nc4ccccc24)CCCC3)cc1,-2.456951141357422
guided,NS(=O)(=O)c1ccc2c(c1)C[CH-]N(C(=O)NC1CCCCC1)CC2.[H+],-1.9256757497787476
guided,O=C(N/N=C/c1ccncc1)c1ccc(Cl)cc1,-1.696414589881897
guided,N/C(=N/C1CCCCC1)c1c(Cl)nc2sccn12,-1.0261452198028564
guided,Nc1nnc(SCCOc2ccccc2)s1,-1.82315993309021
guided,CSC1=N[C@@H](c2ccccc2)C=C(C)N1,-2.8054590225219727
guided,Clc1ccc(-c2nnc3sc(Cc4cccs4)nn23)cc1,-6.091024875640869
guided,NNC(=O)Nc1ccc(Cl)c(Cl)c1,-2.6193392276763916
guided,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc3[nH]c4c(c3c2)CCCC4)nc1,-2.346562385559082
guided,Cc1cccc(Cc2ccccc2OCc2nnc(N)s2)c1,-2.7444515228271484
guided,OCC1(C#Cc2ccc(-c3ccccn3)cc2)CCCCC1,-1.3234812021255493
guided,CC[C@H]1Oc2ccccc2N(CC(=O)NCc2cccs2)C1=O,-1.171703577041626
guided,NC(=O)N[C@H](CC(=O)OCCCOC(=O)Cc1ccccc1)c1ccccc1,-1.066343069076538
guided,N#C/C(=C/C(=O)NN)Cc1ccccc1,-2.4405345916748047
guided,CC[C@@H]1CCCCN1C(=O)CCc1nnc(Cc2c[nH]c3ccccc23)o1,-1.9962151050567627
guided,Cc1ccn2c(Nc3cccc(Br)c3)c(C(=O)N3CCOCC3)nc2c1,-2.305034875869751
guided,[NH-]O[c+]1[c-]([C+]([O-])NC2CC2)[cH+][cH-][c+]2[cH-][cH+][cH-][cH+][c-]12,-1.3995109796524048
guided,COc1ccccc1OCC(=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,-1.0323132276535034
guided,CC(C)COc1ccc(/C=C2/CN(C)C/C(=C\CN3CCOCC3)C2=O)cc1,-2.102302312850952
guided,CCN1C=CC(CNC(=O)c2ccc(F)cc2)=C[C@@H]1C(=O)N1CCCC1,-1.9459214210510254
guided,COc1cccc2cc(C(=O)Oc3cccc4cccnc34)c(=O)oc12,-5.574941635131836
guided,Cc1ccn(C(=O)c2[nH]c3ccc(F)cc3c2N2CCOCC2)n1,-2.338986396789551
guided,[O-][C+]1[C-]2[C-](O[c+]3[cH-][cH+][cH-][cH+][c-]31)[C+]([O-])[NH+]1C2C1(O)N1CCN(C[c+]2[cH-][cH+][c-]3[c+]([cH-]2)OCO3)CC1,-1.4326852560043335
guided,Cc1ccc(S(=O)(=O)N[C@H]2OC(=O)c3c(O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)cccc32)cc1,-1.3096922636032104
guided,OC1([c-]2[cH+][cH-][cH+][c-](C(F)(F)F)[cH+]2)CCN(C23[N-][CH+][N-][C+]4C25C43[N+]52CCOCC2)CC1,-2.5290181636810303
guided,CN1CCN(c2ccc(/N=C/C3=C(O)CC(C)(C)CC3=O)cc2)CC1,-2.2348196506500244
guided,O=C(O)CCN1CCCCC1,-4.878929138183594
guided,Fc1ccc(NC(=S)Nc2ccc3nccnc3c2)cc1,-3.087193727493286
guided,O=S1(=O)C[C@H](O)[C@@H](N2CCC3(CC2)OCCO3)C1,-5.107786655426025
guided,O=c1[nH]c2cc(C(F)(F)F)ccc2c(O)c1SCCO,-1.7047480344772339
guided,C[C@H]1NCN(O)[C@@H]1c1cc2ccccc2oc1=O,-1.3995109796524048
guided,NS(=O)(=O)c1ccc(CCNS(=O)(=O)c2cccc3nsnc23)cc1,-2.556757688522339
guided,COc1ccc(C(=O)N(C)CCc2cc3ccc(OC)cc3[nH]c2=O)cc1,-2.3086979389190674
guided,CCCNc1ccncc1S(=O)(=O)Nc1nccs1,-1.341366171836853
guided,S=C(Nc1ccccc1)N1CCN(c2nc(-c3cccs3)nc3c2oc2ccccc23)CC1,-10.570842742919922
guided,COc1ccc(Cl)cc1NC(=O)c1oc2ccccc2c1NC(=O)c1ccn[nH]1,-5.389754772186279
guided,CC[C@H](Sc1nnnn1-c1ccc(F)cc1)C(=O)Nc1ncc(C(F)(F)F)n1C,-2.323087453842163
guided,O=C(NC1CC1)c1ccc(=O)oc1,-2.1360628604888916
guided,Nc1ccccc1SCc1ccccc1OCc1ccccc1,-2.9070212841033936
guided,COc1ccc(CCNC[C@H](O)c2ccccc2)cc1,-1.358174443244934
guided,N#[N+][N-][C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,-2.4123871326446533
guided,Cc1cccc2c1N[C-]([O-])Cc1[n-]c(c[s+]1)COC(=O)CCc1ccccc1[O+]1C[C@H]1CC2.[H+],-2.435839891433716
guided,O=c1cc(CSc2ccc3ccccc3n2)nc2[nH]c(=S)[nH]n12,-5.903331279754639
guided,Nc1ccn([C@H]2O[C@@H](CO)[C@H](O)[C@@H]2O)c(=O)n1,-2.3772850036621094
guided,S=C(NCCCc1ccccc1)Nc1ccccc1,-1.5972915887832642
guided,O=C(NCCN1CCCC1)c1cc(-c2ccncc2)nc2ccc(S(=O)(=O)N3CCOCC3)cc12,-2.1418285369873047
guided,O=S(=O)(/C=C/c1ccccc1)N1CCNCC1,-2.3907387256622314
guided,O=[N+]([O-])c1ccccc1S(=O)(=O)N1CCCCC1,-2.151292562484741
guided,Cn1nnc(NC(=O)C2CCCC2)n1,-1.8550406694412231
guided,O=Cc1coc(-c2ccc(Cl)cc2)cc1=O,-2.0215256214141846
guided,O=C(Nc1ccc2oc3ccccc3c(=O)c2c1)c1cccs1,-5.640455722808838
guided,Fc1ccc(-c2nc3ccccc3nc2/C=C/c2ccccc2Br)cc1,-5.0
