source,smiles,log_reward
guided,CN(Cc1cccnc1)Cc1cn(Cc2ccco2)c(=O)[nH]c1=O,-2.472219467163086
guided,Cc1ccc2c(c1)C(c1ccc(C(=O)O)s1)=NNC(=O)/C2=C\c1ccccc1,-2.5119516849517822
guided,Fc1ccc(CNc2ccc(SC(F)F)cc2)c(F)c1,-1.8608345985412598
guided,CCn1c(SCC(=O)Nc2ccccc2)nc2ccccc2c1=O,-2.2824747562408447
guided,N[C-]1[N-]O[N-][C+]1[c+]1[n-]o[c+](CCCC[CH+][N-][C+]([O-])C2CC[C+]([O-])NC2)[n-]1.[H+],-2.427516222000122
guided,[O-][CH-][C+]1[C+]([C+]([O-])O)[N-][C+]([C][C]CO)N1C1CCCCC1.[O-][C][c+]1[cH+][cH+][cH+][cH-][cH+]1,-2.0986123085021973
guided,NS(=O)(=O)OC[C@H]1CC[C@@H](c2ccc(Br)s2)CC1,-2.1032207012176514
guided,NNCc1ccccc1,-2.9303648471832275
guided,C[C-](C)C[CH+]C[C-](O)C[C+]([O-])O,-5.386294364929199
guided,[O][C](N[N][CH][C]1[CH][C](N([O-])[O-])[CH][CH][C]1O)C1N[N][CH+]C1Cl,-5.510212421417236
guided,CNNC(=O)c1c(N)sc2c1CCCC2,-2.1135387420654297
guided,O=C(NCCCO)c1cccc(/C=C/c2ccco2)c1O,-1.3663713932037354
guided,COCCCNc1ncnc2c1oc1ccccc12,-2.5020155906677246
guided,COC(=O)c1nc(NC(=O)c2ccc(OC)c(OC)c2)n[nH]1,-1.1989476680755615
guided,COc1cc(C(=S)N(Cc2ccccc2)Cc2nc3ccccc3[nH]2)ccc1OCC(N)=O,-5.429510593414307
guided,Brc1ccc2nc(CCc3cc(-c4ccco4)n[nH]3)cn2c1,-5.895868301391602
guided,Brc1ccc(-c2nc3ccccc3s2)cc1,-5.0
guided,CCOC(=O)N/N=C/c1cn(-c2ccccc2)nc1-c1ccc(OC)cc1,-2.1738526821136475
guided,COc1cc2c(C)cc(=O)oc2cc1OC(=O)c1cc(OC)c(OC)c(OC)c1,-2.441701650619507
guided,COc1ccc(C(=O)C2CCN(S(=O)(=O)c3c(C)noc3C)CC2)c2ccccc12,-2.047020196914673
guided,CCOC(=O)[C@@H]1CCCN(C(=O)CNC(=O)c2cccs2)C1,-1.7073661088943481
guided,Cc1nn(-c2ccccc2O)c2c1[C@@H](c1ccc(Cl)cc1)n1nnnc1N2,-5.795219898223877
guided,NN[C-]([O-])[C+]1N[CH+][C-](Br)[C+]1N1[CH-][C][C+](C2CCCCC2)[N-]1,-5.061558246612549
