reward,temp,position,flips,states,flip_rate
fexo,1.0,0,927,24000,0.038625
fexo,1.0,1,1482,24000,0.06175
fexo,1.0,2,1393,24000,0.058041666666666665
fexo,1.0,3,489,24000,0.020375
fexo,1.0,4,222,24000,0.00925
fexo,1.0,5,289,24000,0.012041666666666668
fexo,1.0,6,201,24000,0.008375
fexo,1.0,7,208,24000,0.008666666666666666
fexo,1.0,8,169,24000,0.0070416666666666666
fexo,1.0,9,216,24000,0.009
fexo,1.0,10,201,24000,0.008375
fexo,1.0,11,207,24000,0.008625
fexo,1.0,12,179,23997,0.007459265741551027
fexo,1.0,13,163,23996,0.006792798799799967
fexo,1.0,14,150,23994,0.006251562890722681
fexo,1.0,15,148,23987,0.006170008754742152
fexo,1.0,16,121,23986,0.00504460935545735
fexo,1.0,17,134,23978,0.005588456084744349
fexo,1.0,18,107,23968,0.004464285714285714
fexo,1.0,19,110,23944,0.004594052789842967
fexo,1.0,20,116,23926,0.004848282203460671
fexo,1.0,21,111,23904,0.004643574297188755
fexo,1.0,22,124,23857,0.005197635913987509
fexo,1.0,23,95,23789,0.003993442347303375
fexo,1.0,24,98,23694,0.004136068202920571
fexo,1.0,25,96,23575,0.004072110286320254
fexo,1.0,26,114,23431,0.00486534932354573
fexo,1.0,27,104,23225,0.004477933261571582
fexo,1.0,28,84,22972,0.0036566254570781823
fexo,1.0,29,93,22697,0.004097457813807992
fexo,1.0,30,94,22379,0.00420036641494258
fexo,1.0,31,84,21995,0.0038190497840418277
fexo,1.0,32,79,21499,0.0036745895157914324
fexo,1.0,33,72,20995,0.0034293879495117885
fexo,1.0,34,77,20448,0.0037656494522691707
fexo,1.0,35,78,19817,0.003936014532976737
fexo,1.0,36,67,19113,0.0035054674828650656
fexo,1.0,37,81,18327,0.0044197086266164675
fexo,1.0,38,60,17540,0.0034207525655644243
fexo,1.0,39,71,16652,0.004263752101849628
fexo,1.0,40,55,15797,0.0034816737355194026
fexo,1.0,41,51,14872,0.0034292630446476602
fexo,1.0,42,62,13981,0.004434589800443459
fexo,1.0,43,59,13061,0.004517265140494602
fexo,1.0,44,46,12120,0.0037953795379537954
fexo,1.0,45,58,11220,0.00516934046345811
fexo,1.0,46,47,10314,0.004556912933876284
fexo,1.0,47,39,9440,0.00413135593220339
fexo,1.0,48,30,8604,0.003486750348675035
fexo,1.0,49,43,7807,0.005507877545792237
fexo,1.0,50,36,7074,0.005089058524173028
fexo,1.0,51,33,6328,0.005214917825537294
fexo,1.0,52,18,5679,0.003169572107765452
fexo,1.0,53,24,5075,0.004729064039408867
fexo,1.0,54,26,4495,0.005784204671857619
fexo,1.0,55,22,3968,0.005544354838709678
fexo,1.0,56,15,3478,0.004312823461759632
fexo,1.0,57,17,3044,0.005584756898817346
fexo,1.0,58,14,2647,0.005289006422364941
fexo,1.0,59,19,2288,0.008304195804195804
fexo,1.0,60,19,1966,0.009664292980671414
fexo,1.0,61,14,1699,0.00824014125956445
fexo,1.0,62,14,1449,0.00966183574879227
fexo,1.0,63,12,1216,0.009868421052631578
fexo,1.0,64,11,1038,0.010597302504816955
fexo,1.0,65,9,890,0.010112359550561797
fexo,1.0,66,3,739,0.0040595399188092015
fexo,1.0,67,6,616,0.00974025974025974
fexo,1.0,68,6,534,0.011235955056179775
fexo,1.0,69,6,464,0.01293103448275862
fexo,1.0,70,6,401,0.014962593516209476
fexo,1.0,71,7,346,0.02023121387283237
