name,family,reward,guide,guide_type,objective,replay,beta,temp,guide_source,n_traj,delivered_frac,argmax_flip_rate,sample_flip_rate,mean_total_variation,mean_KL,mean_prior_top1_gap,flip_rate_high_gap,flip_rate_low_gap,frac_states_high_gap,n_states,n_positions_reported,deepest_position_reached,ckpt
sweep-osim-base-db-replay_off-b1,sweep,osim,base,TempGainGuide,db,off,1,0.3,ema,2000,1.0,0.011319248117055486,0.0054276280294365195,0.004653411021298078,0.013364319498707112,16.198034918359454,0.00021114546414297564,0.018544503014903863,0.7154649632043507,92674,192,114,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_off-b1/checkpoints/epoch=4-step=469.ckpt
sweep-osim-base-db-replay_on-b1,sweep,osim,base,TempGainGuide,db,on,1,0.3,ema,2000,1.0,0.014067471559952928,0.007649391971407401,0.007172659964627879,0.01623161342194731,16.247872774132208,0.0001982069890833689,0.026313779407271615,0.7146842174083599,91772,192,95,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_on-b1/checkpoints/epoch=4-step=474.ckpt
sweep-osim-base-rtb-replay_off-b1,sweep,osim,base,TempGainGuide,rtb,off,1,0.3,ema,2000,1.0,0.0013986468904501692,0.0013010668748373666,0.001345249047082616,0.00013972924668319376,16.315956276793237,0.0,0.004602285801948301,0.7172998525457542,92232,192,93,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_off-b1/checkpoints/epoch=2-step=255.ckpt
sweep-osim-base-rtb-replay_on-b1,sweep,osim,base,TempGainGuide,rtb,on,1,0.3,ema,2000,1.0,0.001683867463335144,0.0019989136338946223,0.001998729266679887,0.00022835186756753128,16.26417774558909,0.0,0.007021024917006907,0.7152960347637154,92050,192,114,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_on-b1/checkpoints/epoch=2-step=255.ckpt
sweep-osim-base-db-replay_off-b10,sweep,osim,base,TempGainGuide,db,off,10,0.3,ema,2000,1.0,0.011597293239626624,0.0110750886659849,0.010992901860464343,0.019964385804903655,16.216622540491098,0.00018282371223547693,0.038278604314904305,0.7140821166692052,91918,192,99,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_off-b10/checkpoints/epoch=4-step=469.ckpt
sweep-osim-base-db-replay_on-b10,sweep,osim,base,TempGainGuide,db,on,10,0.3,ema,2000,1.0,0.03303303303303303,0.021260390825608218,0.020691732769984962,0.03665235069915621,16.180567100858774,0.00022934026450577172,0.07316152888352262,0.7116355485920703,91908,192,92,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_on-b10/checkpoints/epoch=4-step=479.ckpt
sweep-osim-base-rtb-replay_off-b10,sweep,osim,base,TempGainGuide,rtb,off,10,0.3,ema,2000,1.0,0.00834326579261025,0.01338173149853722,0.012785244859183134,0.01023504848815284,16.290269646829046,0.0,0.04686551305403765,0.7144652725105646,92290,192,93,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_off-b10/checkpoints/epoch=2-step=237.ckpt
sweep-osim-base-rtb-replay_on-b10,sweep,osim,base,TempGainGuide,rtb,on,10,0.3,ema,2000,1.0,0.007148079840232231,0.011949843397029454,0.011879227377044308,0.007870316804070299,16.31583497375772,0.0,0.041974930041783265,0.7153099865768883,91633,192,99,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_on-b10/checkpoints/epoch=2-step=210.ckpt
sweep-osim-hidden-db-replay_off-b1,sweep,osim,hidden,HiddenGuide,db,off,1,0.3,ema,2000,1.0,0.016736987127050417,0.006684031515047144,0.007149066679908587,0.04860446739920486,16.298188216005595,0.0009013339742819373,0.02129840546697039,0.7164937357385801,92908,192,114,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-db-replay_off-b1/checkpoints/epoch=4-step=430.ckpt
sweep-osim-hidden-db-replay_on-b1,sweep,osim,hidden,HiddenGuide,db,on,1,0.3,ema,2000,1.0,0.018077795820921203,0.011076817189499608,0.010595838365320357,0.07338752575866125,16.24703458017857,0.00118911433560118,0.03581785996760951,0.7144654629141708,92987,192,97,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-db-replay_on-b1/checkpoints/epoch=4-step=449.ckpt
sweep-osim-hidden-revkl-replay_off-b1,sweep,osim,hidden,HiddenGuide,revkl,off,1,0.3,ema,2000,1.0,0.010600209840888686,0.0019361607770602806,0.0020228999581896915,0.00025915225440398325,16.216249539893894,0.0,0.006764416899705238,0.7137727012146975,92451,192,148,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-revkl-replay_off-b1/checkpoints/epoch=3-step=386.ckpt
sweep-osim-hidden-rtb-replay_off-b1,sweep,osim,hidden,HiddenGuide,rtb,off,1,0.3,ema,2000,1.0,0.0033744084004441715,0.0034929978330476407,0.00325239449187717,0.0009880302918052262,16.255656686733875,0.0,0.012310030395136779,0.7162478303524262,92757,192,85,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-rtb-replay_off-b1/checkpoints/epoch=2-step=287.ckpt
