name,family,reward,guide,guide_type,objective,replay,beta,temp,guide_source,n_traj,delivered_frac,argmax_flip_rate,sample_flip_rate,mean_total_variation,mean_KL,mean_prior_top1_gap,flip_rate_high_gap,flip_rate_low_gap,frac_states_high_gap,n_states,n_positions_reported,deepest_position_reached,ckpt
sweep-fexo-base-db-replay_off-b1,sweep,fexo,base,TempGainGuide,db,off,1,0.3,ema,2000,1.0,0.003469963131641726,0.005107351984385166,0.004685378652792408,0.013942901326881203,16.279387315326336,0.0002728306176582039,0.01726043055820156,0.7154088050314465,92220,192,106,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-base-db-replay_off-b1/checkpoints/epoch=4-step=458.ckpt
sweep-fexo-base-db-replay_on-b1,sweep,fexo,base,TempGainGuide,db,on,1,0.3,ema,2000,1.0,0.020198543725867688,0.009432440280929693,0.009329393950277006,0.015571245167205209,16.294082334739926,0.00013491230700044972,0.03304526592302128,0.7174892715402734,92977,192,139,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-base-db-replay_on-b1/checkpoints/epoch=4-step=478.ckpt
sweep-fexo-base-db-replay_off-b10,sweep,fexo,base,TempGainGuide,db,off,10,0.3,ema,2000,1.0,0.01293354943273906,0.011258779038357645,0.011162688767910744,0.019027195364581993,16.21233778425966,0.0002265484587153192,0.038991609400508755,0.715407887628309,92550,192,97,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-base-db-replay_off-b10/checkpoints/epoch=4-step=472.ckpt
sweep-fexo-base-db-replay_on-b10,sweep,fexo,base,TempGainGuide,db,on,10,0.3,ema,2000,1.0,0.027016432001568065,0.01582219899164788,0.015684396397032105,0.023274177724317727,16.216403021947496,0.00013770943309616708,0.054535841075609943,0.7116722746725034,91833,192,152,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-base-db-replay_on-b10/checkpoints/epoch=4-step=489.ckpt
sweep-fexo-hidden-db-replay_off-b1,sweep,fexo,hidden,HiddenGuide,db,off,1,0.3,ema,2000,1.0,0.02674225753650367,0.016997105722431193,0.01586117853961421,0.08524604630767216,16.22308322847341,0.0008358662613981763,0.0572001058561113,0.7132714008520232,92251,192,89,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-hidden-db-replay_off-b1/checkpoints/epoch=4-step=478.ckpt
sweep-fexo-hidden-db-replay_on-b1,sweep,fexo,hidden,HiddenGuide,db,on,1,0.3,ema,2000,1.0,0.013694916724496877,0.012664816099930604,0.01240260767014997,0.08846425716638148,16.26917234425078,0.0013170842479751721,0.041308418357598686,0.7162452290076335,92224,192,135,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-hidden-db-replay_on-b1/checkpoints/epoch=4-step=442.ckpt
sweep-fexo-hidden-db-replay_off-b10,sweep,fexo,hidden,HiddenGuide,db,off,10,0.3,ema,2000,1.0,0.020733549083063647,0.01320388349514563,0.013256435477759235,0.08990371168344995,16.20314647198238,0.0011795662825514926,0.04312485888462407,0.7133333333333334,92700,192,100,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-hidden-db-replay_off-b10/checkpoints/epoch=4-step=461.ckpt
sweep-fexo-hidden-db-replay_on-b10,sweep,fexo,hidden,HiddenGuide,db,on,10,0.3,ema,2000,1.0,0.027893207019054796,0.01625578641403811,0.016009080857489484,0.04652281825308322,16.23807007307282,0.0004829969963624289,0.05548672898599692,0.713241468403488,92890,192,100,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-hidden-db-replay_on-b10/checkpoints/epoch=4-step=497.ckpt
sweep-fexo-tempgain-db-replay_off-b1,sweep,fexo,tempgain,TempGainGuide,db,off,1,0.3,ema,2000,1.0,0.0031357082821490915,0.004590418309950216,0.004240661382839225,0.004574550437266023,16.27630614598777,1.5013887846257788e-05,0.016223231667748216,0.7177108251977328,92802,192,123,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-tempgain-db-replay_off-b1/checkpoints/epoch=4-step=455.ckpt
sweep-fexo-tempgain-db-replay_on-b1,sweep,fexo,tempgain,TempGainGuide,db,on,1,0.3,ema,2000,1.0,0.007845086555293812,0.0035875602429167298,0.0033739024270490045,0.003433014747111116,16.366350470305246,0.0,0.012706674831598286,0.7176633312441918,92542,192,135,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-tempgain-db-replay_on-b1/checkpoints/epoch=4-step=483.ckpt
sweep-fexo-tempgain-db-replay_off-b10,sweep,fexo,tempgain,TempGainGuide,db,off,10,0.3,ema,2000,1.0,0.006933031487064509,0.009305717302103854,0.008764024798337908,0.008576583266045447,16.201613803437088,1.526880735345762e-05,0.03236564844993557,0.7128179453411552,91879,192,95,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-tempgain-db-replay_off-b10/checkpoints/epoch=4-step=492.ckpt
sweep-fexo-tempgain-db-replay_on-b10,sweep,fexo,tempgain,TempGainGuide,db,on,10,0.3,ema,2000,1.0,0.013715575424813907,0.005631632630916469,0.005726799067467705,0.005539789802273369,16.211768540044805,1.5249946625186813e-05,0.019485404754739692,0.7115388788819201,92158,192,165,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-tempgain-db-replay_on-b10/checkpoints/epoch=4-step=454.ckpt
sweep-nitrogen-base-db-replay_off-b1,sweep,nitrogen,base,TempGainGuide,db,off,1,0.3,ema,2000,1.0,0.015224203133441383,0.005586169638033495,0.005362302359838656,0.016123774346940217,16.256759618587072,0.0002571277319821523,0.018914318138831095,0.7143706104808212,92550,192,101,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-base-db-replay_off-b1/checkpoints/epoch=4-step=436.ckpt
sweep-nitrogen-base-db-replay_on-b1,sweep,nitrogen,base,TempGainGuide,db,on,1,0.3,ema,2000,1.0,0.025738622111221385,0.009412046983891548,0.009285773731151767,0.013548614469085323,16.246832060403847,0.0002132845825716027,0.032589919772753446,0.7158826929578693,91691,192,100,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-base-db-replay_on-b1/checkpoints/epoch=4-step=472.ckpt
sweep-nitrogen-base-db-replay_off-b10,sweep,nitrogen,base,TempGainGuide,db,off,10,0.3,ema,2000,1.0,0.027016738631543455,0.015738011594139848,0.01566892185578431,0.043940363113735253,16.275772300479698,0.00024300598402235654,0.05482548561357802,0.7161175945966523,91943,192,92,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-base-db-replay_off-b10/checkpoints/epoch=4-step=455.ckpt
sweep-nitrogen-base-db-replay_on-b10,sweep,nitrogen,base,TempGainGuide,db,on,10,0.3,ema,2000,1.0,0.03381955699621826,0.02290653700702323,0.022374174528000015,0.05132831762667928,16.38160602026537,0.00013519400339487164,0.08125793910466146,0.7192976769313885,92550,192,137,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-base-db-replay_on-b10/checkpoints/epoch=4-step=454.ckpt
sweep-nitrogen-hidden-db-replay_off-b1,sweep,nitrogen,hidden,HiddenGuide,db,off,1,0.3,ema,2000,1.0,0.025407307171853858,0.008920162381596753,0.009026007955351785,0.06736862355396446,16.221983716735014,0.0011677105291093553,0.028259060301127337,0.7138403247631935,92375,192,108,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-db-replay_off-b1/checkpoints/epoch=4-step=406.ckpt
sweep-nitrogen-hidden-db-replay_on-b1,sweep,nitrogen,hidden,HiddenGuide,db,on,1,0.3,ema,2000,1.0,0.028700050140611714,0.012055547077674348,0.011899010553177434,0.03552844022307475,16.22763970016157,0.0005039783747461017,0.04085595704984198,0.7137298075036516,91742,192,104,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-db-replay_on-b1/checkpoints/epoch=3-step=395.ckpt
sweep-nitrogen-hidden-revkl-replay_off-b1,sweep,nitrogen,hidden,HiddenGuide,revkl,off,1,0.3,ema,2000,1.0,0.009276498094908209,0.0033122618635261516,0.003006254759228108,0.0006724983345890995,16.284925319546023,0.0,0.011667810569663692,0.7161196744024939,92384,192,165,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-revkl-replay_off-b1/checkpoints/epoch=2-step=293.ckpt
sweep-nitrogen-hidden-rtb-replay_off-b1,sweep,nitrogen,hidden,HiddenGuide,rtb,off,1,0.3,ema,2000,1.0,0.0032441816307709,0.004101339988064883,0.0041579586683721335,0.0009379185665100568,16.30739468043854,0.0,0.014430785676109033,0.7157923289752075,92165,192,86,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-rtb-replay_off-b1/checkpoints/epoch=2-step=291.ckpt
sweep-nitrogen-hidden-db-replay_off-b10,sweep,nitrogen,hidden,HiddenGuide,db,off,10,0.3,ema,2000,1.0,0.052113572839213064,0.02846875236070492,0.028137577964194374,0.15957887967859438,16.259144057037595,0.0001506954595458039,0.09990875912408759,0.7161326527308635,92663,192,112,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-db-replay_off-b10/checkpoints/epoch=4-step=459.ckpt
sweep-nitrogen-hidden-db-replay_on-b10,sweep,nitrogen,hidden,HiddenGuide,db,on,10,0.3,ema,2000,1.0,0.03108949246974841,0.016181335422651693,0.0161936989708264,0.02557542200259555,16.21323972584488,7.619628162145687e-05,0.05640127873344497,0.7140680769565596,91896,192,122,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-db-replay_on-b10/checkpoints/epoch=4-step=454.ckpt
sweep-nitrogen-hidden-revkl-replay_off-b10,sweep,nitrogen,hidden,HiddenGuide,revkl,off,10,0.3,ema,2000,1.0,0.012691731933265355,0.00715943852645738,0.007186939863250724,0.006567817875019476,16.247925061075534,0.0,0.025118934348239773,0.7149784132080793,92186,192,123,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-revkl-replay_off-b10/checkpoints/epoch=2-step=293.ckpt
sweep-nitrogen-hidden-rtb-replay_off-b10,sweep,nitrogen,hidden,HiddenGuide,rtb,off,10,0.3,ema,2000,1.0,0.010327824437821728,0.014597670008127879,0.013785660089032462,0.011647350698479218,16.338760302168218,0.0,0.05151051625239006,0.7166079653210512,92275,192,112,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-rtb-replay_off-b10/checkpoints/epoch=2-step=289.ckpt
sweep-nitrogen-tempgain-db-replay_off-b1,sweep,nitrogen,tempgain,TempGainGuide,db,off,1,0.3,ema,2000,1.0,0.017724844934527913,0.0038550999310820126,0.0038452145873556155,0.007002885949022432,16.258272596756235,3.0119121124045602e-05,0.013453762140508673,0.7150564266023433,92864,192,182,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-tempgain-db-replay_off-b1/checkpoints/epoch=3-step=372.ckpt
sweep-nitrogen-tempgain-db-replay_on-b1,sweep,nitrogen,tempgain,TempGainGuide,db,on,1,0.3,ema,2000,1.0,0.02113164974399028,0.005152738002256357,0.005011217038833336,0.003549590220361783,16.21485769407809,0.0,0.018008113128862267,0.7138657467673349,92184,192,119,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-tempgain-db-replay_on-b1/checkpoints/epoch=3-step=390.ckpt
sweep-nitrogen-tempgain-db-replay_off-b10,sweep,nitrogen,tempgain,TempGainGuide,db,off,10,0.3,ema,2000,1.0,0.009485960561794102,0.00922607123133399,0.008463733576192848,0.011175736400215056,16.16448414707945,3.033198356006491e-05,0.03218477849299508,0.7140134492728513,92347,192,96,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-tempgain-db-replay_off-b10/checkpoints/epoch=4-step=451.ckpt
sweep-nitrogen-tempgain-db-replay_on-b10,sweep,nitrogen,tempgain,TempGainGuide,db,on,10,0.3,ema,2000,1.0,0.014712278717759123,0.006709147057544256,0.007002376835095579,0.005732883084780525,16.24247518548513,0.0,0.02354782077703992,0.7150841633682745,91964,192,94,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-tempgain-db-replay_on-b10/checkpoints/epoch=4-step=454.ckpt
sweep-osim-base-db-replay_off-b1,sweep,osim,base,TempGainGuide,db,off,1,0.3,ema,2000,1.0,0.011319248117055486,0.0054276280294365195,0.004653411021298078,0.013364319498707112,16.198034918359454,0.00021114546414297564,0.018544503014903863,0.7154649632043507,92674,192,114,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_off-b1/checkpoints/epoch=4-step=469.ckpt
sweep-osim-base-db-replay_on-b1,sweep,osim,base,TempGainGuide,db,on,1,0.3,ema,2000,1.0,0.014067471559952928,0.007649391971407401,0.007172659964627879,0.01623161342194731,16.247872774132208,0.0001982069890833689,0.026313779407271615,0.7146842174083599,91772,192,95,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_on-b1/checkpoints/epoch=4-step=474.ckpt
sweep-osim-base-rtb-replay_off-b1,sweep,osim,base,TempGainGuide,rtb,off,1,0.3,ema,2000,1.0,0.0013986468904501692,0.0013010668748373666,0.001345249047082616,0.00013972924668319376,16.315956276793237,0.0,0.004602285801948301,0.7172998525457542,92232,192,93,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_off-b1/checkpoints/epoch=2-step=255.ckpt
sweep-osim-base-rtb-replay_on-b1,sweep,osim,base,TempGainGuide,rtb,on,1,0.3,ema,2000,1.0,0.001683867463335144,0.0019989136338946223,0.001998729266679887,0.00022835186756753128,16.26417774558909,0.0,0.007021024917006907,0.7152960347637154,92050,192,114,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_on-b1/checkpoints/epoch=2-step=255.ckpt
sweep-osim-base-db-replay_off-b10,sweep,osim,base,TempGainGuide,db,off,10,0.3,ema,2000,1.0,0.011597293239626624,0.0110750886659849,0.010992901860464343,0.019964385804903655,16.216622540491098,0.00018282371223547693,0.038278604314904305,0.7140821166692052,91918,192,99,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_off-b10/checkpoints/epoch=4-step=469.ckpt
sweep-osim-base-db-replay_on-b10,sweep,osim,base,TempGainGuide,db,on,10,0.3,ema,2000,1.0,0.03303303303303303,0.021260390825608218,0.020691732769984962,0.03665235069915621,16.180567100858774,0.00022934026450577172,0.07316152888352262,0.7116355485920703,91908,192,92,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_on-b10/checkpoints/epoch=4-step=479.ckpt
sweep-osim-base-rtb-replay_off-b10,sweep,osim,base,TempGainGuide,rtb,off,10,0.3,ema,2000,1.0,0.00834326579261025,0.01338173149853722,0.012785244859183134,0.01023504848815284,16.290269646829046,0.0,0.04686551305403765,0.7144652725105646,92290,192,93,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_off-b10/checkpoints/epoch=2-step=237.ckpt
sweep-osim-base-rtb-replay_on-b10,sweep,osim,base,TempGainGuide,rtb,on,10,0.3,ema,2000,1.0,0.007148079840232231,0.011949843397029454,0.011879227377044308,0.007870316804070299,16.31583497375772,0.0,0.041974930041783265,0.7153099865768883,91633,192,99,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_on-b10/checkpoints/epoch=2-step=210.ckpt
sweep-osim-hidden-db-replay_off-b1,sweep,osim,hidden,HiddenGuide,db,off,1,0.3,ema,2000,1.0,0.016736987127050417,0.006684031515047144,0.007149066679908587,0.04860446739920486,16.298188216005595,0.0009013339742819373,0.02129840546697039,0.7164937357385801,92908,192,114,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-db-replay_off-b1/checkpoints/epoch=4-step=430.ckpt
sweep-osim-hidden-db-replay_on-b1,sweep,osim,hidden,HiddenGuide,db,on,1,0.3,ema,2000,1.0,0.018077795820921203,0.011076817189499608,0.010595838365320357,0.07338752575866125,16.24703458017857,0.00118911433560118,0.03581785996760951,0.7144654629141708,92987,192,97,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-db-replay_on-b1/checkpoints/epoch=4-step=449.ckpt
sweep-osim-hidden-revkl-replay_off-b1,sweep,osim,hidden,HiddenGuide,revkl,off,1,0.3,ema,2000,1.0,0.010600209840888686,0.0019361607770602806,0.0020228999581896915,0.00025915225440398325,16.216249539893894,0.0,0.006764416899705238,0.7137727012146975,92451,192,148,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-revkl-replay_off-b1/checkpoints/epoch=3-step=386.ckpt
sweep-osim-hidden-rtb-replay_off-b1,sweep,osim,hidden,HiddenGuide,rtb,off,1,0.3,ema,2000,1.0,0.0033744084004441715,0.0034929978330476407,0.00325239449187717,0.0009880302918052262,16.255656686733875,0.0,0.012310030395136779,0.7162478303524262,92757,192,85,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-rtb-replay_off-b1/checkpoints/epoch=2-step=287.ckpt
sweep-osim-hidden-rtb-replay_on-b1,sweep,osim,hidden,HiddenGuide,rtb,on,1,0.3,ema,2000,1.0,0.0042528471057621696,0.006762903773853759,0.0065895905701493325,0.0027935838609870543,16.21337257209766,0.0,0.023605478613512892,0.7135027895607949,91233,192,145,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-rtb-replay_on-b1/checkpoints/epoch=4-step=486.ckpt
sweep-osim-hidden-db-replay_off-b10,sweep,osim,hidden,HiddenGuide,db,off,10,0.3,ema,2000,1.0,0.016781364652758177,0.013459826759003974,0.012948697813611841,0.07286601806281491,16.26263779369559,0.0010630865959967196,0.04452054794520548,0.7147385103011094,92126,192,118,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-db-replay_off-b10/checkpoints/epoch=4-step=457.ckpt
sweep-osim-hidden-db-replay_on-b10,sweep,osim,hidden,HiddenGuide,db,on,10,0.3,ema,2000,1.0,0.014017472943017343,0.01334376494110488,0.012886840621629763,0.03131689104364115,16.206542608635043,0.00041221374045801525,0.04527291917973462,0.7117399052462294,92028,192,128,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-db-replay_on-b10/checkpoints/epoch=4-step=426.ckpt
sweep-osim-hidden-revkl-replay_off-b10,sweep,osim,hidden,HiddenGuide,revkl,off,10,0.3,ema,2000,1.0,0.022060584943051895,0.015636229011955834,0.015445948260535605,0.029407753725071362,16.213859453753532,0.0,0.054505427768921276,0.7131252858293953,91838,192,115,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-revkl-replay_off-b10/checkpoints/epoch=4-step=413.ckpt
sweep-osim-hidden-rtb-replay_off-b10,sweep,osim,hidden,HiddenGuide,rtb,off,10,0.3,ema,2000,1.0,0.005259884107947663,0.00913386514180953,0.008709499005417589,0.00384390673384081,16.30657342610543,0.0,0.032165091076781185,0.7160317339066098,91637,192,135,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-rtb-replay_off-b10/checkpoints/epoch=1-step=142.ckpt
sweep-osim-hidden-rtb-replay_on-b10,sweep,osim,hidden,HiddenGuide,rtb,on,10,0.3,ema,2000,1.0,0.016944365998305563,0.026404970347359502,0.02561106503348601,0.05113637872302859,16.269370380242545,0.00019781490611400226,0.09177167147411568,0.7138140029978494,92066,192,112,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-rtb-replay_on-b10/checkpoints/epoch=4-step=496.ckpt
sweep-osim-tempgain-db-replay_off-b1,sweep,osim,tempgain,TempGainGuide,db,off,1,0.3,ema,2000,1.0,0.00867168083005025,0.0024528158543070796,0.0025846286637441966,0.00579252445964422,16.193642287119314,9.143135790805053e-05,0.00829687735706743,0.7122174106512986,92139,192,119,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-tempgain-db-replay_off-b1/checkpoints/epoch=4-step=499.ckpt
sweep-osim-tempgain-db-replay_on-b1,sweep,osim,tempgain,TempGainGuide,db,on,1,0.3,ema,2000,1.0,0.005355346150101157,0.003472860836732265,0.0031247405524875336,0.006890817539325587,16.25068466246861,7.575068933127291e-05,0.01195837275307474,0.7141110666334888,92431,192,164,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-tempgain-db-replay_on-b1/checkpoints/epoch=4-step=474.ckpt
sweep-osim-tempgain-db-replay_off-b10,sweep,osim,tempgain,TempGainGuide,db,off,10,0.3,ema,2000,1.0,0.017383765037390267,0.008550991654925762,0.008479232462789343,0.008563065186741457,16.230791221482015,1.5159554309103312e-05,0.029956282075651017,0.7149127560420505,92270,192,87,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-tempgain-db-replay_off-b10/checkpoints/epoch=4-step=493.ckpt
sweep-osim-tempgain-db-replay_on-b10,sweep,osim,tempgain,TempGainGuide,db,on,10,0.3,ema,2000,1.0,0.017560023846945966,0.007652701750582624,0.007891426817873819,0.005723805453932049,16.198608725072635,0.0,0.02674343725141104,0.713847487941033,92255,192,125,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-tempgain-db-replay_on-b10/checkpoints/epoch=4-step=469.ckpt
sweep-peri-base-db-replay_off-b1,sweep,peri,base,TempGainGuide,db,off,1,0.3,ema,2000,1.0,0.001253201111534899,0.0004685882417043535,0.0005672630954821132,1.689800564820777e-05,16.197508021652787,0.0,0.0016399069448152245,0.7142592491690731,91765,192,145,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-base-db-replay_off-b1/checkpoints/epoch=4-step=497.ckpt
sweep-peri-base-db-replay_on-b1,sweep,peri,base,TempGainGuide,db,on,1,0.3,ema,2000,1.0,0.004922850048252605,0.00161564902464678,0.001464084232280841,0.00015958527027984775,16.292113020945834,0.0,0.005686805847105072,0.7158951671491928,92223,192,99,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-base-db-replay_on-b1/checkpoints/epoch=4-step=496.ckpt
sweep-peri-base-db-replay_off-b10,sweep,peri,base,TempGainGuide,db,off,10,0.3,ema,2000,1.0,0.01508216729872281,0.001460267643084434,0.0013114114906604712,9.144125939407861e-05,16.236620670608726,0.0,0.005150676506765067,0.7164901268471295,91764,192,101,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-base-db-replay_off-b10/checkpoints/epoch=4-step=494.ckpt
sweep-peri-base-db-replay_on-b10,sweep,peri,base,TempGainGuide,db,on,10,0.3,ema,2000,1.0,0.0059633175386003935,0.0018051123360087677,0.0014900548318292081,0.00014387985468690935,16.277041970747828,0.0,0.006339622641509434,0.7152650184271885,93069,192,84,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-base-db-replay_on-b10/checkpoints/epoch=4-step=495.ckpt
sweep-peri-hidden-db-replay_off-b1,sweep,peri,hidden,HiddenGuide,db,off,1,0.3,ema,2000,1.0,0.004346078207677347,0.0009995979877657898,0.0011081609575257615,0.0002153754817242671,16.16370521921214,0.0,0.003474976392823418,0.7123439486293556,92037,192,101,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-hidden-db-replay_off-b1/checkpoints/epoch=3-step=399.ckpt
sweep-peri-hidden-db-replay_on-b1,sweep,peri,hidden,HiddenGuide,db,on,1,0.3,ema,2000,1.0,0.008652617443850036,0.0015161031816508198,0.0014664959685723837,0.0007112277420610778,16.263823384587592,0.0,0.005324408610329353,0.7152541638690953,92342,192,123,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-hidden-db-replay_on-b1/checkpoints/epoch=4-step=436.ckpt
sweep-peri-hidden-db-replay_off-b10,sweep,peri,hidden,HiddenGuide,db,off,10,0.3,ema,2000,1.0,0.02128417778929636,0.0033151915683987732,0.002912220870594599,0.0004922360557743403,16.204099915392284,0.0,0.011589716486088565,0.7139540408621657,92604,192,135,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-hidden-db-replay_off-b10/checkpoints/epoch=3-step=354.ckpt
sweep-peri-hidden-db-replay_on-b10,sweep,peri,hidden,HiddenGuide,db,on,10,0.3,ema,2000,1.0,0.014997466279959891,0.0026631014889648406,0.0026750478298695887,0.0011718824914553926,16.24015589335877,0.0,0.00938770856295846,0.7163203915945185,92749,192,130,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-hidden-db-replay_on-b10/checkpoints/epoch=4-step=437.ckpt
sweep-peri-tempgain-db-replay_off-b1,sweep,peri,tempgain,TempGainGuide,db,off,1,0.3,ema,2000,1.0,0.005032319639061212,0.001279770942692291,0.0011643147932208632,7.686569715765022e-05,16.320551428870985,0.0,0.0045076018030407216,0.7160860700186543,92204,192,113,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-tempgain-db-replay_off-b1/checkpoints/epoch=4-step=489.ckpt
sweep-peri-tempgain-db-replay_on-b1,sweep,peri,tempgain,TempGainGuide,db,on,1,0.3,ema,2000,1.0,0.008870844852733092,0.0014149813875525175,0.0013118674427528188,9.013774562028385e-05,16.23441678026482,0.0,0.004958236393455128,0.7146200230750811,91874,192,138,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-tempgain-db-replay_on-b1/checkpoints/epoch=4-step=488.ckpt
sweep-peri-tempgain-db-replay_off-b10,sweep,peri,tempgain,TempGainGuide,db,off,10,0.3,ema,2000,1.0,0.020723199584019414,0.0027082069503423173,0.0024688653889181596,0.0002992962880281,16.307652633078995,0.0,0.00959140610013428,0.71764234335731,92312,192,93,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-tempgain-db-replay_off-b10/checkpoints/epoch=4-step=486.ckpt
sweep-peri-tempgain-db-replay_on-b10,sweep,peri,tempgain,TempGainGuide,db,on,10,0.3,ema,2000,1.0,0.013162900403256487,0.0019565004728209477,0.0016657026240674245,0.00013417458877776475,16.240827891610525,0.0,0.0068799449604403165,0.7156226562754753,92001,192,101,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-tempgain-db-replay_on-b10/checkpoints/epoch=4-step=454.ckpt
