rank,oracle_call,score,smiles
1,6943,0.808193,NS(=O)(=O)c1nc(-c2ccco2)oc1N[C@H](CN1CCOCC1)NC(=O)c1ccccc1
2,7848,0.806634,NS(=O)(=O)c1ccc(NC(=O)C/[S+]=c2\nc3ccccc3c([O-])n2C[C@H]2CCCO2)cc1
3,3121,0.805738,Cn1c(=O)c(=O)n(C)c2cc(S(=O)(=O)NCCN3CCN(c4ccccc4)CC3)ccc21
4,5041,0.803428,Nn1c(SCC(=O)Nc2cccc(S(=O)(=O)N3CCOCC3)c2)nnc1-c1ccccn1
5,6100,0.803428,NS(=O)(=O)c1ccc(N2CCN(CC(=O)Nc3ccccc3O)CC2)nc1
6,5990,0.802068,NS(=O)(=O)c1cccc(-n2c(=O)c3ccccc3n(CC(=O)NCc3ccccn3)c2=O)c1
7,7329,0.798824,NS(=O)(=O)c1cccc(NC(=O)COc2ncnc3ncccc23)c1
8,5145,0.797455,Nn1c(SCC(=O)Nc2cccc(S(N)(=O)=O)c2)nnc1-c1ccccn1
9,9109,0.797455,NS(=O)(=O)c1cccc(NC(=O)Cn2c(NCCO)nc3ccccc32)c1
10,7187,0.797318,N[C-]([O-])N1CCN([c+]2[n-]n3[c+]([nH][c+]([O-])[cH+][c-]3-[c+]3[cH-][cH+][cH-][cH+][cH-]3)s2)CC1
11,9454,0.797318,Nn1c(=O)c2ccccc2n2c(SCC(=O)Nc3nccs3)nnc12
12,5775,0.795995,NS(=O)(=O)c1ccc(OC[C@H](O)CN2CCN(c3ncccn3)CC2)cc1
13,9119,0.795995,NS(=O)(=O)c1ccc(CNC(=O)CN2CCN(c3ccccn3)CC2)cc1
14,6476,0.795884,Nn1c(SCC(=O)Nc2cc(S(=O)(=O)N3CCOCC3)ccc2N2CCOCC2)nnc1-c1cccnc1
15,8402,0.795623,NNC(=O)CNC(=O)c1cc(-c2ccccn2)nc2ccccc12
16,5287,0.794715,Nn1c(SCC(=O)Nc2cccc3ccccc23)nncc1=O
17,7135,0.793339,NS(=O)(=O)c1ccc(CCNCC(=O)Nc2ccccc2N2CCOCC2)cc1
18,1168,0.792884,O=C(CCNC(=O)Cn1c(=O)cnc2ccccc21)NCc1ccco1
19,8603,0.791434,Nn1c(SCC(=O)Nc2cccc(S(N)(=O)=O)c2)nnc1-c1cccnc1
20,7831,0.789995,N#CCn1cnc2c(N3CCN(Cc4ccccc4)CC3)nc(NCCO)nc21
21,7027,0.789042,NS(=O)(=O)c1cccc(NC(=O)COC(=O)c2cc3ccccc3oc2=O)c1
22,4704,0.788894,Nn1c(Cn2nnc(-c3ccc4c(c3)OCCO4)n2)nc2ccccc2c1=O
23,3659,0.788571,NS(=O)(=O)c1cccc(NC(=O)CNC(=O)c2cc3ccccc3oc2=O)c1
24,7560,0.788533,[H]/N=c1/c(C(=O)NCCN2CCOCC2)cc2c(=O)n3ccccc3nc2n1CCc1ccccc1
25,7734,0.788481,NS(=O)(=O)c1ccc(NC(=O)CN(CC(=O)O)Cc2nc(COc3ccc(F)cc3)no2)cc1
26,8770,0.788171,Nn1c(SCC(=O)N2CC(=O)Nc3ccccc32)nnc1-c1ccco1
27,9310,0.787766,NS(=O)(=O)c1cccc(S(=O)(=O)N2CCN(C(=O)c3cccc4cccnc34)CC2)c1
28,6272,0.787511,[H]/N=c1\c(=C\c2ccc(OS(=O)(=O)c3ccccc3)c(OCC)c2)c([O-])nc2[s+]nc(S(C)(=O)=O)n12
29,5662,0.787208,COc1ccc(S(N)(=O)=O)cc1NS(=O)(=O)c1cccc2nsnc12
30,3200,0.787159,NNC(=O)CS(=O)(=O)c1cn(CCNC(=O)c2ccccc2)c2ccccc12
31,4662,0.786854,NN1/C(=[NH+]/N=C\c2ccc(N([O-])[O-])o2)N=N/C1=[S+]\CC(=O)Nc1cccc2ccccc12
32,527,0.786792,CCCOc1cccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)c1
33,4340,0.786407,Nc1ccc(S(=O)(=O)NNC(=O)COc2cccc3nsnc23)cc1
34,7893,0.784442,Nn1c(SCC(=O)N2CCN(S(=O)(=O)c3ccccc3)CC2)nnc1-c1cc2ccccc2oc1=O
35,1059,0.783942,COc1ccc(/C=N/Nc2nc3ccccn3c(=O)c2/C=C2\C(=O)NC(=O)N(C)C2=O)c(OC)c1
