rank,oracle_call,score,smiles
1,9269,0.493657,CCOC(=O)c1cc(-c2ccccc2)n(CCC(=O)NC2CCCC2)c1C
2,2886,0.487247,CCC[C@@H](C(=O)NC1CCCC1)N(C(=O)CCC(=O)Nc1cc(C)on1)c1cc(OC)ccc1OC
3,2262,0.484544,CCOC(=O)c1[nH]c2ccc(C)cc2c1NC(=O)NC1CCCCC1
4,9330,0.483046,Cc1oc2ccc(OCC(=O)N3CCC[C@@H]3C(=O)O)cc2c1C(=O)OC(C)C
5,5400,0.471405,CCOc1ccc(N(CC(=O)NC2CCCCC2)C(=O)CCC(=O)Nc2nc(C)cs2)cc1
6,3007,0.460857,CCC(=O)c1cn(CC(=O)NC2CCCCC2)c2ccccc12
7,7504,0.454257,CCOC(=O)N1CCN(Cc2nc3cc(NC(=O)C(C)C)ccc3n2CC)CC1
8,3936,0.450443,C[C@H](C(=O)NC1CCCCC1)[C@H]1C[C@]1(C)[C@H](NC(=O)OCc1ccccc1)c1ccccc1
9,1286,0.447214,COc1ccc(OC)c(N(CC(=O)NC2CCCCC2)C(=O)CNC(=O)c2ccco2)c1
10,8151,0.445282,C[C@H](OC(=O)c1n[nH]c(=O)c2ccccc12)C(=O)NC1CCCC1
11,715,0.443678,CCC[C@H](C)CNC(=O)NC(=O)COC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
12,8177,0.443533,COCCNC(=O)CN(C(=O)Cn1nnc2ccccc21)C1CCCC1
13,7874,0.438854,CCOC(=O)c1ccc(S(=O)(=O)c2ccc(C)c(NC(=O)CCN3CCCCC3)c2)cc1
14,861,0.437237,COC(=O)c1cccc(N(CC(=O)NC2CCCCC2)C(=O)CNC(=O)c2cccs2)c1
15,3087,0.436931,CCc1nn(CC(=O)NC2CCCC2)c(=O)c2cccn12
16,6720,0.436436,Cc1cnc2sc(C(=O)OCC(=O)NCCC3=CCCCC3)cc2c1C(=O)O
17,1490,0.434714,CC[C@@H](C)OC(=O)c1ccc(C(=O)NC[C@@H](c2ccco2)N2CCCCC2)o1
18,2721,0.433629,CC(C)(C)[C@H](Cn1cnc2ccccc21)NC(=O)C1CCCCC1
19,8789,0.432426,CCCN(C(=O)c1ccncc1)c1cccc(C(=O)NC2CCCC2)c1
20,3677,0.430678,COc1ccc2c(CC(=O)NC[C@H]3CC[C@@H](C(=O)O)CC3)cc(=O)oc2c1
21,1525,0.429198,CCOC(=O)c1cc2ccccc2cc1O[C@@H](C)C(=O)OCC
22,4960,0.429198,CCOC(=O)c1oc2ccccc2c1NC(=O)CCCC(=O)O
23,7673,0.428952,CCOC(=O)N1CCC(Nc2c(NCCc3ccccc3)c(=O)c2=O)CC1
24,8407,0.428952,CCOC(=O)C(=O)N(c1ccccc1)c1ccccc1C(=O)N1CCCC1
