rank,oracle_call,score,smiles
1,2334,0.507752,CCOC(=O)c1[nH]c(C)c(CN(Cc2ccccc2)C(C)=O)c1C(=O)NC1CCCCC1
2,9848,0.505964,CCOC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1CCCN1C(=O)Cc1ccccc1
3,6456,0.490511,CCC[C@H](C(=O)NC1CCCC1)N(C(=O)CCC(=O)Nc1nccs1)c1ccc(OC)cc1
4,4017,0.474342,CC(C)[C@@H](CC(=O)/N=c1\sc2ccccc2n1C)C(=O)NC1CCCCC1
5,9416,0.466953,CCOC(=O)c1cccn1CC(=O)N(c1ccccc1)[C@H](CC)C(=O)NC[C@@H]1CCCO1
6,11100,0.462250,CCOC(=O)[C@@H](NC(=O)c1ccc2c(OCC)n(CC)nc2c1)C(C)C
7,6619,0.459279,Cc1c(NC(=O)[C@H](C)OC(=O)C[C@@H]2C[C@H]3CC[C@@H]2C3)c(=O)n(-c2ccccc2)n1C
8,10358,0.457905,Cc1ccc(C(=O)c2ccccc2C(=O)OCC(=O)NC2CCCC2)c(O)c1
9,9433,0.456435,CCOc1ccc2nc([C@@H]3CCCCN3C(=O)CCC(=O)O)ccc2c1
10,5279,0.454257,CCn1c(CC(=O)Nc2cccnc2)nnc1SCC(=O)OC1CCCCC1
11,4441,0.450694,CCOc1ccc([C@@H](C(=O)NC2CCCC2)N(C(=O)c2ccco2)C2CC2)cc1
12,7182,0.448819,CCOC(=O)C1CCN(C(=O)C[C@](C)(CC(=O)NCc2ccccc2)c2ccc(F)cc2)CC1
13,3339,0.447214,Cc1ccc(C)c(N(CC(=O)NC2CCCCC2)C(=O)CCC(=O)Nc2ccccn2)c1
14,7650,0.447214,Cc1ccc(N(CC(=O)NC2CCCC2)C(=O)CCC(=O)Nc2nccs2)c(C)c1
15,7281,0.445566,COC(=O)CN(C(=O)C(F)(F)F)[C@@H](Cc1cccc2ccccc12)C(=O)NC1CCCCC1
16,7563,0.445435,O=C(COC(=O)C1CCCCC1)Nc1ccccc1C(=O)c1ccccc1Cl
17,7387,0.445282,CCn1c(=O)n(CC(=O)NC2CCCCC2)c(=O)c2ccccc21
18,5296,0.443203,CC[C@@H](O)c1nc2c(c(=O)n(C)c(=O)n2C)n1C1CCCCC1
19,7222,0.443203,CC(=O)c1cn(CC(=O)NC2CCCCC2)c2ccccc12
20,11762,0.443203,CCn1c(=O)n(CC(=O)NC2CCCCC2)c2ccccc21
21,4694,0.442141,Cc1cc(C)cc(N(CC(=O)NC2CCCC2)C(=O)CCC(=O)Nc2ccccn2)c1
22,10204,0.439298,C[C@H]1CCC[C@@H](n2c(NCCO)nc3ccccc32)[C@H]1C(=O)O
23,4713,0.438854,CC(=O)N1CCC[C@H]1C(=O)Nc1ccc(C(=O)N(CCc2ccccn2)CC(C)C)cc1
24,7812,0.438178,CC[C@H](C)NC(=O)CSc1nc2ccc(/[C-]=N/[C@H]3CCCC[C@@H]3C)cc2[nH]1.[H+]
25,2079,0.437595,COCCN(C(=O)CCC(=O)Nc1cccnc1)[C@H](C(=O)NC1CCCC1)c1ccc(F)cc1
26,1660,0.437384,CCOC(=O)c1cc(CC)sc1NC(=O)c1ccccc1C(=O)O
27,6437,0.436795,COc1cc(CN(CC(=O)N2CCC[C@H]2C(=O)O)C(=O)c2csc(C)c2)ccc1OCC(=O)N1CCOCC1
28,10214,0.435639,CCOC(=O)C1CCN(C(=O)c2cccc(S(=O)(=O)N(CC)c3ccccc3OC)c2)CC1
29,7265,0.435494,CCOC(=O)[C@H](C)N(Cc1ccco1)C(=O)CSc1nnnn1C
30,8278,0.435194,COCCN(C(=O)c1ccccc1Oc1ccccc1)[C@H](C)C(=O)NC1CCCC1
