rank,oracle_call,score,smiles
1,37140,0.830336,NS(=O)(=O)c1ccc(N2CCN(CC(=O)NCCc3ccc4ccccc4n3)CC2)nc1
2,22144,0.827396,Nn1c(COc2ccc3c(c2)NC(=O)CO3)nc2ccccc2c1=O
3,31440,0.824431,COc1ccc(S(N)(=O)=O)cc1NC(=O)CN1CCN(c2ccccc2F)CC1
4,23790,0.824179,NS(=O)(=O)c1cccc(NC(=O)C/[S+]=c2\nc3ccccc3c([O-])n2CCCN2CCOCC2)c1
5,9417,0.823993,[CH2+]n1[n-][n-][n-][c-]1SCCCn1[c+]([O-])[c+]2[cH+][n-][cH+][cH-][c+]2n(C[c+]2[cH-][cH+][c-](OC)[cH+][cH-]2)[c-]1[O-]
6,32894,0.818341,NS(=O)(=O)c1cccc(NC(=O)CN2CCN(c3ccccn3)CC2)c1
7,4903,0.816085,COc1ccc(-n2nc(C(=O)NCC(=O)NCCCN3CCOCC3)c3ccccc3c2=O)c(OC)c1
8,4224,0.813085,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2ccc3c(c2)n(C)c(=O)c(=O)n3C)cc1OC
9,8951,0.812959,COc1cccc(NC(=O)Cn2c(=O)oc3cc(S(=O)(=O)N4CCOCC4)ccc32)c1
10,6429,0.812864,COCCn1nnnc1[C@H](c1cc2ccccc2n(C)c1=O)N1CCN(C(=O)c2ccco2)CC1
11,17667,0.812827,Nn1c(SCC(=O)Nc2ccnc3ccccc23)nncc1=O
12,27411,0.811531,NS(=O)(=O)c1ccc(CCNC(=O)CN2CCN(c3cccc4cccnc34)CC2)cc1
13,3732,0.810267,CN(C)CCN(C(=O)Cn1c([O-])c2ccccc2c1[O-])C1=Nc2cc3c(cc2=[S+]1)OC[O+]=3
14,19804,0.807760,Nn1c(SCC(=O)Nn2cnc3ccccc3c2=O)nnc1-c1ccccn1
15,22002,0.806573,Nn1c(SCC(=O)Nc2cnc3ccccc3c2)nncc1=O
16,3962,0.806432,COc1ccccc1NC(=O)C/[S+]=c1\nc2n(C)c(=O)n(C)c([O-])c-2n1C
17,34218,0.806076,NS(=O)(=O)c1ccc(NC(=O)CS(=O)(=O)c2cn(CC(=O)N3CCOCC3)c3ccccc23)cc1
18,17632,0.804923,NS(=O)(=O)c1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1
19,34492,0.804923,NNC(=O)COc1coc(CN2CCN(c3ccccc3)CC2)cc1=O
20,26772,0.804650,NC(=O)/C(=N/NC(=O)c1nnn(-c2nonc2N)c1CN1CCN(c2ccccc2)CC1)NC(=O)c1ccco1
21,20807,0.804630,Nn1c(SCC(=O)N2CC(=O)Nc3ccccc32)nnc1-c1ccncc1
22,32864,0.804630,Nn1c(SCC(=O)N2CC(=O)Nc3ccccc32)nnc1-c1cccnc1
23,21789,0.803428,NS(=O)(=O)c1ccc(O)c(NC(=O)CN2CCN(c3ccccc3)CC2)c1
24,36545,0.803428,Cn1c(=O)cc(C(=O)NCC(=O)Nc2ccc(S(N)(=O)=O)cc2)c2ccccc21
25,11202,0.803413,Cn1c2n/c(=[S+]\CC(=O)Nc3nc(-c4ccccc4)cs3)n(C)c-2c([O-])n(C)c1=O
26,33322,0.803088,NNC(=O)COc1coc(CN2CCN(c3cccc4ccccc34)CC2)cc1=O
27,24272,0.802866,Nn1c(Sc2ccccc2NC(=O)CCN2CCN(C(=O)c3ccccc3)CC2)nncc1=O
28,33439,0.802633,NS(=O)(=O)c1cc(Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc2ccccc12
29,26544,0.802475,Nn1c(SCC(=O)Nc2nccs2)nc2ccccc2c1=O
30,30796,0.802296,Nn1c(CN2CCN(CC(=O)Nc3ccccc3)CC2)nc2ccccc2c1=O
31,12554,0.802288,NS(=O)(=O)c1cccc(NC(=O)COc2ncnc3ccccc23)c1
32,28281,0.802095,Nn1c(SCC(=O)Nc2ccc(N3CCN(S(=O)(=O)c4ccccc4)CC3)cc2)nncc1=O
33,33925,0.802040,NS(=O)(=O)c1ccc(N2CCN(CC(=O)NC[C@H]3COc4ccccc4O3)CC2)nc1
34,36145,0.802040,NS(=O)(=O)c1ccc(N2CCN(CC(=O)NCCc3c[nH]c4ccccc34)CC2)nc1
35,11061,0.801979,COc1cc(/[C-]=c2\sc3nc(-c4ccco4)nn3c2=O)ccc1OCC(N)=O.[H+]
36,29902,0.801979,NS(=O)(=O)c1ccc(NC(=O)C/[S+]=c2\nc3ccccc3c([O-])n2CCO)cc1
