rank,oracle_call,score,smiles
1,1783,0.534522,CCOC(=O)C[C@@H](NC(=O)[C@@H]1CCCC[C@H]1C(=O)O)c1cccc2ccccc12
2,3188,0.513455,CCOC(=O)c1cc2sc(C)cc2n1CC(=O)NC1CCCCC1
3,18810,0.505964,CCOC(=O)[C@@H](NC(=O)C1CCN(S(=O)(=O)c2cccc3nsnc23)CC1)[C@@H](C)CC
4,32270,0.497859,CCCc1cc(=O)oc2cc(O[C@@H](C)C(=O)N3CCC[C@H]3C(=O)O)ccc12
5,36131,0.492366,CCOc1ccc(N(CC(=O)N[C@@H]2CCCC[C@@H]2C(=O)O)S(=O)(=O)c2c(C)nn(C)c2C)cc1
6,29418,0.491596,CCOC(=O)c1c(C)[nH]c(C)c1C(=O)CSc1nnc(C2CCCCC2)n1N
7,20951,0.482786,C[C@@H](O)CC[C@H](C(=O)O)N(C(=O)c1ccc[nH]1)[C@H](C(=O)NC1CCCCC1)c1ccncc1
8,33409,0.482451,CCCCn1nc2cc(C(=O)NC3CCCCC3)ccc2c1OCC
9,22608,0.480982,CCOC(=O)[C@@H](CCc1ccccc1)N[C@H]1CCN(c2ccc(C#N)cn2)[C@H](CC(C)C)C1
10,33137,0.479749,CCOC(=O)c1ccc(C)c(NC(=O)[C@@H]2CCCCN2C(=O)c2ccccc2F)c1
11,11813,0.478091,CCC[C@H](C(=O)NC1CCCCC1)N(C(=O)CNS(=O)(=O)c1cccs1)c1ccc(OC)c(OC)c1
12,9962,0.477856,CCOC(=O)N1CCC(NC(=O)[C@@H](Cc2cccc3ccccc23)NC(C)=O)CC1
13,18050,0.477567,CCOC(=O)c1oc2ccccc2c1NC(=O)NC1CCCCC1
14,21969,0.477567,CCOC(=O)c1[nH]c2ccccc2c1NC(=O)NC1CCCCC1
15,34449,0.476331,CC(=O)N(CC(=O)NC1CCCC1)c1ccc2occ(C(=O)C(C)C)c2c1
16,7191,0.475986,CCOC(=O)c1c(-c2ccc(C)c(C)c2)csc1NC(=O)[C@@H]1[C@H](C(=O)O)[C@H]2CC[C@@H]1O2
17,23365,0.475486,CCOC(=O)[CH-]C(=O)c1cnn(-c2nc(C3CCCCC3)cs2)c1.[H+]
18,37511,0.475191,CC[C@H](C)[C@H](C(=O)NC[C@H]1CC[C@H](C(=O)O)CC1)n1nnc2ccccc2c1=O
19,14348,0.474342,CCOc1cc2oc(C(=O)OCC(=O)NC3CCCC3)c(C)c2cc1OC
20,4383,0.473960,Cc1cc(C)cc(N(C(=O)[C@H]2CC=CC[C@@H]2C(=O)O)[C@H](C(=O)NC2CCCC2)c2ccc(C)o2)c1
21,3599,0.471405,CCCn1c(SCC(=O)NC2CCCC2)nc2c1c(=O)n(C)c(=O)n2C
22,18261,0.468521,CCOC(=O)C1CCN(Cc2ccc3ccc(O[C@@H](C)C(=O)O)cc3c2)CC1
23,18743,0.466628,CCCCn1nc2cc(C(=O)N[C@H](CCC(=O)OC)C(=O)O)ccc2c1OCC
24,10171,0.465891,CCOC(CCn1c(SCC(=O)NC2CCCC2)nc2ccccc2c1=O)OCC
25,35195,0.465891,CCCn1c(SCC(=O)NC2CCCCC2)nnc1[C@H](NC(C)=O)c1ccccc1
26,29324,0.465207,CCOC(=O)N1CCC(NC(=O)[C@H](Cc2ccccc2)NC(=O)Cc2ccccc2)CC1
27,1501,0.464758,Cc1ccc(C(=O)O)cc1N(CC(=O)NC1CCCCC1)C(=O)c1occc1C
28,36881,0.464238,CCOC(=O)C1CCN(C(=O)C(=O)c2c(C)[nH]c3ccccc23)CC1
29,19047,0.464095,COc1cc(NC(=O)[C@H]2CCCC[C@@H]2C(=O)O)c(OC)cc1NC(=O)c1ccccc1
30,11756,0.463980,COc1[c-]c([C@@H](C(=O)NC2CCCC2)N(CC(C)C)C(=O)CCC(=O)Nc2cc(C)on2)c(OC)cc1.[H+]
31,29597,0.462910,CC[C@@H](C(=O)NC1CCCC1)N(C(=O)c1nccnc1C(=O)O)c1ccccc1
32,25374,0.462321,CCOc1cc2[nH]c(=O)n(CCCC(=O)NCC3CCCCC3)c(=O)c2cc1OCC
33,18838,0.461644,CCC[C@H](NC(=O)c1ccco1)C(=O)N1CCN(C(=O)c2ccco2)CC1
34,6574,0.460857,CCC(=O)c1cn(CC(=O)NC2CCCCC2)c2ccccc12
35,5268,0.460566,CCCN(C(=O)CN1Cc2ccccc2C1=O)[C@H](C(=O)NC1CCCC1)c1ccco1
36,19978,0.459763,CCCCNC(=O)c1cc(C(=O)Nc2ccccc2)nn1C1CCCCC1
37,10129,0.458416,CCC[C@H](C(=O)NC1CCCCC1)N(Cc1ccco1)C(=O)CNS(=O)(=O)c1ccc(F)cc1
38,31626,0.458416,COCCN(C(=O)CCC(=O)Nc1cc(C)on1)[C@H](C(=O)NC1CCCC1)c1cccc(C)c1
39,38232,0.458349,CCOC(=O)[C@H](CCSC)NC(=O)c1cc2ccccc2nc1OCC
