rank,oracle_call,score,smiles
1,4762,0.826989,COc1ccc(-c2nnc(C/[S+]=c3\nc4ccccc4c([O-])n3C)o2)cc1OCC(N)=O
2,26213,0.824179,NS(=O)(=O)c1cccc(NC(=O)C/[S+]=c2\nc3ccccc3c([O-])n2CCCN2CCOCC2)c1
3,31441,0.821494,COc1ccc(NC(=O)Cn2c(=O)oc3ccccc32)cc1S(N)(=O)=O
4,31107,0.818341,NS(=O)(=O)c1ccccc1NC(=O)CN1CCN(c2ccccn2)CC1
5,29987,0.817187,COc1cccc(N2CCN(C(=O)[C@@H](C)NS(=O)(=O)c3ccc4c(c3)oc(=O)n4C)CC2)c1
6,18333,0.816497,O=C(CN1CCN(c2ncccn2)CC1)N/N=C1\C(=O)Nc2ccccc21
7,3736,0.816250,COc1ccc(OC)c(NC(=O)C/[S+]=c2\nc3ccccc3c([O-])n2CCNC(C)=O)c1
8,39888,0.812407,NS(=O)(=O)c1ccc(NC(=O)CN2CCN(c3ccccn3)CC2)cc1
9,19014,0.811670,O=C(Cn1nnc2ccccc2c1=O)Nc1cccc(OCC(=O)N2CCOCC2)c1
10,32488,0.808767,NS(=O)(=O)c1cccc(-n2c(=O)c3ccccc3n(CC(=O)NCCN3CCOCC3)c2=O)c1
11,23117,0.808169,Nn1c(-c2ccco2)n[n-]/c1=[S+]/CC(=O)Nc1cc[c-]cc1.[H+]
12,22529,0.807416,[N-2][C][C+]([C][N-2])[c+]1[cH+][cH+][cH+][cH+][c-]1N[C+]([O-])[C+]([O-])[c+]1[cH-]n(C[C+]([O-])N2CCOCC2)[c+]2[cH-][cH+][cH-][cH+][c-]12
13,23498,0.807231,COCCn1c(=O)[nH]c2cc(C(=O)NCCN3CCN(c4ccccc4F)CC3)ccc2c1=O
14,39591,0.806432,NS(=O)(=O)c1ccc(NC(=O)CN2CCN(c3ncccn3)CC2)cc1
15,39557,0.806243,Nn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nnc1-[c-]1nnc2ccccc21.[H+]
16,33842,0.806185,NS(=O)(=O)c1ccc(N2CCN(CCOc3ccc(OCC(=O)Nc4nccs4)cc3)CC2)nc1
17,14959,0.804829,COc1ccc(N2CCN(Cc3nc4c(c(=O)[nH]c(=O)n4C)n3CC(C)=O)CC2)cc1
18,35540,0.803428,NS(=O)(=O)c1ccc(NC(=O)CN2CCN(c3ccccc3O)CC2)cc1
19,36971,0.803428,NS(=O)(=O)c1ccc(O)c(NC(=O)CN2CCN(c3ccccc3)CC2)c1
20,19526,0.803203,NC(=O)CN1CCN(c2ccccc2NC(=O)c2ccc([N+](=O)[O-])o2)CC1
21,40236,0.802288,NS(=O)(=O)c1ccc(NC(=O)COc2ncnc3ccccc23)cc1
22,22681,0.802095,Nn1c(SCC(=O)Nc2ccc(N3CCN(S(=O)(=O)c4ccccc4)CC3)cc2)nncc1=O
23,24071,0.802068,NS(=O)(=O)c1ccc2nc(N3CCN(S(=O)(=O)c4ccc5c(c4)NC(=O)CO5)CC3)sc2c1
24,19914,0.802043,Nc1nc(-c2ccc3c(c2)OCO3)nc(-n2[c-]c(CC[C-]([O-])O)c(CCC3=c4ccccc4=[S+2]=C3)n2)n1.[H+]
25,22413,0.802010,NC(=O)Cn1c(=O)n(CCC(=O)NCCSCc2ccco2)c(=O)c2ccccc21
26,9758,0.801979,O=C(/[C-]=C/[c-]1cc2ccccc2nc1=S)NCC(=O)[NH+]=[N+]=Cc1ccccn1
27,23064,0.801809,NS(=O)(=O)c1ccc2nc(NC(=O)CS(=O)(=O)c3cn(CC(=O)N4CCOCC4)c4ccccc34)sc2c1
28,23292,0.801693,COc1ccc(N2C(=O)C[C@H](/[S+]=c3\nc4ccccc4c([O-])n3CCN3CCOCC3)C2=O)cc1
29,40633,0.800719,CN(C)S(=O)(=O)c1ccc(NC(=O)COC(=O)CNS(=O)(=O)c2cccc3cccnc23)cc1
30,11216,0.800663,COc1cc(NC(=O)Cc2ccccc2)c(OC)cc1N/N=C1/C(=O)N/C(=[S+]/C)N=C1[O-]
31,32025,0.800663,NS(=O)(=O)c1ccc(NC(=O)CN2CCN(S(=O)(=O)c3cccc4nonc34)CC2)cc1
32,40676,0.800663,NS(=O)(=O)c1cccc(NS(=O)(=O)c2cn(CC(=O)N3CCOCC3)c3ccccc23)c1
33,36811,0.800544,NS(=O)(=O)c1ccc2c(c1)oc(=O)n2CC(=O)N1CCN(c2ccccn2)CC1
34,36800,0.800480,NS(=O)(=O)c1ccc(NC(=O)COC(=O)Cn2c(=O)sc3ccccc32)cc1
35,39276,0.800480,Nc1nc2ccccc2n1CC(=O)OCC(=O)Nc1cccc(S(N)(=O)=O)c1
36,12139,0.800344,NS(=O)(=O)c1ccc(NC(=O)Cn2cnc3ccccc3c2=O)cc1
37,25831,0.800344,NS(=O)(=O)c1cccc(NC(=O)Cn2cnc3ccccc3c2=O)c1
38,36555,0.800344,NS(=O)(=O)c1ccccc1NC(=O)Cn1cnc2ccccc2c1=O
